PS No & Name,Address,Constituency Number
1 - Bhatepuri,Z. P. Pra. Shala Bhatepuri,100
2 - Bhatepuri,Z. P. Pra. Shala Bhatepuri,100
3 - Bhatepuri,Z. P. Pra. Shala Bhatepuri,100
4 - Khanepuri,Z. P. Pra. Shala Khanepuri,100
5 - Wanadgaon,Z. P. Pra. Shala Vanadaganv,100
6 - Kachrewadi,Z. P. Pra. Shala Kacharevadi,100
7 - Pachanwadgaon,Z. P. Pra. Shala Pachanavadaganv East Side,100
8 - Pachanwadgaon,Z. P. Pra. Shala Pachanavadaganv West Side,100
9 - Bethlam,Douglas Girls Primary School at Bethlam,100
10 - Revgaon,Z. P. Pra. Shala Revaganv,100
11 - Revgaon,Z. P. Pra. Shala Revaganv,100
12 - Revgaon,Z. P. Pra. Shala Revaganv,100
13 - Pokalwadgaon,Z. P. Pra. Shala Pok Lavadaganv,100
14 - Thergaon,Z. P. Pra. Shala Thergaon,100
15 - Bapkal,Anganwadi Office Bapkal,100
16 - Utwad,Z. P. Pra. Shala Utavad,100
17 - Utwad,Z. P. Pra. Shala Utavad,100
18 - Pimpri Dukri,Z. P. Pra. Shala Pimparidukari Kholi Kr. 1,100
19 - Pimpri Dukri,Z. P. Pra. Shala Pimparidukari Kholi Kr. 2,100
20 - Ghodegaon,Z. P. Pra. Shala Ghodeganv,100
21 - Khodepuri,Z. P. Pra. Shala Khodepuri,100
22 - Nipani Pokhari,Z. P. Pra. Shala Nipani Pokhari,100
23 - Nasadgaon,Z. P. Pra. Shala Nasadaganv,100
24 - Takarwan,Z. P. Pra. Shala Takaravan,100
25 - Hiwardi,Z. P. Pra. Shala Hivardi,100
26 - Hiwardi,Z. P. Pra. Shala Hivardi,100
27 - Hastepimpalgaon,Z. P. Pra. Shala Hastepimpalaganv,100
28 - Shevga,Z. P. Pra. Shala Shevaga,100
29 - Pokhari Shingadi,Zilha Parishad Primary School New Building Pokhari Shingadi,100
30 - Dambri,Z. P. Pra. Shala Dambari,100
31 - Chitli Putli,Z. P. Pra. Shala Chitaliputali,100
32 - Chitli Putli,Z. P. Pra. Shala Chitaliputali,100
33 - Viregaon,Z. P. Pra. Shala Vireganv,100
34 - Viregaon,Z. P. Pra. Shala Vireganv,100
35 - Dhanora,Z. P. Pra. Shala Dhanora,100
36 - Dhanora,Z. P. Pra. Shala Dhanora,100
37 - Solgavhan,Z. P. Pra. Shala Solagavhan,100
38 - Hiwra Roshangaon,Z. P. Pra. Shala Hivararoshanaganv,100
39 - Hiwra Roshangaon,Z. P. Pra. Shala Hivararoshanaganv,100
40 - Hatwan,Z. P. Pra. Shala Hatavan,100
41 - Hatwan,Talathi Office Hatwan,100
42 - Wadiwadi,Z. P. Pra. Shala Vadivadi,100
43 - Wadiwadi,Z. P. Pra. Shala Vadivadi,100
44 - Hiswan Bu,Z. P. Pra. Shala Hisvan Bu.,100
45 - Hiswan Khurd,Z. P. Pra. Shala Hisvan Khu.,100
46 - Punegaon,Z. P. Pra. Shala Puneganv,100
47 - Islamwadi,Z. P. Prashala Islamavadi,100
48 - Dudhna Kalegaon,Z. P. Pra. Shala Dudhana Kaleganv East Side,100
