PS No & Name,Address,Constituency Number
1 - Malegaon Khu,Zilla Parishad Primary School Malegaon Khurd,101
2 - Varkheda Sindkhed,Zilla Parishad Primary School Varkheda Sindkhed,101
3 - Pokhari Sindkhed,Zilla Parishad Primary School Pokhari Sindkhed,101
4 - Kumbefal Sindkhed,Zilla Parishad Primary School Kumbefal Sindkhed,101
5 - Waghrul Jahangir-1,Zilla Parishad Primary School Main Room No 1 Building North Side Waghrul Jahangir,101
6 - Waghrul Jahangir-1,Zilla Parishad Primary School Room No. 2 Main Building South Side Waghrul Jahangir,101
7 - Waghrul Jahangir-2,Zilla Parishad Primary School Room No. 3 Main Building South Side Waghrul Jahangir,101
8 - Indalkarwadi,Zilla Parishad Primary School Indalkarwadi,101
9 - Malshendra,Zilla Parishad Primary School Malshendra,101
10 - Pirpimpalgaon-1,Zilla Parishad Primary School Room No. 1 Pirpimpalgaon,101
11 - Pirpimpalgaon-2,Zilla Parishad Primary School Room No. 2 Pirpimpalgaon,101
12 - Vanjar Umrad-1,Zilla Parishad Primary School Room No. 1 East Side Vanjar Umrad,101
13 - Vanjar Umrad-2,Zilla Parishad Primary School Room No. 2 West Side Vanjar Umrad,101
14 - Gondegaon-1,Zilla Parishad Primary School Room No. 1 Gondegaon,101
15 - Gondegaon-2,Zilla Parishad Primary School Room No. 2 Gondegaon,101
16 - Dhavedi,Zilla Parishad Primary School Dhavedi,101
17 - Kadwanchi-1,Zilla Parishad Primary School East Side Kadwanchi,101
18 - Kadwanchi-2,Zilla Parishad Primary School Middel Side Kadwanchi,101
19 - Warud,Zilla Parishad Primary School Warud,101
20 - Navha,Zilla Parishad Primary School Room No. 1 South Side Navha,101
21 - Navha,Zilla Parishad Primary School Room No. 4 Middle Side Navha,101
"22 - Wadgaon Wakhari, Patra Tanda-1",Bhante Nagsen Primary Ashramshala Wadgaon Wakhari Room No. 1,101
"23 - Wadgaon Wakhari, Patra Tanda-2",Bhante Nagsen Primary Ashramshala Wadgaon Wakhari Room No. 4 Center Point,101
24 - Dharkalyan,Zilla Parishad Primary School Dharkalyan,101
25 - Borkhedi,Zilla Parishad Primary School Borkhedi,101
26 - Nandapur-1,Zilla Parishad Primary School Room No. 1 Nandapur,101
27 - Nandapur-2,Zilla Parishad Primary School Room No. 2 Nandapur,101
28 - Ahankar Deoulgaon,Zilla Parishad Primary School Ahankar Deoulgaon,101
29 - Panshendra-1,Zilla Parishad Primary School East Side Panshendra,101
30 - Panshendra-2,Zilla Parishad Primary School North Side Panshendra,101
31 - Shrikrishnanagar,Zilla Parishad Primary School Shrikrishna Nagar,101
32 - Jamwadi-1,Zilla Parishad Primary School North-South Sided Building Jamwadi Room No. 1,101
33 - Jamwadi-2,Zilla Parishad Primary School Jamwadi West Side Building Room No. 1,101
34 - Ghanewadi,Zilla Parishad Primary School Ghanewadi,101
35 - Gundewadi,Zilla Parishad Primary School Gundewadi,101
36 - Nidhona /Ambedkarnagar,Zilla Parishad Primary School Nidhona,101
37 - Tandulwadi Khu,Zilla Parishad Primary School Tandulwadi Khurd,101
38 - Nagewadi,Jalna City MunicipalCorporation Jalna Primary School Nagewadi,101
39 - Daregaon-1,Zilla Parishad Primary School South Side Daregaon,101
40 - Daregaon-2,Zilla Parishad Primary School North Side Daregaon,101
41 - Jalna Aurangabad Road-1,Kamgar Kalyan Kendra Room No. 1 Jalna,101
42 - Jalna Aurangabad Road-1,Kamgar Kalyan Kendra East Side Room No. 2 Jalna,101
43 - Jalna Aurangabad Road-2,C. T. M. K. Vidhyalaya Room No. 1 Jalna,101
44 - Jalna Aurangabad Road-2,C. T. M. K. Vidhyalaya Room No. 2 Jalna,101
45 - Murgi Talav-1,R.H.V. English Medium Class 5-A Jalna,101
46 - Murgi Talav-2,R.H.V. English Medium Class 5-B Jalna,101
47 - Murgi Talav-2,R.H.V. English Medium Class 5-C Jalna,101
48 - Murgi Talav-4,R.H.V. English Medium Class 2-B Jalna,101
49 - Murgi Talav-4,R.H.V. English Medium Class 2-C Jalna,101
50 - Murgi Talav-5,R.H.V. Hindi Medium East Side Room No. 19 Jalna,101
51 - Murgi Talav-3,R.H.V. Hindi Medium South Side Room No. 20 Jalna,101
52 - Deoulgaonraja Road-1,Shrikrushna Hindi Vidhalaya East Side Kanhaiyanagar Jalna,101
53 - Deoulgaonraja Road-2,Shrikrushna Hindi Vidhalaya Kanhaiyanagar Jalna Room No. 1,101
54 - Deoulgaonraja Road-3,Saint Mary High school North Side Room No. 11 Jalna,101
55 - Deoulgaonraja Road-4,Saint Mary Highschool North Side Room No. 10 Jalna,101
56 - Deoulgaonraja Road-5,Saint Mary High school South Side Room No. 14 Jalna,101
57 - Deoulgaonraja Road-6,Saint Mary High school South Side Room No. 15 Jalna,101
58 - Durgamata Road-1,Zilla Parishad Kanya Prashala Middle Side Room No. 13 Jalna,101
59 - Durgamata Road-2,Gramsevak Training Center Office West Side Jalna,101
60 - Durgamata Road-3,Gramsevak Training Center Office East Side Jalna,101
61 - Penshanpura-1,Zilla Parishad Kanya Prashala South Side Room No. 15 Jalna,101
62 - Penshanpura-1,Zilla Parishad Kanya Prashala South Side Room No. 16 Jalna,101
63 - Chati Galli-1,Smt. Dankunwar Primary School Room No. 1 Shola Chouk Jalna,101
64 - Chati Galli-2,Smt. Dankunwar Primary School Room No. 2 Shola Chouk Jalna,101
65 - Juna Mondha-1,R.H.V.Primary School West side Room No.1 Near Step side Jalna.,101
66 - Juna Mondha-2,R.H.V.Primary School East Side Room No. 2 Near Step Side Jalna.,101
67 - BansiPura-1,R.H.V.Primary School Room No. 3 Jalna.,101
68 - Bansipura-2,Master Phulambrikar Natyagruha Jalna City MunicipalCorporation Jalna East Side Jalna,101
69 - Bansipura-3,Master Phulambrikar Natyagruha Jalna City MunicipalCorporation Jalna West Side Jalna,101
70 - Bakkalgudha-1,Shantiniketan Primary Vidhyalaya East Side Sambhaji Nagar Jalna,101
71 - Bakkalgudha-1,Shantiniketan Primary Vidhyalaya South Side Sambhaji Nagar Jalna,101
72 - Bakkalgudha-2,Shantiniketan Primary Vidhyalaya West Side Sambhaji Nagar Jalna,101
73 - Bakkalgudha-2,Shantiniketan Primary Vidhyalaya West Side Sambhaji Nagar Jalna,101
74 - Bakkalgudha-3,Jain English School North Side Room No 3 Jalna.,101
75 - Bakkalgudha-3,Jain English School South Side Room No 9 Jalna.,101
76 - Bakkalgudha-4,Jain English School North Side Room No. 2 Jalna.,101
77 - Bakkalgudha-4,Jain English School North Side Room No. 2 Jalna.,101
78 - Bakkalgudha-5,Jain English School South Side Room No. 1 Jalna,101
79 - Bakkalgudha-6,Jain English School North Side Room No. 18 Jalna,101
80 - Rahemanganj,Jalna City MunicipalCorporation Jalna Primary School East Side Near Main Gate Room Jalna,101
81 - Dhorpura,Jalna City MunicipalCorporation Jalna Primary School West Side Near Main Gate Room Jalna,101
82 - Modikhana-1,Dugles Girls High School Room No. 1 East Side Jalna,101
83 - Modikhana-2,Dugles Girls High School Room No. 2 East Side Jalna,101
84 - Modikhana-3,Teli Samaj Mangal Karyalaya Jalna,101
85 - Gopalpura,Dugles Girls High School Room No. 3 East Side Jalna,101
86 - Baidpura,R.H.V.Primary School Shola Chowk Jalna,101
87 - Balaji Galli-1,Teli Panchayat vada Dr. Kulkarni's Back Side West Side Jalna,101
88 - Balaji Galli-2,Teli Panchayat vada Dr. Kulkarni's Back Side East Side Jalna,101
89 - Dhangarpura-1,Golden Jublille English School Room No. 1 Near Santoshi Mata Mandir Jalna,101
90 - Dhangarpura-2,Golden Jublille English School Room No. 2 Near Santoshi Mata Mandir Jalna,101
91 - Aoudhyagic Vasahat-1,Tantrik Vidhayalaya Room No. 1 New Building Near Janta Highschool Jalna,101
92 - Aoudhyagic Vasahat-2,Tantrik Vidhayalaya Room No. 2 New Building Near Janta Highschool Jalna,101
93 - Mantha Road,Jalna City MunicipalCorporation Jalna Primary School S. R. P.F. Road Jalna,101
94 - S. R. P. F. Road-1,Maharashtra High School Room No. 1 New Building Shivaji Putla Jalna,101
95 - S. R. P. F. Road-2,Maharashtra High School Room No. 2 New Building Shivaji Putla Jalna,101
96 - S. R. P. F. Road-3,Jalna City MunicipalCorporation Jalna Primary School Room No 1 S. R. P.F. Jalna,101
97 - S. R. P. F. Road-3,Jalna City MunicipalCorporation Jalna Primary School S. R. P.F. Road Room No 2 Jalna,101
98 - S. R. P. F. Road-4,Jalna City MunicipalCorporation Jalna Primary School Room No 3 S. R. P.F. Jalna,101
99 - S. R. P. F. Road-4,Jalna City MunicipalCorporation Jalna Primary School Room No 4 S. R. P.F. Jalna,101
100 - S. R. P. F. Road-4,Jalna City Muncipal Corporation Jalna Primary School,101
101 - Ramnagar-1,Jalna City MunicipalCorporation Jalna Primary School East Side Room No. 1 Jalna,101
102 - Ramnagar-2,Jalna City MunicipalCorporation Jalna Primary School East Side Room No. 2 Jalna,101
103 - Ramnagar-3,Guru Ganesh Andha Vidhyalya Room No. 1 Ganesh Bhuwan Jalna,101
104 - Ramnagar-4,Guru Ganesh Andha Vidhyalya Room No. 2 Ganesh Bhuwan Jalna,101
105 - Ramnagar-5,M S Jain Primary School Ramnagar Jalna Class Balwadi C,101
106 - Ramnagar-5,M S Jain Primary School Ramnagar Jalna Class Balwadi D,101
107 - Ramnagar-6,Jalna City MunicipalCorporation Jalna Primary School Room No. 2 South Side Jalna,101
108 - Ramnagar-7,Civil Club North Side Room No. 1 Jalna,101
109 - Ramnagar-8,Civil Club Room No. 2 North Side Jalna,101
110 - Ramnagar-9,Civil Club Center Side Jalna,101
111 - Khiristi Camp-1,M. S. Jain Vidhaylya East Side Behind Ganesh Bhuwan Jalna,101
112 - Khiristi Camp-2,M. S. Jain Vidhaylya West Side Behind Ganesh Bhuwan Jalna,101
113 - Khiristi Camp-3,Dr. Frejarboys M.School Middle Side Room No. 1 Jalna,101
114 - Khiristi Camp-4,Dr. Frejarboys M.School Middle Side Room No. 2 Jalna,101
115 - Khiristi Camp-5,Dr. Frejarboys Middle School Front Side Room No. 1 Jalna,101
116 - Khiristi Camp-6,Dr. Frejarboys Middle School Front Side Room No. 2 Jalna,101
117 - Bhim Nagar-1,M. S. Jain Vidhaylya Behind South Side of Ganesh BhuwanRoom No. 1,101
118 - Bhim Nagar-2,M. S. Jain Vidhaylya Behind South Side of Ganesh Bhuwan Room No. 2,101
119 - Bhim Nagar-2,M. S. Jain Vidhaylya Behind Ganesh Bhuwan,101
120 - Kajipura-1,Dr.Frejarboys Pri.School Near Rest house South Side Shivaji Putla Jalna,101
121 - Kajipura-2,Dr.Frejarboys Pri.School Near Rest House North Side Shivaji Putla Jalna,101
122 - Chati Galli Sadar Bazar-1,Arya Samaj School Jalna,101
123 - Chati Galli Sadar Bazar-2,"Bhavsar Samaj Mangal Karyalya, Bhavsar Galli, Jalna",101
124 - Post Office Road-1,Dankuvar Girl's School South Side Room No.6 Jalna,101
125 - Post Office Road-2,Dankuvar Girl's School South Side Room No.8 Jalna,101
126 - Post Office Road-3,Dankuvar Girl's School South Side Room No.9 Jalna,101
127 - Police Colony Ramnagr-1,Jalna City MunicipalCorporation Jalna Samaj Mandir Sayyad Ahamad Urdu Primary School Jalna,101
128 - Police Colony Ramnagr-2,Guru Ganesh Andha Vidhyalya Ganesh Bhuwan Jalna,101
129 - Kabadi Mohalla-1,Jalna City MunicipalCorporation Jalna Primary Health Center office South Side Panives Jalna,101
130 - Kabadi Mohalla-2,Jalna City MunicipalCorporation Jalna Primary Health Center office North Side Panives Jalna,101
131 - Nal Galli,Agresen Bhavan Nehru Road Jalna,101
132 - Sarafa Road-1,Maharashtra Primary School South Side Parshigalli Jalna,101
133 - Barwar Galli-1,M.S.E.D.C. Ltd. Information and Technology Department . Mastagadh Old Jalna,101
134 - Barwar Galli-2,Executive Enginear M.S.E.D.C. Ltd. Office Mastagadh Jalna South Side Room No. 2,101
135 - Khadak Pura-1,Asurkhana Jalna City MunicipalCorporation Jalna Samaj Mandir Jalna,101
136 - Khadak Pura-2,C. T. M. K. Vidhyalaya Room No. 3 Jalna,101
137 - Pani Darwaja,C. T. M. K. Vidhyalaya Room No. 4 Jalna,101
138 - Kumbhar Galli,Teli Panchayat Vada East Side Uttar Galli Jalna,101
139 - Uttar Galli,Teli Panchayat vada Uttar Galli South Side Jalna,101
140 - Kadrabad Chowk-1,Jalna City MunicipalCorporation Jalna Samaj Mandir Rangar Khildki Jalna,101
141 - Kadrabad Chowk-2,Poddar English School Behind Madhuban Hotel Jalna Class 1 B,101
142 - Murti Darwaja-1,Vankshtrapal Office West Side Jalna.,101
143 - Murti Darwaja-2,Vankshtrapal Office East Side Jalna,101
144 - Lodhi Mohalla-1,"Rashtriya Bal Kamgar Prakalp, Special Training Centre, Near Water Tank, Mangal Bajar, Jalna",101
145 - Lodhi Mohalla-1,Jalna City MunicipalCorporation Jalna Sanitary Inspector Office Western Side Jalna.,101
146 - Lodhi Mohalla-2,Poddar English School Room No. 2 Behind Hotel Madhuban Jalna,101
147 - Darga Sharif,Executive Enginear M.S.E.D.C. Ltd. Office Mastagadh Jalna Room No.1,101
148 - Rangar Khidki-1,Agresen Bhavan Nehru Road Jalna,101
149 - Rangar Khidki-2,Jalna City MunicipalCorporation Jalna Samaj Mandir Backside Rangar Khidki Jalna,101
150 - Gudla Galli,Maharashtra Pri. School North Side Parshigalli Jalna,101
151 - Khatik Pura,DR.Ferjarboys Primary School Middle Side Shivaji Statue Near Rest House Jalna,101
152 - Shastri Mohalla-1,"Akram Fatema Madyhmik Girls School, class 6 Kucchar vota jalna",101
153 - Shastri Mohalla-2,"Akram Fatema Madyhmik Girls School, class 5 Kucchar vota jalna",101
154 - Shastri Mohalla-3,Sub.Registatar Office Room No.1 Jalna,101
155 - Shastri Mohalla-4,Sub.Registatar Office Room No.2 Jalna,101
156 - Shastri Mohalla-5,Bal Jagat Primary School Near Sanjay Nagar Old Jalna Room No. 3,101
157 - Shastri Mohalla-6,Bal Jagat Primary School Near Sanjay Nagar Old Jalna Room No. 5,101
158 - Shastri Mohalla-6,Bal Jagat Primary School Class 4th B Near Sanjay Nagar Old Jalna,101
159 - Shastri Mohalla-7,Bal Jagat Primary School Near Sanjay Nagar Old Jalna Room No. 9,101
160 - Shastri Mohalla-8,"Bhausaheb Deshpande Biotech College, Yogeshwari Colony Room No. 1 Jalna",101
161 - Shastri Mohalla-8,"Bhausaheb Deshpande Biotech College, Room No. 16 Yogeshwari Colony Jalna",101
162 - Shastri Mohalla-9,"Bhausaheb Deshpande Biotech College, Yogeshwari Colony Room No. 2 Jalna",101
163 - Shastri Mohalla-10,"Jalna City MunicipalCorporation Jalna Primary School Room No 1 Chandanzira, Jalna",101
164 - Shastri Mohalla-10,"Jalna City MunicipalCorporation Jalna Primary School Room No 2 Chandanzira, Jalna",101
165 - Shastri Mohalla-11,"Jalna City MunicipalCorporation Jalna Primary School Room No 3 Chandanzira, Jalna",101
