PS No & Name,Address,Constituency Number
1 - Khaparkheda,Zilha Parishad Primary School Khaparkheda,102
2 - Pimpalgaon Barav,Zilha Parishad Primary School Pimpalgaon Barav,102
3 - Nalni Bu.,Zilha Parishad Primary School Nalni Bu.,102
4 - Nalni Bu.,Zilha Parishad Primary School Nalni Bu.,102
5 - Palaskheda Pimple,Zilha Parishad Primary School Palaskheda Pimple,102
6 - Pimpalgaon Thote,Zilha Parishad Primary School Pimpalgaon Thote,102
7 - Umarkheda,Zilha Parishad Primary School Umarkheda,102
8 - Longaon,Zilha Parishad Primary School Longaon,102
9 - Longaon,Zilha Parishad Primary School Longaon,102
10 - Longaon,Zilha Parishad Primary School Longaon,102
11 - Tapowan,Zilha Parishad Primary School Tapowan,102
12 - Tapowan,Zilha Parishad Primary School Tapowan,102
13 - Khamkheda,Zilha Parishad Primary School Khamkheda,102
14 - Thigalkheda,Zilha Parishad Primary School Thigalkheda,102
15 - Banegaon,Zilha Parishad Primary School Banegaon,102
16 - Palaskheda Thombri,Zilha Parishad Primary School Palaskheda Thombri,102
17 - Rajur,Zilha Parishad Primary School Rajur Room No 1,102
18 - Rajur,Zilha Parishad Primary School Rajur Room No 2,102
19 - Rajur,Zilha Parishad Primary School Rajur Room No3,102
20 - Rajur,Zilha Parishad Primary School Rajur- Room No4,102
21 - Chandai Ekko,Zilha Parishad Central Primary School Chandai Ekko,102
22 - Chandai Ekko,Zilha Parishad Central Primary School Chandai Ekko,102
23 - Chandai Tepli,Zilha Parishad Primary School Chandai Tepli,102
24 - Chandai Thombri,Zilha Parishad Primary School Chandai Thombri,102
25 - Chandai Thombri,Zilha Parishad Primary SchoolChandai Thombri 2,102
26 - Bamkheda,Zilha Parishad Primary School Bamkheda,102
27 - Merkheda,Zilha Parishad Primary School Merkheda,102
28 - Kedarkheda,Zilha Parishad Primary School Kedarkheda,102
29 - Kedarkheda,Zilha Parishad Primary School Kedarkheda,102
30 - Javkheda Thombri,Zilha Parishad Primary School Javkheda Thombri,102
31 - Javkheda Thombri,Zilha Parishad Primary School Javkheda Thombri,102
32 - Walsa Dawargaon,Zilha Parishad Primary School Walsa Dawargaon,102
33 - Davaragaon,Zilha Parishad Primary School Davargaon,102
34 - Walsa Khalsa,Zilha Parishad Primary School Walsa Khalsa,102
35 - Deulgaon Tad,Zilha Parishad Primary School Deulgaon Tad,102
36 - Chincholi,Zilha Parishad Primary School Chincholi,102
37 - Takli Hiwardi,Zilha Parishad Primary School Takali Hiwardi,102
38 - Takli Bajad,Zilha Parishad Primary School Takali Bajad,102
39 - Kotha Dabhadi,Zilha Parishad Primary School Kotha Dabhadi,102
40 - Pimpalgaon Sutar,Zilha Parishad Primary School Pimpalgaon Sutar,102
41 - Pimpalgaon Sher,Zilha Parishad Primary School Pimpalgaon Sher,102
42 - Palaskheda Dabhadi,Zilha Parishad Primary School Palaskheda Dabhadi,102
43 - Javkheda Khurd,Zilha Parishad Primary School Javkheda khurd,102
44 - Javkheda Bk,Zilha Parishad Primary School Javakheda Bu.,102
45 - Janefal Dabhadi,Zilha Parishad Primary School Janefal Dabhadi,102
46 - Borgaon Taru,Zilha Parishad Primary School Borgaon Taru,102
47 - Nimgaon,Zilha Parishad Primary School Nimgaon,102
48 - Rajala,Zilha Parishad Primary School Rajala,102
49 - Pandharapurwadi,Zilha Parishad Primary School Pandharapurvadi,102
50 - Boragaon Khadak,Zilha Parishad Primary School Boragaon Khadak,102
51 - Sirasgaon Waghral,Zilha Parishad Primary School Sirasgaon Waghrul,102
52 - Sirasgaon Waghral,Zilha Parishad Primary School Sirasgaon Waghrul,102
53 - Khadki,Zilha Parishad Primary School Khadki,102
54 - Ekefal,Zilha Parishad Primary School Ekefal,102
55 - Pimpri,Zilha Parishad Primary School Pimpri,102
56 - Khadgaon,Zilha Parishad Primary School Khadgaon,102
57 - Ita,Zilha Parishad Primary School Ita,102
58 - Latifpur,Zilha Parishad Primary School Latifpur,102
59 - Hasnabad,Zilha Parishad Primary School Hasnabad Room No 1,102
60 - Hasnabad,Zilha Parishad Primary School Hasnabad Room No 2,102
61 - Hasnabad,Zilha Parishad Primary School Hasnabad 3,102
62 - Hasnabad,Zilha Parishad Primary School Hasnabad,102
63 - Sirasgaon Mandap,Zilha Parishad Primary School Sirasgaon Mandap 1,102
64 - Sirasagaon Mandap,Zilha Parishad Primary School Sirasgaon Mandap 2,102
65 - Khandala,Zilha Parishad Primary School Khandala,102
66 - Goshegaon,Zilha Parishad Primary School Goshegaon,102
67 - Goshegaon,Zilha Parishad Primary School Goshegaon,102
68 - Vajirkheda,Zilha Parishad Primary School Vajirkheda,102
69 - Deulgaon Kaman,Zilha Parishad Primary School Deulgaon Kaman,102
70 - Savkheda,Zilha Parishad Primary School Savkheda,102
71 - Pimpalgaon Kolte,Zilha Parishad Primary School Pimpalgaon Kolte,102
72 - Talegaon,Zilha Parishad Primary School Talegaon,102
73 - Talegaon,Zilha Parishad Primary School Talegaon,102
74 - Talegaon,Zilha Parishad Primary School Talegaon,102
75 - Talegaonwadi,Zilha Parishad Primary School Talegaonwadi,102
76 - Takali Kolte,Zilha Parishad Primary School Takali Kolate ( East Side),102
77 - Takali Kolte,Zilha Parishad Primary School Takali Kolate ( West Side),102
78 - Ridhora,Zilha Parishad Primary School Ridhora,102
79 - Dhanora,Grampanchayat Office Dhanora,102
80 - Talni Lodhewadi,Zilha Parishad Primary School Talni Lodhewadi,102
81 - Nandkheda,Zilha Parishad Primary School Nandkheda,102
82 - Bhakarwadi,Zilha Parishad Primary School Bhakarwadi,102
83 - Dhangarwadi,Zilha Parishad Primary School Dhangarwadi,102
84 - Rajewadi,Zilha Parishad Primary School Rajewadi,102
85 - Khamgaon,Zilha Parishad Primary School Khamgaon ( East Side),102
86 - Khamgaon,Zilha Parishad Primary School Khamgaon ( West Side),102
87 - Vilhadi,Zilha Parishad Primary School Vilhadi,102
88 - Mhasla,Zilha Parishad Primary School Mhasla,102
89 - Mevhna,Zilha Parishad Primary School Mevhna,102
90 - Sirsagaon Ghati,Zilha Parishad Primary School Sirsagaon Ghati,102
91 - Davargaon,Zilha Parishad Primary School Davargaon,102
92 - Bhatkheda,Zilha Parishad Primary School Bhatkheda,102
93 - kinhola,Zilha Parishad Primary School kinhola,102
94 - Dabhadi,Zilha Parishad Primary School Dabhadi ( East Side),102
