PS No & Name,Address,Constituency Number
1 - Jaydevwadi,Zilha Parishad Primary School Jaydevwadi,103
2 - wadhona,Zilha Parishad Primary School Wadhona Room No 1,103
3 - wadhona,Zilha Parishad Primary School Wadhona Room No 2,103
4 - Wizora,Zilha Parishad Primary School Wizora,103
5 - Mehgaon,Zilha Parishad Primary School Mehgaon,103
6 - Dhawda,Zilha Parishad Primary School North Side Dhawda,103
7 - Dhawda,Anganwadi kendra near new grampanchayat bulding dhawda room no.4,103
8 - Dhawda,Anganwadi kendra near new grampanchayat bulding dhawda room no.2,103
9 - Dhawda,Zilha Parishad Primary School Dhawda,103
10 - Dhawda,Zilha Parishad Primary School East Side Dhawda,103
11 - Dhawda,Zilha Parishad Primary School Samtanagar Dhawda,103
12 - Pokhari,Zilha Parishad Primary School Pokhari,103
13 - Bhorkheda,Zilha Parishad Primary School Bhorkheda,103
14 - Wadhod Tangda,Zilha Parishad Primary School East Side Vadod Tangda,103
15 - Wadhod Tangda,Zilha Parishad Primary School West Side Vadod Tangda Room No 1,103
16 - Wadhod Tangda,Zilha Parishad Primary School West Side Vadod Tangda Room No 2,103
17 - Walsawangi,Zilha Parishad Primary School East Side Valsawangi Room No 1,103
18 - Walsawangi,Zilha Parishad Primary School North Side Valsawangi 1,103
19 - Walsawangi,Zilha Parishad Primary School North Side Valsavangi Room No 2,103
20 - Walsawangi,Zilha Parishad Primary School North Side Valsawangi Room No 3,103
21 - Walsawangi,Grampanchayat Office Valsavangi Room No 1,103
22 - Walsawangi,Grampanchayat Office Valsavangi Room No 2,103
23 - Walsawangi,Anganwadi No 8 Room No 01 Near ZP SCHOOL,103
24 - Sundarwadi,Zilha Parishad Primary School Sundarwadi,103
25 - Padmavati,Zilha Parishad Primary School Padmavati,103
26 - Paradh Khu.,Zilha Parishad Primary School Paradh Kh.,103
27 - Leha,Zilha Parishad Primary School (New bulding) Leha-Room No 1,103
28 - Leha,Zilha Parishad Primary School (New bulding) Leha-Room No 2,103
29 - Selud,Zilha Parishad Primary School shelud New village,103
30 - Selud,Zilha Parishad Primary School shelud old village,103
31 - Hisoda Khu.,Zilha Parishad Primary School Hisoda Khu. 1,103
32 - Hisoda Khu.,Zilha Parishad Primary School Hisoda kh. Room No 2,103
33 - Hisoda Bu.,Zilha Parishad Primary School Hisoda bu.,103
34 - Dahigaon,Zilha Parishad Primary School Dahigaon,103
35 - Adgaon,Zilha Parishad Primary School Adgaon New Building Room No.1,103
36 - Adgaon,Zilha Parishad Primary School Adgaon New Building Room No.2,103
37 - Koda,Zilha Parishad Primary School koda,103
38 - Dhondkheda,Zilha Parishad Primary School Dhondkheda,103
39 - Karlawadi,Zilha Parishad Primary School Karlawadi,103
40 - Anwa,Zilha Parishad Primary School south side Anwa,103
41 - Anwa,Zilha Parishad Primary School midal side Anwa,103
42 - Anwa,Zilha Parishad Primary School North side Anwa,103
43 - Anwa,Zilha Parishad Primary School East side Anwa,103
44 - Jalgaon Sapkal,Zilha Parishad Primary School North side Jalgaon Sapkal,103
45 - Jalgaon Sapkal,Zilha Parishad Primary School South side Jalgaon Sapkal Room No.1,103
46 - Jalgaon Sapkal,Zilha Parishad Primary School West side Jalgaon Sapkal Room No.1,103
47 - Jalgaon Sapkal,Zilha Parishad Primary School West side Jalgaon Sapkal Room No.2,103
48 - Kotha Koli,Zilha Parishad Primary School Kotha Koli,103
49 - Pimpalgaon Renukai,Zilha Parishad Primary School East side Pimpalgaon Renukai,103
50 - Pimpalgaon Renukai,Zilha Parishad Primary School West side Pimpalgaon Renukai,103
51 - Pimpalgaon Renukai,Zilha Parishad Primary School Pimpalgaon Renukai Room No 1,103
52 - Pimpalgaon Renukai,Zilha Parishad Primary School Pimpalgaon Renukai Room No 2,103
53 - Paradh Bu.,Janta high school Paradh bu Room No 1,103
54 - Paradh Bu.,Janta high school Paradh bu Room No 2,103
55 - Paradh Bu.,Janta high school Paradh bu Room No 3,103
56 - Paradh Bu.,Janta high school Paradh bu Room No 4,103
57 - Paradh Bu.,Zilha Parishad Primary School Paradh bu Room No 1,103
58 - Paradh Bu.,Zilha Parishad Primary School Paradh bu Room No 2,103
59 - Paradh Bu.,Zilha Parishad Primary School Paradh bu Room No 3,103
60 - Sawangi Awghadrao,Zilha Parishad Primary School North Side Savangi Avgadrao Room No.1,103
61 - Sawangi Awghadrao,Zilha Parishad Primary School South Side Savangi Avgadrao Room No.1,103
62 - Sawangi Awghadrao,Zilha Parishad Primary School South Side Savangi Avgadrao Room No.2,103
63 - Relgaon,Zilha Parishad Primary School Relgaon Room No 1,103
64 - Relgaon,Zilha Parishad Primary School Relgaon Room No 2,103
65 - Warud Bu,Zilha Parishad Primary School Warud bu Room No 1,103
66 - Warud Bu,Zilha Parishad Primary School Warud bu Room No 2,103
67 - Palaskheda Murtad,Zilha Parishad Primary School North side New building Palskheda Murtad Room No.1,103
68 - Palaskheda Murtad,Zilha Parishad Primary School North side New building Palskheda Murtad Room No. 2,103
69 - Karjgaon,Zilha Parishad Primary School Karjgaon,103
70 - Kalyani,Zilha Parishad Primary School Kalyani Room No.1,103
71 - Kalyani,Zilha Parishad Primary School Kalyani Room No 2,103
72 - Anwapada,Zilha Parishad Primary School Anwapada Room No.1,103
73 - Anwapada,Zilha Parishad Primary School Anwapada Room No 2,103
74 - Janefal Gaykwad,Zilha Parishad Primary School Janefal Gaykawad Room No.1,103
75 - Janefal Gaykwad,Zilha Parishad Primary School Janefal Gaykawad Room No 2,103
76 - Kukdi,Zilha Parishad Primary School Kukadi,103
77 - Wakdi,Zilha Parishad Primary School (New bulding)Wakadi Room No.1,103
78 - Wakdi,Zilha Parishad Primary School (New bulding) Wakadi Room No.2,103
79 - Kathora Bajar,Zilha Parishad Primary School South Side Kathora Bajar Room No 1,103
80 - Kathora Bajar,Zilha Parishad Primary School North Side Kathora Bajar Room No 1,103
81 - Kathora Bajar,Zilha Parishad Primary School North Side Kothara Bajar Room No 2,103
82 - Surangali,Zilha Parishad Primary School (New bulding) North Side Surangali,103
83 - Surangali,Zilha Parishad Primary School (New bulding) west Side Surangali,103
84 - Dehed,Zilha Parishad Primary School Dehed Room No 1,103
85 - Dehed,Zilha Parishad Primary School Dehed Room No 2,103
86 - Malegaon,Zilha Parishad Primary School malegaon,103
87 - Mohlai,Zilha Parishad Primary School Mohlai,103
88 - Kosgaon,Zilha Parishad Primary School Kosgaon Room No 1,103
89 - Kosgaon,Zilha Parishad Primary School Kosgaon Room No 2,103
90 - Kotha Jahagir,Zilha Parishad Primary School Koth jahangir,103
91 - Kolegaon,Zilha Parishad Primary School Kolegaon,103
92 - Godri,Zilha Parishad Primary School Godri Room No 1,103
93 - Godri,Zilha Parishad Primary School Godri Room No 2,103
94 - Wadshed,Zilha Parishad Primary School Wadshed,103
95 - Danapur,Zilha Parishad Primary School Danapur Room No 1,103
96 - Danapur,Zilha Parishad Primary School Danapur Room No 2,103
97 - Dagadwadi,Zilha Parishad Primary School Dagadwadi Room No 1,103
98 - Dagadwadi,Zilha Parishad Primary School Dagadwadi Room No 2,103
99 - Wadi Khurd,Zilha Parishad Primary School Wadi khurd,103
100 - Bhivpur,Zilha Parishad Primary School Bhivapur,103
101 - Avhana,Zilha Parishad Primary School East side Avhana,103
102 - Avhana,Zilha Parishad Primary School South side Avhana,103
103 - Avhana,Grampanchyat Office Avhana,103
104 - Avhana(Thalevadi),Zilha Parishad Primary School Thalewadi/ Avhana,103
105 - Gokul,Zilha Parishad Primary School Gokul,103
106 - Wadi Bu.,Zilha Parishad Primary School Wadi bu,103
107 - Malkapur,Zilha Parishad Primary School Malakapur,103
108 - Manapur,Zilha Parishad Primary School Manapur,103
109 - Talni,Zilha Parishad Primary School Talani,103
110 - Bhaydi,Zilha Parishad Primary School bhayadi Room No 1,103
111 - Nimbola,Zilha Parishad Primary School Nimbola,103
112 - Tadkalas,Zilha Parishad Primary School Tadakalas,103
