PS No & Name,Address,Constituency Number
1 - KAWALI,Z.P.P.S.KAWALI,104
2 - TIKHI,Z.P.P.S TIKHI,104
3 - BAHULKHEDA,Z.P.P.S.BAHULKHEDA ROOM NO-01,104
4 - BAHULKHEDA,Z.P.P.S.BAHULKHEDA ROOM NO-02,104
5 - NIMBAYATI TANDA,Z.P.P.S.NIMBAYATI TANDA,104
6 - NHAVI TANDA,Z.P.P.S.NHAVI TANDA,104
7 - NIMBAYATI,Z.P.P.S.NIMBAYATI,104
8 - RAMPURA GAON,Z.P.P.S.NIMBAYATI GAON,104
9 - JARANDI,Z.P.P.S.JARANDI ROOM NO-02,104
10 - JARANDI,Z.P.P.S.JARANDI ROOM NO-01,104
11 - MALEGAON,Z.P.P.S.MALEGAON,104
12 - KANKRALA,Z.P.P.S.KANKRALA,104
13 - AMKHEDA,Z.P.P.S.AMKHEDA ROOM NO-01,104
14 - AMKHEDA,Z.P.P.S.AMKHEDA ROOM NO-02,104
15 - AMKHEDA,BHUMIABHILEKH OFFICE SOEGAON,104
16 - VETALWADI,Z.P.P.S.VETALWADI,104
17 - GALWADA,BAL ANGANWADI KENDRA GALWADA,104
18 - GALWADA,Z.P.P.S.GALWADA ROOM NO-02,104
19 - SOEGAON,Z.P.HIGH SCHOOL SOEGAON WEST SIDE NO-01,104
20 - SOEGAON,Z.P.HIGH SCHOOL SOEGAON WEST SIDE NO-03,104
21 - SOEGAON,Z.P.HIGH SCHOOL SOEGAON SOUTH SIDE NO-01,104
22 - SOEGAON,Z.P.C.P.S.SOEGAON WEST SIDE NO-01,104
23 - SOEGAON,Z.P.C.P.S.SOEGAON NORTH SIDE NO-01,104
24 - SOEGAON,Z.P.C.P.S.SOEGAON NORTH SIDE NO-02,104
25 - JANGALA TANDA,Z.P.P.S.JANGALA TANDA,104
26 - PALASKHEDA,Z.P.P.S.PALASKHEDA ROOM NO-01,104
27 - PALASKHEDA,Z.P.P.S.PALASKHEDA ROOM NO-02,104
28 - VARKHEDI BK,Z.P.P.S.VARKHEDI BK,104
29 - DHANWAT,Z.P.P.S.DHANWAT,104
30 - FARDAPUR TANDA,Z.P.P.S.FARDAPUR TANDA,104
31 - FARDAPUR,Z.P.P.S.FARDAPUR ROOM NO-01,104
32 - FARDAPUR,Z.P.P.S.FARDAPUR ROOM NO-02,104
33 - FARDAPUR,Z.P.P.S.FARDAPUR ROOM NO-03,104
34 - FARDAPUR,Z.P.P.S.FARDAPUR NEW BUILDING ROOM NO-04,104
35 - FARDAPUR,Z.P.P.S.FARDAPUR NEW BUILDING ROOM NO-05,104
36 - SAWARKHEDA,Z.P.P.S.SAWARKHEDA,104
37 - LENAPUR,Z.P.P.S.LENAPUR,104
38 - THANA,Z.P.P.S.THANA,104
39 - VARKHEDI KH,Z.P.P.S.VARKHEDI KH,104
40 - JAMTHI,Z.P.P.S.JAMTHI ROOM NO-01,104
41 - JAMTHI PIMPLA,Z.P.P.S.JAMTHI PIMPLA ROOM NO-02,104
42 - RAWALA,Z.P.P.S.RAWALA,104
43 - JAVALA,Z.P.P.S.JAVALA,104
44 - TITAWI,Z.P.P.S.TITAWI,104
45 - NANDATANDA,Z.P.P.S.NANDATANDA,104
46 - NANDATANDA,Z.P.P.S.NANDATANDA,104
47 - DABHA,Z.P.P.S.DABHA,104
48 - GHANEGAON TANDA,Z.P.P.S.GHANEGAON TANDA,104
49 - GHANEGAON,Z.P.P.S.GHANEGAON,104
50 - MURTI,Z.P.P.S.MURTI,104
51 - MOLKHEDA,Z.P.P.S.MOLKHEDA,104
52 - DEVHARI,Z.P.P.S.DEVHARI ROOM NO-01,104
53 - DEVHARI,Z.P.P.S.DEVHARI ROOM NO-02,104
54 - MAHALABDA,Z.P.P.S.MAHALABDA,104
55 - PIMPALVADI,Z.P.P.S.PIMPALVADI,104
56 - SAWALADBARA,Z.P.P.S.SAWALADBARA ROOM NO-01,104
57 - SAWALADBARA,Z.P.P.S.SAWALADBARA ROOM NO-02,104
58 - Waghera,Z. P. P. S. Waghera,104
59 - Natvi,Z. P. P. S. Natvi,104
60 - Wadali,Z. P. P.. S. Wadali,104
61 - Aamsari,Z. P. P. S. Room No 1 Aamsari,104
62 - Aamsari,Z. P. P. S. Room No 2 Aamsari,104
63 - Anad,Z. P. P. S. Anad,104
64 - Ajintha,"Z. P. Girls School, Room No 1 Ajintha",104
65 - Ajintha,"Z. P. Girls School,Room No 2 Ajintha",104
66 - Ajintha,"Z. P. Girls School, Room No 4 Ajintha",104
67 - Ajintha,"Z. P. High School,Room No 5 Ajintha",104
68 - Ajintha,"Z. P. High School, Room No 6 Ajintha",104
69 - Ajintha,"Z. P. Girls High School, Room No 8 Ajintha",104
70 - Ajintha,"Z. P. Girls High School,Room No 7 Ajintha",104
71 - Ajintha,"Z. P. P.S., Room No 9 Ajintha",104
72 - Ajintha,"Z. P. P.S., Room No 10 Ajintha",104
73 - Ajintha,"Nehru Memorial High School, Room No 1 Ajintha",104
74 - Ajintha,"Nehru Memorial High School, Room No 3 Ajintha",104
75 - Mukhpath,Anganwadi Mukhpath,104
76 - Pimpaldari,Z. P. P. S. Room No 1 Pimpaldari,104
77 - Pimpaldari,Z. P. P. S. Room No 2 Pimpaldari,104
78 - Wasai Jalki,Z. P. P. S. Room No 1 Wasai Jalki,104
79 - Wasai Jalki,Z. P. P. S. Room No 2 Wasai Jalki,104
80 - Dakla.,Z. P. P. S. Dakla,104
81 - Halda,Z. P. P. S. Room No 2 Halda,104
82 - Halda,Z. P. P. S. Room No 3 Halda,104
83 - Jalki Wasai,Z. P. P. S. Jalki Wasai,104
84 - Janjala,Z. P. P. S. Janjala,104
85 - Ghatambri,Z. P. P. S. Room No 1 Ghatambri,104
86 - Ghatambri,Z. P. P. S. Room No 2 Ghatambri,104
87 - Nanegaon,Z. P. P. S. Room No 1 Nanegaon,104
88 - Nanegaon,Z. P. P. S. Room No 2 Nanegaon,104
89 - Sirsala Tanda,"Vasantrao Naik Aashram Shala, Sirsala Tanda",104
90 - Sirsala,Z. P. P. S. Sirsala,104
91 - Adharawadi,Z. P. P. S. Aadharwadi,104
92 - Korhala,Z. P. P. S. Korhala,104
93 - . Dharla,Z. P. P. S. Dharla,104
94 - Ghatnandra,Z. P. P. S. Room No 3 Ghatnandra,104
95 - Ghatnandra,Z. P. P. S. Room No 10 Ghatnandra,104
96 - Ghatnandra,Z. P. P. S. Room No 5 Ghatnandra,104
97 - Ghatnandra,Z. P. P. S. Room No 1 Ghatnandra,104
98 - Ghatnandra,Z. P. P. S. Room No 6 Ghatnandra,104
99 - Charner,Z. P. P. S. Room No 2 Charner,104
100 - Charner,Z. P. P. S. Room No 6 Charner,104
101 - Charner wadi,Z. P. P. S. Charner wadi,104
102 - Kelgaon,Z. P. P. S. Room No 1 Kelgaon,104
