PS No & Name,Address,Constituency Number
1 - UPPALKHEDA SUTANDA,Z.P.P.S UPPALKHEDA SUTANDA ROOM NO-01,105
2 - UPPALKHEDA SUTANDA,Z.P.P.S UPPALKHEDA SUTANDA ROOM NO-02,105
3 - UPPALKHEDA ANTUR,Z.P.P.S UPPALKHEDA ANTUR ROOM NO-01,105
4 - GALWADA B,Z.P.P.S GALWADA B ROOM NO-01,105
5 - NIMBHORA,Z.P.P.S NIMBHORA ROOM NO-01,105
6 - Nimbhora,Z. P. P.S Nibhora Room No-02,105
7 - Mhashikotha,Z. P. P.S . Mhashikotha Room No-01,105
8 - Pohri Bu.,Z. P. P.S Pohuri Bu Room No-01,105
9 - Vanaganv,Z. P. P.S Vanaganv Room No-01,105
10 - GHORKUND,Z.P.P.S GHORKUND ROOM NO-01,105
11 - Gondegaon,Z. P. P.S Gondegaon North Side Room No-01,105
12 - Gondegaon,Z. P. P.S Gondegaon East Side Room No-02,105
13 - Gondegaon,Z. P. P.S Gondegaon West Side Room No-03,105
14 - SHINDOL,Z.P.P.S SHINDOL ROOM NO-01,105
15 - Pimpri Antur,Z. P. P.S Pimpri Antur Room No-01,105
16 - Vadgaon T.,Z. P. P.S Vadaganv T. Room No-01,105
17 - Titur,Z. P. P.S Titur Room No-01,105
18 - Mukhed,Z. P. P.S Mukhed Room No-01,105
19 - Vakadi,Z. P. P.S Vakadi Room No-01,105
20 - Tidka,Z. P. P.S . Tidka Room No-01,105
21 - Varthan,Z. P. P.S. Varathan East Side Room No-01,105
22 - Varthan,Z. P. P.S . Varathan West Side Room No-01,105
23 - Hanumantkhed,Z. P. P.S. Hanumantakheda Room No. 1,105
24 - Hanumantkhed,Z. P. P.S. Hanumantakheda Room No. 2,105
25 - Mohlai,Z. P. P.S. Mohalai Room No-01,105
26 - Kinhi,Z. P. P.S. Kinhi Room No. 1,105
27 - Kinhi,Z. P. P.S. Kinhi Kholi . 2,105
28 - Palashi,Z. P. P.S. Palashi East Side Room No-01,105
29 - Palashi,Z. P. P.S. Palashi West Side Room No-02,105
30 - Banoti,Z. P. P.S. Banoti East Side Room No-01,105
31 - Banoti,Z. P. P.S. Banoti North Side Room No-02,105
32 - Banoti,Z. P. P.S. Banoti West Side Room No-03,105
33 - Ghosala,Z. P. P.S. Ghosala Room No-01,105
34 - Nimkhedi,Z. P. P.S. Nimakhedi Room No-01,105
35 - UMARVIHIRE,Z.P.P.S UMARVIHIRE ROOM NO-01,105
36 - Nandgaon,Z. P. P.S. Nandaganv Room No-01,105
37 - Jangli Kotha,Z. P. P.S. Jangali Kotha Room No-01,105
38 - WADI SUTANDA,Z.P.P.S WADI SUTANDA ROOM NO-01,105
39 - WADI SUTANDA,Z.P.P.S WADI SUTANDA ROOM NO-02,105
40 - Dastapur,Z. P. P.S. Dastapur Room No-01,105
41 - Kaldari,Z. P. P.S. Kaldari,105
42 - Belakheda,Z.P.P.S. Belkheda sauth side Room No-01,105
43 - Belakheda Tanda,Z.P.P.S.Belakheda Tanda east side Room No-01,105
44 - Sonwadi,Z.P.P.S. Sonwadi kholi no 1,105
45 - Nagad Tanda,Z.P.P.S.Nagad Tanda East Side Room No.1,105
46 - Bhopewadi,Z.P.P.S. Bhopewadi room no 1,105
47 - Nagad,Z.P.C.P.S. Nagad East side room no 1,105
48 - Nagad,Z.P.C.P.S. Nagad North Side room no 2,105
49 - Nagad,Z.P.C.P.S. Nagad North Side room no 3,105
50 - Nagad,Z.P.C.P.S. Nagad West side room no 4,105
51 - Pangara Tanda,Z.P.P.S. Pangara Tanda North side Room No-01,105
52 - Wadgaon Jadhav,Z.P.P.S.WadgaonJadhav room no 1,105
53 - Hasnabad,Z.P.P.S.Hasnabad South Side Room No-01,105
54 - shivtanda,Z.P.P.S.Shivtada Room No-01,105
55 - Saigavan,Z.P.P.S.Saigavan (EastSide) Room No-01,105
56 - Saigavan,Z.P.P.S.Saigavan (South Side) Room No-01,105
57 - Bhildari,Z.P.P.S. Bhildari East side Room No-01,105
58 - Harswadi,Z.P.P.S.Harswadi North Side Room No.1,105
59 - Chimnapur,Z.P.P.S.Chimnapur North Side room no 1,105
60 - kholapur,Z.P.P.S. kholapur,105
61 - Shipghat,Z.P.P.S.Shipghat room no 1,105
62 - dudhmal,Z.P.P.S. Dhudhmal room no 1,105
63 - Vadod,Z.P.P.S. Vadod room no 1,105
64 - Lohgaon,Z.P.P.S.Lohgaon North Side Room No.1,105
65 - Lohgaon,Z.P.P.S.Lohgaon south side Room No.2,105
66 - Takli Antur,Z.P.P.S.Takli Antur East Side Room No-01,105
67 - Takli Antur,Z.P.P.S.Takli Antur South Side Room No-02,105
68 - Vaki j,Z.P.P.S. Vaki J. East Side Room No-01,105
69 - Waki K,Z.P.P.S. Vaki K West Side. Room No-01,105
70 - Ghatshendra,Z.P.P.S. Ghatshendra East Sid Room No.1,105
71 - Ghatshendra,Z.P.P.S. Ghatshendra West Side Room No.3,105
72 - Ghatshendra,Z.P.P.S. Ghatshendra Room No.4,105
