PS No & Name,Address,Constituency Number
1 - Naigaon,Z.P.P.SCHOOL ROOM No. 1 West Side Naigaon,106
2 - Lalwan,Z.P.P.SCHOOL ROOM No. 1 West Side Lalwan,106
3 - Kanhegaon,Z.P.P.SCHOOL ROOM No. 1 South side Kanhegaon,106
4 - Jatawa,Z.P.P.SCHOOL New Building Room No. 2 South side Jatwa,106
5 - Hivara,Z.P.P.SCHOOL ROOM No. 1 East Side Hivara,106
6 - Chincholi Nakib,Z.P.P.SCHOOL ROOM No.2 East side Chincholi Nakib,106
7 - Sonari Bu,Z.P.P.SCHOOL ROOM No. 1 West Side Sonari Bu,106
8 - Padli,Z.P.P.SCHOOL ROOM No. 1 West Side Padli,106
9 - wavana,Z.P.P.SCHOOL ROOM No. 1 North Sidewavana,106
10 - Babra,Z.P.P.SCHOOL ROOM No. 1 North Side Babra,106
11 - Babra,Z.P.P.SCHOOL ROOM No. 2 South side Babra,106
12 - Babra,Z.P.P.SCHOOL ROOM No. 3 South side Babra,106
13 - Bodhegaon bk,Z.P.P.SCHOOL ROOM No. 3 West side Bodhegaon bk,106
14 - Bodhegaon bk,Z.P.P.SCHOOL ROOM No. 4 south Side odhegaon bk,106
15 - Bodhegaon kh,Z.P.P.SCHOOL ROOM No. 1 Bodhegaon kh,106
16 - Umravati,Z.P.P.SCHOOL ROOM No. 1 South Side Umravati,106
17 - Umravati,Z.P.P.SCHOOL ROOM No. 3 North side Umravati,106
18 - Aaland,Z.P.P.SCHOOL ROOM No. 1 west side Aaland,106
19 - Aaland,Z.P.P.SCHOOL ROOM No.2 East side Aaland,106
20 - Aaland,Z.P.P.SCHOOL ROOM No.3 South side Aaland,106
21 - Naigavhan,Z.P.P.SCHOOL ROOM No. 1 West side Naigavhan,106
22 - Khamgaon,Z.P.P.SCHOOL ROOM No. 1 East side Khamgaon,106
23 - Khamgaon,Z.P.P.SCHOOL ROOM No.2 East side Khamgaon,106
24 - Khamgaon,Z.P.P.SCHOOL ROOM No.3 East side Khamgaon,106
25 - Viramgaon,Z.P.P.SCHOOL ROOM No.03 South side Viramgaon,106
26 - Mamnabad,Z.P.P.SCHOOL ROOM No. 1 East side Mamnabad,106
27 - Liha jahagir,Z.P.P.SCHOOL ROOM No. 02 West side Liha jahagir,106
28 - Babhulgaon kh,Z.P.P.SCHOOL ROOM No. 1 North Side Babhulgaon kh,106
29 - Wahegaon,Z.P.P.SCHOOL ROOM No. 1 west side Wahegaon,106
30 - Nidhona -Pokhari,Z.P.P.SCHOOL ROOM No.1 South side Nidhona -Pokhari,106
31 - Nidhona,Z.P.P.SCHOOL ROOM No. 2 North side Nidhona,106
32 - Mahalkinhola,Z.P.P. School New Building South Side Mahalkinhola,106
33 - Vakod,Z.P.P.SCHOOL ROOM No. 1 Vakod,106
34 - Satal pimpri- gum satal,Z.P.P.SCHOOL ROOM No. 1 West side Satal pimpri- gum satal,106
35 - Satal pimpri gumsatal,Z.P.P.SCHOOL ROOM No. 2 West side Satal pimpri gumsatal,106
36 - satala bk,Z.P.P.SCHOOL ROOM No. 2 West side satala bk,106
37 - Nimkheda,Z.P.P.SCHOOL ROOM No. 1 East side Nimkheda,106
38 - Pendgaon Aaland,Z.P.P.SCHOOL ROOM No. 2 west side Pendgaon Aaland,106
39 - Shevta kh,Z.P.P.SCHOOL New Building ROOM No. 3 West side Shevta kh,106
40 - Borgaon arj,Z.P.P.SCHOOL ROOM No. 3 west side Borgaon arj,106
41 - Borgaon arj,Z.P.P.SCHOOL ROOM No. 4 East Side Borgaon arj,106
42 - Padli,Z.P.P.SCHOOL ROOM No. 3 North side Padli,106
43 - Jalagaon mete,Z.P.P.SCHOOL New Building ROOM No. 2 west side Jalagaon mete,106
44 - Bhavdi,Z.P.P.SCHOOL ROOM No. 1 South side Bhavdi,106
45 - Wadod Bazar,Z.P.P.SCHOOL ROOM No. 1 North side Wadod Bazar,106
46 - Wadod Bazar,Z.P.P.SCHOOL ROOM No. 2 North side Wadod Bazar,106
47 - Wadod Bazar,Z.P.P.SCHOOL ROOM No. 4 South side Wadod Bazar,106
48 - Wadod kh,Z.P.P.SCHOOL ROOM No. 1 east side Wadod kh,106
49 - Bhalgaon,Z.P.P.SCHOOL ROOM No. 1 North Side Bhalgaon,106
50 - Kavitkheda,Z.P.P.SCHOOL ROOM No. 1 east side Kavitkheda,106
51 - Pathri,Z.P.P.SCHOOL ROOM No. 1 west side Pathri,106
