PS No & Name,Address,Constituency Number
1 - Harsul,"Municipal Corporation Central Primary Marathi School,South side Room No.2, Class 8th Harsul Chhatrapati Sambhajinagar.",107
2 - Harsul,"Municipal Central Primary Marathi School,South Side Room No.4, Class3 th Harsul Chhatrapati Sambhajinagar.",107
3 - Harsul,"Municipal Corporation Central Primary Marathi School,West Side Room No.3 Chhatrapati Sambhajinagar.",107
4 - Harsul,"Municipal Corporation Central Primary Marathi School, Harsul North Side Room No.3B Chhatrapati Sambhajinagar.",107
5 - Harsul,Municipal Corporation Primary School (Urdu) South Side Room No.1,107
6 - Harsul,Municipal Corporation Primary School (Urdu) North Side Room No.2,107
7 - Harsul,Shri Eknath Primary vithdymandir kolthanwadi road Harsul Room No 1 North Side Chhatrapati Sambhajinagar,107
8 - Harsul,Shri Eknath Primary vithdymandir kolthanwadi road Harsul Room No 2 West Side Chhatrapati Sambhajinagar,107
9 - Harsul,Shri Eknath Primary vithdymandir kolthanwadi road Harsul Room No 3 North Side Chhatrapati Sambhajinagar,107
10 - Harsul,Shri Eknath Primary vithdymandir kolthanwadi road Harsul Room No 4 North Side Chhatrapati Sambhajinagar,107
11 - Harsul,Sant Dnyaneshwar Primary School New Highschool Campus Harsul East Side Room No.1,107
12 - Harsul,Sant Dnyaneshwar Primary School New Highschool Campus Harsul East Side Room No.2,107
13 - Harsul,Sant Dnyaneshwar Primary School New Highschool Campus Harsul East Side Room No.3,107
14 - Harsul,New High School Harsul East Room No.1,107
15 - Harsul,New High school Harsul South Room No.2,107
16 - Harsul,"Agasti Primary School and Navbharat Scendoary School, Beribag, Harsul, Chhatrapati Sambhajinagar, South Side Room No. 7",107
17 - Harsul,"Agasti Primary School and Navbharat Scendoary School, Beribag, Harsul, Chhatrapati Sambhajinagar, South Side Room No. 9",107
18 - Harsul,New High school Harsul South Side Room No.4,107
19 - Harsul,New High school Harsul South Side Room No.5,107
20 - Harsul,New High school Harsul South Side Room No.8,107
21 - Harsul,Sant Dnyaneshwar Primary School New Highschool Campus Harsul East Side Room No.4,107
22 - Harsul,"Municipal Corporation, Central Primary School, Nutan Vasahat, West Center Room No.01, Harsul",107
23 - Harsul,"Municipal Corporation, Central Primary School, Nutan Vasahat, West Center Room No.02, Harsul",107
24 - Harsul,"Municipal Corporation, Central Primary School, Nutan Vasahat, West Center Room No.07, Harsul",107
25 - Harsul,"Municipal Corporation Centeral Primary School Nutan Vasahat, North Side Room No.3 Harsul",107
26 - Harsul,Limra education & welfear soci Oxphard public school honaji nagar jatwada Road Chhatrapati Sambhajinagar Room No 1 west side,107
27 - Harsul,Limra education & welfear soci Oxphard public school honaji nagar jatwada Road Chhatrapati Sambhajinagar Room No 2 west side,107
28 - Harsul,Limra education & welfear soci Oxphard public school honaji nagar jatwada Road Chhatrapati Sambhajinagar Room No 3 west side,107
29 - Harsul,Limra education & welfear soci Oxphard public school honaji nagar jatwada Road Chhatrapati Sambhajinagar Room No 3B west side,107
30 - Harsul,Limra education & welfear soci Oxphard public school honaji nagar jatwada Road Chhatrapati Sambhajinagar Room No 4 west side,107
31 - Harsul,Winchester International English School Jatwada Road Harsul Chhatrapati Sambhajinagar East Side Room No 6 A,107
32 - Harsul,Winchester International English School Jatwada Road Harsul Chhatrapati Sambhajinagar East Side Room No 2 B,107
33 - Harsul,Winchester International English School Jatwada Road Harsul Chhatrapati Sambhajinagar East Side Room No Class 3,107
34 - Harsul,Winchester International English School Jatwada Road Harsul Chhatrapati Sambhajinagar East Side Room No Class 3 B,107
35 - Harsul,"Saint John English School,South Side Room No.1 Harsul",107
36 - Harsul,"Saint John English School,South Side Room No.2 Harsul",107
37 - Harsul,"Saint John English School,South Side Room No.6 Harsul",107
38 - Harsul,"Saint John English School,South Side Room No.3 Harsul",107
39 - Harsul,"Saint John English School,South Side Room No.4 Harsul",107
40 - Harsul,"Saint John English School,South Side Room No.4 B Harsul",107
41 - Harsul,"RashtraKut Primary School Grhushneshwar Colony,Jadhavwadi East Side Room No.1",107
42 - Harsul,"RashtraKut Primary School Grhushneshwar Colony,Jadhavwadi East Side Room No.2",107
43 - Harsul,"RashtraKut Primary School Grhushneshwar Colony,Jadhavwadi East Side Room No.3",107
44 - Harsul,"RashtraKut Primary School Grhushneshwar Colony,Jadhavwadi East Side Room No.4",107
45 - Harsul,"Dadoji Konddev M. Vidyalaya Shiveshwar Colony, Mayur park,Chhatrapati Sambhajinagar room no.1 North side",107
46 - Harsul,"Dadoji Konddev M. Vidyalaya Shiveshwar Colony, Mayur park,Chhatrapati Sambhajinagar room no.2 North side",107
47 - Misarwadi,"Krushi Utpanna Bajar Samiti, Central building Partition -1 West Side Jadhavwadi Harsul",107
48 - Misarwadi,"Krushi Utpanna Bajar Samiti, Central building Partition -2 West Side Jadhavwadi Harsul",107
49 - Misarwadi,"Krushi Utpanna Bajar Samiti, Central building Partition -3 South Side Jadhavwadi Harsul",107
50 - Misarwadi,"Krushi Utpanna Bajar Samiti, Shetkari Niwas west side room no 1 Jadhavwadi Harsul Chhatrapati Sambhajinagar",107
51 - Misarwadi,"Krushi Utpanna Bajar Samiti, Shetkari Bhavan Hall Partition-1South Side Jadhavwadi Harsul Chhatrapati Sambhajinagar",107
52 - Misarwadi,"Krushi Utpanna Bajar Samiti, Shetkari Bhavan Hall Partetion-2 South Side Jadhavwadi Harsul Chhatrapati Sambhajinagar",107
53 - Misarwadi,Millenneum English School New Misarwadi Pisadevi Road Chhatrapati Sambhajinagar North side room no 2,107
54 - Misarwadi,Millenneum English School New Misarwadi Pisadevi Road Chhatrapati Sambhajinagar North side room no 3,107
"55 - Hudco, N-12",Abhijyot Vidyalay N-12 Hudco Rojabag Room No.1 North Side Chhatrapati Sambhajinagar,107
"56 - Hudco, N-12",Abhijyot Vidyalay N-12 Hudco Rojabag Room No.2 North Side Chhatrapati Sambhajinagar,107
"57 - Hudco, N-12",Abhijyot Vidyalay N-12 Hudco Rojabag Room No.3 North side Chhatrapati Sambhajinagar,107
"58 - Hudco, N-12",Godawari Public School West Room-1 N-12 Hudco,107
"59 - Hudco, N-12",Godawari Public School West Room-2 N-12 Hudco,107
"60 - Hudco, N-12",Godawari Public School West Room-3 N-12 Hudco room no 3,107
"61 - Hudco, N-12",Bhartiya Primary School N-12 Hudco Rojabag Room No.1 South Side Chhatrapati Sambhajinagar,107
"62 - Hudco, N-12",Bhartiya Primary School N-12 Hudco Rojabag Room No.2 North Side Chhatrapati Sambhajinagar,107
63 - Hudco N-11,S.B.O.A English School South Side Room No.2 N-11 Hudco,107
64 - Hudco N-11,S.B.O.A English School South Side Room No.4 N-11 Hudco,107
65 - Hudco N-11,S.B.O.A English School East Side Room No.6 N-11 Hudco,107
66 - Hudco N-11,S.B.O.A English School East Side Room No.7 N-11 Hudco,107
67 - Hudco N-11,"Municipal Corporation Primary School, N-11, South Side Room NO. 01",107
68 - Hudco N-11,"Municipal Corporation Primary School, N-11, North Side Room NO. 02",107
69 - Hudco N-11,Municipal Corporation Primary School Room No.5 South Side N-11 Hudco,107
70 - Hudco N-11,"Municipal Corporation Primary School, N-11, North Side Room No.6",107
71 - Hudco N-11,"Municipal Corporation Primary School, N-11, South Side Room NO. 3",107
72 - Hudco N-11,Bal Vikas Vidymandir N-9 Pavan nagar CIDCO Chhatrapati Sambhajinagar Room No 1 West side,107
73 - Hudco N-11,Bal Vikas Vidymandir N-9 Pavan nagar CIDCO Chhatrapati Sambhajinagar Room No 2 West side,107
74 - Hudco N-11,Nutan Bahudeshiy Primary School East Side Room No.3 Jalgaon Road N-11,107
75 - Hudco N-11,Nutan Bahudeshiy Primary School East Side Room No.4 Jalgaon Road N-11,107
76 - Hudco N-11,Nutan Bahudeshiy Primary School East Side Room No.5 Jalgaon Road N-11,107
77 - Hudco N-11,Nutan Bahudeshiy Primary School West Side Room No.6 Jalgaon Road N-11,107
78 - Hudco N-11,Nutan Bahudeshiy Primary School West Side Room No.7 Jalgaon Road N-11,107
79 - Cidco N-9,V.R.SCHOLARDEN SCHOOL Baliram Patil High school Camps N-9 CIDCO Chhatrapati Sambhajinagar East Side Room No 1,107
80 - Cidco N-9,V.R.SCHOLARDEN SCHOOL Baliram Patil High school Camps N-9 CIDCO Chhatrapati Sambhajinagar East Side Room No 2,107
81 - Cidco N-9,V.R.SCHOLARDEN SCHOOL Baliram Patil High school Camps N-9 CIDCO Chhatrapati Sambhajinagar West Side Room No 3,107
82 - Cidco N-9,V.R.SCHOLARDEN SCHOOL Baliram Patil High school Camps N-9 CIDCO Chhatrapati Sambhajinagar west Side Room No 4,107
83 - Cidco N-9,Sonamata Balakmandir N-9 Cidco West Side Room No.1 Chhatrapati Sambhajinagar,107
84 - Cidco N-9,Sonamata Balakmandir N-9 Cidco West Side Room No.2 Chhatrapati Sambhajinagar,107
85 - Cidco N-9,Sonamata Balakmandir N-9 Cidco West Side Room No.17 Chhatrapati Sambhajinagar,107
86 - Cidco N-9,Baliram Patil Secondary School N-9 South Side Room No 1 Chhatrapati Sambhajinagar,107
87 - Cidco N-9,Baliram Patil Secondary School N-9 South Side Room No 2 Chhatrapati Sambhajinagar,107
88 - Cidco N-9,Baliram Patil Secondary School N-9 South Side Room No 3 Chhatrapati Sambhajinagar,107
89 - Cidco N-9,Baliram Patil Secondary School N-9 Room No 4 South Side Chhatrapati Sambhajinagar,107
90 - Cidco N-9,Baliram Patil Secondary School N-9 Room No 5 West Side Chhatrapati Sambhajinagar,107
91 - Cidco N-9,Sonamata Balakmandir N-9 Cidco west side Room No.18 Chhatrapati Sambhajinagar,107
92 - Cidco N-9,Parvati Kanya Vidyalay N-9 Cidco East Side Room No.1 Chhatrapati Sambhajinagar,107
93 - Cidco N-9,Parvati Kanya Vidyalay N-9 Cidco East Side Room No.2 Chhatrapati Sambhajinagar,107
94 - Cidco N-9,Parvati Kanya Vidyalay N-9 Cidco East Side Room No.3 Chhatrapati Sambhajinagar,107
95 - Cidco N-10,Aurangabad Police Public School Gramin Police Mukhyalay Parisar East side Room No.1 Chhatrapati Sambhajinagar,107
96 - Nehrunagar,Amannulla Motiwala Highschool West Side Room No.1 Times Colony Chhatrapati Sambhajinagar,107
97 - Nehrunagar,Amannulla Motiwala Highschool East Side Room No.2 Times Colony Chhatrapati Sambhajinagar,107
98 - Nehrunagar,Amannulla Motiwala Highschool East side Room No.3 Times Colony Chhatrapati Sambhajinagar,107
99 - Nehrunagar,Amannulla Motiwala Highschool East Side Room No.5 Times Colony Chhatrapati Sambhajinagar,107
100 - Sharif Colony,Municipal Corporation Primary School South Side Room No.1 Yunus Colony Chhatrapati Sambhajinagar,107
101 - Sharif Colony,Municipal Corporation Primary School South Side Room No.2 Yunus Colony Chhatrapati Sambhajinagar,107
102 - Yunus Colony,"Municipal Corporation Primary School, Yunus Colony,North Side Room No.3 Chhatrapati Sambhajinagar",107
103 - Yunus Colony,"Municipal Corporation Primary School, Yunus Colony, South Side Room No 4 Chhatrapati Sambhajinagar",107
104 - Nehrunagar,Aayesha Motiwala English Primary School Times Colony South Side Room No.1 Chhatrapati Sambhajinagar,107
105 - Sharif Colony,Aayesha Motiwala English Primary School Times Colony South Side Room No.2 Chhatrapati Sambhajinagar,107
106 - Sharif Colony,Aayesha Motiwala English Primary School Times Colony South Side Room No.3 Chhatrapati Sambhajinagar,107
107 - Nehrunagar,Iqra Urdu Primary School New S T Colony Katkat Gate West Side Room No.1,107
108 - Nehrunagar,Iqra Urdu Primary School New S T Colony Katkat Gate West Side Room No.2,107
109 - Nehrunagar,Iqra Urdu Primary School New S T Colony Katkat Gate East Side Room No.1,107
110 - Nehrunagar,Iqra Urdu Primary School New S T Colony Katkat Gate East Side Room No.2,107
111 - Ganesh Colony,Municipal Corporation Urdu School Ghas Mandi South Side Room No.1 Shahaganj Chhatrapati Sambhajinagar,107
112 - Nehrunagar,D.P.E.P. office panchayat samiti area damadi mahal Room East Side No.1,107
113 - Nehrunagar,D.P.E.P. office panchayat samiti area Damadi Mahal Room West Side No.2,107
"114 - Chelipura, Ganesh Colony",Dy. SLR Office old Building Damadi Mahal South Side Room No.1,107
"115 - Chelipura, Ganesh Colony",Dy. SLR Office old Building Damadi Mahal South Side Room No.1(B),107
"116 - Chelipura, Ganesh Colony",Dy. SLR Office Office old Building Damadi Mahal South Side Room No.2,107
"117 - Chelipura, Ganesh Colony",Principal Bhumi Abhilekh Prashikshan Prabodani Office Damadi Mahal West Side Room No.1,107
"118 - Chelipura, Ganesh Colony",Principal Bhumi Abhilekh Traning Prabhodani Office Damadi Mahal East Side Room No.2,107
119 - Ganesh Colony,"Panchayat Samiti office,Damdi mahal West Side Room No.1",107
120 - Ganesh Colony,"Panchayat Samiti office,Damdi mahal West Side Room No.2",107
121 - Nehrunagar,"Panchayat Samiti office,Damdi mahal West Side Room No.4",107
122 - Nehrunagar,"Panchayat Samiti office,Damdi mahal West Side Room No.3",107
123 - Nehrunagar,National Intigration English HighSchool Majnu Hill West Side Room No.1 Chhatrapati Sambhajinagar,107
124 - Damadi Mahal,National Intigration English HighSchool Majnu Hill West Side Room No.2 Chhatrapati Sambhajinagar,107
125 - Damadi Mahal,National Intigration English HighSchool Majnu Hill West Side Room No.3 Chhatrapati Sambhajinagar,107
126 - Shahaganj,Municipal Corporation Urdu School Ghas Mandi South Side Room No.2 Shahaganj Chhatrapati Sambhajinagar,107
127 - Shahaganj,Municipal Corporation Urdu School Ghas Mandi North Side Room No.3 Shahaganj Chhatrapati Sambhajinagar,107
128 - Harshnagar,Municipal Corporation Urdu School Ghas Mandi North Side Room No.5 Shahaganj Chhatrapati Sambhajinagar,107
129 - Rojebagh,Dnyansagar Pri.Sec.& Higher sec.Vidaylaya HUDCO N-13 Room No.1 west Side Chhatrapati Sambhajinagar,107
130 - Rojebagh,Dnyansagar Pri.Sec.& Higher sec.Vidaylaya HUDCO N-13 Room No.2 west Side Chhatrapati Sambhajinagar,107
131 - Rojebagh,Dnyansagar Pri.Sec.& Higher sec.Vidaylaya HUDCO N-13 Room No.3 West Side Chhatrapati Sambhajinagar,107
132 - Rojebagh,Dnyansagar Pri.Sec.& Higher sec.Vidaylaya HUDCO N-13 Room No.4 West Side Chhatrapati Sambhajinagar,107
133 - Rojebag,Maulana Azad Zakeria Institue of Technology South Side Room No.1 Lecturer Hall Rozha Bagh Chhatrapati Sambhajinagar,107
134 - Rojebag,Maulana Azad Zakeria Institue of Technology North Side Room No.2 Lecturer Hall Rozha Bagh Chhatrapati Sambhajinagar,107
135 - Rojebag,Maulana Azad Zakeria Institue of Technology North Side Room No.3 Lecturer Hall Rozha Bagh Chhatrapati Sambhajinagar,107
136 - Rojebag,Maulana Azad Post Graduet& Reserch Center Lecturer Hall Rojabag Chhatrapati Sambhajinagar South Side Room No. 1,107
137 - Rojebag,"Maulana Azad Science Build.Staff Room, Rojebag, Chhatrapati Sambhajinagar South Side Room No 1",107
138 - Rojebag,"Maulana Azad Science Build.Staff Room, Rojebag, Chhatrapati Sambhajinagar East Side Room No 2",107
139 - Rojebag,Uddhvrao Patil Vidyalay Primary and High School-Department N-12 Himayatbag Corner East Side Room No.1,107
140 - Rojebag,Dnyansagar Pra.Ma.& High. Ma.Vidaylaya HUDCO N-13 Room No.5 East Side Chhatrapati Sambhajinagar,107
141 - Rojebag,Dnyansagar Pra.Ma.& High. Ma.Vidaylaya HUDCO N-13 Room No.6 South Side Chhatrapati Sambhajinagar,107
142 - HUDCO N-12,Uddhvrao Patil Vidyalay Primary and High School-Department N-12 Himayatbag Corner East Side Room No.2,107
143 - Rojebag,"Sub Divisional Engineer Zilla Parishad (Construction) Sub Division, Delhi Gate, South Side Room No. 1 Chhatrapati Sambhajinagar",107
144 - Delhi gate,Mahila Sakshmikaran Kendra ZP Delhi Gate South Side hall No.2 Chhatrapati Sambhajinagar,107
145 - HUDCO N-12,"Godavari Public School, East Side Room No.04, N-12 Hudco Chhatrapati Sambhajinagar",107
146 - HUDCO N-12,"Godavari Public School, East Side Room No.05, N-12 Hudco Chhatrapati Sambhajinagar",107
147 - HUDCO N-12,Godawari Public School East Side Room No.6 N-12 Hudco Chhatrapati Sambhajinagar,107
148 - Pragati Colony,Maharashtra Education planing Institute Bhadkal Gate South Side Room No.1 Chhatrapati Sambhajinagar,107
149 - Ghati,Maharashtra Education planing Institute Bhadkal Gate North Side Room No.2 Chhatrapati Sambhajinagar,107
150 - Jaibhimnagar Ghati,Moulana Azad High School Town Hall West Side Room No.1 Chhatrapati Sambhajinagar,107
151 - Jaibhimnagar Ghati,Moulana Azad High School Town Hall West Side Room No.2 Chhatrapati Sambhajinagar,107
152 - Jaibhimnagar Ghati,Al-Amin Urdu Primary School Ghati Asifia Colony west Side Room No.3 Chhatrapati Sambhajinagar,107
153 - Jaibhimnagar Ghati,Al-Amin Urdu Primary School Ghati Asifia Colony west Side Room No.4 Chhatrapati Sambhajinagar,107
154 - Aref Colony,Al-Amin Urdu Primary School Ghati Asifia Colony west Side Room No.5 Chhatrapati Sambhajinagar,107
155 - Aref Colony,Al-Amin Urdu Primary School Ghati Asifia Colony west Side Room No.6 Chhatrapati Sambhajinagar,107
156 - Aref Colony,Municipal Corporation Urdu Primary School Library bilding Aref Colony East Side Room No.1 Chhatrapati Sambhajinagar,107
157 - Aref Colony,Municipal Corporation Urdu Primary School Library bilding Aref Colony East Side Room No.2 Chhatrapati Sambhajinagar,107
158 - Jaibhimnagar Ghati,Standard Urdu High School Dilras Colony West Side Room No.1 Chhatrapati Sambhajinagar,107
159 - Jaibhimnagar Ghati,Standard Urdu High School Dilras Colony South Side Room No.2 Chhatrapati Sambhajinagar,107
160 - Pragati Colony,Moulana Azad High School Town Hall East Side Room No.3 Chhatrapati Sambhajinagar,107
161 - Pragati Colony,Moulana Azad High School Town Hall East Side Room No 1 (Science Room) Chhatrapati Sambhajinagar,107
162 - Pragati Colony,Ziya-ul-ulum Girls Primary School Town Hall West Side Room No.1,107
163 - Pragati Colony,Ziya-ul-ulum Girls Primary School Town Hall West Side Room No.2,107
164 - Town Hall,"Municipal Corporation Head Office, Administrative Build.No.3 Jaikwadi Pani Purwatha, Sthapatya Hall West Side room no 3 Chhatrapati Sambhajinagar",107
165 - Town Hall,"Municipal Corporation Head Office, Administrative Build.No.3 Administrative Officer Office Chhatrapati Sambhajinagar South Side Room no 1",107
166 - Town Hall,"Municipal Corporation Head Office, Administrative Build.No.3 Arekhak Vibhag Chhatrapati Sambhajinagar South Side Room no 2",107
167 - Pragati Colony,Bharat Scout Guide Office East side Room No.1 Gulshan Mahal Chhatrapati Sambhajinagar,107
168 - Pragati Colony,Bharat Scout Guide Office East Side Room No.2 Gulshan Mahal Chhatrapati Sambhajinagar,107
169 - Kile Ark,"Govt. Science College, Kile Ark,West Side Room No.24 Chhatrapati Sambhajinagar",107
170 - Vishwas Nagar,Government Science College Kile Ark South Side Room No.17 Chhatrapati Sambhajinagar,107
171 - Vishwas Nagar,Government Science College Kile Ark Meeting Hall West Side Room No 20 Chhatrapati Sambhajinagar,107
172 - Lota karanja,Government Science College Kile Ark South Side Room No.18 Chhatrapati Sambhajinagar,107
173 - Shahaganj,"Little Star English High School, Fazilpura, South Side Room No 1",107
174 - Shahaganj,"Little Star English High School, Fazilpura, East Side Room No 2",107
175 - Harshnagar,"Little Star English High School, Fazilpura, South Side Room No 3",107
176 - Harshnagar,"Little Star English High School, Fazilpura,South Side Room No 4",107
177 - Aamkhas Maidan,City Club Aamkhas Maidan South Side Room No 1 Chhatrapati Sambhajinagar,107
178 - Aamkhas Maidan,City Club Aamkhas Maidan South Side Room No.2 Chhatrapati Sambhajinagar,107
179 - Juna bazar,City Club Aamkhas Maidan South Side Room No.3 Chhatrapati Sambhajinagar,107
180 - Lota karanja,Khwaja Naser Urdu Primary School Kala Darwaja-Rangeen Gate Labour Colony Road Chhatrapati Sambhajinagar Room No.1 North Side,107
181 - Lota karanja,Khwaja Naser Urdu Primary School Kala Darwaja-Rangeen Gate Labour Colony Road Chhatrapati Sambhajinagar Room No.2 South Side,107
182 - Manjurpura,"Municipal Corporation Balak mandir, Manjurpura, South Side Room No. 1 Chhatrapati Sambhajinagar",107
