PS No & Name,Address,Constituency Number
1 - Daulatabad,Z.P. Central Primary School Daulatabad Room no.1 North Side,108
2 - Daulatabad,Z.P. Central Primary School Daulatabad Room no.2 North Side,108
3 - Daulatabad,Z.P. Central Primary School Daulatabad Old Bulinding Room No.3 East Side,108
4 - Daulatabad,Z.P. Central Primary School Daulatabad Room no.4 West Side,108
5 - Kesapuri,Z.P.Primary School Kesapuri Room no. 1 North Side,108
6 - Shirasmal,Z.P.Primary School Shirasmal Room No.1 East Side,108
7 - Abdimandi,Z.P.Primary School Abdimandi Room No.1 North Side,108
8 - Abdimandi,Z.P.Primary School Abdimandi Room No.2 South Side,108
9 - Maliwada,Z.P.Primary School Maliwada Room No.1 East Side,108
10 - Maliwada,Z.P.Primary School Maliwada Room No.2 West Side,108
11 - Maliwada,Z.P.Primary School Maliwada Room No.3 West Side,108
12 - Wanjarwadi,Z.P.Primary School Vanjarwadi South Side Room No.1 South Side,108
13 - Tisgaon,Z.P.Primary School Tisgaon Room No. 1 South Side,108
14 - Tisgaon,Z.P.Primary School Tisgaon Room No. 2 South Side,108
15 - Tisgaon,"Sahyadri Technical Institute of Health Science, Room no. 1 South Side",108
16 - Tisgaon,"Sahyadri Technical Institute of Health Science, Room no. 2 East Side",108
17 - Tisgaon,"Sahyadri Technical Institute of Health Science, Room no. 3 West Side",108
18 - Tisgaon,"Sahyadri Technical Institute of Health Science, Room no. 4 West Side",108
19 - Wadgaon Kolhati,"Yogeshwari Primary & Secondary High School, Waluj MIDC, Wadgaon Kolhati ROOM NO.1 East Side",108
20 - Wadgaon Kolhati,"Yogeshwari Primary & Secondary High School, Waluj MIDC, Wadgaon Kolhati, ROOM NO.2",108
21 - Wadgaon Kolhati,"Yogeshwari Primary & Secondary High School, Waluj MIDC, Wadgaon Kolhati, ROOM NO.3 West Side",108
22 - Wadgaon Kolhati,Z.P. Primary School Wadgaon Kolhati Room no.1 East Side West Side,108
23 - Wadgaon Kolhati,Z.P. Primary School Wadgaon Kolhati Room no.2 East Side West Side,108
24 - Wadgaon Kolhati,Z.P. Primary School Wadgaon Kolhati Room no.3 North Side,108
25 - Wadgaon Kolhati,Z.P. Primary School Wadgaon Kolhati Room no.4 West Side,108
26 - Bajajnagar,"Dagdojirao Deshmukh Art, Comm & Science College, Bajajnagar, ROOM NO.1 North Side",108
27 - Bajajnagar,"Dagdojirao Deshmukh Art, Comm & Science College, Bajajnagar, ROOM NO.2 North Side",108
28 - Bajajnagar,"Dagdojirao Deshmukh Art, Comm & Science College, Bajajnagar,ROOM NO.3 South Side",108
29 - Bajajnagar,"Raja Shivaji Higher Secondry School Bajajnagar, ROOM NO.1 East Side",108
30 - Bajajnagar,"Raja Shivaji Higher Secondry School Bajajnagar, ROOM NO.2 East Side",108
31 - Bajajnagar,"Lalbahadur Shashri Secondary School, Bajajnagar, ROOM NO.1 East Side",108
32 - Bajajnagar,"Lalbahadur Shashri Secondary School, Bajajnagar, ROOM NO.2 South Side",108
33 - Bajajnagar,"Lalbahadur Shashri Secondary School, Bajajnagar, ROOM NO.3 South Side",108
34 - Bajajnagar,"Raja Shivaji Higher Secondry School Bajajnagar, ROOM NO.3 East Side",108
35 - Bajajnagar,"Raja Shivaji Higher Secondry School Bajajnagar, ROOM NO.4 East Side",108
36 - Bajajnagar,Trimurti Balak Mandir Bajajnagar Room no.1 South Side,108
37 - Bajajnagar,Trimurti Balak Mandir Bajajnagar Room no.2 South Side,108
38 - Bajajnagar,Trimurti Balak Mandir Bajajnagar Room No. 3 North Side,108
39 - Bajajnagar,Trimurti Balak Mandir Bajajnagar Room No. 4 North Side,108
40 - Bajajnagar,Sw. Bhairavmal Tanwani Vidhyalay Bajajnagar Room No.1 South Side,108
41 - Bajajnagar,Sw. Bhairavmal Tanwani Vidhyalay Bajajnagar Room No.2 South Side,108
42 - Bajajnagar,Sw. Bhairavmal Tanwani Vidhyalay Bajajnagar Room No.3 East Side,108
43 - Bajajnagar,Sw. Bhairavmal Tanwani Vidhyalay Bajajnagar Room No.4 East Side,108
44 - Bajajnagar,Sw. Bhairavmal Tanwani Vidhyalay Bajajnagar Room No.5 North Side,108
45 - Bajajnagar,Alfansa English School Bajajnagar R.S.Sector Room No. 1 East Side,108
46 - Bajajnagar,Alfansa English School Bajajnagar R.S.Sector Room No. 2 East Side,108
47 - Bajajnagar,Alfansa English School Bajajnagar R.S.Sector Room No. 3 East Side,108
48 - Bajajnagar,Alfansa English School Bajajnagar R.S.Sector Room No. 4 South Side,108
49 - Bajajnagar,"Raja Shivaji Jr.College, Bajaj Nagar, ROOM NO.2 North Side",108
50 - Bajajnagar,"Raja Shivaji Jr.College, Bajaj Nagar, ROOM NO.3 East Side",108
51 - Sharnapur,Z.P.Primary School Sharnapur Room.No. 1 North Side,108
52 - Karodi,Z.P.Primary School Karodi Room.No.1 East Side,108
53 - Sajapur,Z.P.Primary School Sajapur Room No.1 South Side,108
54 - Sajapur,Z.P.Primary School Sajapur Room No.2 North Side,108
55 - Sajapur,Z.P.Primary SchoolSajapur Room No.3 North Side,108
56 - Sajapur,Z.P.Primary SchoolSajapur Room No.4 South Side,108
57 - Pandharpur,Z. P. P. School Pandharpur Room No. 1 East Side,108
58 - Pandharpur,Z. P. P. School Pandharpur Room No. 2 East Side,108
59 - Pandharpur,Z. P. P. School Pandharpur Room No. 3 East Side,108
60 - Pandharpur,Z.P.P. School Pandharpur Room No.4 East Side,108
61 - Pandharpur,Z.P.P. School Pandharpur Room No.5 East Side,108
62 - Pandharpur,Z.P.P. School Pandharpur Room No.6 East Side,108
63 - Pandharpur,Z.P.P. School Pandharpur Room No.7 East Side,108
64 - Waladgaon,"Z.P.P. School Waladgaon, Room No.1 North Side",108
65 - Waladgaon,"Z.P.P. School Waladgaon, Room No.2 North Side",108
66 - Patoda,Z.P.Primary School Patoda Room No.1 West Side,108
67 - Patoda,Z.P.Primary School Patoda Room No.2 West Side,108
68 - Gevrai Bu.,Z.P.Primary School Gevrai Bu. Room No. 1 South Side,108
69 - Gevrai Bu.,Z.P.Primary School Gevrai Bu. Room No. 2 South Side,108
70 - Gevrai Bu.,Z.P.Primary School Gevrai Bu. Room No.3 West Side,108
71 - Gevrai Bu.,Z.P.Primary School Gevrai Bu. Room No.4 West Side,108
72 - Golwadi,Z.P.Primary School Golwadi Room No. 1 South Side,108
73 - Girnera,Z.P.Primary School Girnera Room No.1 East Side,108
74 - Girnera,Z.P.Primary School Girnera Room No.2 South Side,108
75 - Girnera,Z.P.Primary School Girnera Room No.3 South Side,108
76 - Satara Parisar,Z.P. Central Primary School Satara Room No. 1 East Side,108
77 - Satara Parisar,Z.P. Central Primary School Satara Room No. 2 East Side,108
78 - Satara Parisar,Z.P. Central Primary School Satara Room No. 3 West Side,108
79 - Satara Praisar,"Narayana E-Techno School, beed by pass road, satara parisar, Room No. 01 South Side",108
80 - Satara Praisar,"Narayana E-Techno School, beed by pass road, satara parisar, Room No. 02 South Side",108
81 - Satara Praisar,"Narayana E-Techno School, beed by pass road, satara parisar, Room No. 03 South Side",108
82 - Satara Praisar,"Narayana E-Techno School, beed by pass road, satara parisar, Room No. 04 South Side",108
83 - Satara Praisar,Z.P.P.S.Satara Satpooda Class 4th South Side Hall no. 1,108
84 - Satara Praisar,Z.P.P.S.Satara Shivneri Class 3rd South Side Hall no. 2,108
85 - Satara Praisar,Z.P.P.S.Satara Shivneri Class 3rd South Side Hall no. 2,108
86 - Satara Praisar,Chate School Satara Parisar No. 1 west side,108
87 - Satara Praisar,Chate School Satara Parisar No. 2 west side,108
88 - Satara Praisar,"Shantiniketan Primary School, Satara Parisar Room No. 1 East Side",108
89 - Satara Parisar,"Shantiniketan Primary School, Satara Parisar Room No. 2 East Side",108
90 - Satara Parisar,"Shantiniketan Primary School, Satara Parisar Room No. 3 East Side",108
91 - Satara Parisar,"Shantiniketan Primary School, Satara Parisar Room No. 4 East Side",108
92 - Satara Parisar,Chate School Satara Parisar Room No.3 East Side,108
93 - Satara Parisar,Chate School Satara Parisar Room No.4,108
94 - Satara Parisar,Chate School Satara Parisar Room No.5 East Side,108
95 - Satara Parisar,New Engilsh School Satara Parisar Room No. 15 East Side,108
96 - Satara Parisar,New Engilsh School Satara Parisar Room No. 3 East Side,108
97 - Satara Parisar,New Engilsh School Satara Parisar Room No. 13 East Side,108
98 - Satara Parisar,New Engilsh School Satara Parisar Room No. 11 East Side,108
99 - Satara Parisar,New Engilsh School Satara Parisar Room No. 9 East Side,108
100 - Satara Parisar,New Engilsh School Satara Parisar Room No. 10 East Side,108
101 - Satara Parisar,New Engilsh School Satara Parisar Room No. 8 East Side,108
102 - Satara Parisar,Z.P. Primary School Satara Tanda Class 6 sant Namdev Room No. 1 West Side,108
103 - Deolai,Dnyanjoyt English Primary School Vinay Park Deolai Room No. 1 North Side,108
104 - Deolai,Dnyanjoyt English Primary School Vinay Park Deolai Room No. 2 North Side,108
