PS No & Name,Address,Constituency Number
1 - Gouri Shankar Colony,"Dr. Zakir Hussain Urdu Primary School, South Side Room No. 1, Lane no. 8, Mujeeb Colony, Roshan gate,",109
2 - Gouri Shankar Colony,"Dr. Zakir Hussain Urdu Primary School, North Side Room No. 2, Lane no. 8, Mujeeb Colony, Roshan gate,",109
"3 - Katkat Gate, Maqsood Colony","Prime Star High School & Jr. College, West Side Room No.1",109
"4 - Katkat Gate, Maqsood Colony","Prime Star High School & Jr. College, West Side Room No.2",109
"5 - Katkat Gate, Maqsood Colony","Winers High School, New Buildg. Ravindra Nagar, South Side Room No. 2, Ground Floor",109
"6 - Katkat Gate, Maqsood Colony",Prime Star High School and Jr. College New Building West Side Room no. 3,109
7 - Nagsen Colony,"Fatema Girl's Urdu School, Nagsen Colony, East Side, Room No.1",109
8 - Nagsen Colony,"Fatema Girl's Urdu School, Nagsen Colony, West Side, Room No.2",109
"9 - Kiradpura, Shareef Colony","Rashida Urdu Pri. Sch. Roshangate,West Side Room No.1",109
"10 - Kiradpura, Shareef Colony","Rashida Urdu Pri. Sch. Roshangate, West Side Room No.2",109
"11 - Kiradpura, Shareef Colony","Royal English School, lane no. 2, Rahemania Colony North Side Room No.1",109
"12 - Kiradpura, Shareef Colony",AMC School - Roshan Funciton Hall Kiradpura North Side Room No.1,109
"13 - Kiradpura, Shareef Colony","Rashida Urdu Pri. Sch. Roshangate, West Side Room No.3",109
"14 - Kiradpura, Shareef Colony","Bhartiya Pri. School, Roshangate, Shareef Colony, East Side Room No.3",109
"15 - Kiradpura, Shareef Colony","Bhartiya Pri. School, Roshangate, Shareef Colony, East Side Room No.4",109
"16 - Kiradpura, Shareef Colony",Khairul Momininin Urdu Primary School Kiradpura West Side Room No.1,109
"17 - Yunus Colony, Roshan Colony","A.M.C. Roshan Function Hall, North Side Room No. 2, Shareef Colony",109
"18 - Yunus Colony, Roshan Colony","A.M.C. Roshan Function Hall North Side Room No. 3, Shareef Colony",109
19 - Kiradpura,"Ward Officer, Zone no. 3, A.M.C. Central Octoi Naka, East Side Room No.1",109
20 - Kiradpura,"Ward Officer (Engineer), Zone No. 3 AMC Central Ocrtoi East Side Room No.2",109
21 - Bari Colony,"Foster English School, Central Octroi Naka Road, West Side Room No. 1",109
22 - Bari Colony,"M. G. M. Clover Dale English School, North Side Room No. 1",109
23 - Altamash Colony,"Yeshwantrao Chavan High School, N-6 Cidco, East Side Room No.1",109
24 - Altamash Colony,"Yeshwantrao Chavan High School, N-6 Cidco, East Side Room No.2",109
"25 - Jaswantpura, Altamash Colony","Yeshwantrao Chavan High School, N-6 Cidco, East Side Room No.3",109
"26 - Jaswantpura, Altamash Colony","Yeshwantrao Chavan High School, N-6 Cidco, North Side Room No.5",109
"27 - Bari Colony, Altamash Colony","A. M. C. Samajmandir Hall, Altamash Colony North Side Room No.1",109
28 - Kiradpura,"A. M. C. Pri. School, No.1 Urdu, Kiradpura, West Side Room No. 1",109
29 - Kiradpura,"A. M. C. Pri. School, No.1 Urdu, Kiradpura, Office East Side Room No.3",109
30 - Kiradpura,"A. M. C. Pri. School, No.1 Urdu, Kiradpura, East Side Room No.4",109
31 - Kiradpura,"A. M. C. Pri. School, No.1 Urdu, Kiradpura, East Side Room No.6",109
32 - Kiradpura,"A. M. C. Pri. School, No.1 Urdu, Kiradpura, East Side Room No.7",109
33 - Kiradpura,"A. M. C. Pri. School, No.1 Urdu, Kiradpura, East Side Room No.8",109
34 - Kiradpura,"A. M. C. Brigadiar Hameed Function Hall, North Side Room No. 3",109
35 - Kiradpura,"A. M. C. Brigadiar Hameed Function Hall, North Side Room No. 1",109
36 - Kiradpura,A. M. C. Brigadiar Hameed Function Hall East Side Room No. 2,109
37 - Kiradpura,"A. M. C. School, Rahemaniya Colony, Yashodhara Colony, East Side Room No.1",109
38 - Kiradpura,"A. M. C. School, Rahemaniya Colony, Yashodhara Colony, East Side Room No.2",109
39 - Kiradpura,"A. M. C. School, Rahemaniya Colony, Yashodhara Colony, South Side Room No. 3",109
40 - Kiradpura,"A. M. C. School, Rahemaniya Colony, Yashodhara Colony, South Side Room No. 4",109
41 - Kiradpura,"A. M. C. School, Rahemaniya Colony, Yashodhara Colony, West Side Room No. 5",109
42 - Kiradpura,"A. M. C. School, Rahemaniya Colony, Yashodhara Colony, West Room No. 7",109
43 - Gouri Shankar Colony,Prime Star High School and Jr. College New Building West Side Room no. 1,109
44 - Katkat Gate,"Prime Star High School & Jr. College, New Building West Side Room No. 2",109
"45 - Shah Bazar, Ashoknagar, Ravindranagar","Winers High School, New Building, West Side Room No. 3",109
46 - Gouri Shankar Colony,"Malik Ambar Pri. School, Gouri Shankar Colony, South Side Room No. 1",109
47 - Gouri Shankar Colony,"Malik Ambar Pri. School, Gouri Shankar Colony, South Side Room No. 2",109
48 - Gouri Shankar Colony,"Malik Ambar Pri. School, Gouri Shankar Colony, North Side Room No. 3",109
49 - Gouri Shankar Colony,"Malik Ambar Pri. School, Gouri Shankar Colony, North Side Room No. 4",109
50 - Gouri Shankar Colony,"Sarosh Urdu High School, Siddheshwar Colony/Nagsen Colony West Side Room No.3",109
"51 - Shahagunj, Shahbazar","Maharashtra Hindi Vidyalaya, Shahagunj, North Side Room No.7",109
"52 - Shahagunj, Shahbazar","Maharashtra Hindi Vidyalaya, Shahagunj, North Side Room No.8",109
53 - Shahagunj,"Dr. Zakir Hussain High School, Shahagunj, South Side Room No. 1",109
54 - Shahagunj,"Dr. Zakir Hussain High School, Shahagunj, South Side Room No. 3",109
"55 - Shahagunj, Shahbazar","Maharashtra Hindi Vidyalaya, Shahagunj, East Side Room No.1",109
"56 - Shahagunj, Shahbazar","Maharashtra Hindi Vidyalaya, Shahagunj, East Side Room No.3",109
57 - Shahagunj,"A. M. C. Pri. School, Shahbazar East Side Room No. 3",109
58 - Bukkalguda,"A. M. C. Pri. School, Shahbazar East Side Room No. 1",109
59 - Kaisar Colony,"Fatema Girls High School, Kaisar Colony, East Side Room No. 1",109
60 - Rengatipura,"Sarosh Urdu High School, Siddheshwar Colony/Nagsen Colony West Side Room No.4",109
61 - Nagsen Colony,"Fatema Girls High School, Kaisar Colony, East Side Room No. 4",109
62 - Kaisar Colony,"Fatema Girls High School, Kaisar Colony, West Side Room No. 3",109
63 - Jinsi,"Icon English School (A. M. C. Schoo)l, Nagsen Colony/Kaisar Colony East Side Room No. 1",109
64 - Bayjipura,"Fatema High school, Nagsen Coloney, East Side Room no. 3",109
65 - Bayjipura,"Fatema High school, Nagsen Coloney, West Side Room no. 4",109
66 - Chauraha,"A. M. C. Pri. School, Motikaranja, South Side Room No. 5",109
"67 - Shahagunj, Nawabpura","Dr. Zakir Hussain High School, Shahagunj, Science South Side Room No. 4",109
68 - Shahagunj,"Dr. Zakir Hussain High School, Shahagunj, Science South Side Room No. 6",109
69 - Shahagunj,"Dr. Zakir Hussain High School, Shahagunj, Science South Side Room No. 7",109
70 - Shahagunj,"Dr. Zakir Hussain High School, Shahagunj, Science South Side Room No. 8",109
71 - Rengatipura,"Maharashtra Hindi Vidyalaya, Shahagunj, East Side Room No.4",109
72 - Rengatipura,"Fatema Girls High School, Kaisar Colony, West Side Room No. 4",109
73 - Rengatipura,"A. M. C. Pri. School, Rengatipura, New Building Jinsi, North Side Room No. 1",109
