PS No & Name,Address,Constituency Number
1 - Morchida,Z. P. Primary School North South Building Southern Side Room No. 1,10
2 - Amalwadi,Z. P. Primary School East West Building Eastern Side Single Room.,10
3 - Satrasen,"Gram Panchyat Office, Satrasen",10
4 - Satrasen,Aadarsha Anagawadi No 2 Code No. 90 Satrasen,10
5 - Umarti,"Anganwadi Center Umarti, Opposite Gram Panchayat building",10
6 - Gauryapadav,Z. P. Primary School new room.,10
7 - Kharyapadav,Z. P. Primary School North South Building Northern Side Room No. 1,10
8 - Vaijapur,Z.P. Primary School East West Building Western Side Room No. 1,10
9 - Mulyavatar,Z.P. Primary School East West Building Western Side Room No. 1,10
10 - Shenpani,Z.P. Primary School East West Building Eastern Side Room Shenpani,10
11 - Karjane,Range Forest Office Karjana East West Building Eastern Side Room,10
12 - Melane,Z.P. Primary School East West Building Eastern Side Room No. 1,10
13 - Melane,Z.P. Primary School East West Building Eastern Side Room No. 2,10
14 - Melane,Z. P. Primary School North South Building Southern Side Room No. 1,10
15 - Devhari,Z. P. Primary School New Building Northern Side Room No. 1,10
16 - Deoziri,Z.P. School Eastern Room,10
17 - Langda Amba,Forest Rest House,10
18 - Usmali,Z. P. Marathi School Usmali Room No. 1,10
19 - Jamnya,AnganwadiRoom Pada Jamnya,10
20 - Gadrya,Z.P.Primary School Gadrya,10
21 - Ambapani,Z.P.School Ambapani,10
22 - Bormali,New Anganwadi Room,10
23 - Malapur,Z.P. Boys Primary School New East West Building Western side Room No. 1,10
24 - Vishnapur,Z. P. Primary School North South Building Southern Side Room No.2,10
25 - Virwade,Zilla Parishad Primary School New North South Building Southern Side Room No.1,10
26 - Virwade,Zilla Parishad Primary School Old North South Building Northern Side Room No.1,10
27 - Virwade,Zilla Parishad Primary School Old North South Building Northern Side Room No.2,10
28 - Virwade,Zilla Parishad Primary School New North South Building Southern Side Room No.2,10
29 - Nagalwadi,Zilla Parishad Kendra School New North South Building Northern Side Room No. 1,10
30 - Nagalwadi,Zilla Parishad Kendra School CRC Hall,10
31 - Nagalwadi,Zilla Parishad Kendra School Eastern Side New North South Building Sourthern Side Room,10
32 - Borajanti,Z.P. Primary School East-West Building Southern Room No. 1 (Ground Flower),10
33 - Varad,Z.P. Primary School New North South Building Northern Side Room No.2,10
34 - Varad,Zilla Parishad Primary School New North South Building Northern Side Room No. 1,10
35 - Krushnapur,Zilla Parishad Primary School New East West Building Western Side Room No. 1,10
36 - Chaugaon,Zilla Parishad Primary School Southern Side East West Building Eastern Side Room No. 4,10
37 - Chaugaon,Zilla Parishad Primary School Southern Side East West Building Eastern Side Room No. 5,10
38 - Lasur,Zilla Parishad Girls School Lasur C Type North South Building Southern Side Room No. 1,10
39 - Lasur,Zilla Parishad Girls School Lasur New North South Building Southern Side Room No. 1,10
40 - Lasur,Zilla Parishad Girls School Lasur C Type East West Building Western Room (Hall),10
41 - Lasur,Zilla Parishad Girls School Lasur New North South Building Southern Side Room No. 3,10
42 - Lasur,Z.P.Primary Boys central School North South Building Southern side Room no. 1,10
43 - Lasur,Z.P.Primary Boys central School North South Building Southern side Room no. 4,10
44 - Marathe,Zilla Parishad Primary School Southern Side North South BuildingRoom No. 1,10
45 - Ganpur,Zilla Parishad Primary School Northern Side East West Building Western Side Room No. 1,10
46 - Ganpur,Zilla Parishad Primary School Northern Side East West Building Eastern Side Room No. 1,10
47 - Ganpur,Zilla Parishad Primary School Southern side East-West Building Eastern Side Room No.1,10
48 - Bhawale,Zilla Parishad Primary School East West Building Western Side Room No. 1,10
49 - Galangi,Zilla Parishad Primary School East West Building Eastern Side Room No. 1,10
50 - Velode,Zilla Parishad Primary School Old East West Building Eastern Side Room No. 1,10
51 - Velode,Zilla Parishad Primary School Old East West Building Eastern Side Room No. 3,10
52 - Hated Bk.,Shivaji Adarsh ​​Prath. Kendra school New East-West Building Eastern Side Room no. 1,10
53 - Hated Bk.,Shivaji Adarsh ​​Prath. Kendra school New East-West Building Eastern Side Room no. 2,10
54 - Hated Bk.,Shivaji Adarsh ​​Prath. Kendra school New East-West Building Western Side Room no. 2,10
55 - Galwade,"Grampanchayat Office, Galwade",10
56 - Kazipura,Z.P.PrimarySchool KajipuraNorth SouthBuildingSouthernSide Room No. 1,10
57 - Mauje Hingone,Zilla Parishad Primary Vidya Mandir New East West Building Eastern Side Room No. 1,10
58 - Majre Hingone,Zilla ParishadPrimary Vidya Mandir New North South Building Southern Side Room No. 1,10
59 - Chunchale,Zilla Parishad Primary School Southern East West Building Eastern Side Room No. 3,10
60 - Chunchale,Zilla Parishad Primary School Southern East West Building Eastern Side Room No. 5,10
61 - Chunchale,Zilla Parishad Primary School Northern East West Building Eastern Side Room No. 1,10
62 - Chunchale,Zilla Parishad Primary School Northern Side East West Building Eastern Side Room No. 5,10
63 - Mamalde,Zilla Parishad Primary School New East West Building Eastern Side Room No. 1,10
64 - Mamalde,Zilla Parishad Primary School New East West Building Western Side Room No. 2,10
65 - Akulkhede,Zilla Parishad Primary School Akulkheda East-West Building Room No. 2,10
66 - Akulkhede,Zilla Parishad Primary School Akulkheda East-West Building Room No. 4,10
67 - Akulkhede,Zilla Parishad Primary School Akulkheda North-South Building Northern Side Room No. 2,10
68 - Akulkhede,Zilla Parishad Primary School Akulkheda North-South Building Southern Side Room No. 2,10
69 - Chopda,Mustafa Anglo Urdu Highschooland Jr. CollegeEast West BuildingEastern SideRoom No. 1 (Ground Floor),10
70 - Chopda,Mustafa Anglo Urdu Highschooland Jr. CollegeEast West BuildingEastern SideRoom No. 3 (Ground Floor),10
71 - Chopda,Mustafa Anglo Urdu Highschooland Jr. CollegeEast West BuildingEastern SideRoom No. 4,10
72 - Chopda,Mustafa Anglo Urdu Highschooland Jr. CollegeEast West BuildingEastern SideRoom No. 5(Ground Floor),10
73 - Chopda,Mustafa Anglo Urdu Highschooland Jr. CollegeEast West BuildingEastern SideRoom No. 7(Ground Floor),10
74 - Chopda,Mahila Mandal Valuntary School Ground Floor Northern Side East West Building Eastern Side Room No. 1,10
75 - Chopda,Mahila Mandal Valuntary School Ground Floor Northern Side East West Building Eastern Side Room No. 3,10
76 - Chopda,Mahila Mandal Valuntary School Ground Floor Northern Side East West Building Eastern Side Room No. 4,10
