PS No & Name,Address,Constituency Number
1 - Hanumantagaon,"Z.P.P.S. Hanumantgaon, Room No. 1",110
2 - Nayagavhan,"Z.P.P.S. Naygawhan, Room No.1",110
3 - Kesapuri,"Z.P.P.S. Kesapuri, Room No. 1",110
4 - Babhulagaon,"Z.P.P.S. Babhulgaon, Room No. 1",110
5 - Paithanakheda,"Z.P.P.S. Paithankheda, Room No.1",110
6 - Imamapur,"Z.P.P.S. Imampur, Room No. 1",110
7 - Gadhegaon Gangapur,"Z.P P.S. Gadhegaon Gangapur, Room No.1.",110
8 - Mharola,"Z. P. P. S. Mharola, (South Side) Room No.1",110
9 - Mharola,"Z. P. P. S. Mharola, (South Side) Room No.2",110
10 - Ranjanagaon Khuri,"Z. P.C. P. S. Ranjangaon Khuri, (South Side) Room No.1",110
11 - Ranjanagaon Khuri,"Z.P.C.P.S.Ranjangaon Khuri, (South Side) Room No. 2",110
12 - Ranjani,"Chhatrapati Sambhaji Vidyalay Rajani, Room No.1",110
13 - Gidhada,"Z.P.P.S. Gidhada, Room No. 1",110
14 - Aliyabad,"Z. P. P.S. Aliyabad, New Bulding Room No.1",110
15 - Somapuri,"Z.P.P.S. Sompuri, Room No. 2",110
16 - Bidkin,"S. Bhu. Vidayalay Bidkin, (South Side) Room No. 1",110
17 - Bidkin,"S. Bhu. Vidyalay Bidkin, (West Side) Room No. 2",110
18 - Bidkin,"S. Bhu. Vidyalay Bidkin, (South Side) Room No. 3",110
19 - Bidkin,"S. Bhu. Vidayalay Bidkin, (East Side) Room No. 4",110
20 - Bidkin,"S.Bhu. Vidayalay Bidkin, (East Side) Room No.5",110
21 - Bidkin,"Z. P.C. P.S. Old bulding Bidkin, (East Side) Room No.1",110
22 - Bidkin,"Z.P.C.P.S. Bidkin, (East Side) Room No.2",110
23 - Bidkin,"Z. P.C. P.S. Bidkin, (East Side) Room No.3",110
24 - Bidkin,"Z. P.C. P.S, Bidkin, (East Side) Room No.4",110
25 - Bidkin,"Z. P.C. P.S, Bidkin, (East Side) Room No.5",110
26 - Farola Tanda (bidkin ),"Z. P. P.S. Farola Tanda, (North Side) Room No.1",110
27 - Farola Tanda (bidkin ),"Z. P. P.S. Farola Tanda, (North Side) Room No.2",110
28 - Krushnapur,"Z. P. P.S. Krushnapur, Room No. 1",110
29 - Bangalatanda (bidkin ),"Z.P.P.S. Bangalatanda, (South Side) Room No. 1",110
30 - Bangalatanda (bidkin ),"Z.P.P.S. Banni Tanda, (South Side) Room No. 2",110
31 - Vadagavhan,"Z.P.P.S. Wadagawhan, Room No. 1",110
32 - Chincholi,Z.P.P.S. Chincholi New Building Room No. 1,110
33 - Shivani,"Z.P.P.S. Shivani, Room No.1",110
34 - Farola,"Z.P.P.S. Farola, (North Side) Room No. 1",110
35 - Farola,"Z.P.P.S. Farola, (North Side) Room No. 2",110
36 - Pangara Itava (ni ),"Z.P.P.S. Pangara, Room No. 1",110
37 - Chitegaon,"Z. P.C. P.S. Chitegaon, (South Side) Room No.1",110
38 - Chitegaon,"Z.P.C.P.S. Chitegaon, (South Side) Room No.2",110
39 - Chitegaon,"Z. P.C. P. S Chitegaon, (West Side) Room No.3",110
40 - Chitegaon,"Z.P.C.P.S. Chitegaon, (West Side) Room No.4",110
41 - Chitegaon,"Z. P.C. P.S. Chitegaon, (West Side) Room No.5",110
42 - Patodevadagaon,"Z.P.P.S. Patodewadgaon, Room No. 1",110
43 - Bokudajalagaon,"Z.P.P.S. Bokud Jalgaon, (South Side) Room No. 1",110
44 - Bokudajalagaon,"Z.P.P.S. Bokud Jalgaon, (North Side) Room No. 2",110
45 - Jambhali,"Z. P. P.S. Jambhali, New Building Room No.2",110
46 - Meharban Naikatanda,"Z.P.P.S. Meharban Naiktanda, Room No. 1",110
47 - Nilajagaon,"Z. P.C. P.S. Nilajagaon, (South Side) Room No.1",110
48 - Nilajagaon,"Z. P.C. P.S. Nilajagaon, (North Side) Room No.2",110
49 - Padali,"Z. P. P.S. Padali, Room No.1",110
50 - Gazipur,"Z. P. P.S. Gazipur, Room No.1",110
51 - Varavandi Khu. Dongarunaikatanda,"Z.P.P.S. Warwandi khu, Room No.1",110
52 - Lakhegaon,"Z.P.P.S. Lakhegaon, Room No. 1",110
53 - Poragaon Poragaon Tanda,"Z. P. P.S. Poragaon, Room No.2",110
