PS No & Name,Address,Constituency Number
1 - Galleborgaon,Z.P.P.S. Galleborgaon Room No.1 South Side,111
2 - Galleborgaon,Z.P.P.S. Galleborgaon Room No.1 North Side,111
3 - Galleborgaon,Z.P.P.S. Galleborgaon Room No.2 North Side,111
4 - Palasgaon,Z.P.P.S. Palasgaon Room No.1,111
5 - Tisgaon /Kautgaon,Z.P.P.S. Tisgaon Room No.1 West Side,111
6 - Tisgaon Tanda,Z.P.P.S. Tisgaon Room No.2,111
7 - Loni,Z.P.P.S. Loni Room No.1 South Side,111
8 - Loni,Z.P.P.S. Loni Room No.2 South Side,111
9 - Gandheshwar,Z.P.P.S. Gandheshwar Room No.1,111
10 - Deregaon,Z.P.P.S. Deregaon East Side Room No.1,111
11 - Deregaon,Z.P.P.S. Deregaon West Side Room No.1,111
12 - Padali,Z.P.P.S. Padali Room No.1,111
13 - Zari /Vadgaon,Z.P.P.S. Zari Room No.1,111
14 - Bodakha,Z.P.P.S. Urdu South Side Room No. 1,111
15 - Bodakha,Z.P.P.S. Urdu South Side Room No. 2,111
16 - Nirgudi Khurd,Z.P.P.S. Nirgudi Bu West Side. Room No.1,111
17 - Nirgudi Budruk,Z.P.P.S. Nirgudi Bu West Side Room No.2,111
18 - Pimpri,Z.P.P.S. Pimpri West Side Room No.1,111
19 - Pimpri,Z.P.P.S. Pimpri West Side Room No.2,111
20 - Chicholi,Z.P.P.S. Chicholi Room No.1,111
21 - Palaswadi,Z.P.P.S. Palaswadi Room No.1 South Side,111
22 - Palaswadi Tanda,Z.P.P.S. Palaswadi Tanda Room No.2 South Side,111
23 - Akhatwada / Akhatwada Tanda,Z.P.P.S. Akhatwada Room No.1,111
24 - Mhaismal,Z.P.P.S. Mhaismal Room No.1,111
25 - Lamangaon,Z.P.P.S. Lamangaon Room No.1,111
26 - Takali R.R./ Dasawadi Tanda,Z.P.P.S Urdu Madhyam East Room No 1,111
27 - Takali R.R.,Z.P.P.S. Takali R R Room No.2 East Side,111
28 - Takali R.R.,Z.P.P.S. Takali R R Room No.1 South Side,111
29 - Takali R.R.,Z.P.P.S. Takali R R Room No.3 South Side,111
30 - Dhamangaon,Z.P.P.S. Dhamangaon Room No.1,111
31 - Indapur /Rel,Z.P.P.S. Indapur Room No.1,111
32 - Sobalgaon,Z.P.P.S. Sobalgaon Room No.1,111
33 - Bajar savangi,Z.P.Prashala Bajarsavangi Room No.1 North Side,111
34 - Bajar savangi,Z.P.Prashala Bajarsavangi Room No.2 North Side,111
35 - Bajar savangi,Z.P.P.S. Bajarsavangi West Side Room No.1,111
36 - Shekhpurwadi,Z.P.P.S. Shekhpurwadi East Side Room No.1,111
37 - Tajanapur,Z.P.P.S. Tajanapur North Side Room No.1,111
38 - Tajanapur,Z.P.P.S. Tajanapur South Side Room No.1,111
39 - Mamurabad,Z.P.P.S. Mamurabad Room No.1,111
40 - Yesgaon No.1,Z.P.P.S. Yesgaon No.1 Room No.1,111
"41 - Yesgaon No.2,3",Z.P.P.S. Yesgaon No.2 Room No.1,111
42 - Vadod Khu.,Z.P.P.S. Vadod khu. Room No.1,111
43 - Matargaon,Z.P.P.S. Matargaon Room No.1,111
44 - Kanakshil,Z.P.P.S. Kanakshil Room No.1,111
45 - Kanadgaon / Mahmandpur,Z.P.P.S. Kanadgaon North Side Room No.1,111
46 - Devalana Khu.,Z.P.P.S. Devalana Khu Room No.1,111
47 - Devalana Bu.,Z.P.P.S. Devalana Bu.Room No.1,111
48 - Viramgaon,Z.P.P.S. Viramgaon Room No.1,111
49 - Mamanapur,Z.P.P.S. Mamnapur Room No.1,111
50 - Khultabad,Shri.Ghrushneshwar Junior College West Side Room No 3,111
51 - Khultabad,ICDS Office Khultabad West side Room No.1,111
52 - Khultabad,Shri.Ghrushneshwar Junior College East Side Room No 4,111
53 - Khultabad,Education Dept.office PS office Khultabad Room No.1,111
54 - Khultabad,Z.P.P.S. Urdu Khultabad East Side Room No. 3,111
55 - Khultabad,Z.P.P.S. Khultabad East Side Room No.3,111
56 - Khultabad,Z.P.P.S. Urdu Khultabad East Side Room No.1,111
57 - Khultabad,Z.P.P.S. Urdu Khultabad East Side Room No.2,111
58 - Khultabad,Z.P.P.S. Khultabad East Side Room No.1,111
59 - Khultabad,Z.P.P.S. Khultabad East Side Room No.2,111
60 - Khultabad,"Muktanad Vidya Mandir,Khultabad East Side Room No.1",111
61 - Khultabad,"Muktanad Vidya Mandir,Khultabad East Side Room No.2",111
62 - Khultabad,"Muktanad Vidya Mandir,Khultabad East Side Room No.3",111
63 - Verul,Z.P.P.S. Verul Room No.1 East Side,111
64 - Verul,Z.P.P.S. Verul Room No.2 East Side,111
65 - Verul,Z.P.P.S. Verul Room No.2 South Side,111
66 - Verul,Gram Panchayat karyalaya Verul Room No.1,111
67 - Kasabkheda,Z.P.H.S. Kasabkheda Room No.1 East Side,111
68 - Kasabkheda,Z.P.H.S. Kasabkheda Room No.2 East Side,111
69 - Kasabkheda,Z.P.P.S Urdu Medium Kasabakheda South Side Room No.1,111
70 - Kasabkheda,Z.P.P.S Urdu Medium Kasabakheda South Side Room No.2,111
71 - Mambapur,Z.P.P.S. Mambapur Room No.1,111
72 - Bhadji,Z.P.P.S. Bhadji Room No.1,111
73 - Gadana,Z.P.P.S. Gadana West Side Room No.1,111
74 - Gadana /Borwadi,Z.P.P.S. Gadana East Side Room No.1,111
75 - Sulatanpur,Z.P.P.S. Sulatanpur West Side Room No.1,111
76 - Sulatanpur,Z.P.P.S. Sulatanpur South Side Room No.2,111
77 - Vadod Bu.,Z.P.P.S. Vadod Bu. Room No.1,111
78 - Bhandegaon,Z.P.P.S. Bhandegaon Room No.1,111
79 - Khandipinpalgaon,Z.P.P.S. Khandipinpalgaon West Side Room No.1,111
80 - Khandipinpalgaon,Z.P.P.S. Khandipinpalgaon West Side Room No.2,111
81 - Ghodegaon,Z.P.P.S. Ghodegaon East Side Room No.1,111
82 - Ghodegaon,Z.P.P.S. Ghodegaon South Side Room No.2,111
83 - Golegaon,Z.P.P.S. Golegaon North Side Room No.1,111
84 - Golegaon,Z.P.P.S. Golegaon North Side Room No.2,111
85 - Sonkheda,Z.P.P.S. Sonkheda Room No.1,111
86 - Khirdi,Z.P.P.S. Khirdi Room No.1 East Side,111
87 - Khirdi,Z.P.P.S. Khirdi Room No.2 East Side,111
88 - Rasulpura,Z.P.P.S. Rasulpura Room No.1,111
89 - Mavasala,Z.P.P.S. Mavasala Room No.1,111
90 - Sarai,Z.P.P.S. Sarai Room No.1,111
91 - Salukheda,Z.P.P.S. Salukheda East Side Room No.1,111
92 - Kagajipur,Z.P.P.S. Kagajipura Room No.1 South Side,111
93 - Sulibhanjan,Z.P.P.S.Sulibhanjan West Side Room No.1,111
94 - Sulibhanjan,Z.P.P.S.Sulibhanjan North Side RoomNo.1,111
95 - Nandrabad,Z.P.P.S.Nandrabad Room No.1,111
96 - PIMPALGAON (DI),ZPPS PIMPAGAON (DI) EAST SIDE ROOM.NO.1,111
97 - DIWASHI,ZPPS DIWASHI ROOM.NO.1,111
98 - Kinnal,Z.P.P.S.Kinnal East Side Room No.1,111
99 - Derhal,Z.P.P.S.Derhal Room No.1,111
100 - Maliwadgaon,Z.P.P.S.Maliwadgaon Room No.1,111
101 - Maliwadgaon,Z.P.P.S.Maliwadgaon Room No.2,111
102 - Sanav,Z.P.P.S.Sanav Room No.1,111
