PS No & Name,Address,Constituency Number
1 - TALWADA,Z. P. PRIMARY SCHOOL TALWADA WEST SIDE ROOM NO. 1,112
2 - TALWADA,Z. P. PRIMARY SCHOOL TALWADA NORTH SIDE ROOM NO. 2,112
3 - WAKLA,Z. P. PRASHALA.WAKLA NORTH SIDE ROOM NO. 1,112
4 - WAKLA,Z. P. PRASHALA.WAKLA NORTH SIDE ROOM NO. 2,112
5 - WAKLA,Z. P. PRASHALA.WAKLA WEST SIDE ROOM NO. 3,112
"6 - BABHULTEL,",Z. P. PRIMARY SCHOOL BABULTEL SOUTH SIDE ROOM NO. 1,112
7 - NAYGHAWAN,Z. P. PRIMARY SCHOOL NAIGHAVAN EAST SIDE ROOM NO. 1,112
8 - KAVITKHEDA,Z. P. PRIMARY SCHOOL KAVITKHEDA NORTH SIDE ROOM NO. 1,112
"9 - WALAN,",Z. P. PRIMARY SCHOOL WALAN SOUTH SIDE ROOM NO. 1,112
10 - BEROLA,Z. P. PRIMARY SCHOOL BIROLA EAST SIDE ROOM NO. 1,112
"11 - BALHEGAON,",Z. P. PRIMARY SCHOOL BALHEGAON NORTH SIDE ROOM NO. 1,112
12 - JIRI,Z. P. PRIMARY SCHOOL JIRI SOUTH SIDE ROOM NO. 1,112
13 - MANEGAON,Z. P. PRIMARY SCHOOL MANEGAON EAST SIDE ROOM NO. 1,112
14 - MANOLI,Z. P. PRIMARY SCHOOL MANOLI NORTH SIDE ROOM NO. 1,112
15 - SAKEGAON,Z. P. PRIMARY SCHOOL SAKEGAON EAST SIDE ROOM NO. 1,112
16 - HINGNE KANNAD,Z. P. PRIMARY SCHOOL HIGANE KANNAD SOUTH SIDE ROOM NO. 1,112
17 - BABHULKHEDA,Z. P. PRIMARY SCHOOL BABULKHEDA EAST SIDE ROOM NO. 1,112
18 - KHIRADI KANNAD,Z. P. PRIMARY SCHOOL KHIRDI KANNAD EAST SIDE ROOM NO. 1,112
19 - MANUR,Z. P.P.S.NEW BUILDING MANUR NORTH SIDE ROOM NO.1,112
20 - MANUR,Z. P.P.S.NEW BUILDING MANUR NORTH SIDE ROOM NO.2,112
21 - SALEGAON,Z. P. PRIMARY SCHOOL SALEGAON WEST SIDE ROOM NO. 1,112
22 - POKHARI,Z. P. PRIMARY SCHOOL POKHARI SOUTH SIDE ROOM NO. 1,112
23 - POKHARI,Z. P. PRIMARY SCHOOL POKHARI NORTH SIDE ROOM NO. 2,112
"24 - BHATANA,",Z. P. PRIMARY SCHOOL BHATANA SOUTH SIDE ROOM NO. 1,112
25 - RAMWADI,Z. P. PRIMARY SCHOOL RAMWADI EAST SIDE ROOM NO. 1,112
26 - PIMPALGAON KH.,Z. P. PRIMARY SCHOOL PIMPALGAON BH. SOUTH SIDE ROOM NO. 1,112
27 - SAWAKHED KANDALA,Z. P. PRIMARY SCHOOL SAVKHED B. WEST SIDE ROOM NO. 1,112
28 - ANCHALGAON,Z. P. PRIMARY SCHOOL ANCHALGAON NORTH SIDE ROOM NO. 1,112
29 - TUNKI/ DASUKULI,Z. P. PRIMARY SCHOOL TUNKI SOUTH SIDE ROOM NO. 1,112
30 - LONI KHU.,Z. P. PRIMARY SCHOOL LONI KHURD EAST SIDE ROOM NO. 1,112
31 - LONI KHU.,Z. P. PRIMARY SCHOOL LONI KHURD NORTH SIDE ROOM NO. 2,112
32 - CHIKATGAON,Z. P. PRIMARY SCHOOL CHIKATGAON SOUTH SIDE ROOM NO. 1,112
33 - CHIKATGAON,Z. P. PRIMARY SCHOOL CHIKATGAON NORTH SIDE ROOM NO. 2,112
34 - BHADALI,Z. P. PRIMARY SCHOOL BHADALI WEST SIDE ROOM NO. 1,112
35 - BHADALI,Z. P. PRIMARY SCHOOL BHALDALI EAST SIDE ROOM NO. 2,112
36 - PARALA,Z. P. PRIMARY SCHOOL PARALA WEST SIDE ROOM NO. 1,112
37 - PARALA,Z. P. PRIMARY SCHOOL PARALA WEST SIDE ROOM NO. 2,112
38 - KHARAJ,Z. P. PRIMARY SCHOOL KAherJ EAST SIDE ROOM NO. 1,112
39 - TITARKHEDA,Z. P. PRIMARY SCHOOL TITARKHEDA NORTH SIDE ROOM NO. 1,112
40 - NIMGAON,Z. P. PRIMARY SCHOOL NIMGAON NORTH SIDE ROOM NO. 1,112
41 - GONDGAON,Z. P. PRIMARY SCHOOL GONDGAON NORTH SIDE ROOM NO. 1,112
42 - PENDEPHAL,Z. P. PRIMARY SCHOOL PENDEPHAL SOUTH SIDE ROOM NO. 1,112
43 - SHIVOOR,Z. P. PRASHALA BOYS SHIUR NORTH SIDE ROOM NO. 1,112
44 - SHIVOOR,Z. P. PRASHALA BOYS SHIUR NORTH SIDE ROOM NO. 3,112
45 - SHIVOOR,Z. P. PRASHALA BOYS SHIUR NORTH SIDE ROOM NO. 2,112
46 - SHIVOOR,Z. P. PRASHALA BOYS SHIUR SOUTH SIDE ROOM NO. 4,112
47 - SHIVOOR,Z. P. PRASHALA BOYS SHIUR SOUTH SIDE ROOM NO. 3,112
48 - SHIVOOR,Z. P. CENTRAL PRIMARY SCHOOL GIRLS SHIUR WEST SIDE ROOM NO. 4,112
49 - SHIVOOR,Z. P. CENTRAL PRIMARY SCHOOL GIRLS SHIUR WEST SIDE ROOM NO. 5,112
50 - WAGHALA,Z. P. PRIMARY SCHOOL WAGHLA EAST SIDE ROOM NO. 1,112
51 - WAGHALA,Z. P. PRIMARY SCHOOL WAGHLA SOUTH SIDE ROOM NO. 2,112
52 - RAGHUNATHPURWADI,Z. P. PRIMARY SCHOOL RAGHUNATHPURWADI EAST SIDE ROOM NO. 1,112
53 - SHIVGAON,Z. P. PRIMARY SCHOOL SHIVGAON SOUTH SIDE ROOM NO. 1,112
54 - GARAJ,Z. P. PRIMARY SCHOOL GARAJ SOUTH SIDE ROOM NO. 1,112
55 - BHOKARGAON,Z. P.P.S.NEW BUILDING BHOKARGAON EAST SIDE ROOM NO.1,112
56 - MALEGAON KANNAD,Z. P. PRIMARY SCHOOL MALEGAON KANNAD WEST SIDE ROOM NO. 1,112
57 - ZOLEGAON,Z. P. PRIMARY SCHOOL ZOLEGAON NORTH SIDE ROOM NO. 1,112
"58 - BAYGAON,",Z. P. PRIMARY SCHOOL BAIGAON WEST SIDE ROOM NO. 1,112
59 - JAMBRKHEDA,Z. P. PRIMARY SCHOOL JAMBARKHEDA EAST SIDE ROOM NO. 1,112
60 - BABHULGAON KH.,Z. P. PRIMARY SCHOOL BABULGAON KHURD NORTH SIDE ROOM NO. 1,112
61 - BABHULGAON BU.,Z. P. PRIMARY SCHOOL BABHULGAON BU. SOUTH SIDE ROOM NO. 1,112
62 - BABHULGAON BU.,Z. P. PRIMARY SCHOOL BABHULGAON BU. SOUTH SIDE ROOM NO. 2,112
"63 - HAJUPURWADI,",Z. P. PRIMARY SCHOOL HAJIPURWADI SOUTH SIDE ROOM NO. 1,112
64 - TARTAYCHIWADI,Z. P. PRIMARY SCHOOL TARTAYACHIWADI EAST SIDE ROOM NO. 1,112
65 - ALAPURWADI,Z. P. PRIMARY SCHOOL ALAPURWADI SOUTH SIDE ROOM NO. 1,112
66 - SUDAMWADI,Z. P. PRIMARY SCHOOL SUDAMWADI EAST SIDE ROOM NO. 1,112
67 - SAFUYABADWADI,Z. P. PRIMARY SCHOOL SAFIYABADWADI SOUTH SIDE ROOM NO. 1,112
68 - KORADGAON,Z. P. PRIMARY SCHOOL KORDGAON EAST SIDE ROOM NO. 1,112
69 - HILALPUR,Z. P. PRIMARY SCHOOL HILALPUR SOUTH SIDE ROOM NO. 1,112
70 - WADJI,Z. P. PRIMARY SCHOOL VADJI EAST SIDE ROOM NO. 1,112
71 - NARALA,Z. P. PRIMARY SCHOOL NARALA SOUTH SIDE ROOM NO. 1,112
72 - BILONI,Z. P. PRIMARY SCHOOL BILONI WEST SIDE ROOM NO. 1,112
73 - BILONI,Z. P. PRIMARY SCHOOL BILONI WEST SIDE ROOM NO. 2,112
74 - JANEPHAL,Z. P. PRIMARY SCHOOL JANEPHAL NORTH SIDE ROOM NO. 1,112
75 - JANEPHAL,Z. P. PRIMARY SCHOOL JANEPHAL WEST SIDE ROOM NO. 2,112
76 - KHANDALA,Z. P. CENTRAL PRIMARY SCHOOL OLD BUILDING KHANDALA NORTH SIDE ROOM NO.1,112
77 - KHANDALA,Z. P. PRASHALA SCHOOL KHANDALA EAST SIDE ROOM NO. 1,112
78 - KHANDALA,Z. P. PRASHALA SCHOOL KHANDALA WEST SIDE ROOM NO. 2,112
79 - KHANDALA,Z. P. PRASHALA SCHOOL KHANDALA WEST SIDE ROOM NO. 3,112
80 - KHANDALA,Z. P. CENTRAL PRIMARY SCHOOL NEW BUILDING KHANDALA NORTH SIDE ROOM NO.1,112
81 - KHANDALA,Z. P. CENTRAL PRIMARY SCHOOL NEW BUILDING NORTH SIDE KHANDALA ROOM NO.2,112
82 - KHANDALA,Z. P.P.S. KANYA KHANDALA EAST SIDE ROOM NO 5,112
83 - KHANDALA,Z. P.CENTRAL PRIMARY SCHOOL NEW BUILDING KHANDALA EAST SIDE ROOM NO. 3,112
84 - KOLHI,Z. P. PRIMARY SCHOOL KOLHI WEST SIDE ROOM NO. 1,112
85 - BHINGI,Z. P. PRIMARY SCHOOL BHINGI NORTH SIDE ROOM NO. 1,112
86 - BORSAR,Z. P. PRASHALA BORSAR SOUTH SIDE ROOM NO. 1,112
87 - BORSAR,Z. P. PRASHALA BORSAR NORTH SIDE ROOM NO. 2,112
88 - BORSAR,Z. P. PRASHALA BORSAR NORTH SIDE ROOM NO. 3,112
89 - NALEGAON,Z. P. PRIMARY SCHOOL NALEGAON NORTH SIDE ROOM NO. 1,112
90 - NALEGAON,Z. P. PRIMARY SCHOOL NALEGAON EAST SIDE ROOM NO. 2,112
91 - AMANATPURWADI,Z. P. PRIMARY SCHOOL AMANATPURWADI SOUTH SIDE ROOM NO. 1,112
92 - PATHRI,Z. P. PRIMARY SCHOOL PATHRI EAST SIDE ROOM NO. 1,112
93 - LAKHNI,Z. P. PRIMARY SCHOOL LAKHANI NORTH SIDE ROOM NO. 1,112
94 - MANDKI,Z. P. PRIMARY SCHOOL MANDAKI WEST SIDE ROOM NO. 1,112
95 - BHYGAON GANGA,Z. P. PRIMARY SCHOOL BHAIGAONGANGA SOUTH SIDE ROOM NO. 1,112
96 - UNDIRWADI,Z. P. PRIMARY SCHOOL UNDIRWADI EAST SIDE ROOM NO. 1,112
97 - RAJURA,Z. P. PRIMARY SCHOOL RAJURA SOUTH SIDE ROOM NO. 1,112
"98 - RAHEGAON,",Z. P. PRIMARY SCHOOL RAHEGAON EAST SIDE ROOM NO. 1,112
99 - SONWADI,Z. P. PRIMARY SCHOOL SONWADI EAST SIDE ROOM NO. 1,112
100 - DHONDALGAON,Z. P. PRIMARY SCHOOL DHONDALGAON WEST SIDE ROOM NO. 1,112
101 - DHONDALGAON,Z. P. PRIMARY SCHOOL DHONDALGAON WEST SIDE ROOM NO. 2,112
102 - DHONDALGAON,Z. P. PRIMARY SCHOOL DHONDALGAON NORTH SIDE ROOM NO. 3,112
103 - SANJARPURWADI,Z. P. PRIMARY SCHOOL SANJARPURWADI NORTH SIDE ROOM NO. 1,112
104 - SANJARPURWADI,Z. P. PRIMARY SCHOOL SANJARPURWADI NORTH SIDE ROOM NO. 2,112
105 - PARSODA,Z. P. PRIMARY SCHOOL PARSODA SOUTH SIDE ROOM NO. 1,112
106 - PARSODA,Z. P. PRIMARY SCHOOL PARSODA SOUTH SIDE ROOM NO. 2,112
"107 - PARSODA,",Z. P. PRIMARY SCHOOL PARSODA SOUTH SIDE ROOM NO. 3,112
108 - BENDWADI,Z. P. PRIMARY SCHOOL BENDWADI EAST SIDE ROOM NO. 1,112
109 - MIRAKHNAGAR,Z. P. PRIMARY SCHOOL MIRAKNAGAR NORTH SIDE ROOM NO. 1,112
110 - BHIVGAON,Z. P. PRIMARY SCHOOL BHIVGAON EAST SIDE ROOM NO. 1,112
111 - BHIVGAON,Z. P. PRIMARY SCHOOL BHIVGAON EAST SIDE ROOM NO. 2,112
112 - SAWANDGAON,Z. P. PRIMARY SCHOOL SAVANDGAON NORTH SIDE ROOM NO. 1,112
113 - SAWANDGAON,Z. P. PRIMARY SCHOOL SAVANDGAON NORTH SIDE ROOM NO. 2,112
114 - PANGWHAN,Z. P. PRIMARY SCHOOL PANGAVHAN EAST SIDE ROOM NO.1,112
115 - LONI BU.,Z. P. PRIMARY SCHOOL LONI BU. EAST SIDE ROOM NO. 1,112
116 - JARUL,Z. P. PRIMARY SCHOOL JARUL NORTH SIDE ROOM NO.1,112
117 - JARUL,Z. P. PRIMARY SCHOOL JARUL NORTH SIDE ROOM NO.2,112
118 - BHAYGAON VAIJAPUR,Z. P. PRIMARY SCHOOL BHAIGAON VAIJAPUR SOUTH SIDE ROOM NO. 1,112
119 - BHAYGAON VAIJAPUR,Z. P. PRIMARY SCHOOL BHAIGAON VAIJAPUR SOUTH SIDE ROOM NO. 2,112
120 - LAKHAKHANDALA,Z. P. PRIMARY SCHOOL LAKHKHANDALA WEST SIDE ROOM NO. 1,112
121 - PANAVI KHURD,Z. P. PRIMARY SCHOOL PANVI KHURD NORTH SIDE ROOM NO. 1,112
122 - PANAVI KHANDALA,Z. P. PRIMARY SCHOOL PANVI KHANDALA. WEST SIDE ROOM NO. 1,112
123 - NANDGAON,Z. P. PRIMARY SCHOOL NANDGAON NORTH SIDE ROOM NO. 1,112
124 - CHANDGAON,Z. P. PRIMARY SCHOOL CHANDGAON NORTH SIDE ROOM NO. 1,112
125 - CHANDGAON,Z. P. PRIMARY SCHOOL CHANDGAON NORTH SIDE ROOM NO. 2,112
126 - ROTEGAON,Z. P. PRIMARY SCHOOL ROTEGAON EAST SIDE ROOM NO. 1,112
127 - AGHUR,Z. P. PRIMARY SCHOOL AGHUR EAST SIDE ROOM NO. 1,112
128 - AGHUR,Z..P. PRIMARY SCHOOL AGHUR EAST SIDE ROOM NO. 2,112
"129 - TIDI,","Z. P. PRIMARY SCHOOL TIDI, NORTH SIDE ROOM NO. 1",112
130 - MAKRAMPURWADI,Z. P. PRIMARY SCHOOL MAKRAMATPURWADI WEST SIDE ROOM NO. 1,112
131 - SHIVRAI,Z. P. PRASHALA SHIVRAI EAST SIDE ROOM NO. 1,112
132 - SHIVRAI,Z. P. PRASHALA SHIVRAI WEST SIDE ROOM NO. 2,112
133 - SHIVRAI,Z. P. PRASHALA SHIVRAI SOUTH SIDE ROOM NO. 3,112
134 - GOLWADI,Z. P. PRIMARY SCHOOL GOLWADI SOUTH SIDE ROOM NO 1,112
"135 - DAHEGAON,","Z. P. PRIMARY SCHOOL DAHEGAON, NORTH SIDE ROOM NO.1",112
136 - RAHEGAWHAN,"Z. P. PRIMARY SCHOOL DAHEGAON, NORTH SIDE ROOM NO.2",112
137 - KARANJGAON,Z. P. PRIMARY SCHOOL KARANJAGAON EAST SIDE ROOM NO 1,112
138 - HADSPIMPALGAON,Z. P. PRIMARY SCHOOL HADASPIMPALGAON SOUTH SIDE ROOM NO 1,112
139 - LASURGAON,Z. P. PRIMARY SCHOOL LASURGAON NORTH SIDE ROOM NO 1,112
140 - LASURGAON,Z. P. PRIMARY SCHOOL LASURGAON NORTH SIDE ROOM NO 2,112
141 - LASURGAON,Z. P. PRIMARY SCHOOL LASURGAON EAST SIDE ROOM NO 3,112
142 - LASURGAON,Z. P. PRIMARY SCHOOL LASURGAON WEST SIDE ROOM NO 4,112
143 - SHAHAJATPUR,Z. P. PRIMARY SCHOOL SHAHJATPUR SOUTH SIDE ROOM NO. 1,112
"144 - JALGAON,",Z. P. PRIMARY SCHOOL JALGAON WEST SIDE ROOM NO 1,112
145 - KHIRDI,Z. P. PRIMARY SCHOOL JALGAON WEST SIDE ROOM NO 2,112
146 - PALKHED,Z. P. PRIMARY SCHOOL PALKHED NORTH SIDE ROOM NO. 1,112
147 - PALKHED,Z. P. PRIMARY SCHOOL PALKHED NORTH SIDE ROOM NO. 2,112
148 - PALKHED,Z. P. PRIMARY SCHOOL PALKHED NORTH SIDE ROOM NO. 3,112
"149 - BALLALISAGAJ,",Z. P. PRIMARY SCHOOL BALLALI SAGAJ EAST SIDE ROOM NO 1,112
150 - EKODISAGAJ,Z. P. PRIMARY SCHOOL EKODISAGAJ EAST SIDE ROOM NO 1,112
151 - MALISAGAJ,Z. P. PRIMARY SCHOOL MALISAGAJ NORTH SIDE ROOM NO 1,112
152 - TAKALISAGAJ,Z. P. PRIMARY SCHOOL TAKLISAGAJ NORTH SIDE ROOM NO 1,112
153 - KANAKSAGAJ,Z. P. PRIMARY SCHOOL KANKASAGAJ WEST SIDE ROOM NO 1,112
154 - AGARSAYGAON,Z. P. PRIMARY SCHOOL AGARSAIGAON SOUTH ROOM NO 1,112
155 - JAMBARGAON,Z. P. PRIMARY SCHOOL JAMBARGAON NORTH SIDE ROOM NO. 1,112
156 - JAMBARGAON,Z. P. PRIMARY SCHOOL JAMBARGAON NORTH SIDE ROOM NO. 2,112
157 - GHAYGAON,Z. P. PRIMARY SCHOOL GHAIGAON SOUTH SIDE ROOM NO. 1,112
