PS No & Name,Address,Constituency Number
1 - Hiswal,Z.P.Primary School East-West Building West Side Building Room No.3,113
2 - Hiswal,Z.P.Primary School East-West Building West Side Building Room No.1,113
3 - Sherul,Z.P.P.S East West New Building East Side Room No.1,113
4 - Sherul,Z.P.P.S East West New Building West Side Room No.1,113
5 - Padalde,Z.P.Primary School East Side North-South Building North Side Room No. 1 (North) Padalade,113
6 - Padalde,Z.P.Primary School West Side South North Building Side Room No.3,113
7 - Padalde,Z.P.Primary School East - West Building East Side Room No.3,113
8 - Devghat,Z.P.Primary School East West Building East side Room No.1 (E) Devghat,113
9 - Devghat,Z.P.Primary School East West Building Room No.1 (west),113
10 - Dapur,Z.P.Primary School South - North Building South Side Room No.1,113
11 - Roze,Z.P.Primary School East West Building Room No.1 (west) Roze,113
12 - Kalwadi,Z.P.P.S New South North Building South Side Room No.1,113
13 - Kalwadi,Z.P.P.S New South North Building South Side Room No.3,113
14 - Kalwadi,Z.P.P.S New South North Building South Side Room No.5,113
15 - Kalwadi,Z.P.P.S New South North Building North Side Room No.2,113
16 - Kalwadi,Z.P.P.S East West old Building East Side Room No.1,113
17 - Sakur,Z.P.Primary School East West New Building Room No.1 (E) Sakur,113
18 - Nardane,Z.P.Primary School East West Building Room No.1 (E) Nardane,113
19 - Chinchgavhan,Z.P.Primary School South - North Building Room No.5,113
20 - Chinchgavhan,Z.P.Primary School North -South Building Room No.1 (N),113
21 - Chinchgavhan,Z.P.Primary School North -South Building Room No.3 (N),113
22 - Dahiwal,Z.P.Primary School Nort South Building Room No.2 (E) Dahiwal,113
23 - Dahiwal,Z.P.Primary School North -South Building Room No.1 (N),113
24 - Gigaon,Z.P.Primary School South North Old Building Room No.3 (N) Gigaon,113
25 - Malhangaon,Z.P.Primary School West Side new Building Room,113
26 - Khalane,Z.P.Primary School East-West Building West Side Room No.1,113
27 - Sitane,Z.P.Primary School East West Old Building Room No.1 (W) Sitane,113
28 - Rozane,Z.P.Primary School South-North Building South Side Room No.3,113
29 - Umbarde,Z.P.Primary School South-North Building North Side Room No.2,113
30 - Amode,Z.P.Primary School North -South Old Building Room No.2 (S) Amode,113
31 - Amode,Z.P.Primary School Hexagonal Building Room No.1(S),113
32 - Ajande Pada,Z.P.Primary School Building East side Room No.4 Ajandepada,113
33 - Ajande,Z.P.Primary School West side Room No.2 Ajande,113
34 - Mathurpade,Z.P.Primary School Building East side Room No.2 Mathurpada,113
35 - Yesgaon Bk.,Z.P.Primary School Building west side Room No.1 Yesgaon Bu,113
36 - Yesgaon Bk.,Z.P.Primary School.West Side Room No.2,113
37 - Yesgaon Bk.,Z.P.Primary School.West Side Room No.3,113
38 - Nagaon di,Z.P.Primary School North -South New Building North side Room No.1 Ngaon Di,113
39 - Kaulane (Ni),Z.P.Primary School North -South New Building South side Room No.1 Kaulane Ni.,113
40 - Kaulane Ni.,Z.P.Primary School East-West New Building East Side Room No.1,113
41 - Varhane Pada,Z.P.Primary School. East West Building East side Room No.1 Varhanepada,113
42 - Jwardi Bk.,Z.P.Primary School. Building North side Room No.1 Jwardi Bu,113
43 - Yesgaon Kd.,Swami Vivekanand Vidyalay North side Room No.1,113
44 - Yesgaon Kd.,Swami Vivekanand Vidyalay North side Room No.2 (N),113
45 - Borale,Z.P.Primary School New Building South Side Room No.1,113
46 - Borale,Z.P.Primary School New Building North Side Room No.1,113
47 - Mangalane,Z.P.Primary School. New Room west side Room No.1 Mangalane,113
48 - Malgaon,Z.P.Primary School. East side Room No.1 Malgaon N,113
49 - Malgaon,Z.P.Primary School East Main Building Room No.2,113
50 - Khayade,Z.P.Primary School. West side Room No.1,113
51 - Khayade,Z.P.Primary School. West side Room No.3,113
52 - Nimgaon Khd.,Z.P.Primary School. North side Room No.2 Nimgaon Khu,113
53 - Mehune,Z.P.Primary School East- West Building Room No.1,113
54 - Mehune,Z.P.Primary School. South side Room No.1 Near water tank,113
55 - Mehune,Z.P.Primary School. East side Building North Side Room No.2 (N),113
56 - Varhane,Z.P.Primary School. East-West Building room No 1 (E),113
57 - Varhane,Z.P.Primary School. Old Building North side Room No 1,113
58 - Sonaj,Z.P.Primary School. East West Building East side Room No 1 Sonaj,113
59 - Sonaj,Z.P.Primary School. West side South -North Building Room No 1 (N),113
60 - Sonaj,Z.P.Primary School.South- North Building South side Room No 2,113
61 - Takli,Z.P.Primary School. North side Building west side Room No 2 Takali,113
62 - Takli,Z.P.Primary School. Building no 1 South side Room No.2,113
63 - Takli,Z.P.Primary School. New Building North side Room No 2,113
64 - Shirsondi,Z.P.Primary School. New Building North side Room No 2 Shirsondi,113
65 - Shirsondi,Z.P.Primary School new East- West Building East Side Room No.1,113
66 - Manjare,Z.P.Primary School. Building West Side Room No 2 Manjare,113
67 - Manjare,Z.P.Primary School. East -West Building side Room No 2 (E),113
68 - Ghodegaon,Z.P.Primary School.-East Side Room No 2 Ghodegaon,113
69 - Ghodegaon,Z.P.Primary School Hexagonal Building Room No.2(S),113
70 - Nimgaon,Z.P.Primary School. No 1 South side Building West side Room No 1 Nimgaon,113
71 - Nimgaon,Z.P.Primary School. No.1 west side Room No3 (W),113
72 - Nimgaon,Z.P.Primary School.No.1 East side Room No1,113
73 - Nimgaon,Z.P.Primary School.No.2 East side Room No.1,113
74 - Nimgaon,Z.P.Primary School.No.2 East side Room No.4,113
75 - Gilane,Z.P.Primary School.Building No 2 West side Room No.1 Gilane,113
76 - Gilane,Z.P.Primary School. 2 East side Room No.2,113
77 - Nimgule,Z.P.Primary School. West side Room No.2 Nimgule,113
78 - Nimgule,Z.P.Primary School. West side Room No.1 Nimgule,113
79 - Malgaon (na),Z.P.P.S East West New Building East Side Room No.1,113
80 - Malgaon (na),Z.P.P.S East West New Building West Side Room No.3,113
81 - Kalmdari,Z.P.Primary School.old Building North South North side Room No.1 Kalamdari,113
82 - Kalmdari,Z.P.Primary School New Building East West Building East side Room No.1,113
83 - Vehelgaon,Z.P.Primary School New Building West side Room No 3,113
84 - Vehelgaon,Z.P.Primary School South North Building North side Room No.1,113
85 - Vehelgaon,Z.P.Primary School old Building West side Room No.1 Vehelgaon,113
86 - Palashi,Z.P.Primary School East side Room No.4 Palashi,113
87 - Palashi,Z.P.Primary School East side Room No.1,113
88 - Patharde,Z.P.Primary School West side Room No.1 Palashi,113
89 - Chaukadpade,Z.P.Primary School North Side Hexagonal Room 1,113
90 - Jalgaon Ni.,Z.P.Primary School East side Room .1,113
91 - Jalgaon Ni.,Z.P.Primary School East side Room No.3,113
92 - Jalgaon (Ni),Z.P.Primary School East-West Building West Side Room No.2,113
93 - Jalgaon Ni.,Z.P.Primary School North side Room No.4,113
94 - Savkarwadi,Z.P.Primary School West-East Building West Side Room No.1,113
95 - Savkarwadi,Z.P.Primary School East side Room No.1,113
96 - Zadi,Z.P.Primary School South West Side Room No.1,113
97 - Zadi,Z.P.Primary School South Side Room No.2,113
98 - Zadi,Z.P.Primary School South Side Room No.3,113
99 - Earandgaon,Z.P.Primary School East-West Building West Side Building Room No.2,113
100 - Erandgaon,Z.P.Primary School East side Room No.2,113
101 - Chondhi,Z.P.Primary School West side Room No.2 Chondhi,113
102 - Nimbayati,Z.P.Primary School East side Room No.2,113
103 - Nimbayati,"Z.P.Primary School Jivan shikshan Vidyalay, North side Room No.1",113
104 - Nimbayati,Z.P.Primary School Jeevan Shikshan Vidyalay North side Room No.4,113
105 - Jatpade,Z.P.Primary School South side Room No.1 Jatpade,113
106 - Jeur,Z.P.Primary School South side Room No.3 Jeur,113
107 - Jeur,Z.P.Primary School North side Room No.2 Jeur,113
108 - Sakuri (ni ),Z.P.Primary School North side Room No.5 Sakuri (ni),113
109 - Sakuri (ni ),Z.P.Primary School North side Room No.3 Sakuri (ni ),113
110 - Sakuri (ni ),Z.P.Primary School South side Room No.2,113
111 - Jamdari,Z.P.Primary School West side Room No.3 Jamdari,113
112 - Jamdari,Z.P.Primary School South Side Room No.2,113
113 - Talwade,Z.P.Primary School North side Room No.3 Talwade,113
114 - Talwade,Z.P.Primary School East side Room No 1,113
115 - Savargaon,Z.P.Primary School West side Room No 2 Savargaon,113
116 - Savargaon,Z.P.Primary School west side Room No.4,113
117 - Pimprale,Z.P.Primary School West side Room No.1 Pimprale,113
118 - Pimprale,Z.P.Primary School West side Room No.3 Pimprale,113
119 - Wakhari,Kisan Madhyamik Vidyalay North Side Room No.2,113
120 - Wakhari,Kisan Madhyamik Vidyalay North Side Room No.4,113
121 - Boysgaon,Kisan Primary School North side Room No.1 Boysegaon,113
122 - Bhardi,Z.P.Primary School New Building North-South Building side Room No.1 Bhardi,113
123 - Nandur,Z.P.Primary School New Building North side Room No.1 Nandur,113
124 - Nandur,Z.P.Primary School Building North side Room No.1,113
125 - Darhel,Z.P.Primary School East West Building East side Room No.2(E) Darhel,113
126 - Sakora,Z.P.P.S.NEW East -West Building East Side Room No 2,113
127 - Sakore,K. B. P. High school South Side Room No.2,113
128 - Sakore,K. B. P. High school East Side Room No.4,113
129 - Sakore,K. B. P. High school South Side Room No.6,113
130 - Sakora,Z.P.P.S.NEW North -South Building North Side Room No 2,113
131 - Sakora,Z.P.P.S.NEW North -South Building South Side Room No 1,113
132 - Sakora,Z.P.P.S.NEW North -South Building North Side Room No 3,113
133 - Muldongari,Z.P.Primary School West Side Room No.1 Muldongari,113
134 - Muldongari,Z.P.Primary School New Building South side Room No.1,113
135 - Birole,Z.P.Primary School New Building North Side Room No.1 Birole,113
136 - Naydongari,Z.P.Primary School East side Room No.1 Naydongari,113
137 - Naydongari,Z.P.Primary School West side Room No.1,113
138 - Naydongari,Z.P.Primary School From East side Room No.5,113
139 - Naydongari,Lokanet Adv Vijay Shivram aherVidyalay old Building From west side Room no.5,113
140 - Naydongari,Lokanet Adv. Vijay Shivram Aher Vidyalay North side Room no.1,113
141 - Naydongari,Lokanet Adv. Vijay Shivram Aher Vidyalay North side Room no.3,113
142 - Naydongari,Lokanet Adv. Vijay Shivram Aher Vidyalay old Building From west side Room no.2,113
143 - Rankheda,Z.P.Primary School Building Rankheda,113
144 - Chandore,Z.P.Primary School Building Chandore,113
145 - New Panzan,"Z.P.Primary School west side Room No.1,New Panzan",113
146 - Kondhar,Z.P.Primary School East side Room No.1 Kondhar,113
147 - Dhaner,Z.P.Primary School New Building East side Room Dhaner,113
148 - Khadgaon,Z.P.Primary School west side Eastern Room No.1 Khadgaon,113
149 - Khadgaon,"Z.P.Primary School . East West ,side Room.1 No.1",113
150 - Navsari,Z.P.Primary School Hexagonal Room . No.1,113
151 - Hiswal Bk.,Z.P.Primary School . North side Old Building Room No.1 Hisaval Bu,113
152 - Hiswal Bk.,Z.P.Primary School East side Building Room No.1 (N),113
153 - Hirnagar,Z.P.Primary School West Side Building Room No-1,113
154 - Gangadhari,Z.P.Primary School west side Building Room No.1 Gangadhari,113
155 - Gangadhari,Z.P.Primary School west side Building Room No.2,113
156 - (Girnanagar) Nandgaon,Education college South side Room No .2 (girnanagar),113
157 - (Shriramnagar) Nandgaon,Kamlabai M. Kasalival Vidyalay ground Floor East Side Room No.1 (shiram nagar),113
158 - Hinganwadi,Z.P.Primary School Hexagonal Building hingan wadi,113
159 - Nandgaon,Education college North side Room No .2 (hanuman nagar),113
160 - Nandgaon,New English School Main Building East Side Room No.1,113
161 - Nandgaon,New English School Main Building West Side Room No.1,113
162 - Krantinagar,Z.P P.School Savta nagar East Side room Krantinagar,113
163 - Krantinagar,G.P.office (Savta Nagar) Krantinagar,113
164 - Nandgaon,"Old Teasury Office,old Tahsil Office Area",113
165 - Fulenagar,Z.P.Primary School New Hexgonal Building fule Nagar,113
166 - Nandgaon,Savitribai girls High School ground Floor East West Building East side Room no.2,113
167 - Nandgaon,Savitribai girls High School ground Floor East West Building East side Room no.4,113
168 - Nandgaon,Muncipal urdu School 1 Aurangabad Road Near railway masjid nandgaon,113
169 - Nandgaon,Muncipal primary Boys School No.2 Room No.1 Hamalvada,113
170 - Nandgaon,V. J. High School North South Building west side room no.16,113
171 - Nandgaon,Muncipal primary Boyss School No.2 Room No.2 Hamalvada,113
172 - Nandgaon,Nandgaon Co.Op. Multi Purpose So. Ltd. Shivsfurti Maidan Nandgaon,113
173 - Nandgaon,V. J. High School main Building West side room no.7,113
174 - Nandgaon,V. J. High School Main Building West side room no.3,113
175 - Nandgaon,Kamlabai M. Kasalival Vidyalay ground Floor Room No.3 From East Side,113
176 - Nandgaon,"Muncipal School No.10 Gandhinagar, Room No.3",113
177 - Nandgaon,Agricultural produce Market committee south side room no 1,113
178 - Nandgaon,Agricultural produce Market committee office North Side Room,113
179 - Malharwadi,Z.P. Primary School West Side room no.1 Malharwadi,113
180 - Malharwadi,Z.P. Primary School East Side room no.1 Malharwadi,113
181 - Nandgaon,Lokmanya Vachanalay Gandhichauk Nandaganv,113
182 - Nandgaon,V. J. High School Main Building From West side Room No.5,113
183 - Nandgaon,Savitribai Phule Girl Highschool Ground floor North Side Room No.1,113
184 - Babhulwadi,Z.P.Primary School East side Room .2 Babhulwadi,113
185 - Jalgaon Khd.,Z.P.Primary School west side Room .2 Jalgaon Khu,113
186 - Jalgaon Khd.,Z.P.Primary School west side Room .1,113
187 - Pimparkhed,Z.P.Primary School East side Room .2 Pimparkhed,113
188 - Pimparkhed,Z.P.Primary School West side Room .2,113
189 - Pimparkhed,Z.P.Primary School West side Room .1,113
190 - Pardhadi,Z.P.Primary School Northt Side Room No.1,113
191 - Pardhadi,Z.P.Primary School East side Room .2,113
192 - Hingane Dehere,Z.P.Primary School North side Room .1 Higanedehare,113
193 - Pimpri Haveli,Z.P.Primary School South side Room .4 Pimprihaweli,113
194 - Pimpri Haveli,Z.P.Primary School East side Room .1,113
195 - Chinchvihir,Z.P.Primary School West side Room .1 Chinchvihir,113
196 - Chinchvihir,Z.P.Primary School East side Room 1,113
197 - Jalgaon Bk.,Z.P.Primary School west side Room .1,113
198 - Jalgaon Bk.,Z.P.Primary School East side Room .1,113
199 - Pokhari,Z.P.Primary School East side Room .1 Pokhari,113
200 - Pokhari,Z.P.Primary School West side Room 1,113
201 - Hiswal Khd.,Z.P.Central.Primary School East side Room .1,113
202 - Hiswal Khd.,Z.P.Central.Primary School East side Room .2,113
203 - Dhotane Khd.,Z.P.Primary School North side Room .2 Dhotane,113
204 - Dhotane Bk.,"Z.P.Primary School South side Building, Room .1 (W)",113
205 - Panzandev,Z.P.Primary School New Building East Side Room No.3 Panzandev,113
206 - Astagaon,Z.P.Primary School Building North Side Room .1 Astagaon,113
207 - Astagaon,Z.P.Primary School Building North Side Room .2 Astagaon,113
208 - Manmad,Nagarpalika School East-West Building East Side Room No.3,113
209 - Manmad,Muncipal education Primary School No.11 Budhal wadi West side Room No.1,113
210 - Manmad,Muncipal education Pri.School Number 11 Anganvadi,113
211 - Manmad,Muncipal education Marathi Primary School No.11 Budal wadi Room No. 1(E),113
212 - Manmad,MaNorama Sadan Primary School North Side Room No.2,113
213 - Manmad,MaNorama Sadan Primary School North Side Room No.3,113
214 - Manmad,Krushi Utpann Bazaar Samiti Compound Merchant Bhavan,113
215 - Manmad,"Krushi Utpann Bazaar Samiti KaryalaWest Side, Room No.1 Manmad",113
216 - Manmad,"Mahatma Gandhi Vidhya Mandir Arts,com Collage West Side Room Manmad",113
217 - Manmad,"Mahatma Gandhi Vidhya Mandir Arts,com Collage North Side Room Manmad",113
218 - Manmad,Mahatma.Gandhi Vidya Mandir Art & Comm. College East Side Room No.1,113
219 - Manmad,Muncipal School No. 13 Ambedkar Nagar North side Room No.2,113
220 - Manmad,Muncipal School No. 13 Ambedkar Nagar west side Hexagonal Buliding,113
221 - Manmad,Muncipal School No. 7 Burukul wadi East side Building Manmad,113
222 - Manmad,Muncipal School No. 7 Burukul wadi West side Hexagonal Building Manmad,113
223 - Manmad,Chhatre New English School North side Room No.2 Science Hall Manmad,113
224 - Manmad,Chhatre New English School Old Buliding Room No.4 South Side Manmad,113
225 - Manmad,Muncipal Education Primary School No.1 East side Room No.2 Manmad,113
226 - Manmad,Muncipal Education Primary School No.1 North side Room No.1 Manmad,113
227 - Manmad,Muncipal Education Primary School No.3 South side Room No.1 Manmad,113
228 - Manmad,Muncipal Education Primary School No.3 East North side Room No.1 Manmad,113
229 - Manmad,Central Railway Jr.Railway Institute Room No.2,113
230 - Manmad,Central Railway Sr.Railway Institute East side Room No.1,113
231 - Manmad,Central Railway Sr.Railway Institute South side Room No.3,113
232 - Manmad,Sent Xavier High school North South Building North Side Room No.2 Manmad,113
233 - Manmad,Central Railway Sr.Railway Institute North side Room No.1,113
234 - Manmad,Muncipal Education Primary School No.14 Room No.5 Manmad,113
235 - Manmad,Sent Xavier Highschool East West Building East side Room no.3 Manmad,113
236 - Manmad,Sent Xavier Highschool North South Building South side Room No.3 Manmad,113
237 - Manmad,"Sant Barnaba Primary School,North-South Building, South Side Room No.- 2",113
238 - Manmad,Sant Barnaba ITI North-South Building North Side room No.2,113
239 - Manmad,Sent Xavier High School East-West Building West Side Room No.2,113
240 - Manmad,Sent Xavier Primary School North-South BuildingSouth Side Room No.3,113
241 - Manmad,"Sent Xavier Primary School North-South Building,North Side Room No.2",113
242 - Manmad,Sent Barnaba Primary School North side Room No.1,113
243 - Manmad,Indian Highschool West Side Jina Near Room No 7,113
244 - Manmad,Mahatma Gandhi Liabrary South Side Room,113
245 - Manmad,Muncipal Education Azad Road Manmad,113
246 - Manmad,Ikra Mulinchi Urdu Madhyamik Vidyalay N. Pa. Shala Kr. 18 V 19 North Side Room No.2 Manmad,113
247 - Manmad,Ikra Mulinchi Urdu Madhyamik Vidyalay N. Pa. Shala Kr. 18 V 19 South Side Room No.1 Manmad,113
248 - Manmad,Ikra Mulinchi Urdu Madhyamik Vidyalay N. Pa. Shala Kr. 18 V 19 South Side Room No.2 Manmad,113
249 - Manmad,Muncipal Education Primary School No.8& 9 West Side Room No.4,113
250 - Manmad,Muncipal Education Primary School No.8& 9 West Side Room No.2,113
251 - Manmad,Mahatma Gandhi Vachnalay (Near Talathi Office),113
252 - Manmad,Muncipal Educational circle Primary School. No.15 and 17 shivaji chouk North Side Room No.1 Manmad,113
253 - Manmad,Muncipal Educational circle Primary School. No.15 and 17 shivaji chouk west Side Room No.1 Manmad,113
