PS No & Name,Address,Constituency Number
1 - Katarvel,"Z.P. Primary School, South -North Building of West, First Room From North.",116
2 - Tungan digar,"Z.P.Primary School, North South Building, First Room From North.",116
3 - Bhilwad,"Z.P.Primary School, West Side Old Room.",116
4 - Borhate,"Z.P.Primary School, East Side Room.",116
5 - Mohlangi,"Z.P.Primary School, East Side Room.",116
6 - Dhanale Pada/ Phule nagar,"Z.P.Primary School Dhanalepada, Hexagonal Room.",116
7 - Golwad,"Z.P.Primary School Golwad, Hexagonal Room.",116
8 - Jaitapur,"Z.P.Primary School, South Side Room.",116
9 - Maliwade,"Z.P.Primary School Bhilatipade, North Side Room .",116
10 - Ganeshnagar,"Z.P.Primary School Maliwade, First Room From North.",116
11 - Daswel,"Z.P.Primary School, First Room From South.",116
12 - Pimpalkothe,"Z.P.Primary School, North-South Building From West, Second Room From North.",116
13 - Pimpalkothe,"Z.P.Primary School, North-South Building of East Side, Second Room From North.",116
14 - Daregaon,"Z.P.Primary School, East-West Building, First Room From East.",116
15 - Nandin,"Z.P.Primary School, South- North Building, First Room From South.",116
16 - Jaipur,"Z.P.Primary School, First Room From North.",116
17 - Eklahare,"Z.P.Primary School Eklahare, Hexagonal Room.",116
18 - Wadipisol,"Z.P.Primary School, South- North Building, North Side Room No. 1.",116
19 - Tingari,"Z.P.Primary School, East-West Room, North Side Door.",116
20 - Bilpuri,"Z.P.Primary School, First Room From South.",116
21 - Bodhari,"Z.P.Primary School, North Side Room No 1.",116
22 - Rahud,"Z.P.Primary School, South-North Building, Room No. 1.",116
23 - Chirai,"Z.P.Primary School, East Side Room No. 1.",116
24 - Bahirane,"Z.P.Primary School, West Side Room No. 1.",116
25 - Mahad,"Z.P.Primary School, First Room From West.",116
26 - Talwade Bhamer,"Z.P.Primary School, North -South Building, First Room From North.",116
27 - Talwade Bhamer,"Z.P.Primary School, North South Building, Third Room From North.",116
28 - Vade khurd,"Z.P.Primary School, Room No. 2 (Road Side) .",116
29 - Tandulwadi,"Z.P.Primary School, North - South Building, fourth Room From North.",116
30 - Tandulwadi,"Z.P.Primary School, North South Building, First Room From North.",116
31 - Bhadane,"Z.P.Primary School, East West Building, First Room From East .",116
32 - Sheware,"Z.P.Primary School, South-North Building, First Room From North.",116
33 - Deothan/Morane digar,"Sarva Shiksha Abhiyan, Hexagonal Room .",116
34 - Jad,"Z.P.Primary School, West Side Room No. 1.",116
35 - Gautam nagar,"Z.P.Primary School Gokulpada, South Side Room.",116
36 - Vadedigar,"Z.P.Primary School Haranbari, South-North Building of West, Room No. 2.",116
37 - Sompur,"Z.P.Primary School, East West Building of North Side, First Room From West.",116
38 - Sompur,"Z.P.Primary School, West Side Room No. 1 ( North Side Door) .",116
39 - Sompur,"Z.P.Primary School, North South Building, First Room From North .",116
40 - Jaikheda,"Z. P. Primary School, North Side Room No. 1",116
41 - Jaikheda,"Z. P. Primary School, East West Building, First Room From West.",116
42 - Jaikheda,"Z.P.Primary School, East Side Room No. 1",116
43 - Jaikheda,"Z.P.Primary School, East West Building, First Room From East.",116
44 - Jaikheda,"Janata English School & Junior College Jaikheda, North-South Building Second Room From North.",116
45 - Jaikheda,"Janata English School & Junior College Jaikheda, North-South Building, Fourth Room From South.",116
46 - Shripurvade,"Z.P.Primary School, East West Building, First Room From East.",116
47 - Brahmanpade,"Z.P.Primary School, East-West Building, East Side Second Room.",116
48 - Brahmanpade,"Z.P.Primary School, East-West Building, East Side Third Room.",116
49 - Varche Tembhe,"Z.P.Primary School, North Side Room No. 1.",116
50 - Khalche Tembhe,"Z.P.Primary School, North Side Room No. 2.",116
51 - Utrane,"Z.P.Primary School, East West Building, First Room From West.",116
52 - Utrane,"Z.P.Primary School, East West Building, Second Room From West.",116
53 - Rajpurpande,"Z.P.Primary School, East Side Room No. 1.",116
54 - Waghale,"Z.P.Primary School, West Side Room No. 1.",116
55 - Waghale,"Z.P. Primary School, East West Building, Second Room From West.",116
56 - Anandpur,"Z.P.Primary School, East Side Room No. 3.",116
57 - Ladud,"Z.P.Primary School, East West Builiding, Second Room From West.",116
58 - Taharabad,"Z.P.Primary School,North South Building of West Side, First Room From South.",116
59 - Taharabad,"Z.P.Primary School, East West Building, Second Room From West .",116
60 - Taharabad,"Z.P.Primary School, North South Building of East Side, Second Room From South.",116
61 - Taharabad,"New English School & Junior College Taharabad, South North Building, Second Room from North.",116
62 - Taharabad,"New English School & Junior College Taharabad, East West Building, Second Room From East.",116
63 - Taharabad,"New English School & Junior College Taharabad, East West Building, Second Room From West.",116
64 - Antapur,"Z.P.Primary School North South Building of West Side, First Room From North.",116
65 - Antapur,"Z.P.Primary School, North South Building West Side, Fourth Room From South.",116
66 - Antapur,"Z.P.Primary School, North South Building West Side, Second Room From North.",116
67 - Antapur,"Z.P.Primary School, North South Building West Side, Third Room From South.",116
68 - Mulher,"Z.P.Primary School, North Side East- West Building, Room No. 2.",116
69 - Mulher,"Z.P.Primary School, East Side South-North Building No. 2.",116
70 - Mulher,"Z.P.Primary School, South Side East-West Building Room No. 2.",116
71 - Jamoti,Sarva Shiksha Abhiyan Hexagonal Room.,116
72 - Ajande,"Z.P.Primary School, Hexagonal Room of North Side.",116
73 - Aliyabad,"Z.P.Primary School Aliyabad, Hexagonal Room.",116
