PS No & Name,Address,Constituency Number
1 - Hadkaichond,Zilla parishad Primary School Hadkaichond East Room No.1,117
2 - Chinchle,Zilla parishad primary Shcool Chinchle East Side Room No.1,117
3 - Kelipada,Zilla parishad primary School Kelipada Room No.1,117
4 - Chandrapur,Zilla parishad primary School Chandrapur Room No.1,117
5 - Punadnagar (Bhauti),"Zilla parishad primary school, Punadnagar Room No.1",117
6 - Hanumantmal,Anganwadi Building Room No.1,117
7 - Kharde digar,"Zilla parishad Primary School,Kharde digar North side Room No.1",117
8 - Umbargawhan,"Zilla parishad primary school,Umbargawhan Room No.1",117
9 - Kukudne,Zilla parishad primary Shcool Kukudne South Side Room No.1,117
10 - Chinchpada,Zilla parishad primary School Chinchpada North Side Room No.1,117
11 - Bhadarpada,Zilla parishad primary School Bhadarpada Room No.1,117
12 - Pangarne,Zilla parishad primary Shcool Pangarne East Side Room No.1,117
13 - Pangarne,Zilla parishad primary Shcool Pangarne East Side Room No.2,117
14 - Pimpasond,Zilla parishad primary School Pimpalsond West Side Room. No.1,117
15 - Chapawadi,Zilla parishad primary School Chapadawadi North Side Room No,117
16 - supale digar,"Zilla parishad primary school,Supale digar Room No.1",117
17 - Pratapnagar,"zilla parishad primary school, pratapnagar, (Devnali) Digital building .",117
18 - Kathare digar,"Zilla parishad primary school,Kathare digar Room No.1",117
19 - Bhutane digar,"Zilla parishad primary school,Bhutane digar Room No.1",117
20 - Malgaon Khurd,Zilla Parishad Primary School Malgaon Khurd Room No. 1,117
21 - Malgaon Budruk,Zilla Parishad Primary School Malgaon Budruk Room No. 1,117
22 - Gopalnagar,Zilla parishad primary School Gopalnagar Room No.1,117
23 - Galbari,Zilla parishad primary School Galbari East Side Room No.1,117
24 - Sundarban,Zilla parishad primary School Sundarbar East Side Room No.1,117
25 - Ragatvihir,Zilla parishad primary School Ragatvihir West Side Room No 1,117
26 - Naikpada,Zilla parishad primary School Naikpada Room No.1,117
27 - Phanashpada,Zilla parishad primary School Phanashpada East Side Room No,117
28 - Mandha,Zilla parishad primary School Mandha East Room No.1,117
29 - Guhi (Jambhulpada),Zilla Parishad Primary School Guhi (Ja) North Side Room,117
30 - Jambhulpada (Guhi),Zilla parishad primary School Jambhulpada (Guhi) Room No.1,117
31 - Karajul (K),Zilla parishad primary School Karanjul (K) South Side Room No 1,117
32 - Borchonda,Zilla parishad primary School Borchond Room No.1,117
33 - Khuntvihir,Zilla parishad primary School Khuntvihir Room No.1,117
34 - Gaundagad,Zilla parishad primary School Gaundagad West Side Room No.1,117
35 - Udaldari,Zilla parishad primary School Udaldari Room No.1,117
36 - Karajul (Su),Zilla parishad primary School Karanjul Su South Side Room No 1,117
37 - Devaldari,Zilla parishad primary School Devaldari East Side Room No.1,117
38 - Walutzira,Zilla parishad primary School Walutzira Room No.1,117
39 - Dolhare,Zilla parishad primary School Dolhare North Side Room No.1,117
40 - Subhashnagar,Zilla parishad primary School Subhashnagar Room No.1,117
41 - Rasha,"Zilla parishad primary School Rasha South Side Room No,1",117
42 - Ganore,"Zilla parishad Primary School,Ganore south north building North side Room No.2",117
43 - Ganore,"Zilla parishad Primary School,Ganore south north building South side Room No.2",117
44 - Hundyamokh,"Zilla parishad primary school, HundyamokhRoom No.1",117
45 - Dahyane digar,"Zilla parishad primary school,Dahyane digar Room No.1",117
46 - Pimple budruk,"Zilla parishad primary school,Pimple burduk Room No.1",117
47 - Sawarpada,"Zilla parishad primary school,Sawarpada, south-North Building",117
48 - Khadaki,"Zilla parishad Primary School, Khadaki West side New Room No 1",117
49 - Koswan,"Zilla parishad primary school,Koswan Room No.1",117
50 - Mulkhundapada (Koswan),"Zilla parishad primary school,Bagulhuda Room No.1",117
51 - Wirshet,"Zilla parishad Primary School,Wirshet South side Room No.1",117
"52 - ""MANGLIDAR ( Virshet )",jilla parishad Prathamik Shala Mangali dar Room No.1,117
53 - Punegao,"Zilla parishad Primary School,Punegaw North side Room No.1",117
54 - Jaydar,"Zilla parishad primary school, JaydarRoom No.1",117
55 - Sule,"Zilla parishad Primary School,Sule East side Hexagon Room No.1",117
56 - Dhaner digar,"Zilla parishad Primary School,Dhaner digar East side Room No.1",117
57 - Darebhanagi,"Zilla parishad primary school, DarebhanagiRoom No.1",117
58 - Umbarthan,"Zilla Parishad Primary school Umbarthan, East Side, Room No. 1",117
59 - Wadpada,Zilla parishad primary School Wadpada South Room No.1,117
60 - Umbathan (Ni),"Zilla Parishad Primary school Umbarthan (Ni), Room No. 1",117
61 - Kathipada,Zilla parishad primary School Kathipada South Room No.1,117
62 - Payarpada (K),"Zilla Parishad Primary School Payarpada East Side, Room No.1",117
63 - Ambatha,Zilla parishad Primary School Ambatha South Side Room No.1,117
64 - Santkhamb,Zilla parishad primary School Santkamb Room No.1,117
65 - Kothula,Zilla parishad primary School Kothula East Side Room No.1,117
66 - Bhormal (Mo),Aadhivashi ashram secondry school bhormal East Side Room No. 1,117
67 - Bhormal (La),Zilla parishad primary Schooll Bhormal (La) West Side Room N,117
68 - Umbarpada (Su),Zilla parishad primary School Umbarpada East Side Room No.1,117
69 - Palvihir,Zilla parishad primary School Palvihir Room No.1,117
70 - Bhawandagad,Zilla parishad primary School Room No.1,117
71 - Bhadarpada,Zilla parishad primary School Bhadar North Side Room No.1,117
72 - Satbhabal,Zilla parishad primary School Satbhabal Room No.1,117
73 - Wisapur,"Zilla parishad primary school, south, room no.1",117
74 - Bijore,"Zilla parishad Primary School, south, Bijore south side room no.1",117
75 - Mokbhanagi,"Maratha vidya prasarak Mandlache Mahatma Phule High School,Mokbhangi, North side room No.2",117
76 - Mokbhanagi,"Maratha vidya prasarak Mandlache Mahatma Phule High School,Mokbhangi, North side room No.4",117
77 - Desrane,"Zilla parishad primary school,Wast, room no.1",117
78 - Desrane,"Zilla parishad primary school, East, room no.3",117
79 - Nalid,"Zilla parishad primary school,Nalid, Room No.1",117
80 - Bhandane pimple,"Zilla parishad Primary School,east, Bhandane pimple, North side Room No.",117
81 - Dharde digar,"Zilla parishad Primary School,new building, dharde digar North side Room no.1",117
82 - Paadgan,"Zilla parishad primary school, North side, room no.2",117
