PS No & Name,Address,Constituency Number
1 - Khamkheda,"Zilha Parishad Primary School, Khamkheda East West Building Room No. 2 From Eastern side",118
2 - Khamkheda,"Zilha Parishad Primary School, Khamkheda East West Building Room No. 4 From Eastern side",118
3 - Khamkheda,"Zilha Parishad Primary School, Khamkheda East West Building Room No. 7 From Eastern side",118
4 - Sawki (Lo),"Zilha Parishad Primary School, Sawki North South Building Room No.3 from Southern side",118
5 - Sawki (Lo),"Zilha Parishad Primary School, Sawki East West Building Room No.1 from Eastern side",118
6 - Lohaner,"Zilha Parishad Primary School,Lohner North South Eastern Building Room no.1 from Nothern side",118
7 - Lohaner,"Zilha Parishad Primary School, Lohner North South Eastern Building Room no.3 from North side",118
8 - Lohaner,"Zilha Parishad Primary School, Lohner North South Western Building Room no.2 from North side",118
9 - Lohaner,"Zilha Parishad Primary School, Lohner North South Western Building Room no.3 from North side",118
10 - Lohaner,"Janata High School, Lohner East West Southern Building Room No. 6 from East side",118
11 - Lohaner,"Janata High School, Lohner East West Southern Building Room No. 8 from East side",118
12 - Khalap,"Zilha Parishad Primary School,Khalap North South new Building Room no.3 from South side",118
13 - Khalap,"Zilha Parishad Primary School, Khalap North South old Building Room no.1 from South side",118
14 - Khalap,"Zilha Parishad Primary School, Khalap North South new Building Room no.1 from South side",118
15 - Vasol,"Zilha Parishad Primary School, Vasol East West Building Room no.3 from West side.1",118
16 - Vasol,"Zilha Parishad Primary School, Vasol North South Building Room no.3 from North side.",118
17 - Vasol,"Zilha Parishad Primary School, Vasol East West Building Room no.1 from West side.",118
18 - Vasol Fulenagar,"Zilha Parishad Primary School, Fulenagar East West Building Room No. 3 from West side",118
19 - Mahalpatane,"Zilha Parishad Primary School, Mahalpatane North south Building Room No.1 from South side",118
20 - Mahalpatane,"Zilha Parishad Primary School,Mahalpatane North South Building Room No. 4 from South side",118
21 - Mahalpatane,"Zilha Parishad Primary School, Mahalpatane North south Building Room No.6 from South side",118
22 - Nimbola,"Zilha Parishad Primary School, Nimbola East West Building Room No. 1 from East side",118
23 - Nimbola,"Zilha Parishad Primary School, Nimbola North South Building Room No.2 from South side",118
24 - Nimbola,"Zilha Parishad Primary School, Nimbola North South Building Room No.4 from South side",118
25 - Devpurpade,"Zilha Parishad Primary School Devpurpade. East West Building, Room No.1 from West Side",118
26 - Devpurpade,"Zilha Parishad Primary School, Devpurpade, North South Building Room No.1 From South side.",118
27 - Vithewadi Lo,"Zilha Parishad Primary School Vithewadi (Lo.) North South Building, Room No.1 from North Side",118
28 - Zirepimpal,"Zilha Parishad Primary School Zirepimpal. North South Building, Room No.2 from North Side",118
29 - Bhaur,"Zilha Parishad Primary School Bhaur. East West Building, Room No.1 from East Side",118
30 - Bhaur,"Zilha Parishad Primary School Bhaur. East West Building, Room No.3 from East Side",118
31 - Bhaur,"Zilha Parishad Primary School Bhaur. East West Building, Room No.5 from East Side",118
32 - Varvandi,"Zilha Parishad Primary School Varvandi. East West Building, Room No.1 from West Side",118
33 - Satwaiwadi,"Zilha Parishad Primary School Satwaiwadi. East West Building, Room No.2 from West Side",118
34 - Satwaiwadi,"Zilha Parishad Primary School Satwaiwadi. East West Building, Room No.4 from West Side",118
35 - Malwadi,"Zilha Parishad Primary School, Malwadi, North South Building Room No.2 from South side",118
36 - Malwadi,"Zilha Parishad Primary School Malwadi. East West Building, Room No.1 from East Side",118
37 - Fulemalwadi,"Zilha Parishad Primary School Fulemalwadi. North South Building, Room No.1 from South Side",118
38 - Fulemalwadi,"Zilha Parishad Primary School Fulemalwadi. East West Building, Room No.1 from West Side",118
39 - Khadaktale,"Zilha Parishad Primary School Khadaktale. East West Building, Room No.1 from East Side",118
40 - Meshee,"Zilha Parishad Primary School Meshi. East West Building, Room No.1 from West Side",118
41 - Meshee,"Zilha Parishad Primary School Meshi. East West Building, Room No.3 from West Side",118
42 - Meshee,"Zilha Parishad Primary School Meshi. East West Building, Room No.5 from West Side",118
43 - Meshee,"Zilha Parishad Primary School Meshi. North South Building, Room No.2 from North Side",118
44 - Dongargaon,"Zilha Parishad Primary School Dongargaon. East West Building, Room No.2 from East Side",118
45 - Dongargaon,"Zilha Parishad Primary School Dongargaon. East West Building, Room No.4 from East Side",118
46 - Khuntewadi,"Zilha Parishad Primary School Khuntewadi. North South Building, Room No.2 from South Side",118
47 - Khuntewadi,"Zilha Parishad Primary School Khuntewadi. East West Building, Room No.2 from West Side",118
48 - Deola,"Karmveer ramrao Aher college of Arts,commerce & science Deola. North South buiding Room.no. 2 from south.",118
49 - Deola,"Karmveer ramrao Aher college of Arts,commerce & science Deola. North South buiding Room.no. 3 from south.",118
50 - Deola,Shri Shivaji Maratha English School Deola. North South Buiding Room No.3 from South.,118
51 - Deola,Shri Shivaji Maratha English School Deola. North South Buiding Room No.4 from South.,118
52 - Vijaynagar,"Zilha Parishad Primary School Vijaynagar. North South Building, Room No.3 from South Side",118
53 - Deola,"Zilha Parishad Primary School Deola. East West Building, Room No.2 from East Side",118
54 - Deola,"Zilha Parishad Primary School Deola. North South Building, Room No.1 from South Side",118
55 - Deola,"Zilha Parishad Primary School Deola. North South Building, Room No.3 from South Side",118
56 - Deola,Shri Shivaji Maratha English School Deola.East West Buiding Room No.2 from East.,118
57 - Matane,"Zilha Parishad Primary School Matane East West Building, Room No.1 from West Side",118
58 - Matane,"Zilha Parishad Primary School Matane. North South Building, Room No.1 from South Side",118
59 - Gunjalnagar,"Zilha Parishad Primary School Gunjalnagar. North South Building, Room No.1 from South Side",118
60 - Gunjalnagar,"Zilha Parishad Primary School Gunjalnagar. North South Building, Room No.3 from South Side",118
61 - Shrirampur,"Zilha Parishad Primary School Shrirampur East West Building, Room No.1 from East Side",118
62 - Shrirampur,"Zilha Parishad Primary School Shrirampur. North South Building, Room No.1 from South Side",118
