PS No & Name,Address,Constituency Number
1 - Katarni,"Z.P. Primary School, East Side Room No. 1",119
2 - Katarni,"Z.P. Primary School, East Side Room No. 2",119
3 - Murmi,"Zilla parishad Primary School, New building, West Side Room no 2",119
4 - Nilkhede,"Z.P. Primary School, North Side Room No.1",119
5 - Somthan desh,"Z.P. Primary School, East Side Room No.2",119
6 - Somthan desh,"Z.P. Primary School, East Side, Room No. 4",119
7 - Ambegaon,"Z.P. Primary School Building, East Side Room No. 2",119
8 - Velapur,"Z.P. Primary School, West Side Room No. 2",119
9 - Velapur,"Z.P. Primary School, East Side Room No. 1",119
10 - Pimpalgaon Najik,"Z.P. Primary School, South-North Building North Side Room No. 2",119
11 - Pimpalgaon Najik,"Z.P. Primary School, South-North Building North Side Room No. 5",119
12 - Pimaplgao Najik,"Z.P. Primary School, South Side Room No. 2",119
13 - Pimpalgaon Najik,"Z.P. Primary School, Shastri Nagar Room No. 1",119
14 - Pimpalgaon Najik,"Z.P. Primary School, Shasri Nagar Room No. 5",119
15 - Takali Vinchur,"Z.P. Primary School, East Side Building, North Side Room No. 1",119
16 - Takali Vinchur,"Z.P. Primary School, South Side Building, West Side Room No. 3",119
17 - Takali Vinchur,"Z.P. Primary School, Behind Railway Station, South Side Room",119
18 - Takali Vinchur,"Z.P. Primary School, Behind Railway Station, North Side Room",119
19 - Khadak Malegaon,Nutan Vidhyalay West Side Building South Side room No. 2,119
20 - Khadak Malegaon,Nutan Vidhyalay West Side Building South Side room No. 3,119
21 - Khadak Malegaon,Nutan Vidhyalay West Side Building South Side room No. 4,119
22 - Khadak Malegaon,Nutan Vidhyalay West Side Building South Side room No. 5,119
23 - Sarole Kh,"Z.P. Primary School, West Side Room No. 1",119
24 - Sarole Kh,"Z.P. Primary School, South Side New Separate Room",119
25 - Bramhangaon Vanas,Z.P. Primary School Western Room No. 1,119
26 - Vansgaon,"Z.P. Primary School, East Side Room No. 1",119
27 - Vansgaon,"Z.P. Primary School, South Side Building, Room No. 2",119
28 - Vansgaon,"Z.P. Primary School, North Side Building, West Side Room No. 1",119
29 - Khangaon Najik,"Z.P. Primary School, East Side Room No. 2",119
30 - Thetale,"Z.P. Primary School, North Side Room No. 1",119
31 - Kotamgaon,"Z.P. Primary School, East Side Room No. 1",119
32 - Kotamgaon,"Z.P. Primary School, West Side Room No. 1",119
33 - Lasalgaon,"Jijamata Girls Highshool, Lasalgaon, West Side Room No. 1, Near Computer Section",119
34 - Lasalgaon,"Jijamata Girls Highshool, Lasalgaon North Side Room No. 3",119
35 - Lasalgaon,"Loknete Dattaji Patil Vidyalaya, South Side Building, West Side Room No. 1",119
36 - Lasalgaon,"Loknete Dattaji Patil Vidyalaya, South Side Building, West Side Room No. 4",119
37 - Lasalgaon,"Loknete Dattaji Patil Vidyalaya, North Side Building, West Side Room No. 1",119
38 - Lasalgaon,"Loknete Dattaji Patil Vidyalaya, South Side Building, West Side Room No. 2",119
39 - Lasalgaon,"Z.P. Primary Urdu School, East Side Room No. 1",119
40 - Lasalgaon,"Loknete Dattaji Patil Vidyalaya, North Side Building, West Side Room No. 3",119
41 - Lasalgaon,"Loknete Dattaji Patil Vidyalaya, North Side Building, West Side Room No. 4",119
42 - Lasalgaon,"Z.P. Primary Urdu School, East Side Last Room No. 3",119
43 - Lasalgaon,"Z.P. Primary Marathi School, South Side Room No. 2",119
44 - Lasalgaon,"Z.P. Primary Marathi School, West Side building North Side Room No. 1",119
45 - Lasalgaon,"Saraswati Vidya Mandir, North Side Room No. 1",119
46 - Lasalgaon,"Saraswati Vidya Mandir, North Side Room No. 3",119
47 - Bramhangaon Vinchur,Z.P. Primary School Western Room No. 2,119
48 - Bramhangaon Vinchur,"Z.P. Primary School, West Side Room No. 3",119
49 - Nimgaon Wakda,"Z.P. Primary School, North Room No. 1",119
50 - Pachore Kh,"Z.P. Primary School, Room No. 1",119
51 - Pachore Bk,"Z.P. Primary School, New Building , North Side , Room No. 1",119
52 - Pachore Bk,"Z.P. Primary School, New Building , North Side , Room No. 2",119
53 - Shivapur,"Z.P. Primary School, Room No. 1",119
54 - Lauki Shirasgaon,Z.P.Praimary School East Hexagon Building,119
55 - Adgaon Repal,"Z.P. Primary School, West Side Room No. 2",119
56 - Adgaon Repal,"Z.P. Primary School, West Side Room No. 4",119
57 - Vikharni,"Z.P. Primary School, West Side Room No. 1",119
58 - Vikharni,"Z.P. Primary School, West Side Room No. 2",119
59 - Visapur,"Z.P. Primary School, East Side Room No. 1",119
60 - Gujrkhede,"Z.P. Primary School, East Side Room No. 1",119
61 - Balapur,"Z.P. Primary School, East Side Room No. 1",119
62 - Gorakhnagar,Z.P. Primary School Building,119
63 - Vasantnagar,Z.P. Primary School Building,119
64 - Ankai,"Z.P. Primary School, South Side Building Room No. 1",119
65 - Ankai,"Z.P. Primary School, North Side Building Room No. 2",119
66 - Chandgaon,Z.P. Primary School Building Room No.1,119
67 - Nayghavan,Z.P. Primary School Building,119
68 - Kusur,Krantivir Mahatma Phule Vidhyalay Kusur Room No. 1,119
69 - Kusur,Krantivir Mahatma Phule Vidhyalay Kusur Room No. 3,119
70 - Kusmadi,"Z.P. Primary School , old Building ,Room No. 1",119
71 - Kusmadi,"Z.P. Primary School , New Building, Room No. 1",119
72 - Hadapsavargaon,Z.P. Primary School Building,119
73 - Lahit,Z.P. Primary School Room No. 1,119
74 - Jayadre,Z.P. Primary School Room No. 1,119
75 - Aaherwadi,Z.P. Primary School Room No. 1,119
76 - Khirdisathe,Z.P. Primary School Room No. 1,119
77 - Pimpalkhute 3,Z.P. Primary School Room No. 1,119
78 - Panhalsathe,Z.P. Primary School Room No. 1,119
79 - Rajapur,"Z.P. Primary School New Building, East Side Room No. 1",119
80 - Rajapur,Z.P. Primary School South side Room No. 1,119
81 - Rajapur,"Z.P. Primary School ,South Side Room No. 2",119
82 - Rajapur,"Z.P. Primary School Building, South Side Room No. 3",119
83 - Somathan josh,Z.P. Primary School Building,119
84 - Mamdapur,Z.P. Primary School Mamdapur South Side Room No. 1,119
85 - Mamdapur,"Z.P. Primary School , Mamdapur South Side Room No. 2",119
86 - Devdari,East West Anganwadi Separat Building Devadari,119
87 - Rendale,Z.P. Primary School South Side New Building Room No. 1,119
88 - Kolgaon,"Z.P. Primary School, New Building",119
89 - Waibothi,Z.P. Primary School Building,119
90 - Nagarsul,"Z.P. Primary School South-North Building , North Side Room No. 2",119
91 - Nagarsul,"Z.P. Primary School South-North Building , North Side Room No. 3",119
92 - Golhewadi,Z.P. Primary School East Side Room No. 2,119
93 - Nagarsul,"Z.P. Primary School East-West Building , East Side Room No. 1",119
94 - Nagarsul,"Z.P. Primary School East-West Building , East Side Room No. 2",119
95 - Nagarsul,"Z.P. Primary School East-West Building , East Side Room No. 3",119
96 - Nagarsul,Grampanchayat Office,119
97 - Nagarsul,"Z.P. Primary School East-West Building , East Side Room No. 4",119
98 - Dhamode,"Z.P. Primary School , Room No.4 From South Side",119
99 - Dhamode,"Z.P. Primary School , North Side Room No. 2",119
100 - Nandur,Z.P. Primary School North Side Room No. 1,119
101 - Ankute,Z.P. Primary School New Building North Side Room No. 3,119
102 - Ankute,Z.P. Primary School New Building North Side Room No. 2,119
103 - Savkhede,Z.P. Primary School Room No. 2,119
104 - Savargaon,"Z.P. Primary School New Building, East Side, Room No. 1",119
105 - Savargaon,"Z.P. Primary School Sawargaon New Building, East Side, Room No. 2",119
106 - Gopalwadi,Z.P. Primary School New Building Room No. 1,119
107 - Tandulwadi,"Z.P. Primary School East Side, Room No. 1",119
108 - Khairgavan,"Z.P. Primary School, North side, Room No. 2",119
109 - Devargaon,"Z.P. Primary School, East Side Building , Hexagonal Building Room No. 1",119
110 - Antarweli,"Z.P. Primary School, New building East Side Room No. 1",119
111 - Pimpri,"Z.P. Primary School, East Side, Room No. 1",119
112 - Thangaon,"Z.P. Primary School, East West Side New Building Room No. 1",119
113 - Thangaon,"Z.P. Primary School, East West Side New Building Room No. 2",119
114 - Kanadi,"Z.P. Primary School, New Building Room No. 1",119
115 - Patoda,"Z.P. Primary School No. 1, Eest - west Building , from west Side Room No. 1",119
116 - Patoda,"Z.P. Primary School No. 2, South Side Room No. 1",119
117 - Patoda,Z.P. Primary School No. 1 South North Building Room No. 1,119
118 - Patoda,"Z.P. Primary School No. 2, South side Room no.3",119
119 - Dahegaon Patoda,Z.P. Primary School Building South Side Room No.1,119
120 - Shrisgaon Lauki,"Z.P. Primary School, North Side Room No. 1",119
121 - Shrisgaon Lauki,"Z.P. Primary School, North Side Room No. 2",119
122 - Valadgaon,"Z.P. Primary School, Room No. 1",119
123 - Maralgoe Kh,"Z.P. Primary School, North Side Room No. 3",119
124 - Maralgoe Bk,"Z.P. Primary School, East side Room No. 2",119
125 - Vinchur,"Z.P. Primary School South Side Building, East Side Room No. 2",119
126 - Vinchur,"Z.P. Primary School West Side Building, From East Side Room No. 1",119
127 - Vinchur,"Z.P. Primary School West Side Building, North Side Room No. 2",119
128 - Vinchur,"Z.P. Primary School North Side Building, East Side Room No. 2",119
129 - Vinchur,"Z.P. Primary School, North Side Building, East Side Room No. 1",119
130 - Vinchur,"Karmveer Bhourao Patil Vidyalaya, East-West Building, East Side Room No. 4",119
131 - Vinchur,"Karmveer Bhourao Patil Vidyalaya, East-West Building, East Side Room No. 5",119
132 - Vinchur,"Karmveer Bhourao Patil Vidyalaya, South-North Building, South Side Room No. 2",119
133 - Vinchur,"Karmveer Bhourao Patil Vidyalaya, South-North Building, South Side Room No. 3",119
134 - Vinchur,"Karmveer Bhourao Patil Vidyalaya, South-North Building, South Side Room No. 4",119
135 - Vithhal Wadi,"Z.P. Primary School, Building East Side Room No.2",119
136 - Subhash Nagar,"Z.P. Primary School,Building, West Side Room No. 2",119
137 - Vishnu Nagar,"Z.P. Primary School, Building, North Side Room No. 1",119
138 - Hanuman Nagar,Z.P. Primary School North-South Building Room No. 1,119
139 - Bokadadara,"Z.P. Primary School, Building, East Side Room No. 1",119
140 - Dongargaon,"Z.P. Primary School,Room No. 3",119
141 - Dongargaon,"Z.P. Primary School, North Side Room No. 5",119
142 - Nandgaon,"Z.P. Primary School, Building, Room No. 1",119
143 - Nandgaon,"Z.P. Primary School, Building, Room No. 3",119
144 - Bharavas,"Z.P. Primary School, South Side Room No.1",119
145 - Golegaon,"Z.P. Primary School, Room No.1",119
146 - Gondegaon,"Z.P. Primary School, South Side , Room No. 2",119
147 - Gondegaon,"Z.P. Primary School, South Side ,Room No. 4",119
148 - Vahegaon,"Z.P. Primary School Vahegaon, West Side Building, South Side Room No. 2",119
149 - Dahegaon,"Z.P. Primary School Dahegaon, South Side Building, West Side Room No. 2",119
150 - Jaulke,Z P Primary School North South Building North Side Room No. 1,119
151 - Jaulke,Z P Primary School North South Building North Side Room No. 4,119
152 - Pimpalgaon Lep,East West Building Z P Primary School West Side Room No. 2,119
153 - Pimpalgaon Lep,Z P Primary School North South Building South Side Room No. 1,119
154 - Satare,"Z.P. Primary School, West Side Room No. 1",119
155 - Satare,"Z.P. Primary School, West Side Separate Building",119
156 - Dhulgaon,"Z.P. Primary School, North side New building East Side Room No.1",119
157 - Dhulgaon,"Z.P. Primary School, New building, West Side Room No.1",119
158 - Bhatgaon,"Z.P. Primary School, West side , New Building, Room No.1",119
159 - Dhanore,"Z.P. Primary School, New Building, East Side Room No. 1",119
160 - Babhulgaon Kh,"Z.P. Primary School, North side Room No.2",119
161 - Babhulgaon Bk,"Z.P. Primary School, West side Room No.1",119
162 - Ganeshpur,Z.P. Primary School Old Building Room No. 1,119
163 - Vadgaon Balhe,"Z.P. Primary School, Room No. 1",119
164 - Matulthan,Z.P. Primary School New North Side Building,119
165 - Matulthan,Z P Anganwadi School New Biulding,119
166 - Balhegaon,"Z.P. Primary School, West Side Room No. 2",119
167 - Saigaon,"Z.P. Primary School, North Side New Building Room No. 2",119
168 - Saigaon,"Z.P. Primary School, North Side Building, Room No. 1",119
169 - Saigaon,"Z.P. Primary School, South Side Building, East Side Room No. 3",119
170 - Panjarwadi,"Z.P. Primary School, South Side Room No. 3",119
171 - Nyaharkhede Bk,"Z.P. Urdu Primary School, Room No. 1",119
172 - Nyaharkhede Kh,"Z.P. Primary School, Room No. 1",119
173 - Angulgaon,"Z.P. Primary School, New Building East side Room No. 1",119
174 - Angulgaon,"Z.P. Primary School, New Building Room No. 2",119
175 - Kolam Kh,"Z.P. Primary School, Room No. 1",119
176 - Kolam Bk,"Z.P. Primary School, Room No. 1",119
177 - Kharwandi,"Z.P. Primary School, Room No. 1",119
178 - Rahadi,"Z.P. Primary School, Room No. 1",119
179 - Bharam,"Z.P. Primary School, North Side Room No. 1",119
180 - Bharam,"Z.P. Primary School, North Side Room No. 2",119
181 - Waghale,"Z.P. Primary School, North Side, Room No. 2",119
182 - Dongargaon,"Z.P. Primary School, From east Side Room No. 2",119
183 - Adsuregaon,"Z.P. Primary School, New Building, From South Side Room No. 1",119
