PS No & Name,Address,Constituency Number
1 - Garkheda,"Z.P. Primary boy-girl School , west side building , sarve shiksha abiyan , south side Room No.1",11
2 - Pal,Lilatai Namdeorao Patil Ashramshala Northside Room No. 1 (New Buliding),11
3 - Pal,Lilatai Namdeorao Patil Ashramshala Northside Room No. 3 (New Buliding),11
4 - Pal,Lilatai Namdeorao Patil Ashramshala Northside Room No. 5 (New Buliding),11
5 - Pal,Lilatai Namdeorao Patil Ashramshala Northside Room No. 7 (New Buliding),11
6 - Morval,"Z.P. Marathi Boys School , Sarva Shiksha Abhiyan Room.2",11
7 - Gulabwadi,"Z.P. Primary Boys School , morval tanda (gulabwadi) north side hexagonal room 1",11
8 - Nimdya,"Z.P. Primary School , Sarva Shiksha Abhiyan Room No. 1",11
9 - Garbardi,"Z.P. Marathi Boys School , Sarva Shiksha Abhiyan Room No.1",11
10 - Mohmandli,"Z.P. Marathi Boys School , Sarva Shiksha Abhiyan Room., North side Room no. 1",11
11 - Andharmali,"Z.P. Marathi Boys School , Sarva Shiksha Abhiyan Room., East side Room no. 1",11
12 - Tidya,"Z.P. Marathi Boys School , Sarva Shiksha Abhiyan Room., East side Room no. 1",11
13 - Sahastraling,"Z.P. PRIMARY BOYS SCHOOL, ROOM NO.1 FROM NORTH",11
14 - Jinsi,"Z.P. Marathi Boys School, Room No. 2 from North.",11
15 - Vishram Jinsi,"Z.P. Marathi Boys School, Room No. 1 from South.",11
16 - Abhode Bk,"Z.P. Marathi Boys School , East Side , New Building , South side Room No.1",11
17 - Abhode Kh,"Z.P. Marathi Boys School Premises, Anganwadi Room.",11
18 - Pimpri,"Z.P. Marathi Boys School , East side Room No.1",11
19 - Lalmati,"Govt. Secondary Ashram School, Lalmati, New Building, Room No.1 from East.",11
20 - Kusumbe Bk,Z.P.Primary Boys Girls School North side Room No. 1,11
21 - Kusumbe Bk,Z.P.Primary Boys Girls School North side Room No. 3,11
22 - Kusumbe Kh,Anganwadi School Kusubba kh Room No-3,11
23 - Chinchati,"Z.P. Marathi School ,Sarva Shikha Abhiyan Hexagonal Room No.1",11
