PS No & Name,Address,Constituency Number
1 - Hivargaon,Z. P. Primary School Hivargaon room No.1 from northen side,120
2 - Hivargaon,Z. P. Primary School Ghangalavadi East-West Building Room No.1 from Western side,120
3 - Komalwadi,Z. P. Primary School Komalwadi North-South Building room No.1 From Southern Side,120
4 - Kepanagar,Z. P. Primary School Kepanagar North-South Building room No.1 From Southern Side,120
5 - Patpimpari,Z. P. Primary School Patapimpri room No.3 From western side,120
6 - Patpimpari,Z. P. Primary School Patapimpri room No.1 From western side,120
7 - Jaygaon,Z. P. Primary School Jayagaon room No.2 From Western Side,120
8 - Naygaon,Janta Vidhyalaya Naygaon East West Building Room No 3 From Western Side,120
9 - Naygaon,Janta Vidhyalaya Naygaon East West Building Room No 4 From Western Side,120
10 - Naygaon,Janta Vidhyalaya Naygaon North South Building Room No.2 From Northan Side,120
11 - Naygaon,Janta Vidhyalaya Naygaon East West Building Room No 4 From Western Side,120
12 - Jogaltembhi,Z. P. Primary School Jogaltembhi East-West Building room No. 1 Western Side,120
13 - Songiri,Z. P. Primary School Songiri North-South Building room No.1 From Northern side,120
14 - Bramhanvade,V.N.Naik Madhyamik Vidyamandir Bramhnwade East West Building Room No.3 From Western Side,120
15 - Bramhanvade,V.N.Naik Madhyamik Vidyamandir Bramhnwade East West Building Room No.1 From Western Side,120
16 - Moho,New Z. P. Primary School Vadzire East West building Room No-1 From Eastern Side,120
17 - Moho,New Z. P. Primary School Vadzire East West building Room No-2 From Eastern Side,120
18 - Vadzire,Z. P. Primary School Vadzire North-South building room. No.1 From Southern Side,120
19 - Vadzire,Z. P. Primary School Vadzire East West building Room No-1 From Eastern Side,120
20 - Deshvandi,Z. P. Primary School Deshvandi East-West building room No.1 From Western Side,120
21 - Deshvandi,Z. P. Primary School Deshvandi New East-West building room No.1 From Eastern Side,120
22 - Sundarpur,Z. P. Primary School Sundarpur room No.1 From Eastern side,120
23 - Nimgaon Sinnar,Z. P. Primary School Nimgaon Sinnar new north-south building room No.1 From southern Side,120
24 - Nimgaon Sinnar,Z. P. Primary School Nimgaon Sinnar new south north building room No.3 From Southern Side,120
25 - Vadangali,Z. P. Primary School Vadangali East-West building room No.1 From Eastern side,120
26 - Vadangali,Z. P. Primary School Vadangali East-West building room No.3 From Eastern side,120
27 - Mendhi,Z. P. Primary School Mendhi East-West building room No.1 From Eastern side,120
28 - Mendhi,Z. P. Primary School Mendhi East-West building room No.3 From Eastern side,120
29 - Chondhi,New Z. P. Primary School Chondhi South-North building room No-2 From Northern side,120
30 - Somthane,Z. P. Primary School Somthane East-West New building room No.1 From Eastern side,120
31 - Somthane,Z. P. Primary School Somthane East-West New building room No.1 From Western side,120
32 - Somthane,Grampanchyata office somthane,120
33 - Sangavi,Z. P. Primary School sangavi east West sarv shiksha abhiyan buillding room no.1 From Eastern Side,120
34 - Sangavi,Z. P. Primary School sangavi North-South buillding room no-1From Southern Side,120
35 - Dahivadi,Z. P. Primary School dahivadi south-north building room No.1 From Northern side,120
36 - Dahivadi,Z. P. Primary School dahivadi south-north building room No.2 From Northern side,120
37 - Mahajanpur,Anganvadi Room Mahajanpur,120
38 - Khandagali,Z. P. Primary School Khadangali north-south building room No.2 From southern side,120
39 - Kirtaganli,Z. P. Primary School kirtangali north south building room. No.1 From northern side,120
40 - Kirtaganli,Z. P. Primary School Kirtangali north south building room No.3 From northern side,120
41 - Baragaon Pimpri,Z. P. Primary School baragaon Pimpri north south building room No.1 From Southern Side,120
42 - Baragaon Pimpri,Z. P. Primary School baragaon Pimpri north-south building room No.3 From Southern Side,120
43 - Baragaon Pimpri,Z. P. Primary School baraganv Pimpri north-south building room No.1 From northern Side,120
44 - Chincholi,Z. P. Primary School Chincholi north-south building room No.1 From northern Side,120
45 - Chincholi,Z. P. Primary School Chincholi north-south building room No.6 From northern Side,120
46 - Chincholi,Z. P. Primary School Chincholi north-south building room No.3 From northern Side,120
47 - Vadgaon Pingala,New Z. P. Primary School Vadgaon Pingala East West building Room No- 1 From Western Side,120
48 - Vadgaon Pingala,New Z. P. Primary School Vadgaon Pingala East West building Room No- 2 From Western Side,120
49 - Vadgaon Pingala,New Z. P. Primary School Vadgaon Pingala East West building Room No- 3 From Western Side,120
50 - Mohodari,Z. P. Primary School Mohadari north south building room No. 1 From Southern Side,120
51 - Malegaon,Z. P. Primary School Malegaon south north building room No.2 northern side,120
52 - Maparwadi,Z. P. Primary School Maparavadi East-West Building Room No 1 From Western Side,120
53 - Gulvanch,Z. P. Primary School Gulanvanch north-south New building room No. 1 From Southern Side,120
54 - Gulvanch,Z. P. Primary School Gulanvanch north-south New building room No. 2 From Southern Side,120
55 - Gulvanch,Z. P. Primary School Gulanvanch north-south New building room No. 3 From Southern Side,120
56 - Gulvanch,Z. P. Primary School Gulanvanch north-south New building room No. 4 From Southern Side,120
57 - Gulvanch,Z. P. Primary School Dagadvadi Gulvanch north-south building room No.1 From northern side,120
58 - Eklahare,Z. P. Primary School Eklahare east - west buillding no. 2 From Eastern room,120
59 - Nimgoan Deopur,Z. P. Primary School Nimgaon Devpur North-South building room No.1 From Southern Side,120
60 - Pimpalgaon,Z. P. Primary School Pimpalgaon old East-West building.,120
61 - Ujjani,Z. P. Primary School Ujjani east west building room No. 1 From Eastern side,120
62 - Rampur,Z. P. Primary School Rampur East-west building room No. 1 From Western side,120
63 - Rampur,Z. P. Primary School Rampur East-west building room No. 2 From Western side,120
64 - Karvadi,Grampanchayt Office Karvadi south-north building room No.2 From northern Side,120
65 - Bharatpur,Z. P. Primary School Bharatpur east west building room No.1 From Western side,120
66 - Bharatpur,Z. P. Primary School Bharatpur east-west building room No.3 From Eastern side,120
67 - Kolgaonmal,Z. P. Primary School Kolgaonmal new south-north building Room no 1 From Northern Side,120
68 - Kolgaonmal,Z. P. Primary School Kolgaonmal north- south building Room From Southern Side,120
69 - Bharatpur Laxmanpur,Z. P. Primary School Lakshmanapur eastwest building room No. 1 From Eastern side,120
70 - Shaha,Z. P. Primary School Shaha east west building room No. 1 From eastern side,120
71 - Shaha,Z. P. Primary School Shaha east west building room No. 3 From eastern side,120
