PS No & Name,Address,Constituency Number
1 - Redgaon Bk.,"Zilla Parishad Primary School, Room No.2 from south ,Redgaon Bk",121
2 - Gorthan,"Zilla Parishad Primary School, New North- South Building, Room No.1 from South, Gorthan",121
3 - Shirwade Vani,"Zilla Parishad Primary School, Room No.1 from North, Shirvadevani",121
4 - Shirwade Vani,"Zilla Parishad Primary School, Room No.4 from North, Shirvadevani",121
5 - Shirwade Vani,"Zilla Parishad Primary School, Room No.5 from North, Shirvadevani",121
6 - Pachore Vani,"Zilla Parishad Primary School, Room No.1 from South, Pachorevani",121
7 - Pachore Vani,"Zilla Parishad Primary School, Room No.3 from South, Pachorevani",121
8 - Mukhed,"Zilla Parishad Primary School, New Building, Pimpalgaon-Mukhed Road, Room No.1 from North, Mukhed",121
9 - Mukhed,"Zilla Parishad Primary School, New Building, Pimpalgaon-Mukhed Road, Hexagonal Separate Room,Mukhed",121
10 - Antarweli,"Zilla Parishad Primary School, Room No.1, from East, Anterveli",121
11 - Wavi,"Zilla Parishad Primary School, East West Building Room No.3 From East Side, Wavi",121
12 - Wavi,"Zilla Parishad Primary School, East West Building Room No.5 From East Side, Wavi",121
13 - Nandur Khurd,"Zilla Parishad Primary School, Room No.3 from South, Nandur khurd",121
14 - Sawargaon,"Zilla Parishad Primary School,East-West Buliding, Room No.2 from east, Sawargaon",121
15 - Sawargaon,"Zilla Parishad Primary School,East-West Buliding, Room No.4 from east, Sawargaon",121
16 - Palkhed,"Zilla Parishad Primary School, South-North Building, Room No.1 from North, Palkhed",121
17 - Palkhed,"Zilla Parishad Primary School, South-North Building, Room No.3 from North, Palkhed",121
18 - Palkhed,"Zilla Parishad Primary School, South-North Building, Room No.5 from North, Palkhed",121
19 - Palkhed,"Zilla Parishad Primary School, South-North Building, Room No.6 from North, Palkhed",121
20 - Ahergaon,"Zilla Parishad Primary School, Room No.2 From North Side, Ahergaon",121
21 - Ahergaon,"Zilla Parishad Primary School, Room No.6 from North, Ahergaon",121
22 - Pimpalgaon (B.),"Late M.L. / Nanasaheb Jadhav Girls Highschool, Pimpalgaon B. East Wing, Room No.3 From South Pimpalgaon B.",121
23 - Pimpalgaon (B.),"Late M.L. / Nanasaheb Jadhav Girls Highschool, Pimpalgaon B. West Wing, Room No.2 From South Pimpalgaon B.",121
24 - Pimpalgaon B.,"Zilla parishad primary School opp. Govt. Hospital Building No.1, East Side south-North Building Room No. 4 from South, Pimpalgaon B.",121
25 - Pimpalgaon (B.),"Zilla Parishad Primary School, Opp. Govt. Hospital, Building No.1, East Side South-North Building, Room No.5 from South, Pimpalgaon B.",121
26 - Pimpalgaon (B.),"Zilla Parishad Primary School, Opp. Govt. Hospital, Building No.1, East Side South-North Building, Room No.3 from North, Pimpalgaon B.",121
27 - Pimpalgaon (B.),"Zilla Parishad Primary School, Opp. Govt. Hospital, Building No.1, East Side South-North Building, Room No.1 from North, Pimpalgaon B.",121
28 - Pimpalgaon (B.),"Zilla Parishad Primary School, Opp. Govt. Hospital, Building No.2, North Side East-West Building, Room No.2 from East, Pimpalgaon B.",121
29 - Pimpalgaon (B.),"Late M.L. / Nanasaheb Jadhav Girls Highschool, Pimpalgaon B. South Wing, Near Porch, Room No.1 From West",121
30 - Pimpalgaon (B.),"Late M.L. / Nanasaheb Jadhav Girls Highschool, Pimpalgaon B. South Wing, Near Porch, Room No.1 From East",121
31 - Pimpalgaon (B.),"Zilla Parishad Primary School, Building No.2, Opp. Govt. Hospital, North Side East-West Building, Room No.4 from East, Pimpalgaon B.",121
32 - Pimpalgaon (B.),"Zilla Parishad Primary School, Building No.2, Opp. Govt. Hospital, North Side East-West Building, Room No.6 from East, Pimpalgaon B.",121
33 - Pimpalgaon (B.),"Zilla Parishad Primary School, Building No.2, Opp. Govt. Hospital, North Side East-West Building, Room No.8 from East, Pimpalgaon B.",121
34 - Pimpalgaon (B.),"Zilla Parishad Primary School, Opp. Govt.Hospital, Building No.3, South Side East-West Building, Room No.1 from East, Pimpalgaon B.",121
35 - Pimpalgaon (B.),"Zilla Parishad Primary School, Opp. Govt.Hospital, Building No.3, South Side East-West Building, Room No.3 from East, Pimpalgaon B.",121
36 - Pimpalgaon (B.),"Janta Vidyalaya, Adarsh Shishu Vihar, Room No.1 from South, Pimpalgaon B.",121
37 - Pimpalgaon (B.),"Janta Vidyalaya, Adarsh Shishu Vihar, Room No.2 from South, Pimpalgaon B.",121
38 - Pimpalgaon (B.),"Janta Vidyalaya , Room No.1 from East, Pimpalgaon B.",121
39 - Pimpalgaon (B.),"Janta Vidyalaya , Room No.2 from East, Pimpalgaon B.",121
40 - Pimpalgaon (B.),"Janata Vidhyalay, Room No.3 from East, Pimpalgaon B.",121
41 - Pimpalgaon B.,"Janata Vidyalay, Room No.5, from East, Pimpalgaon B.",121
42 - Pimpalgaon (B.),"Zilla Parishad Primary School, Sainagar, Chinchkhed road, Pimpalgaon B, East Side RCC Building, Room No.1 From East",121
43 - Pimpalgaon (B.),"Zilla Parishad Primary School, Sainagar, Chinchkhed road, Pimpalgaon B, East Side RCC Building, Room No.3 From East",121
44 - Pimpalgaon (B.),"Janata Vidhyalay, Pimpalgaon B., Adarsh Shishu Vihar, Room No.2 from East",121
45 - Pimpalgaon (B.),"Pimpalgaon Highschool, Room No.1 from North Pimpalgaon (B)",121
46 - Pimpalgaon B.,"Pimpalgaon Highschool, Room No. 3 from North, Pimpalgaon (B)",121
47 - Pimpa lgaon B.,"Pimpalgaon Highschool, Room No.4 From North Side Pimpalgaon (B)",121
48 - Pimpalgaon (B.),"Zilla Parishad Primary School, Devicha Matha, Room No.1 from East, Pimpalgaon (B)",121
49 - Pimpalgaon (B.),"Zilla Parishad Primary School, Devicha Matha, Room No.2 from East, Pimpalgaon (B)",121
50 - Pimpalgaon (B.),"Zilla Parishad Primary School, Devicha Matha, Room No.3 from East, Pimpalgaon (B)",121
51 - Pimpalgaon (B.),"Zilla Parishad Primary School, Devicha Matha, Room No.4 from East, Pimpalgaon (B)",121
52 - Pimpalgaon (B.),"Zilla Parishad Primary School, Devicha Matha, Room No.2 from West, Pimpalgaon (B)",121
53 - Pimpalgaon (B.),"Zilla Parishad Primary School, Devicha Matha, Room No.1 from West, Pimpalgaon (B)",121
54 - Lonwadi,"Zilla Parishad Primary School South Side Building, Room No.1 form east Lonvadi",121
55 - Lonwadi,"Zilla Parishad Primary Vidyamandir, Lonwadi, North Side East-West Building, Room No.1, from east,Lonwadi",121
56 - Umbarkhed,"Zilla Parishad Primary School, Umberkhed (New Building), East Side Heyagonal Saperate Room",121
57 - Umbarkhed,"Zilla Parishad Primary School, West Side Building , Room No.2 from South Side.",121
58 - Umbarkhed,"Zilla Parishad Primary School, (New Building) Heyagonal Saperate Room from West, Umberkhed",121
59 - Kumbhari,"Zilla Parishad Primary School, Room No.1 from east, Kumbhari",121
60 - Kumbhari,"Zilla Parishad Primary School, Room No.3 from east, Kumbhari",121
61 - Ranwad,"Zilla Parishad Primary School, South Side Buliding,Room No.1,form East,Ranwad",121
62 - Ranwad,"Zilla Parishad Primary School, North Side Buliding,Room No.2,form East,Ranwad",121
63 - Ranwad (S.F.),"Shri Chatrapati Shivaji Maharaj Secondry and High, Secondry School, Room No 2 form South, Kakasaheb Nagar",121
64 - Panchkeshwar,"Zilla Parishad Primary School, Room No.2 form South, Panchakeshewar",121
65 - Dawachwadi,"Zilla Parishad Primary School, Room No.1 From West, Davachwadi",121
66 - Dawachwadi,"Zilla Parishad Primary School, Room No.3 from West, Davachwadi",121
67 - Karsul,"Zilla Parishad Primary School, East-West Building, Room No.2 from East, Kalsul",121
68 - Karsul,"Zilla Parishad Primary School, East-West Building, Room No.2 from West, Kalsul",121
69 - Narayan Tembhi,"Zilla Parishad Primary School, North-South Building, Room No.1 from North, Narayantembhi",121
70 - Behed,"Zilla Parishad Primary School, South side New Buliding Room No.1 from south, Behed,",121
71 - Behed,"Zilla Parishad Primary School, West Side Building , Room No.1 from South Side.",121
72 - Sakore,"Zilla Parishad Primary School, For West side Building, Room No.1 From North, Sakore",121
73 - Sakore,"Zilla Parishad Primary School, for East side Building, Room No.1 From North, Sakore",121
74 - Sakore,"Zilla Parishad Primary School, South Side Building, Room No.2 From East, Sakore",121
75 - Kokangaon,"Z.P. School, Kokangaon, West Side New Building, Room No.2 From North",121
76 - Kokangaon,"Z.P. School, Kokangaon, West Side New Building, Room No.3 From North",121
77 - Kokangaon,"Z.P. School, Kokangaon, West Side New Building, Room No.2 From South",121
78 - Shirasgaon,"Zilla Parishad Primary School,,West side Building, Room No.3 from south, Shirasgaon",121
79 - Shirasgaon,"Zilla Parishad Primary School,,West side Building, Room No.5 from south, Shirasgaon",121
80 - Vadali Najik,Zilla Parishad Primary school Room No.2 from West Vadalinajik,121
81 - Vadali Najik,"Zilla Parishad primary School Room No.4 from West, Vadalinajik",121
82 - Raulas,"Zilla Parishad School, Room No.1 From West Side, Raulas.",121
83 - Raulas,"Zilla Parishad School, Room No.3 From West Side, Raulas.",121
84 - Deopur,"Zilla Parishad Primary School, Room No.2 from South, Deopur",121
85 - Nandurdi,"Zilla Parishad Primary School, Room No.2 from East, Nandurdi",121
86 - Nandurdi,"Zilla Parishad Primary School, Room No.4 from East, Nandurdi",121
87 - Nandurdi,"Zilla Parishad Primary School, Room No.4 from South, Nandurdi",121
88 - Nandurdi,"Zilla Parishad Primary School, Room No.2 from South, Nandurdi",121
89 - Khede,"Zilla Parishad Primary School, Room No.1 from West, Khede",121
90 - Khede,"Zilla Parishad Primary School, Room No.3 from West, Khede",121
91 - Ugaon,"Zilla Parishad School, Room No.2 from North, Ugaon",121
92 - Ugaon,"Zilla Parishad School, Room No.4 from North, Ugaon",121
93 - Ugaon,Chhatrapati Shivaji High School & Dinkarrao Pangavane Jr.College Room No.4 From South side Ugaon,121
94 - Ugaon,Chhatrapati Shivaji High School & Dinkarrao Pangavane Jr.College Room No.8 From South side Ugaon,121
95 - Shiwdi,"Zilla Parishad Primary School, North-South Building, Room No.1 from North Shivadi",121
96 - Shiwdi,"Zilla Parishad Primary School, North-South Building, Room No.4 from North Shivadi",121
97 - Kundewadi,"Zilla Parishad School, Room No.4 from East ( East -west Building), Kundewadi",121
98 - Kundewadi,"Zilla Parishad School, (South - North Building) Room No.1 from South, Kundewadi",121
99 - Pimpri,"Zilla Parishad School, Room No.4 from West, Pimpri",121
100 - Pimpri,"Zilla Parishad School, Room No.6 from West, Pimpri",121
101 - Kasabe Sukene,"Zilla Parishad Marathi Boys School, west Building, Room No.1 from south Side.",121
102 - Kasabe Sukene,"Zilla Parishad Marathi Boys School, West Building ,Room No.3 from South Side.",121
103 - Kasabe Sukene,"Zilla Parishad Primary School, Beghar Vasti, Kasabe Sukene, East Side North-South Building, Room No.1 From North",121
104 - Kasabe Sukene,"Zilla Parishad Primary School, Beghar Vasti, Kasabe Sukene, East Side North-South Building, Room No.2 From North",121
105 - Kasabe Sukene,"Zilla Parishad Marathi Boys School, Second West side Building, Room No.1 from South, Kasabe Sukene",121
106 - Kasabe Sukene,"Zilla Parishad Marathi Boys School, Second West side Building, Room No.2 from South, Kasabe Sukene",121
107 - Kasabe Sukene,"Zilla Parishad Primary School, North Building Room No.1 from East, Kasabe Sukene",121
108 - Kasabe Sukene,"Zilla Parishad Primary School, Beghar Vasti, Kasabe Sukene,East side North-South Building, Room No.4 From North",121
109 - Kasabe Sukene,"Zilla Parishad Primary School, Beghar Vasti, Kasabe Sukene, West-East Building, Room No.1 From East Side.",121
110 - Thergaon,"Zilla Parishad Primary School, (Old Building), , Room No.2 from West, Thergaon",121
111 - Jiwhale,"Zilla Parishad Primary School, Room No.1 from West, Jiwhale",121
112 - Dixi,"Zilla Parishad Primary School, South side Old Building) Room No.1 from East, Dixi",121
113 - Dixi,"Zilla Parishad Primary School, West Side New Building Room No.2 from North, Dixi.",121
114 - Ozar,"Zilla Parishad Urdu Primary School,Ozar New Building Room No.1 From East Side.",121
115 - Ozar,"Zilla Parishad Urdu Primary School,Ozar New Building Room No.2 From East Side.",121
116 - Ozar,"K.Madhavrao Boraste Vidyalaya & Abhinav Vidhyamandir, West Side Building, Room No.3 from North, Ozar",121
117 - Ozar,"Zilla Parishad Primary School, Bhadake Vasti, Room No.1 From South",121
118 - Ozar,"K.Madhavrao Boraste Vidyalaya & Abhinav Vidhyamandir, South Side Building, Room No.3 from West, Ozar",121
119 - Ozar,"K.Madhavrao Boraste Vidyalaya & Abhinav Vidhyamandir, South Side Building, Room No.1 from East, Ozar",121
120 - Ozar,"Zilla Parishad Primary School, Shejvalwadi East West Building, Room No.1 From West Side",121
121 - Ozar,"Zilla Parishad Primary School, Shejvalwadi East West Building,Room No.3 From West",121
122 - Ozar,"K.Madhavrao Boraste Vidyalaya & Abhinav Vidhyamandir, East Side Building, Room No.2 from South, Ozar",121
123 - Ozar,"K.Madhavrao Boraste Vidyalaya & Abhinav Vidhyamandir, East Side Building, Room No.5 from North, Ozar",121
124 - Ozar,"K.Madhavrao Boraste Vidyalaya & Abhinav Vidhyamandir, East Side Building, Room No.4 from North, Ozar",121
125 - Ozar,"K.Madhavrao Boraste Vidyalaya & Abhinav Vidhyamandir, South Side Building, Room No.1 from West, Ozar",121
126 - Ozar,"Zilla Parishad Primary School Girls No.1 & 2, Centrol Building, Room No.1 From North Side.",121
127 - Ozar,"Zilla Parishad Primary School Girls No.1 & 2, Bajarpeth, West Side Building, Room No.1 From South.",121
128 - Ozar,"Zilla Parishad Primary School Girls No.1 & 2, Bajarpeth, East Side Building, Room No.3 From North",121
129 - Ozar,"Zilla Parishad Primary School Girls No.1 & 2, Bajarpeth, East Side Building, Room No.5 From North",121
130 - Ozar,"Zilla Parishad Primary School Girls No.1 & 2, Bajarpeth, East Side Building, Room No.1 From North",121
131 - Ozar,"Zilla Parishad Primary School Girls No.1 & 2, Bajarpeth west Side Building, Room No.1 From North",121
132 - Ozar,"Zilla Parishad Primary School Girls No.1 & 2, Bajarpeth, West Side Building, Room No.2 From North",121
133 - Ozar,"New English School, West Side Building, Room No.2, from North, Ozar",121
134 - Ozar,"New English School, Ozar North Side Building, Room No.2 From West Side.",121
135 - Ozar,"New English School, Ozar North Side Building, Room No.3 From West Side.",121
136 - Ozar,"New English School, East Side Building, Room No.1 from South, Ozar",121
137 - Ozar,"New English School, Ozar South Side Building, Room No.3 Form West, Ozar",121
138 - Ozar (Banganganagar),"Zilla parishad Primary School, west Side Building, Room No.1, from North, Banganganagar",121
139 - Ozar,"New English School Ozar, East Side Building, Room No.1 From North",121
140 - Ozar,"New English School Ozar, South Side Building, Room No.2 From East",121
141 - Ozar,"New English School Ozar, South Side Building, Room No.4 From East Side.",121
142 - Ozar,"New English School Ozar, East Side Building, Room No.3 From North Side.",121
143 - Ozar Township,"Zilla Parishad Primary School, Ozar Township East Side Centrol Building Room No.2 from East, Ozar Township",121
144 - Ozar Township,"Gokhale Edu.Society, H.A.L. Highshcool, (Marathi Medium) East side Centrol Building, Room No.2 from East, OzarTownship",121
145 - Ozar Township,"Gokhale Edu.Society, H.A.L. Highshcool, (Marathi Medium) West side Building, Room No.2 from East, OzarTownship",121
146 - Ozar Township,"Zilla Parishad Primary School, Ozar Township No.2, West side Centrol Building, Room No.2 from West OzarTownship",121
147 - Ozar Township,"Gokhale Edu. Edu.Society, H.A.L. Highshcool, (English Medium) West Side Building, Room No.1 from West, OzarTownship",121
148 - Ozar Township,"Gokhale Edu.Society, H.A.L. Highshcool, (English Medium) North Side Building, Room No.2 from East, OzarTownship",121
149 - Ozar Township,"Gokhale Edu. Edu.Society, H.A.L. Highshcool, (English Medium) North Side Building, Room No.2 from West, OzarTownship",121
150 - Ozar Township,"Gokhale Edu. Edu.Society, H.A.L. Highshcool, (Marathi Medium) South Side Building, Room No.2 from East OzarTownship",121
151 - Ozar Township,"Gokhale Edu. Edu.Society, H.A.L. Highshcool, (Marathi Medium) South Side Building, Room No.2 from West Ozar Township",121
152 - Ozar Township,"Gokhale Edu. Edu.Society, H.A.L. Highshcool, & Jr. College (English Medium) East Side Building, Room No.1 from North Ozar Township",121
153 - Ozar Township,"Gokhale Edu.Society, H.A.L. Highshcool, & Jr. College (English Medium) East Side Building No.2, Room No.1 from North Ozar Township",121
154 - Ozar Township,"Gokhale Edu.Society, H.A.L.High School Jr. College (English Medium) East Side Building No2, Room No.2 From South Ozar Township",121
155 - Datyane,"Zilla Parishad Primary School Room No.1, from East, Dattyane",121
156 - Datyane,"Zilla Parishad Primary School Room No.2, from East, Dattyane",121
157 - One,"Zilla Parishad Primary School, Room No.1 From West Side, One",121
158 - One,"Zilla Parishad Primary School, Room No.5 From West Side, One",121
159 - Mauje Sukene,"Zilla Parishad Primary School, South Side Building, Room No.2, from East, Mauje Sukene",121
160 - Mauje Sukene,"Zilla Parishad Primary School, South Side Building, Room No.4, from East, Mauje Sukene",121
161 - Mauje Sukene,"Zilla Parishad Primary School, West Side Building, Room No.3, from North, Mauje Sukene",121
162 - Pimplas,"Zilla Parishad Primary School, East Side Building, No.2 Room No.2, from South, Pimplas",121
