PS No & Name,Address,Constituency Number
1 - Devsane,Z P Primary School room no 1 from south side,122
2 - Shindpada,Z P Primary School room no1 from south side,122
3 - Wagdevpada,Govt. Ashram School East West Building Room No.1,122
4 - Bhanwad,"""New Z.P.Primary School Bhanwad east West building from east side room no-1""",122
5 - Borvanpada,Z P Primary School boravan room no 2 from east side,122
6 - Mokhanal,Z P Primary School room no 1 from north side,122
7 - Dehre,Z P Primary School room no 2 from east side,122
8 - Savarpatali,Z P PRIMARY SCHOOL SAVARPATALI ROOM NO.01 FROM SOUTH,122
9 - Gandole,Z P Primary School room no1 from south side,122
10 - Tetmal,New Z P Primary School Tetmal East-West Building Building Room No-1,122
11 - Chikadi,New building Z.p primary school North south building room no-1from south side,122
12 - Pahuchibari,Zila Parishad primary schoolRoom.No.1 From east side,122
13 - Pahuchibari,Zila Parishad primary schoolEast SideRoom.No.3 From east side,122
14 - Toranmal,Zila Parishad primary schoolSouth Side room,122
15 - Ambe,Zila Parishad primary school South Side room,122
16 - Ambe,Zila Parishad primary school North Middle room,122
17 - Gandole,Z.P. Primary school Gandole Room 1,122
18 - Bordha,Zila Parishad primary school Room.No.1,122
19 - Ambas,"ZP Primary School, Ambas Room No. 1",122
20 - Savarna,Zila Parishad primary school Room.No.1,122
21 - Zari,Z.P. Primary school Zari Room 1,122
22 - Kayare,Zila Parishad primary school room No.2 west side,122
23 - sadadpada su,Zila Parishad primary school Room.No.1,122
24 - Ghubadsaka,Z.P. Primary school Ghubadsaka Room 1,122
25 - Kapurne,Zila Parishad primary school Room.No.1,122
26 - Shivshet,Zila Parishad primary school Room.No.1,122
27 - Mhasgan,zp primary school Mhasgan east side room no.1,122
28 - Kalune,Z.P primary school Kalune Room No.1,122
29 - Malegaon,Zila Parishad primary schoolWakharpada room no.2 from west side,122
30 - Malegaon,Zila Parishad primary schoolWakharpada room no.1 from south side,122
31 - Kalambari,Zila Parishad primary schoolRoom.No.1,122
32 - Nanashi,New building zp primary school separate room from northside,122
33 - Nanashi Hattipada,New zp primary school room east west building room,122
34 - Savarpada,Z P Primary School Savarpada South-side Room No-1,122
35 - Radtondi,New building Z P Primary School Radtondi,122
36 - Kuiambi,Z P Primary School Kuiambi South-North Building Room No-1,122
37 - Dhondalpada,Z P Primary school room no1 from east side,122
38 - Ambad,Z P Primary School room no 1 from west side,122
39 - Devlichapada,Z P Primary School Devlichapada south side room no.1,122
40 - Palasvihir,New Z P Primary School palasavihir room no 2 from north side,122
41 - Palasvihir,New Z P Primary School palasavihir room no 3 from north side,122
42 - Vare,Z P Primary School new building no.4 room no 2 from north side,122
43 - Talyacha pada,Z P Primary School talayachapada,122
44 - Devpada,Z P Primary School devapada room no 1 from west side,122
45 - Sarsale,Z P Primary school room no 1 from south side,122
46 - Karanjkhed,Z P Primary school karanjakhed east west building room no 1 from west side,122
47 - Eklahare,Z P Primary school Eklahre room no 1 from East side,122
48 - Chausale,Z P Primary School room no 2 from south side,122
49 - Chausale,Z P Primary school room no 3 from south side,122
50 - Pingalwadi,Z P Primary school room no 2 from west side,122
51 - Hastedumala,Z P Primary School hastedumala room no1 from south side,122
52 - Hanumantpada,Z P Primary School hanumantapada room no 2 from north side,122
53 - Dagadpimpri (GadDavne),Z P Primary School dagadapimpri room no1 from south side,122
54 - Pimprianchala,Z P Primary School Pimprianchala room no7 from south side,122
55 - Kolher,Z P Primary School kolher room no.1 from north side,122
56 - Ahivantwadi,Z P Primary School ahivantavadi room no.1 from west side,122
57 - Ahivantwadi,Z P Primary School ahivantavadi room no 2 from west side,122
58 - Chamdari,z.p primary school chamdari north Side building Room no.2,122
59 - Mandane,Z P Primary School mandane room no2 from south side,122
60 - Bhatode,Z P Primary School bhatode room no2 from south side,122
61 - Mulane,Z P Primary School mulane room no 2 from east side,122
62 - Ambaner,Z P Primary School ambaner room no 1 from west side,122
63 - Ambaner,Z P Primary School ambaner room no 2 from west side,122
64 - Pandane,ashram school pandane room no.2 from west side,122
65 - Maledumala,Z P Primary School maledumala room no.2 from north side,122
66 - Maledumala,Z P Primary School maledumala room no.1 from north side,122
67 - Koshimbe,Z P Primary School koshimbe east west building room no 1 from west side,122
68 - Bandharpada,Z P Primary School bandharapada south north building room no 1 from south side,122
69 - Titve,New Z P Primary School room no 1 from east side,122
70 - Vanjule,New Z P Primary School room no 1 from north side,122
71 - Devthan,Z P Primary School devathan room no 3 from north side,122
72 - Devpur,New building zp primary school north side class room no 3,122
73 - Vanare,Z P Primary School new vanare room no 2 from east,122
74 - Charose,New Building Z.P Primary School room no 1 from East side,122
75 - Shivarpada,Z.P.Primary School north south building backside classroom,122
76 - Devghar,Z P Primary School Deoghar room no 1 from east side,122
77 - Chilharpada,Z.P. Primary School Chilharpada south Side Room No.1,122
78 - Badgichapada,Z.p Primary school room no-2 from South side,122
79 - Jogmaodi,Zila Parishad primary school Room.No.1,122
80 - Vadbari,Z.P. Primary school Vadbari Room 1,122
81 - Dabhadi,Zila Parishad primary school New Building Dabhadi,122
82 - Surgane(u),Zila Parishad primary school RoomNo.1,122
83 - Kumbhale,Zila Parishad primary schoolSouth Side room,122
84 - Kumbhale,Zila Parishad primary school Norts side Room.No.2,122
85 - Rajbari,Zila Parishad primary school southside room,122
86 - Badgi,shaskiya Ashramschool room No.1,122
87 - Junothi,Zila Parishad primary school Room.No.1,122
88 - Hatrundi,Zila Parishad primary school Room.No.1,122
89 - Patalipada,"ZP Primary School, Patalipada East Side Room No. 1",122
90 - Kopurli Khd.,Zila Parishad primary school Room.No.1,122
91 - Pimpalpada,Zila Parishad primary school Room.No.1,122
92 - Harangaon,Zila Parishad primary school Room.No.1,122
93 - Mahaje,ZP Primary School room no 1 from south side,122
94 - Kavdasar,Z P Primary School room no.1 from south side,122
95 - Vani Khurd,Z P Primary School room no.2 from west side,122
96 - Sadrale,New building Z.p primary school room no-1 from east side,122
97 - Joran,New Z P Primary School room no 1 from South side,122
98 - Pimpalgaon Dhum,New Z.P.Primary School PIMPALGAON Dhoom room no 2 from west side,122
99 - Kokangaon khurd,Z P Primary School kokanagav kh room no.1 from south side,122
100 - Pimparkhed,Z P Primary school pimparakhed room no .2 from west side,122
101 - Dahivi,Z P Primary School Dahivi room no 1 from north side,122
102 - Khedle,Z P Primary school khedale room no 2 from west side,122
103 - Malegaon kazi,Z P Primary School malegav Kaji room no 1 from north side,122
104 - Punegaon,Z P Primary School punegav room no1 from north side,122
