PS No & Name,Address,Constituency Number
1 - Chhatrapati Shivaji Vidyalaya NMC School No. 1,"Chhatrapati Shivaji Vidyalaya NMC School No.1, Mhasarul, South North Building, Northen side Room No.1",123
"2 - Pune Vidhyathri Gruha's College of Engineering Dindori Road, Mhasaru","Pune Vidhyathri Gruha's College of Engineering Dindori Road, Mhasarul, East-West Building, Eastern Side Room No.2",123
"3 - Pune Vidhyathri Gruha's College of Engineering Dindori Road, Mhasaru","Pune Vidhyathri Gruha's College of Engineering Dindori Road, Mhasarul, East-West Building, Eastern Side Room No.3",123
"4 - Pune Vidhyathri Gruha's College of Engineering Dindori Road, Mhasaru","Pune Vidhyathri Gruha's College of Engineering Dindori Road, Mhasarul, East-West Building, Eastern Side Room No.4",123
"5 - Pune Vidhyathri Gruha's College of Engineering Dindori Road, Mhasaru","Pune Vidhyathri Gruha's College of Engineering Dindori Road, Mhasarul, East-West Building, Eastern Side Room No.5",123
"6 - Pune Vidhyathri Gruha's College of Engineering Dindori Road, Mhasaru","Pune Vidhyathri Gruha's College of Engineering Dindori Road, Mhasarul, East-West Building, Eastern Side Room No.6",123
"7 - Pune Vidhyathri Gruha's College of Engineering Dindori Road, Mhasaru","Pune Vidhyathri Gruha's College of Engineering Dindori Road, Mhasarul, Eastern Side Drawing Hall",123
"8 - Kakasaheb Devdhar English School, Dindori Road, Mhasarul","Kakasaheb Devdhar English School,Dindori Road, Mhasarul, East-West Building,Eastern Side Room No.1",123
"9 - Kakasaheb Devdhar English School, Dindori Road, Mhasarul","Kakasaheb Devdhar English School,Dindori Road, Mhasarul, East-West Building,Eastern Side Room No.2",123
"10 - Kakasaheb Devdhar English School, Dindori Road, Mhasarul","Kakasaheb Devdhar English School,Dindori Road, Mhasarul, East-West Building,Eastern Side Room No.3",123
"11 - Kakasaheb Devdhar English School, Dindori Road, Mhasarul","Kakasaheb Devdhar English School,Dindori Road, Mhasarul,East-West Building,Eastern Side Room No.4",123
"12 - Kakasaheb Devdhar English School, Dindori Road, Mhasarul","Kakasaheb Devdhar English School, Dindori Road, Mhasarul, East-West Building,Eastern Side Room No.5",123
"13 - Kakasaheb Devdhar English School, Dindori Road, Mhasarul","Kakasaheb Devdhar English School, Dindori Road, Mhasarul,South-North Building,Southern Side Room No.6",123
"14 - S. S. Dhamankar Commerce, Science and Arts College, Dindori Road, Mhasarul","S. S. Dhamankar Commerce,Science and Arts College, Dindori Road, Mhasarul,South-North Circuler Building,Eastern Side Room No.1",123
"15 - S. S. Dhamankar Commerce, Science and Arts College, Dindori Road, Mhasarul","S. S. Dhamankar Commerce, Science and Arts College, Dindori Road, Mhasarul, South-North Circuler Building,Eastern Side Room No.2",123
"16 - S. S. Dhamankar Commerce, Science and Arts College, Dindori Road, Mhasarul","S. S. Dhamankar Commerce, Science and Arts College, Dindori Road, Mhasarul, South-North Circuler Building, Eastern Side Room No.3",123
"17 - Chhatrapati Shivaji Vidyalaya NMC School No. 1, Mhasarul","Chhatrapati Shivaji Vidyalaya NMC School No.1, Mhasarul, South North Building, Northen side Room No.2",123
"18 - Chhatrapati Shivaji Vidyalaya NMC School No. 1, Mhasarul","Chhatrapati Shivaji Vidyalaya NMC School No.1, Mhasarul, South North Building, Northen side Room No.3",123
"19 - Chhatrapati Shivaji Vidyalaya NMC School No. 1, Mhasarul","Chhatrapati Shivaji Vidyalaya NMC School No.1, Mhasarul, East-West Building, Eastern side Room No. 2",123
