PS No & Name,Address,Constituency Number
1 - Nashik,"N.M.C. Anganwadi No. 68 Hanuman Wadi, Nashik",124
2 - Nashik,"N.M.C.Anganwadi No. 69 (Samaj Mandir) Hanuman Wadi, Nashik.",124
3 - Nashik,"Hanuman Mitra Mandal Sanchlit N.M.C's. Public Library, Hanuman Wadi, Nashik",124
4 - Nashik,"N.M.C. Aanganwadi, Makhamalabad, Near Old Pumping Station. Nashik.",124
5 - Nashik,"Swami Vivekananda Vidyalaya, Near Hemlata Talkies, Ravivar Peth, Nashik, Room no.1",124
6 - Nashik,"Swami Vivekananda Vidyalaya, Near Hemlata Talkies, Ravivar Peth, Nashik, Room no.2",124
7 - Nashik,"Mohinidevi Rungta Prathamik Vidyamandir & ITI college, Ashok Stambh, Nashik Ground Floor, Room No 1",124
8 - Nashik,"Mohinidevi Rungta Prathamik Vidyamandir, Ashok Stambh, Nashik Ground Floor, Room No 2",124
9 - Nashik,"Mohinidevi Rungta Prathamik Vidyamandir, & ITI college, Ashok Stambh, Nashik Ground Floor, Room No 3",124
10 - Nashik,"Mohinidevi Rungta Prathamik Vidyamandir, & ITI college, Ashok Stambh, Nashik Ground Floor, Room No 4",124
11 - Nashik,"Mohinidevi Rungta Prathamik Vidyamandir, & ITI college, Ashok Stambh, Nashik Ground Floor, Room No 5",124
12 - Nashik,"Mohinidevi Rungta Prathamik Vidyamandir, & ITI college, Ashok Stambh, Nashik Ground Floor, Room No 6",124
13 - Nashik,"Pethe Vidyalaya, Ravivar Karanja, Nashik. Ground Floor Room No. 7",124
14 - Nashik,"Pethe Vidyalaya, Ravivar Karanja, Nashik. Ground Floor Room No. 8",124
15 - Nashik,"Mahatma Jyotitba Phule Vidyanikentan, Former N.M.C.School No.62, Zharekari Koth, Old Nashik. Ground Floor Room No.1",124
16 - Nashik,"Mahatma Jyotitba Phule Vidyanikentan, Former N.M.C.School No.62, Zharekari Koth, Old Nashik Temporary Tin Partition At Ground Floor Room No 1",124
17 - Nashik,"Mahatma Jyotitba Phule Vidyanikentan, Former N.M.C.School No.62, Zharekari Koth, Old Nashik Temporary Tin Partition At Ground Floor Room No 2",124
