PS No & Name,Address,Constituency Number
1 - N.M.C. School No.19 Gangapur,N.M.C. School No.19 Gangapur North/South Building No 1 Room No 1,125
"2 - Dena Patil Madhyamik Vidhyalay & Jr.college, Gangapur","Dena Patil Madhyamik Vidhyalay & Jr.college, Gangapur East Side Room No.4",125
3 - N.M.C. School No.19 Gangapur,N.M.C. School No.19 Gangapur North/South Building No 1 Room No 2,125
"4 - Dena Patil Madhyamik Vidhyalay & Jr.college,Gangapur East","Dena Patil Madhyamik Vidhyalay & Jr.college,Gangapur East -West Building West Side Room No.1",125
"5 - Denna Patil Madhyamik Vidhyalay & Jr.college,Gangapur East -West Building West Side Room No.2","Denna Patil Madhyamik Vidhyalay & Jr.college,Gangapur East -West Building West Side Room No.2",125
6 - Denna Patil Madhyamik Vidhyalay Gangapur East Side Room No.3,Denna Patil Madhyamik Vidhyalay Gangapur East Side Room No.3,125
7 - Denna Patil Madhyamik Vidhyalay Gangapur East-west building west Side Room No.2,Denna Patil Madhyamik Vidhyalay Gangapur East-west building west Side Room No.2,125
8 - N.M.C. School No.18 Anandvali,N.M.C. School No.18 Anandvali East/West Building No.1 Room No.1,125
9 - N.M.C. School No.18 Anandvali,N.M.C. School No.18 Anandvali East/West Building No.1 Room No.2,125
10 - N.M.C. School No.18 Anandvali,N.M.C. School No.18 Anandvali East/West Building No.1 Room No.3,125
11 - N.M.C. School No.18 Anandvali,N.M.C. School No.18 Anandvali East/West Building No.1 Room No.4,125
12 - N.M.C. School No.18 Anandvali,N.M.C. School No.18 Anandvali East/West Building No.2 Room No.1,125
13 - N.M.C. School No.18 Anandvali,N.M.C. School No.18 Anandvali East/West Building No.2 Room No.2,125
14 - N.M.C. School No.18 Anandvali,N.M.C. School No.18 Anandvali Samaj Mandir Room No.1,125
15 - N.M.C. School No.18 Anandvali,"""N.M.C. School No.18 East -West Building No .3 East Side Room No.1 """,125
16 - N.M.C. School No.18 Anandwali Matoshri Radhabai Shantaram Bapu Vavre High School Room No.1,N.M.C. School No.18 Anandwali (Matoshri Radhabai Shantaram Bapu Vavre High School) Room No.1,125
17 - N.M.C. School No.18 Anandvali,N.M.C. School No.18 Anandvalli East West Building No. 3 Room No. 2,125
18 - N.M.C. School No.18 (Matoshri Radhabai Shantaram Bapu Vavre High School) Anandwali Room No.2,N.M.C. School No.18 (Matoshri Radhabai Shantaram Bapu Vavre High School) Anandwali Room No.2,125
19 - N.M.C. School No.18 Anandvali,"N.M.C. School No.18 Anandwalli, East West Building No.4, Tin Shed Room No.1",125
20 - N.M.C. School No.18 Anandvali,"N.M.C. School No.18 Anandwalli, East West Building No.4, Tin Shed Room No.2",125
21 - N.M.C. School No.18 Anandvali,N.M.C. School No.18 Anandvali East/ West Building No.4 Room 1,125
22 - N.M.C. School No.18 Anandvali,"N.M.C. School No.18 Anandvali South/ North Building No.4, Room No.2",125
23 - N.M.C. School No.18 Anandvali Samaj Mandir Room No.2,N.M.C. School No.18 Anandvali Samaj Mandir Room No.2,125
24 - N.M.C. School No.18 Sarva Shiksha Abhiyan Anandvali East/West Building Room 1,N.M.C. School No.18 Sarva Shiksha Abhiyan Anandvali East/West Building Room 1,125
25 - N.M.C. School No.18 Sarva Shiksha Abhiyan Anandvali East/West Building Room 2,N.M.C. School No.18 Sarva Shiksha Abhiyan Anandvali East/West Building Room 2,125
26 - N.M.C. School No.18 Hexagonal Anandvali,N.M.C. School No.18 Hexagonal Room Anandvali,125
27 - N.M.C. School No. 21 Gangapur North South Building Room No..1,N.M.C. School No. 21 Gangapur North South Building Room No..1,125
28 - N.M.C. School No. 21 Gangapur East-west Building Room No.2,N.M.C. School No. 21 Gangapur East-west Building Room No.2,125
29 - N.M.C. School No. 21 Gangapur North-south Building Room No.2,N.M.C. School No. 21 Gangapur North-south Building Room No.2,125
30 - N.M.C. School No. 21 Gangapur east-west Building Room No.3,N.M.C. School No. 21 Gangapur east-west Building Room No.3,125
31 - N.M.C. School No. 21 Gangapur North South Building Room No.4,N.M.C. School No. 21 Gangapur North South Building Room No.4,125
32 - N.M.C. School No. 21 Gangapur North South Building Room No.5,N.M.C. School No. 21 Gangapur North South Building Room No.5,125
