PS No & Name,Address,Constituency Number
1 - Pimpari sayyad,"ZP Primary School Pimpri Sayyad,No.East West Building, North Side R. No.1",126
2 - Pimpari sayyad,"ZP Primary School Pimpri Sayyad,No.East West Building, North Side R. No.3",126
3 - Pimpari sayyad,"ZP Primary School Pimpri Sayyad,No.East West Building, North Side R. No.1",126
4 - Pimpari sayyad,"Nutan Secondary School,Pimpri Sayyad, East side R. No.1",126
5 - Pimpari sayyad,"Nutan Secondary School, Pimpri Sayyad,.East side R. No.2",126
6 - Pimpari sayyad,"Nutan Secondary School, Pimpri Sayyad,East side R. No.4",126
7 - Pimpari sayyad,"Nutan Secondary School, Pimpri Sayyad,East side R. No.5",126
8 - Pimpari sayyad,"Nutan Secondary School, Pimpri Sayyad,South side R. No.3",126
9 - Dari,"Z P Primary School Dari,north south building,north side Room No.1",126
10 - Dari,"Z P Primary School Dari,north south building,north side Room No.2",126
11 - Wadgaon,"Z P Primary School, East-west Building East side Room No.1",126
12 - Wadgaon,"Z P Primary School, East-west Building,East side Room No.2",126
13 - Naikwadi,"Z P Primary School, Naikwadi, East-west Building East side Room room NO 1",126
14 - Ladchi,"New Primary School, Ladchi, East-west Building East side Room No. 1",126
15 - Ladchi,"New Primary School, Ladchi, East-west Building East side Room No. 2",126
16 - Sadgaon,"New Primary School, Sadgaon, East-west Building East side Room no 1",126
17 - Goloshipada,"Z P New Primary School galoshipada, East-west Building East side Room No.1",126
18 - Goloshipada,"Z PNew Primary School galoshipada, East-west Building East side Room No.3",126
19 - Devargaon,"Z P Primary School, East-west Building East side Room No.1",126
20 - Devargaon,"Z P Primary School Devargaon, East-west Building East side Room No.2",126
21 - Devargaon,"Z P Primary School Devargaon, East Side Building Room No.3",126
22 - Dhondegaon,"Z P Primary School, Dhodegaon East-west Building East side Room No.1",126
23 - Dhondegaon,"Z P Primary School, Dhodegaon East-west Building East side Room No.2",126
24 - Girnare,KBH vidhyalaya girnare East-west Building East side Room No.1,126
25 - Girnare,KBH vidhyalaya girnare East-west Building East side Room No.3,126
26 - Nagalwadi,"ZP Primary School nagalwadi, North South building,North side Room. No.1",126
27 - Girnare,KBH vidhyalaya girnare East-west Building East side Room No.9,126
28 - Girnare,KBH vidhyalaya girnare East-west Building East side Room No.6,126
29 - Dugaon,"ZP Primary School Dugaon, Sauth-North Building, Northside Room No.1",126
30 - Dugaon,"ZP Primary School Dugaon, Sauth-North Building, Northside Room No.2",126
31 - Mungsare,"ZP Primary School Mungasare,Sauth-North Building, Northside Room No.1",126
32 - Mungsare,"ZP Primary School Mungsare, Sauth-North Building, Northside Room No.2",126
33 - Mungsare,"ZP Primary School Mungsare,Sauth-North Building, Northside Room No.3",126
34 - Matori,"ZP Primary School matori, West Side Sauth-North Building, Room No.1",126
35 - Matori,"ZP Primary School matori, West Side Sauth-North Building, west side Room No.2",126
36 - Matori,"ZP Primary School matori, West Side Sauth-North Building, Room No.3",126
37 - Vinchurgavli,"ZP Primary School vinchurgavali, In East - West Building, Room No.1",126
38 - Vinchurgavli,"ZP Primary School vinchurgavali, Sauth-North Building, South Side Room No.3",126
39 - Lakhalgaon,"High School Lakhalgaon,East-west Building East side Room No.3",126
40 - Lakhalgaon,"High School Lakhalgaon,East-west Building Room No.2",126
41 - Lakhalgaon,"High School Lakhalgaon,East-west Building East side Room No.3",126
42 - Odha,"Primary School Odha, East west Building, East side Room No. 1",126
43 - Odha,"Primary School Odha, East west Building west side Room No. 2",126
44 - Madsangvi,"ZP Primary School Madsanghavi, East west Building North side Room No. 2",126
45 - Madsangvi,"ZP Primary School Madsanghavi, East west Building North side Room No. 3",126
46 - Madsangvi,"ZP Primary School Madsanghavi, East west Building North side Room No. 4",126
47 - Shilapur,"Primary School shilapur , North South Building East side Room 1",126
48 - Shilapur,"Primary School shilapur , East west Building East side Room 2",126
49 - Chandashi,"ZP Primary School Chandashi,East west Building East side room no 1",126
50 - Chandashi,"ZP Primary School Chandashi,East west Building East side room no 2",126
51 - Jalalpur,"ZP Primary School jalalpur,East west Building East side room no 1",126
52 - Gangapur /Govardhan,"ZP Primary School Govardhan,East west Building West side Room No.3",126
53 - Govardhan,"ZP Primary School Govardhan,East west Building West side, Room No.2",126
54 - Govardhan,"ZP Primary School Govardhan,East west Building West side, Room No. 1",126
55 - Mahadevpur,"ZP Primary School, Mahadevpur East west Building East side Room No 1",126
56 - Ozarkhed,"ZP Primary School Ozarkhed, East west Building East side Room No 1",126
57 - Ozarkhed,Z.P.Primary school Eastwest Building West side Room No.2,126
58 - Gangamhalungi,"ZP Primary School Gangamhalungi, East west Building East side Room No.1",126
59 - Gangamhalungi,"ZP Primary School Gangamhalungi,East west Building East side Room No.3",126
60 - Gangamhaluni,Z.P.Primary school Eastwest Building East side Room No.4,126
61 - Shivangaon,"Primary School Shivangaon,,East west Building East side Room No. 1",126
62 - rajewadi,"Primary School Rajewadi ,East west Building East sideRoom No. 1",126
63 - Savargaon Gangavarhe,"ZP Primary School Savargaon Gangavarhe,East west Building East side Room No 1",126
64 - Savargaon Gangavarhe,"ZP Primary School Savargaon Gangavarhe,East west Building East side Room No 5",126
65 - Pimpalgaon Garudeshwar,"ZP Primary School Pimpalgaon(Garudeshwar) South-North building,South side Nashik Room No 1",126
66 - Ganeshgaon (Nasik),ZP Primary School Ganeshgaon (Nashik) East west Building West side Room No 1,126
67 - Ganeshgaon (Tribak),"ZP Primary School Ganeshgaon (Trimbak)outh-North building,South side Room No 1",126
68 - Eklahare Gaon,Z.P. Primary School Eklahare Village East west Building East Side Room No 1,126
69 - Eklahare,"Secondary School Tharmal Power Station Building No. 1, North South Building, South side Room No.2",126
70 - Eklahare,"Secondary School Tharmal Power Station Building No. 1, North South Building, South side Room No.3",126
71 - Eklahare Tal. Nashik,"Secondary School Tharmal Power Station Building No. 1, North South Building, South side Room No.1",126
72 - Eklahare,"ZP Primary School Eklahare Colony, North South Building, South side Room No.2",126
73 - Eklahare,"ZP Primary School Eklahare Colony, North South Building, South side Room No.1",126
74 - Eklahare,"ZP Primary School Eklahare Colony, North South Building, South side Room No.2",126
"75 - Gangpadali, Kalvi","ZP Primary School Gangapadali kalvi,North South Building, South side Room No.1",126
76 - Hinganvedhe,"ZP Primary School Hinganwedhe, East-West building East side Room No.1",126
77 - Jakhori,"ZP Primary School jakhori,East-West building East side Room No.1",126
78 - Jakhori,"ZP Primary School jakhori,East-West building East side Room No.2",126
79 - Kotamgaon,"ZP Primary School Kotamgaon,East-West building East side Room NO.1",126
80 - Kotamgaon,"ZP Primary School Kotamgaon,East-West building East side Room No 2",126
81 - Samangaon,Marathi Boys School Samangaon East-West building East side Room No.1,126
82 - Samangaon,"Marathi Boys School samangaon,East-West building East side Room No.3",126
83 - Samangaon,"Marathi Boys School Samangaon, East-West building East side Room No.4",126
"84 - Mohegaon,","Primary School Mohegaon,East-West building East side Room No. 1",126
"85 - Mohegaon, Bhabaleshwar","Primary School Mohegaon Babhaleshwar,East-West building East side Room No. 3",126
"86 - Chadegaon,",Nmc School 54 Chadegaon East-West building East side Room No 1,126
"87 - Chadegaon,",Nmc School 54 Chadegaon East-West building East side Room No 2,126
88 - Tiradshet,"Primary School, Tiradshet East-West building East side Room No 1",126
89 - Vasali,"Primary School, Wasali, East-West building East side Room No.2",126
90 - Mahiravani,"Primary School, Mahiravani, East-West building South side Room No.1",126
91 - Mahiravani,"Primary School, Mahiravani, East-West building South side Room No.2",126
92 - Mahiravani dudgav,"Primary School, Mahiravani, East-West building South side Room No.3",126
93 - Belgaondhaga,"ZP Primary School, Trambak Vidya Madir , Sauth-North Building, North side Room No.1",126
94 - Belgaondhaga,"ZP Primary School, Trambak Vidya Madir, South Side Building, North Side Room No.2",126
95 - Ambad,NMC School No.78 Ambad Khurd North South building North side Room No. 1,126
96 - Ambad,NMC School No.78 Ambad Khurd North South building North side Room No. 2,126
97 - Ambad,NMC School No.78 Ambad Khurd North South building North side Room No. 3,126
98 - Ambad,NMC School No.77Ambad Khurd East West building East side Room No. 1,126
99 - Ambad,"NMC School No.77 Ambad Khurd New Building, Room No. 2",126
100 - Ambad,NMC School No.77 Ambad Khurd East West building East side Room No. 3,126
101 - Ambad,NMC School No.77 Ambad KhurdEast West building East side Room No. 4,126
102 - Ambad,NMC School No.77 Ambad Khurd East West building East side Room No. 5,126
103 - Ambad,NMC School No.77 Ambad Khurd East West building East side Room No. 6,126
104 - Chunchale,Mukeshbhai Patel Primary school Southside Room No 3,126
105 - Chunchale,Mukeshbhai Patel Primary school Southside Room No 5,126
106 - Chunchale,Mukeshbhai Patel Primary school Southside Room No 6,126
107 - Chunchale,Mukeshbhai Patel Primary school Eastside Room No 1,126
108 - Pathardi,"NMC School No.86,87 Pathardi, East-West bulding East Side Room No.1",126
109 - Pathardi,"NMC School No86,87 Pathardi, East Side Room No.2",126
110 - Pathardi,"NMC School No86,87 ,Pathardi, East-West bulding East Side Room No.3",126
111 - Pathardi,"NMC School No.86,87 , Pathardi, West Side Room No.4",126
112 - Pathardi,"NMC School No.86,87, Pathardi,East-West bulding West Side Room No.5",126
113 - Vihitgaon,"NMC School Vihitgaon No.64, South North Building North side Room No. 1",126
114 - Vihitgaon,"NMC School Vihitgaon No.64, South North Building North side Room No. 2",126
115 - Vihitgaon,"NMC School Vihitgaon No.64, South North Building North sideRoom No. 3",126
116 - Vihitgaon,"NMC School Vihitgaon No.64, South North Building North side Room No. 4",126
117 - Vihitgaon,"NMC School Vihitgaon No.64, South North Building North side Room No. 5",126
118 - Vihitgoan,NMC Primary School No 64 South North Building North side Room No.6,126
119 - Vihitgaon,"NMC School Vihitgaon No.64, South North Building North side Room No. 1",126
120 - Vihitgaon,"NMC School Vihitgaon No.64, East West Building East side Room No. 2",126
121 - Vihitgaon,"NMC School Vihitgaon No.64, East West Building East side Room No. 3",126
122 - Vihitgaon,"NMC School Vihitgaon No.64, East West Building East side Room No. 4",126
123 - Vadner Dumala,"NMC School Vadner Dumala, No. 59, East-West builing west side Room No.1",126
124 - Vadner Dumala,"NMC School Vadner Dumala, No. 59, East West building West side Room No.2",126
125 - Vadner Dumala,"NMC School Vadner Dumala, No. 59, East-West builing west side Room No.3",126
126 - Vadner Dumala,"NMC School Vadner Dumala, No. 59, East-West builing west side Room No.4",126
127 - Vadner Dumala,"NMC School Vadner Dumala, No. 59, East-West builing west side Room No.5",126
128 - Nashik Road,I.S.P.NMC School 50 East-West builing East side Room No.1,126
129 - Nashik Road,"ISPNMC School 50 , East-West builing East side Room No.2",126
130 - Nashik Road,"ISP NMC School 50 , East-West builing East side Room No.3",126
131 - Nashik Road,"ISPNMC School 50, East-West builing East side Room No.4",126
132 - Nashik Road,"ISP NMC School 50, East-West builing East side Room No.5",126
133 - Nashik Road,"ISP NMC School 50, East-West builing East side Room No.6",126
134 - Nashik Road,"ISP NMC School 50, East-West builing East side Room No.7",126
135 - Nashik Road,"NMC School No. 51, Sinnar Phata East-West builing East side R. No.1",126
136 - Nashik Road,"NMC School No. 51, Sinnar Phata East-West builing East side R. No.2",126
137 - Nashik Road,"NMC School No. 51, Sinnar Phata East-West builing East side R. No.3",126
138 - Nashik Road,"NMC School No. 51, Sinnar Phata East-West builing East side R. No.4",126
139 - Nashik Road,"NMC School No. 51, Sinnar Phata East-West builing East side R. No.5",126
140 - Nashik Road,"NMC School No. 51, Sinnar Phata East-West builing East side R. No.6",126
