PS No & Name,Address,Constituency Number
1 - Kas,"Z. P. Primary School, Kas East Side Building Room No.1",127
2 - Bafanvihir,"Z. P. Primary School, Bafan Vihir, North Side East West Building, west Side Room. No. 1",127
3 - Devdongri,"Z. P. Primary School, Dev Dongri , south Side East-west Building East side Room No. 1",127
4 - Devdongra,"Z. P. Primary School, Dev Donngara North Side East West Building West Side Room No. 1",127
5 - Devdongra,Z. P. Primary School Dev Donngara North Side East West Building West Side Room No. 2,127
6 - Kharshet,Z. P. Primary School Kharashet East West Building West Side Room No. 1,127
7 - Kharshet,Z. P. Primary School Kharashet East West Building West Side Room No. 2,127
8 - Torangan (H),"Z. P. Primary School, Torangan East Side North South Building North Side room no.1",127
9 - Torangan (H),"Z. P. Primary School, Torangan East Side North South Building North Side room no.3",127
10 - Sawarpada,Z. P. Primary School Savarapada South Side Room No. 1,127
11 - Chinchohol,Z. P. Primary School Chinchaohol East West Building West Side Room No. 1,127
12 - Dolohol,"Z. P. Primary School, Dolaohol North Side East West Building West Side Room No. 1",127
13 - Goldari,New Gramapanchayat Karyalay Goldari,127
14 - Khadakohol,Z. P. Primary School Khadakaohol East Side North South Building North Side Room No. 1,127
15 - Boripada,Z. P. Primary School Boripada South Side East West Building East Side Room No. 1,127
16 - Khairaypali,Z. P. Primary School Khairayapali north south Building North Side Room No. 1,127
17 - Dalpatpur,Z. P. Primary School Dalapatapur North Side East West Building East side Room No. 1,127
18 - Chikhalpada,Z. P. Primary School chikhalpada - East west Building west Side Room No. 1,127
19 - Saraste,Z. P. Primary School Saraste,127
20 - Sapatpali,Z. P. Primary School Sapatapali,127
21 - Chirapali,Z. P. Primary School Chirapali,127
22 - Harsul,Z. P. Primary School Harasul East West Building East Side Room No. 1,127
23 - Harsul,Z. P. Primary School Harasul East West Building East Side Room No. 2,127
24 - Harsul,Z. P. Primary School Harasul East West Building East Side Room No. 3,127
25 - Nirgude (H),Z. P. Primary School Nirgude (harasul ) East west building West side Room No. 1,127
26 - Thanapada,Z. P. Primary School Thanapada South Side East West Building West Side Room No. 2,127
27 - Thanapada,Z. P. Primary School Thanapada South Side East West Building West side Room No. 6,127
28 - Thanapada,Z. P. Primary School Thanapada East side Cultural hall,127
29 - Hatlondhi,Z. P. Primary School Hatalondhi North South Building North Side Room No 1,127
30 - Garmaal,Z. P. Primary School Garamal East Side North South Building north side Room No. 1,127
31 - Kadegavhan,Z. P. Primary School Kadegavhan South Side Building East Side Room No. 1,127
32 - Ozerkhed,Z. P. Primary School Ozarakhed East West Building West Side Room No. 1,127
33 - Dhayatipada,Z. P. Primary School Dhayatipada New building,127
34 - Berwal,New Gramapanchayat Karyalay Berwal,127
35 - Kotambi (H),Z. P. Primary School Kotambi (H ),127
36 - Kalmuste(H),Z. P. Primary School Kalamuste south north building north Side Room No. 1,127
37 - Jategaon (Kh),Z. P. Primary School Jategaon (khu. ) north South Building North Side Room No. 1,127
38 - Vele Dumala,Z. P. Primary School Vele room no.1,127
39 - Somnath Nagar,Z. P. Primary School somnath nagar east side room no.1,127
40 - Wele Dumala,Z. P. Primary School Veledumala East West Building East Side Room No. 1,127
41 - Jategaon (B),Z. P. Primary School Jateganv (bu. ) North Side East West Building East Side Room No. 1,127
42 - Jategaon (B),Z. P. Primary School Jateganv (bu. ) North Side East West Building East Side Room No. 2,127
43 - Chinchwad,Shri Sakharam Bhoye (Chand Patil) Ashram School Chinchavad East Side North South Building North Side Room No 1,127
44 - Chinchwad,Shri Sakharam Bhoye (Chand Patil) Ashram School Chinchavad East Side North South Building North Side Room No 3,127
45 - Waygholpada,Z. P. Primary School Vayagholapada East West Building west Side Room No. 1,127
46 - Gaddavne,Z.P. Primary School Gaddavne South Side East West Building West Side Room No.1,127
47 - Nadurakipada,Z. P. Primary School Nandurakipada west Side Room No. 1,127
48 - Shirasgaon (H),Z. P. Primary School Shirasaganv (H) North South Building South Side Room No. 1,127
49 - Bhutmokhada,Z. P. Primary School Bhut Mokhada East West Building West Side Room No. 1,127
