PS No & Name,Address,Constituency Number
1 - Zai,Z. P. Marathi School Zai Dubalpada Room No. 1,128
2 - Zai,Z. P. Marathi School Zai Dubalpada Room No. 2,128
3 - Zai,Z. P. Marathi School Zai Dubalpada Room No. 3,128
4 - Zai,Z. P. Marathi School Patilapada,128
5 - Ghimaniya,Z. P. Marathi School Ghimaniya Vanjarapada Old Building Room No.1,128
6 - Ghimaniya,Z. P. Marathi School Ghimaniya Vanjarapada Old Building Room No.2,128
7 - Ghimaniya,Z. P. Marathi School Ghimaniya New Building,128
8 - Sambha,Sambha Tankarapada Gujrati School Old Building Room No.1,128
9 - Sambha,Sambha Tankarapada Gujrati School,128
10 - Sambha,Z. P. Marathi School Patilapada Sambha School,128
11 - Achchhad,Z. P. Marathi School Devipada Industries Achchhad Room No.1,128
12 - Achchhad,Z. P. Marathi School Devipada Achchhad Room No.2,128
13 - Kajali,Z. P. Marathi School Kajali Parasapada Room No.1,128
14 - Amagaon,Z. P. Marathi School Amagaon Old Building Room No.1,128
15 - Amagaon,Z. P. Marathi School Patilapada Room No. 2,128
16 - Dongari,Z. P. Marathi School Harasunapada Room No.1,128
17 - Dongari,Z. P. Marathi School Dongari Harasunapada Room No.2,128
18 - Dongari,Z. P. Marathi School Dongari Dubalapada,128
19 - Girgaon,Z. P. Marathi School Girgaon Arajapada,128
20 - Dolharapada,Z. P. Marathi School Dolharapada,128
21 - Girgaon,Z. P. Marathi School Giragaon Katelapada,128
22 - Dolharapada,Z. P. Marathi School Dolharapada Room No.2,128
23 - Kharadagaon,Z. P. Marathi School Kharadapada Room No.2,128
24 - Upalat,Z. P. Marathi School Upalat Patilapada Old Building Room No.1,128
25 - Upalat,Z. P. Marathi School Upalat Patilapada Old Building Room No.2,128
26 - Upalat,Z. P. Marathi School Upalat Kondharapada New Building,128
27 - Upalat,Mishanari School New Building Dhodhalapada Room No. 1,128
28 - Upalat,Mishanari School New Building Dhodhalapada Room No.2,128
29 - Upalat,Z. P. Marathi School Girikhachapada Upalat,128
30 - Upalat,Upalat Z. P. Mishanari School Dhodhadapada Room No.4,128
31 - Boramal,Z. P. Marathi School Boramal Patilapada,128
32 - Kochai,Z. P. Marathi School Kochai Patilapada Room No. 1,128
33 - Kochai,Z. P. Marathi School Kochai Badaghapada,128
34 - Kochai,Z. P. Marathi School Kochai Patilapada Room No.2,128
35 - Varavada,Z. P. Marathi School Varavada Bramhanapada Room No.1 South,128
36 - Varavada,Z. P. Marathi School Varavada Patilpada,128
37 - Varavada,Z. P. Marathi School Varavada Parasapada Room No.1,128
38 - Varavada,Z. P. Marathi School Varavada Parasapada Room No.2,128
39 - Vilhatagaon,Z. P. Marathi School Kharadpada Room No.3,128
40 - Vevaji,Z. P. Marathi School Nanapada Vevaji Room No. 1,128
41 - Vevaji,Z. P. Marathi School Nanapada Vevaji Room No. 2,128
42 - Vevaji,Z. P. Marathi School Nanapada Vevaji Room No.3,128
43 - Vevaji,Z. P. Marathi School Nanapada Vevaji Room No.4,128
44 - Vevaji,Z. P. Marathi School Vevaji Singalapada Room No.1,128
45 - Vevaji,Z. P. Marathi School Vevaji Patilapada Room No.1,128
46 - Vevaji,Z. P. Marathi School Vevaji Patilapada Room No.2,128
47 - Borigaon,Integrated Child Development Project Talasari Bramhanpada Bramhangaon Room No.1,128
48 - Bramhanagaon,Z. P. Marathi School Zai Bramhanpada Bramhangaon Room No.1,128
