PS No & Name,Address,Constituency Number
1 - RUIGHAR,Z.P. Marathi School Ruighar Room No.1,129
2 - BOPDARI,Z.P. Marathi School Bopdari Room No.1,129
3 - VAVAR,Grampanchayat Office Vavar Room No.1,129
4 - BEHEDGAON,Z.P. Marathi School Behedagaon Room No.6,129
5 - DABHERI,Z.P.Marathi School Dabheri New Building Room No.1,129
6 - DAHUL,Z. P. Marathi School Dahul Room No.1,129
7 - KAYARI,Z.P.Marathi School Kayari Room No.1,129
8 - BARWADPADA,Z.P Marathi School Barvadpada Room No.1,129
9 - DABHLON,Z.P.Marathi School Dabhlon Room No.1,129
10 - KIRMIRA,Z.P.Marathi School Kirmira Room No.1,129
11 - TALASARI,Z.P.Marathi School Talasari Room No.1,129
12 - KHAMBALA,Z.P.Marathi School Khambala Room No.1,129
13 - DHADHARI,Z.P.Marathi School Dhadhari Room No.1,129
14 - JAMBHULMATHA,Z.P.Marathi School Jambhulmatha Room No.1,129
15 - VANGANI,Z.P.Marathi School Vangani Room No.1,129
16 - ASE,Z.P.Marathi School Ase Room No.1,129
17 - SWAMINAGAR,Z.P.Marathi School Swaminagar Room No. 1,129
18 - KAROLI,Z.P. Marathi School Karoli Room No1,129
19 - ASE BRAMHANGAON,Z.P.Marathi School Ase Bramhanagaon Room No.1,129
20 - DHAMANI,Z.P.Marathi School Dhamani Room No.1,129
21 - ASE,Grampanchayat Office Ase Room No.1,129
22 - HATERI,Z.P.Marathi School Hateri Room No.1,129
23 - MALGHAR,Z.P.Marathi School Malghar Room No.1,129
24 - SARSUN,Z.P.Marathi School Sarsun Room No.1,129
25 - SURYANAGAR,Z.P.Marathi School Suryanagar Room No.1,129
26 - DADARKOPARA,Z.P.Marathi School Dadarkopara Room No.1,129
27 - PAVANMAL,Z.P.Marathi School Pavanmal Room No.1,129
28 - DABHOSA,Z.P.Marathi School Dabhosa Room No.1,129
29 - PIMPURNA,Z.P. Marathi School Pimpurna Room No.1,129
30 - SAKHARSHET,Z.P.Marathi School Sakharshet Room No.1,129
31 - UMBARKHEDA,Z.P.Marathi School Umbarkheda Room No.1,129
32 - CHALATWAD,Z.P.MarathiSchool Chalatwad Room No.1,129
33 - KORTAD,Z. P. Marathi School Kortad New Building Room No.1,129
34 - MEDHA,Z.P.Marathi School Medha Room No.1,129
35 - OZAR,Z.P.Marathi School Ozar Room No.1,129
36 - KHARONDA,Z.P. Marathi School Kharonda (Hedichapada) Room No.1,129
37 - SHINGARPADA,Z.P.Marathi School Shingarpada Room No.1,129
38 - MORCHAPADA/BHAGADA,Z.P.Marathi School Morchapada Room No.1,129
39 - DASKOD,Z.P.Marathi School Daskod Room No.1,129
40 - SAVARPADA,Z.P.Marathi School Savarpada Room No.1,129
41 - RAMNAGAR (GURVADPADA),Z. P. Marathi School Ramnagar (Gurvadpada) Room No.1,129
42 - DEHARE,Z.P.Marathi School Dehare Room No.1,129
43 - KHADAKIPADA (DEHARE),Government Ashram School Khadakipada Dehare Room No.1,129
44 - VADOLI,Z.P.Marathi School Vadoli Room No.1,129
45 - ALYACHIMET,Z.P.Marathi School Alyachimet New Building Room No.1,129
46 - HIRADPADA,Z. P. Marathi School Hiradpada Room No.1,129
47 - POYSHET,Z.P.Marathi School Poyshet New Building Room No.2,129
48 - VINVAL,Z.P.Marathi School Vinval Room No.1,129
49 - GHIVANDA,Z.P.Marathi School Ghivanda Room No.1,129
50 - OSARVIRA,Z.P.Marathi School Osarvira Room No. 1,129
51 - KALAMGAON,Z.P.Marathi School Kalamgaon Room No.1,129
52 - GHANVAL,Z.P.Marathi School Ghanval Room No.1,129
53 - DANDAVAL,Z.P. Marathi School Dandaval Room No.1,129
54 - HIRVE,Z.P.Marathi School Hirve Room No.1,129
55 - HIRVE/PIMPALPADA,Z.P.Marathi School Hirve Pimpalapada Room No.1,129
56 - BERISTE,Z.P.Marathi School Beriste Room No.1,129
57 - UMBARPADA,Z.P.Marathi School Umbarpada Room No.1,129
58 - CHAS,Z.P.Marathi School Chas New Building Room No.1,129
59 - CHAS,Z.P.Marathi School Chas Room No.1,129
60 - CHIKANPADA CHAS,Z.P.Marathi School Chikanpada Room No.1,129
61 - BORALE,Z.P. Marathi School Borale Room No.1,129
62 - DEVGAON,Z.P.Marathi School Devgaon Room No.1,129
63 - UKSHIPADA,Z.P.Marathi School Ukshipada (Borichamal) Room No.1,129
64 - TILONDA,Z.P.Marathi School Tilonda Room No.1,129
65 - PIMPALSHET,Z.P.Marathi School Pimpalshet Room No.1,129
66 - AKARE,Z.P.Marathi School Akare Room No.1,129
67 - PALSHIN,Z.P.Marathi School Palshin Room No.1,129
68 - KOGADA,Z.P.Marathi School Kogada Room No.1,129
69 - CHANDRAGAON,Z.P. Marathi School Chandragaon Room No.1,129
70 - GORTHAN,Z.P.Marathi School Gorthan Room No.1,129
71 - SHIVAJINAGAR,Z.P.Marathi School Shivajinagar Room No.1,129
72 - KUTURVIHIR,Z. P. Marathi School Kuturvihir Room No.1,129
73 - JAMSAR,Z.P.Marathi School Jamsar Room No.1,129
74 - SURYANAGAR,Z.P.Marathi School Suryanagar Room No.1,129
75 - PIMPALGAON,Z.P.Marathi School Pimpalgaon Room No.1,129
76 - CHAMILPADA,Z.P.Marathi School Chamilpada Room No.1,129
77 - POSHERA,Z.P. Central School Poshera North Side Building Room No.1,129
78 - POSHERA,Z.P. Central School Poshera Building No.2 Room No.1,129
79 - POSHERA,Z.P. Central School Poshera Building No.2 Room No.2,129
80 - POSHERA (DABHANIPADA),Z.P.Marathi School Dabhanipada Room No.1,129
81 - MORHANDA,Z.P.Marathi School Morhanda East Side Room No.1,129
82 - TULYACHAPADA (MORHANDA),Z.P. Higher Primary Marathi School Bhoyachapada Slab Building Room No.1,129
83 - GONDE BUDRUK,Z.P.Marathi School Gonde Budruk Room No.1,129
84 - SHERICHAPADA GONDE BUDRUK,Z.P.Marathi School Gonde Budruk (Sherichapada) Room No.1,129
85 - MOKHADA,Karmavir High School Mokhada North Side Room No.1,129
86 - MOKHADA,Z.P. Marathi School Mokhada Room No.1,129
87 - MOKHADA,Karmavir High School Mokhada South Side Room No.1,129
88 - MOKHADA,Z.P.Marathi School Mokhada Room No. 4,129
89 - GHOSALI MOKHADA,Z.P.Marathi School Ghosali Room No.1,129
90 - MOKHADA,Z.P. Marathi School Mokhada Left Side Room No.3,129
91 - MOKHADA (WARGHADPADA),Z.P. Marathi School Warghadpada Room No. 1,129
92 - RAJIVNAGAR,Z.P.Marathi School Rajivnagar Room No.1,129
93 - MOKHADA,Z.P.Marathi School South Side Room No.1,129
94 - MOKHADA,Karmavir High School Mokhada South Side Room No.2,129
95 - RADHANAGARI,Z.P.Marathi School Radhanagari Room No.1,129
96 - NYAHALE BUDRUK,Z.P.Marathi School Nyahale Budruk Building No.1 Room No.1,129
97 - SHRIRAMPUR,Z.P.Marathi School Shriramapur Room No.1,129
98 - DHARAMPUR,Z.P.Marathi School Dharampur Room No.1,129
99 - KHADKHAD,Z.P.Marathi School Khadkhad Room No.1,129
100 - BHARSATMET,Z.P.Marathi School Bharasatamet Room No.1,129
101 - AAYARE,Z.P.Marathi School Aayre Room No.1,129
102 - CHAMBHARSHET,Z.P. Marathi School Chambharshet (Borichapada) Room No.1,129
103 - DHAMANI,Sarv Shikshan Abhiyan School Dhamani Room No. 1,129
104 - AMBEGHAR TARFE DHARAMPUR,Z.P. Marathi School Ambeghar Room No.1,129
105 - KAVDAS,Z.P. Marathi School Kavdas Room No.1,129
106 - KAVDAS,Z.P. Marathi School Theronda (Morepada ) Room No.1,129
107 - TALWADA,Ashram school Talwada East side Room No.1,129
108 - TALWADA,Z.P. Marathi School Talvada Room No.1,129
109 - TALWADA,Ashram School Talavada West side Room No.1,129
110 - KASA BUDRUK,Z.P. Marathi School Kasa Budruk. Room No.1,129
111 - KASA BUDRUK,Z. P. Marathi School Kasa Budruk (Solshet ) Room No.1,129
112 - TALAVALI,Gramapanchayat Office Talavali Room No.1,129
113 - KARHE,Z.P. Marathi School Chunapada Room No.1,129
114 - KARHE,Z.P. Marathi School Karhe Room No.1,129
115 - KARHE,Z.P. Marathi School Charanwadi Room No.1,129
116 - HADE,Z.P. Marathi School Hade Room No.1,129
117 - GARADWADI,Z.P. Marathi School Garadwadi Room No.1,129
118 - JAWHAR,Municipal Council Multipurpose Hall Room no-1,129
119 - JAWHAR,Municipal Council Samaj Mandir Yashwant Nagar Near Kindergarten Room No.1,129
120 - GHOGARYACHIMET,Z.P. School Ghogryachimet Room No.1,129
121 - JAWHAR,Municipal Council School Behind Post Office Room No. 1,129
122 - JAWHAR,Municipal Council School Jawhar Behind Post office Room No.3,129
123 - JAWHAR,Municipal Council School Jawhar Behind Post office Room No.2,129
124 - JAWHAR,Municipal Council School Krishna Vidyalay Bhag Shala Left Side Room No.1,129
125 - JAWHAR,Municipal Council School Krishna Vidyalay Bhag Shala Right Side Room No.1.1,129
126 - JAWHAR,Municipal Council Board of Education Urdu School Jawhar Room No.1,129
127 - NANDANMAL,Z.P. Marathi School Nandanmal Room No.1,129
128 - RAYTALE,Z. P. Marathi School Raytale Room No.1,129
129 - VANVASHI,ZP Marathi School Vanvashi Room No.1,129
130 - KHARAMBA,Z.P. Marathi School Kharamba Room No.1,129
131 - POSHERA (LAKSHMINAGAR),Z.P.School Poshera Lakshminagar Room No.1,129
