PS No & Name,Address,Constituency Number
1 - Dhaniwari,Z.P.Marathi school Dhaniwari New Bulding Room No. 1,130
2 - Dhaniwari,Z.P.Marathi school Dhaniwari New Bulding Room No. 2,130
3 - Dhaniwari,Z.P.Marathi school Dhaniwari New Bulding Room No. 3,130
4 - Dhaniwari,Z.P.Marathi school Dhaniwari New Bulding Room No. 4,130
5 - GaneshBag,Z.P.Marathi school Ganesh bag Room no. 1,130
6 - Osarvira,Z. P. Marathi School Osaravira Room no. 1,130
7 - Osarvira,Z. P. Marathi School Osaravira Room no. 2,130
8 - Dahayale,Z. P. Marathi School Dahayale Room no. 1 Old Building,130
9 - Dahayale,Z. P. Marathi School Dahayale Room no. 1 New Building,130
10 - Kandarwadi,Z. P. Marathi School Kandaravadi Room no. 1,130
11 - Vivelvedhe,Government Ashramashala Vivalavedhe Room no. 2,130
12 - Aavdhani,Z.P. Marathi School Aavdhani Old Building Room no. 1,130
13 - Aavdhani,Anganavadi building Avadhani,130
14 - Somnath,New Z.P.Marathi school Somnath Room No 1,130
15 - Manipur,"Jeevan Shikshan Mandir ,Z. P. Marathi School Manipur Kandolapada Room no. 1",130
16 - Devgaon,"Z.P.Marathi school Devgaon, Room no. 1",130
17 - Dhakti Dahanu,"Z. P. Marathi School Dhakati Dahanu Old Building, Room no. 1",130
18 - Dhakti Dahanu,"Z. P. Marathi School Dhakati Dahanu Old Building, Room no 3",130
19 - Dhakti Dahanu,"Z. P. Marathi School Dhakati Dahanu South Side, Room no 2, New Building",130
20 - Dhakti Dahanu,"Z. P. Marathi School Dhakati Dahanu, South Side, Room no. 4, New Building",130
21 - Gungwada,Z. P. Marathi School Gungavada Room no. 1,130
22 - Gungwada,Z. P. Marathi School Gungavada Room no. 3,130
23 - Tadiyale,Saraswati Vidayamandir Tadiyale Room no. 1,130
24 - Pokharan,"Z. P. Marathi School Pokharan,Room no. 1",130
25 - Dhumket,Z.P. Marathi School Dhumket Room no.1,130
26 - Dhumket,Z.P. Marathi School Dhumket Room no.3,130
27 - Raitali,Z.P. Marathi School Raitali Dalvipada Room no.1,130
28 - Ganjad,"Z.P.Marathi school Ganjad West Side, Room no.1",130
29 - Ganjad,"Z.P.Marathi school Ganjad North Side, Room no.2",130
30 - Ganjad,"Z.P.Marathi school Ganjad East Side, Room no. 1",130
31 - Navnath,Z.P.Marathi school manipur Navnath,130
32 - Ranshet,Ashram school Ranshet New Building Room No.1,130
