PS No & Name,Address,Constituency Number
1 - Barhanpur,Zilha Parishad Marathi School Barhanpur (Gaonthanpada) West Side Room No. 1,131
2 - Barhanpur,Zilha Parishad Marathi School Barhanpur (Wani Pada) North Side Room No. 1,131
3 - Barhanpur,Anganwadi Center Barhanpur (Wani Pada) North Side Room No. 2,131
4 - Ambede,Jilha Parishad Marathi School Ambede West Side Room No. 1,131
5 - Nanivali,Jilha Parishad Marathi School Nanivali West Side Room No. 1,131
6 - Nanivali,Near Aashram School Nanivali North Side Room No. 1,131
7 - Shigaon,Jilha Parishad Marathi School Shigaon (Getpada) East Side Room No. 1,131
8 - Shigaon,Jilha Parishad Marathi School Shigaon (Getpada) East Side Room No. 2,131
9 - Shigaon,Jilha Parishad Marathi School Shigaon (Getpada) South Side Room No. 2,131
10 - Shigaon,Jilha Parishad Marathi School Shigaon (Getpada) South Side Room No. 4,131
11 - Nevale,Jilha Parishad Marathi School Newale New Building,131
12 - Vave,Jilha Parishad Marathi School Vave (Dhodade Pada),131
13 - Ranishigaon,Jilha Parishad Marathi School Ranishigaon West Side Room No. 1,131
14 - Hanumaan Nagar,Jilha Parishad Marathi School Hanuman Nagar South Side Room No. 1,131
15 - Sumadi Pada,Jilha Parishad Marathi School Sumadipada,131
16 - Gargaon,Jilha Parishad Marathi School Gargaon Room No. 1,131
17 - Chinchare,Jilha Parishad Marathi School Chinchare Room No. 1,131
18 - Ravte,Jilha Parishad Marathi School Ravte Room No. 1,131
19 - Aakegavhan,Jilha Parishad Marathi School Aakegavhan East Side Room No. 1,131
20 - Somata,Jilha Parishad Marathi School Somta East Side Room No. 1,131
21 - Borsheti,Jilha Parishad Marathi School Borsheti Room No. 1,131
22 - Borsheti,Jilha Parishad Marathi School Borsheti Room No. 2,131
23 - Khaniwade,Jilha Parishad Marathi School Khaniwade East Side Room No. 1,131
24 - Valve,Jilha Parishad Marathi School Valve North Side Room No. 1,131
25 - Boisar,Jilha Parishad Gujarati School Boisar Room No. 1,131
26 - Boisar,Jilha Parishad Gujarati School Boisar Room No.2,131
27 - Boisar,Jilha Parishad Gujarati School Boisar Head Master Cabine,131
