PS No & Name,Address,Constituency Number
1 - Khardi,"Z.P. school, Room No. 1",132
2 - Koshimbe,"Vasai - Virar Municipal Corporation Office, Ground Floor",132
3 - Dahisar,"Z.P. School, Room No. 1",132
4 - Fanspada,"Saraswati Vidyamandir, Room No. 1",132
5 - Kasrali,"Z.P School, Room No. 1",132
6 - Doliv,"Z.P. School, Room No. 1",132
7 - Shirgaon,"Z.P. School, Room No. 1",132
8 - Shirgaon,"Z.P. School, Room No. 2",132
9 - Bhaatpada,"Z.P. School, Room No. 1",132
10 - Bhaatpada,"Z.P. School, Room No. 02",132
11 - Kopri,"Aanganwadi School, Room No. 1",132
12 - Kopri,"Aanganwadi School, Room No. 2",132
13 - Kopri,"Z.P. School, Ground Floor",132
14 - Gaas Kopri,"Z.P. School, Room No. 1",132
15 - Gaas Kopri,"Z.P. School, Room No. 2",132
16 - Chandansar,"V.V School Premises, Mandap 01",132
17 - Chandansar,"V.V School Premises, Mandap 02",132
18 - Chandansar,"Old Z. P School, Premises Mandap 01",132
19 - Chandansar,"V.V School Building, Westside Room No. 01",132
20 - Kopri,"Z.P. School, Ground Floor, Room No. 1",132
21 - Kopri,"Z.P. School, Ground Floor, Room No. 2",132
22 - Chandansar,"Z.P. School, Old Building, Room No.1",132
23 - Chandansar,"V.V School Premises, Southside Room No. 02",132
24 - Chandansar,V. V. Thakur School Room No. 1,132
25 - Chandansar,"V.V School, Ground Floor, Teacher Room No. 02",132
26 - Chandansar,V. V. Thakur School Room No. 3,132
27 - Chandansar,"V.V School, Ground Floor, Office Room No. 04",132
28 - Narangi,"Z.P. School, Room No. 1",132
29 - Naringi,"Z.P. School, Room No. 2",132
30 - Naringi,"Z.P. School, Room No. 3",132
31 - Narangi,"Z.P. School, Room No. 4",132
32 - Narangi,"Adv. Chandansingh Solanki English Medium School, Room No.1",132
33 - Narangi,"Adv. Chandansingh Solanki English Medium School, Room No.2",132
34 - Narangi,"Adv. Chandansingh Solanki English Medium School, Room No.3",132
35 - Narangi,"Adv. Chandansingh Solanki English Medium School, Room No.4",132
36 - Narangi,"Adv. Chandansingh Solanki English Medium School, Room No.5",132
37 - Narangi,"Adv. Chandansingh Solanki English Medium School, Room No.6",132
38 - Narangi,"Adv. Chandansingh Solanki English Medium School, Room No.7",132
39 - Narangi,"Z. P. School, Beggars Home, Room No. 1",132
40 - Narangi,"Z. P. School, Beggars Home, Room No. 2",132
41 - Narangi,"Taramai Vartak English Memorial Academy, New Building, Room No.1",132
42 - Narangi,"Taramai Vartak English Memorial Academy, New Building, Room No.2",132
43 - Narangi,"Taramai Vartak English Memorial Academy, New Building,Room No. 5",132
44 - Narangi,"Taramai Vartak English Memorial Academy, New Building, Room No.3",132
45 - Narangi,"Taramai Vartak English Memorial Academy, New Building, Room No.4",132
46 - Narangi,"A.V.Smarak Vidhyamandir Technical department South side, Room No.1",132
47 - Narangi,"A.V.Smarak Vidhyamandir Technical department South side, Room No.3",132
48 - Narangi,"A.V.Smarak Vidhyamandir Annapurna Vartak Technical department South side, Room No. 2",132
49 - Narangi,"Jivdani Vidyavardhini Hindi Medium High School, Room No.1",132
50 - Narangi,"Jivdani Vidyavardhini Hindi Medium High School, Room No. 2",132
51 - Narangi,"Jivdani Vidyavardhini Hindi Medium High School, Room No.3",132
52 - Virar (west),"Z.P. School, Room No. 1",132
53 - Virar (west),"Z.P. School, Room No. 2",132
54 - Virar (west),"Z.P. School, Room No. 3",132
55 - Virar (west),"Z.P. School, Room No. 4",132
56 - Virar (East),"A.V.S.School, Ground Floor, Room No.1",132
57 - Virar (East),"A.V.S.School, Ground Floor, Room No.2",132
58 - Virar (East),"A.V.S. School, Ground Floor, Room No.3",132
59 - Virar (East),"A.V.S.School, Ground Floor, Room No.4",132
60 - Virar (East),"A.V.S. School, Ground Floor, Room No. 5",132
61 - Virar (East),"N.G.V.English Medium School, South Side, Room No.1",132
62 - Virar (East),"N.G.V.English Medium School, South Side, Room No.2",132
63 - Virar (East),"N.G.V.English Medium School, South Side, Room No.3",132
64 - Virar (East),"N.G.V.English Medium School, South Side, Room No.4",132
65 - Virar (East),"N.G.V. English Medium School, South Side, Room No.5",132
66 - Virar (East),"N.G.V.English Medium School, Ground Floor (Mandap) Room No. 1",132
67 - Virar (East),"N.G.V. English Medium School, Ground Floor (Mandap) Room No. 2",132
68 - Virar (East),"Little Fairy Bal Mandir, East Side, Ground Floor, Room No. 1",132
69 - Virar West,"Little Fairy Bal Mandir, East Side, Ground Floor, Room No. 2",132
70 - Virar (East),"Z.P. Urdu School, East Side, Room No.1",132
71 - Virar (East),"Z.P. Urdu School, East Side, Room No. 2",132
72 - Virar (East),"Z.P. School, East Side, Room No. 1",132
73 - Virar (East),"Z.P. School, East Side, Room No. 2",132
74 - Virar (East),"VVCMC Head Office, Open Parking Area Mandap 1",132
75 - Virar (East),"VVCMC Head Office, Open Parking Area Mandap 2",132
76 - Virar (East),"VVCMC Head Office, Open Parking Area Mandap 3",132
77 - Virar (East),"VVCMC Head Office, Open Parking Area Mandap 4",132
78 - Virar (East),"Z.P. School, North Side, Room No. 1",132
79 - Virar (East),"Z.P. School, North Side, Room No. 2",132
80 - Virar (East),"Z.P. School, North Side, Room No. 3",132
81 - Virar (East),"Z.P. School, North Side, Room No. 4",132
82 - Virar (East),"Z.P. School, North Side, Room No. 5",132
83 - Virar (East),"Y. R. Patil English School, (M.G.M. Academy High School) Ground Floor, Room No. 1",132
84 - Virar (East),"Y. R. Patil English School, (M.G.M. Academy High School) Ground Floor Mandap (Partition) 1",132
85 - Virar (East),"Y. R. Patil English School, (M.G.M. Academy High School) Ground Floor Mandap (Partition) 2",132
86 - Virar (East),"Y. R. Patil English School, (M.G.M. Academy High School) Ground Floor Mandap (Partition) 3",132
87 - Virar (East),"Z.P. School, North Side, Room No. 6",132
88 - Virar (East),"Z.P. School, North Side, Room No. 7",132
89 - Virar (East),"Ramkrishna Primary School, Ground Floor, Room No. 3",132
90 - Virar (East),"Lokmanya Hindi High School, Ground floor, Room No. 1",132
91 - Virar (East),"Lokmanya Hindi High School, Ground floor Room No. 02",132
92 - Virar (East),"Lokmanya Hindi High School, Ground floor Mandap (Partition) 1",132
93 - Virar (East),"Lokmanya Hindi High School,Ground floor Mandap (Partition) 2",132
94 - Virar (East),"Lokmanya Hindi High School, Ground floor Mandap (Partition) 3",132
95 - Virar (East),"M.M. English school, ground floor,Room No. 1",132
96 - Virar (East),"M.M. English school, ground floor,Room No.2",132
97 - Virar (East),"M.M. English school, ground floor,Room No.3",132
98 - Virar (East),"M.M. English High school & Jr. College, Ground floor,Room No.1",132
99 - Virar (East),"M.M. English High school & Jr. College, Ground floor,Room No.2",132
100 - Virar (East),"M.M. English High school & Jr. College , Ground floor,Room No.3",132
101 - Virar (East),"M.M. English High school & Jr. College , Ground floor,Room No.4",132
102 - Virar (East),"Ramkrishna Primary School, Room No.1",132
103 - Virar (East),"Ramkrishna Primary School, Room No.2",132
104 - Virar (East),"St. Peter English school,Ground Floor, Room No. 1",132
105 - Virar (East),"St. Peter English school, Ground Floor, Room No. 2",132
106 - Virar (East),"St. Peter English school, Ground Floor, Room No. 3",132
107 - Virar (East),"St. Peter English school, Hall Partition, Room No. 1",132
108 - Virar (East),"St. Peter English school, Hall Partition, Room No. 2",132
109 - Virar (East),"St. Peter English school, Hall Partition, Room No. 3",132
110 - Virar (East),"St. Peter English school, Hall Partition, Room No. 4",132
111 - Virar (East),"St. Peter English school, Hall Partition, Room No. 5",132
112 - Virar (East),Geetanjali school Room No.1,132
113 - Virar (East),Geetanjali school Room No.2,132
114 - Virar (East),Geetanjali school Room No. 4,132
115 - Virar (East),Geetanjali school Room No. 5,132
116 - Virar (East),Geetanjali school Room No. 7,132
117 - Virar (East),"Shastri School, New Building, Room No.1. Manvelpada Road",132
118 - Virar (East),"Shastri School, New Building, Room No. 2 Manvelpada",132
119 - Virar (East),"Z.P.Urdu school, Room No. 1",132
120 - Virar (East),"Shastri School, Old Building,Block No.8, Ground floor, room no.1",132
121 - Virar (East),"Shastri School, Old Building,Block No.8, Ground floor, room no.2",132
122 - Virar (East),"Shastri School, Old Building,Block No.8, Ground floor, room no.2",132
123 - Virar (East),"Z.P.school, Room No. 1",132
124 - Virar (East),"Z.P.school, Room No. 2",132
125 - Virar (East),"National English School, Ground floor, room no. 1",132
126 - Virar (East),"National English School, Ground floor, room no. 3",132
127 - Virar (East),"Z.P.school,Ground Floor, Room No. 3",132
128 - Virar (East),"Z.P.school, Room No.4",132
129 - Virar (East),"Z.P.school, Room No. 5",132
130 - Virar (East),"Jaydeep School, Ground floor, Room No.1",132
131 - Virar (East),"Jaydeep School, Ground floor, Room No.2",132
132 - Virar (East),"Jaydeep School, Ground floor, Room No. 3",132
133 - Virar (East),"National English School, room no.1",132
134 - Virar (East),"National English School, room no.6",132
135 - Virar (East),Anusaya Vidyala Room No.1,132
136 - Virar (East),Anusaya Vidyalay Room No.6,132
137 - Virar (East),Anusaya Vidyalay Room No.2,132
138 - Virar (East),"Anusaya Vidyalay, Room No.3",132
139 - Virar (East),"Anusaya Vidyalay, Room No.7",132
140 - Virar (East),"Holy Spirit High School & Jr. College, Ground Floor Room No. 01",132
141 - Virar (East),"Holy Spirit High School & Jr. College, Ground Floor Room No. 02",132
142 - Virar (East),"Holy Spirit High School & Jr. College, Ground Floor Room No. 03",132
143 - Virar (East),"National English School, room no.4",132
144 - Virar (East),"National Englsih School, room no.3",132
145 - Virar (East),"A.V.S School, Room No.1",132
146 - Virar (East),"A.V.S School, Room No.2",132
147 - Virar (East),"A.V.S School, Room No.3",132
148 - Virar (East),"A.V.S School, Room No.4",132
149 - Virar (East),"N.G.V.English Medium school, Ground floor (Mandap) Room No. 3",132
150 - Virar (East),"A.V.S School, Room No.5",132
151 - Virar (East),"Mahanagarpalika Virar Totalay Lake Samaj Mandir, ground floor 01",132
152 - Virar (west),"Z.P. Hira school, Virar, Room No. 1",132
153 - Virar (west),"Z.P. Hira school, Virar, Room No. 2",132
154 - Virar (west),"Z.P. Hira school, Virar, Room No. 3",132
155 - Virar (west),"Z.P. Hira school, Virar, Room No. 4",132
156 - Virar (west),Z.P.Nehru School Virar(w) Room No1,132
157 - Virar (west),Z.P.Nehru School Virar(w) Room No2,132
158 - Virar (west),Z.P.Nehru School Virar(w) Room No3,132
159 - Virar (west),Z.P.Nehru School Virar(w) Room No4,132
160 - Virar (West),"Doogad Gujarati High School, Mandap 01",132
161 - Virar (west),"Doogad Gujarati High School, Mandap 02",132
162 - Virar (west),V.V.College Virar Room No.1,132
163 - Virar (west),V.V.College Room No.2,132
164 - Virar (west),V.V.College Room No.3,132
165 - Virar (west),"S.V.Gujarati School,Ground floor,Room No.1,",132
166 - Virar (west),"S.V.Gujarati School,Ground floor,Room No.2",132
167 - Virar (west),"S.V.Gujarati School, First floor,(Mandap) no.1",132
168 - Virar (west),"S.V.Gujarati School, First floor, (Mandap) no.2",132
169 - Virar (west),"S.V.Gujarati School, First floor, (Mandap) no.3",132
170 - Virar (west),"Vidya Vihar English High School & Jr. College,Mandap 01",132
171 - Virar (west),"Vidya Vihar English High School & Jr. College, Mandap 02",132
172 - Virar (west),"S.V.Gujarati School,Ground Floor, Room No. 3",132
173 - Virar (west),"V.V. English School,Ground Floor, Room No.1",132
174 - Virar (west),"V.V. English School,Ground Floor, Room No.2",132
175 - Virar (west),"V.V. English School, Ground Floor, Room No.3",132
176 - Virar (west),"V.V. English School,Ground Floor, Room No.4",132
177 - Virar (west),"Lord Child High School, Shripal Complex, Room No.1",132
178 - Virar (west),"Lord Child High School, Room No.2",132
179 - Virar (west),"Lord Child High School, Room No.3",132
180 - Virar (west),"Lord Child High School, Room No.4",132
181 - Virar (west),National English School New Building Ground Flr.Room No.1,132
182 - Virar (west),National English School New Building Ground Flr.Room No.2,132
183 - Virar (west),National English School New Building Ground Flr.Room No.3,132
184 - Virar (west),National English School New Building Ground Flr.Room No.4,132
185 - Virar (west),National English School New Building Ground Flr.Room No.5,132
186 - Virar (west),Uttkarsh school Room No.1,132
187 - Virar (west),"Uttkarsh school , Room No.2",132
188 - Virar (west),"Z.P.Gaothan school, Room No.1",132
189 - Virar (west),"Z.P.Gaothan school, Room No.2",132
190 - Virar (west),"Z.P.Gujrathi school, Gaonthan, Room No.1",132
191 - Virar (west),"Z.P.Gujrathi school, Gaonthan, Room No.2",132
192 - Bolinj,"Ram Krishna English School, Ground Floor, Padmavati Nagar Room 1",132
193 - Bolinj,"Ram Krishna English School, Padmavati Nagar Ground Floor Mandap 01",132
194 - Bolinj,"Ram Krishna English School, Padmavati Nagar Ground Floor Mandap 02",132
195 - Bolinj,"Z.P.school ,Bolinj Room No.1",132
196 - Bolinj,"Z.P.school ,Room No.2",132
197 - Bolinj,"Z.P.school ,Room No.3",132
198 - Bolinj,"Z.P.school , Room No.4",132
199 - Bolinj,"Z.P.school ,Room No.5",132
200 - Bolinj,"Z.P.school ,Room No.6",132
201 - Bolinj,"Z.P School, Bolinj Aaganwadi Premises",132
202 - Bolinj,"Matrix Academy School & Junior College, Room No.1",132
203 - Bolinj,"Matrix Academy School & Junior College, Room No.2",132
204 - Bolinj,"Matrix Academy School & Junior College, Room No.3",132
205 - Bolinj,"Matrix Academy School & Junior College, Room No.4",132
206 - Bolinj,"M.G.M.Highschool, Ground floor Room No.1",132
207 - Bolinj,"M.G.M.Highschool, Ground floor Room No.2",132
208 - Bolinj,"M.G.M.Highschool, Ground floor Room No.3",132
209 - Bolinj,"Muljibhai Mehta High School, Ground Floor, Room No.1",132
210 - Bolinj,"Muljibhai Mehta High School, Ground Floor, Room No.2",132
