PS No & Name,Address,Constituency Number
1 - Chikhal Dongri,"Z. P. School, Chikhal Dongri, Room No. 1",133
2 - Chikhal Dongri,"Z. P. School, Chikhal Dongri, Room No. 2",133
3 - Agashi,"Agashi Virar Arnala Education Societys K.G HighSchool, New Building, East Side, Room No. 1",133
4 - Agashi,"Agashi Virar Arnala Education Societys K.G HighSchool, New Building, East Side, Room No. 2",133
5 - Agashi,"Agashi Virar Arnala Education Societys K.G HighSchool, Old Building, Room No. 2",133
6 - Agashi,"Agashi Virar Arnala Education Societys K.G HighSchool, Old Building, Room No. 3",133
7 - Agashi,"Agashi Virar Arnala Education Societys K.G HighSchool, Old Building, Room No. 4",133
8 - Agashi,"Agashi Virar Arnala Education Societys K.G HighSchool, Old Building, Room No. 5",133
9 - Agashi,"Agashi Virar Arnala Education Societys K.G HighSchool, Old Building, Room No. 6",133
10 - Agashi,"Agashi Virar Arnala Education Societys K.G HighSchool, New Building, Ground Floor, Room No. 2",133
11 - Agashi,"Agashi Virar Arnala Education Societys K.G HighSchool, New Building, Ground Floor, Room No. 3",133
12 - Agashi,"Agashi Virar Arnala Education Societys K.G HighSchool, New Building, Ground Floor, Room No. 4",133
13 - Agashi,"Z. P. Marathi School, Agashi, Room No. 2",133
14 - Agashi,"Z. P. Marathi School, Agashi, Room No. 1",133
15 - Agashi,"Z. P. School, Agashi, Tembhipada, Room No. 1",133
16 - Agashi,"St. James High School, Agashi, Room No. 1",133
17 - Agashi,"St. James High School, Agashi, Room No. 2",133
18 - Kolhapur,"Z. P. School, Joyti Pada (Kolhapur) Room No. 1",133
19 - Arnala,"Dr.D.j. Galvankar Smarak Vidyamandir, Arnala, Room1",133
20 - Arnala,"Dr.D.j. Galvankar Smarak Vidyamandir, Arnala, Room 2",133
21 - Kolhapur,"Z. P. School, Joyti Pada (Kolhapur) Room No. 2",133
22 - Arnala,"St. Peter Church Marathi Primary School, Arnala, Ground Floor, Room No. 1",133
23 - Arnala,"St. Peter Church Marathi Primary School, Arnala, Ground Floor, Room No. 2",133
24 - Arnala,"St. Peter Church Marathi Primary School, Arnala, Ground Floor, Room No. 3",133
25 - Arnala,"St. Peter Church Marathi Primary School, Arnala, Ground Floor, Room No. 4",133
26 - Arnala,"St. Peter Church Marathi Primary School, Arnala, Ground Floor, Room No. 5",133
27 - Arnala,"Aanganwadi Kendra, Arnala",133
28 - Arnala,"Dr.D.j. Galvankar Smarak Vidyamandir, Arnala, Room No. 3",133
29 - Arnala,"Dr.D.j. Galvankar Smarak Vidyamandir, Arnala, Room No. 4",133
30 - Arnala,"Grampanchayat Sabhagruh, Ground Floor, Room No.1",133
31 - Arnala,"Grampanchayat Sabhagruh, Ground Floor,Romm No.2",133
32 - Arnala,"Z. P. School, Subhash Lane, Arnala, New Bldg, Room No. 1",133
33 - Arnala,"Z. P. School, Subhash Lane, Arnala, New Bldg, Room No. 2",133
34 - Arnala,"Z. P. School, Subhash Lane, Arnala, New Bldg, Room No. 3",133
35 - Arnala,"Z. P. School, Subhash Lane, Arnala, New Bldg, Room No. 4",133
36 - Arnala Killa,"Z. P. Primary School, Arnala Killa, Room No. 1",133
37 - Arnala Killa,"Z. P. Primary School, Arnala Killa, Room No. 2",133
38 - Kophrad,"St. Joseph High School & Junior Collage, Nandakhal, Kofrad, Room No.1",133
39 - Kophrad,"St. Joseph High School & Junior Collage, Nandakhal, Kofrad, Room No.2",133
40 - Kophrad,"St. Joseph High School & Junior Collage, Marathi School, Nandakhal, Kofrad, Room No.2",133
41 - Kophrad,"St. Joseph High School & Junior Collage, Marathi School, Nandakhal, Kofrad, Room No.3",133
42 - Kophrad,"St. Joseph High School & Junior Collage, Marathi School, Nandakhal, Kofrad, Room No.4",133
43 - Kophrad,"Samaj Mandir, Bolinj, Room No.1",133
44 - Vatar,"Z. P. School Marathi, Navapur, Room No. 1",133
45 - Vatar,"Z. P. School Marathi, Navapur, Room No. 2",133
46 - Vatar,"Z. P. School, Vatar Anganwadi, Room No. 1",133
47 - Vatar,"Z. P. School, Vatar, Room No. 1",133
48 - Vatar,"Z. P. School, Vatar, Room No. 2",133
49 - Vatar,"Z. P. School, Vatar, Room No. 3",133
50 - Satpale,"St. Joseph College of Arts & Commerce, Rajodi Rd, Satpala, Block No. 5",133
51 - Satpale,"St.Joseph College of Art & Commerce, Rajodi Rd, Satpala, Block No. 6",133
52 - Satpale,"St.Joseph College of Art & Commerce, Rajodi Rd, Satpala 7",133
53 - Rajodi,"Padmashree Bhau Saheb Vartak Vidyamandir, Nale, Rajodi, Ground Floor, Room No. 2",133
54 - Rajodi,"Padmashree Bhau Saheb Vartak Vidyamandir, Nale, Rajodi, Ground Floor, Room No. 4",133
55 - Rajodi,"Padmashree Bhau Saheb Vartak Vidyamandir, Nale, Rajodi, Ground Floor, Room No. 5",133
56 - Rajodi,"Padmashree Bhau Saheb Vartak Vidyamandir, Nale, Rajodi, Ground Floor, Room No. 6",133
57 - Nale,"Z. P. School, Nale, Room No. 1",133
58 - Nale,"Z. P. School, Nale, Room No. 2",133
59 - Wagholi,"Z. P. Primary School, Wagholi, Room No. 1",133
60 - Wagholi,"Z. P. Primary School, Wagholi, Room No. 2",133
61 - Wagholi,"Z. P. Primary School, Wagholi, Room No. 3",133
62 - Wagholi,"Z. P. Primary School, Wagholi, Room No. 4",133
63 - Wagholi,"Z. P. Primary School, Wagholi, Room No. 5",133
64 - Wagholi,"Z. P. Primary School, Wagholi, Room No. 6",133
65 - Kalamb,"Z. P. School, Ranbhag, Room No, 1",133
66 - Kalamb,"Z. P. School, Ranbhag, Room No, 2",133
67 - Kalamb,"Z. P. Centre School, Kalamb, Room No. 1",133
68 - Kalamb,"Z. P. Centre School, Kalamb, Room No. 2",133
69 - Kalamb,"Z. P. Centre School, Kalamb, Room No. 3",133
70 - Navale,"Z. P. School, Navale, Room No. 1",133
71 - Navale,"Z. P. School, Navale, Room No. 2",133
72 - Mardes,"Vasai Virar City Municipal Corporation, Divsional Office Mardes, Room No. 1",133
73 - Mardes,Jagmata Rangmanch Mardes,133
74 - Gass,Z.P.School Urdu Takipada Room No.1,133
75 - Gass,Z.P.School Urdu Takipada Room No.2,133
76 - Gass,"St. Gonsalo Garcia Primary Vidyalay, Gass,Ground Floor, Room No. 3",133
77 - Gass,"St. Gonsalo Garcia Primary Vidyalay, Gass, Ground Floor, Room No. 5",133
78 - Gass,"St. Gonsalo Garcia Vidyalay, Gass, Hall 1",133
79 - Gass,"St. Gonsalo Garcia Vidyalay, Gass, Hall 2",133
80 - Gass,"Vasai Virar City Municipal Corporation,Gass Divsional Office",133
