PS No & Name,Address,Constituency Number
1 - Khote nagar,"Manav Seva Mandal Jalgaon Primary secondary High School,Khote nagar North South Building, Room no.1 from North",13
2 - Khote nagar,"Manav Seva Mandal Jalgaon Primary secondary High School,Khote nagar North South Building, Room no.2 from North",13
3 - Khote nagar,"Manav Seva Mandal Jalgaon Primary secondary HighSchool,Khote nagar North South Building, Room no.3 from North",13
4 - Khote nagar,"Manav Seva Mandal Jalgaon Primary secondary High School, Khotenagar North South Building, Room no.4 from North",13
5 - Khote nagar,"Manav Seva Mandal Jalgaon Primary secondary High School, Khote nagar, Eastside East- west Building, Room no. 1 from west",13
6 - Khote nagar,"Manav Seva Mandal Jalgaon Primary secondary High School, Khote nagar, Eastside East- west Building, Room no. 2 from East",13
7 - DadaWadi,"Manav Seva Mandal Jalgaon Primary secondary High School, Khote nagar, Eastside East- west Building, Room no. 3 from East",13
8 - DadaWadi,Maharana Pratap High School prem nagar Jalgaon Eastrn Building Room No 4 From South,13
9 - DadaWadi,Maharana Pratap High School prem nagar Jalgaon Eastrn Building Room No 5 From South,13
10 - DadaWadi,Ideal English Meadium School Shreeram Nagar Nimkhedi,13
11 - DadaWadi,"Ideal English Meadium School ,Shreeram Nagar Nimkhedi",13
12 - Nimkhedi,"Mahatma Phule Krishi Vidyapeeth, Rahuri Agricultural Technical School, Jalgaon Eastern Hall",13
13 - Nimkhedi,"Mahatma Phule Krishi Vidyapeeth, Rahuri Agricultural Technical School, Jalgaon Northern East west Building Eastern Room No. 1",13
14 - Nimkhedi,"Mahatma Phule Krishi Vidyapeeth, Rahuri Agricultural Technical School, Jalgaon Western Hall",13
15 - Nimkhedi,"Mahatma Phule Krishi Vidyapeeth, Rahuri Agricultural Technical School, Jalgaon Northern East west Building Eastern Room No. 2",13
16 - S.M.I.T. College,"S.M.I.T. College, Eastren Building, Room no.1 from West",13
17 - S.M.I.T. College,"S.M.I.T. College Main Building Southern building, Room no.2 from West",13
18 - S.M.I.T. College,"S.M.I.T. College Main building Southern building, Room no.3 from West",13
19 - S.M.I.T. College,"S.M.I.T. College Eastren Building, Room no.2 from West",13
20 - prem nagar,Maharana Pratap High School prem nagar Jalgaon Northren Building Room No 1 From West,13
21 - prem nagar,Maharana Pratap High School prem nagar Jalgaon Northren Building Room No 2 From West,13
22 - prem nagar,Maharana Pratap High School prem nagar Jalgaon Northren Building Room No 3 From West,13
23 - prem nagar,Maharana Pratap High School prem nagar Jalgaon Northren Building Room No 4 From West,13
24 - Gendalal mill,"Jalgaon Shahar Mahanagar Palika Urdu School, No.15 Gendalal Mill Shivaji Nagar, Western North South Building, Room no.2 from North",13
25 - Gendalal mill,"Jalgaon Shahar Mahanagar Palika Urdu School, No.15 Gendalal Mill Shivaji Nagar, Western North South Building, Room no.3 from North",13
26 - Gendalal mill,"Jalgaon Shahar Mahanagar Palika Urdu School, No.15 Gendalal Mill Shivaji Nagar, Western North South Building, Room no.4 from North",13
27 - Gendalal mill,"Jalgaon Shahar Mahanagar Palika Urdu School, No.15 Gendalal Mill Shivaji Nagar, East West Building, Room no.2 from West",13
28 - Gendalal mill,"Jalgaon Shahar Mahanagar Palika Urdu School, No.15 Gendalal Mill Shivaji Nagar, East West Building, Room no.3 from West",13
29 - Gendalal mill,"Jalgaon Shahar Mahanagar Palika Urdu School, No.15 Gendalal Mill Shivaji Nagar, East West Building, Room no.4 from West",13
30 - Gendalal mill,"Jalgaon Shahar Mahanagar Palika Urdu School, No.15 Gendalal Mill Shivaji Nagar, Eastern North South Building, Room no.3 from South",13
31 - Gendalal mill,"Jalgaon Shahar Mahanagar Palika Urdu School, No.15 Gendalal Mill Shivaji Nagar, Eastern North South Building, Room no.4 from South",13
32 - Shivaji nagar,Alfaiz urdu high School Gendalal Mill North South Bulding From East Side Room No.2 From North,13
33 - Shivaji nagar,Alfaiz urdu high School Gendalal Mill East West Bulding From South Side Room No.2 From East,13
34 - Shivaji nagar,Alfaiz urdu high School Gendalal Mill North South Bulding From West Side Room No.1 From South,13
35 - Shivaji nagar,"Khoobchand Sagarmal School, Eastern North South Building, Room no.1 from South",13
36 - Shivaji nagar,"Khoobchand Sagarmal School, Eastern North South Building, Room no.2 from South",13
37 - Shivaji nagar,"Khoobchand Sagarmal School, Eastern North South Building, Room no.3 from South",13
38 - Shivaji nagar,"Khoobchand Sagarmal School, Northern East West Building, Room no.2 from East",13
39 - Shivaji nagar,"Khoobchand Sagarmal School, Northern East West Building, Room no.3 from East",13
40 - Shivaji nagar,"Khoobchand Sagarmal School, Western North South Building, Room no.1 from North",13
41 - Shivaji nagar,"Khoobchand Sagarmal School, Western North South Building, Room no. 3 from North",13
42 - Shivaji nagar,"Late Indirabai Patankar New Marathi School, Shivaji Nagar. North Building, Room no.1 from East",13
43 - Shivaji nagar,"Late Indirabai Patankar New Marathi School, Shivaji Nagar. North side Building, Room no.2 from East",13
44 - Shivaji nagar,"Late Indirabai Patankar New Marathi School, Shivaji Nagar. cultural hall from west",13
45 - Shivaji nagar,"Late Dadasaheb Bhikamchand ji Jain Municipal Corporation Primary Central School, no.1 Shivaji nagar, Northern East West Building, Room no.1 from East",13
46 - Shivaji nagar,"Late Dadasaheb Bhikamchand ji Jain Municipal Corporation Primary Central School, no.1 Shivaji nagar, Northern East West Building, Room no.9 from East",13
47 - Shivaji nagar,"Late Dadasaheb Bhikamchand ji Jain Municipal Corporation Primary Central School, no.1 Shivaji nagar, Northern East West Building, Room no.2 from East",13
48 - Shivaji nagar,"Late Dadasaheb Bhikamchand ji Jain Municipal Corporation Primary Central School, no.1 Shivaji nagar, Northern East West Building, Room no.3 from East",13
49 - Shivaji nagar,"Late Dadasaheb Bhikamchand ji Jain Municipal Corporation Primary Central School, no.1 Shivaji nagar, Northern East West Building, Room no.4 from East",13
50 - Shivaji nagar,"Late Dadasaheb Bhikamchand ji Jain Municipal Corporation Primary Central School, no.1 Shivaji nagar, Northern East West Building, Room no.6 from East",13
51 - Shivaji nagar,"Late Dadasaheb Bhikamchand ji Jain Municipal Corporation Primary Central School, no.1 Shivaji nagar, Northern East West Building, Room no.7 from East",13
52 - Shivaji nagar,"Late Dadasaheb Bhikamchand ji Jain Municipal Corporation Primary Central School, no.1 Shivaji nagar, Northern East West Building, Room no.8 from East",13
53 - Baliram peth,"Late Gangubai Ganpatrao Yadav J.C.Municipal Corporation Marathi Primary School, no.17 Baliram peth, Eastern North South Building, Room no.1 from North",13
54 - Baliram peth,"Late Gangubai Ganpatrao Yadav J.C.Municipal Corporation Marathi Primary School, no.17 Baliram peth, Eastern North South Building, Room no.3 from North",13
55 - Baliram peth,"Late Gangubai Ganpatrao Yadav J.C.Municipal Corporation Marathi Primary School, no.17 Baliram peth, Eastern North South Building, Room no.4 from North",13
56 - Shani peth,"Late Gangubai Ganpatrao Yadav J.C.Municipal Corporation Marathi Primary School, no.17 Baliram peth, Western North South Building, Room no.2 from North",13
57 - Shani peth,"Bal Vikas Prakalp Adhikari(City) Jalgaon Anganwadi , Gurunanak nagar",13
58 - Shani peth,"Dhandore Mangal Karyalay Gurunanak nagar , Northern Area",13
59 - Shani peth,"Dhandore Mangal Karyalay Gurunanak nagar , Southern Area",13
60 - Jainabad,"Late matoshri Bindubai Narayan Sonawane Samaj Mandir, Room Near Gate",13
"61 - chaube School,","Navin Balvikas Pri Vidhyamandir (Municipal Corporation School, no.21 Valmik Nagar, )North-South building, Room no.2 from south",13
62 - Jainabad,"Navin Balvikas Pri Vidhyamandir (Municipal Corporation School, no.21 Valmik Nagar, )North-South building, Room no.3 from south",13
"63 - Choube School,","Navin Balvikas Pri Vidhyamandir (Municipal Corporation School, no.21 Valmik Nagar, )North-South building, Room no.4 from south",13
64 - Jainabad,"Late Ramlal choube Municipal Corporation School, No.2, First Floor Northen side building east-west building room No. 2 from east",13
65 - Jainabad,"Late Ramlal choube Municipal Corporation School, No.2, First Floor Northen side building east-west building room No. 2 from east",13
66 - Ridhur wada,"Late Bhagwat Khandu Sonawane Primary School J.M.C. School No. 3 Shani peth Kumbhar wada, Room no.1 from West",13
67 - Ridhur wada,"Late Ramlal choube Municipal Corporation School, No.2, First Floor Northen side building east-west building room No. 4 from east",13
68 - Ridhur wada,"Late Bhagwat Khandu Sonawane Primary School, Jalgaon Municipal Corporation Primary School, no.3 Shani peth kumbhar wada, Room no.2 from West",13
69 - Valmik nagar,Najim Malik Urdu Primary And Upper Primary School Usmaaniya Park Room No. 2 From East,13
70 - Valmik nagar,Najim Malik Urdu Primary And Upper Primary School Usmaaniya Park Room No. 3 From East,13
71 - Khedi bk.,"Late Dadasaheb Bhimrao Walmik Deshmukh Municipal Corporation School, No 24, Jalgaon, North South old Building, Room no.1 from North",13
72 - Khedi bk.,"Late Dadasaheb Bhimrao Walmik Deshmukh Municipal Corporation School, No 24 , Jalgaon, North South old Building, Room no.1 from South",13
73 - Khedi bk.,"Late Dadasaheb Bhimrao Walmik Deshmukh Municipal Corporation School, No 24 , Jalgaon, Northern new Building, North South Building, Room no.1 from North",13
74 - Khedi bk.,"Late Dadasaheb Bhimrao Walmik Deshmukh Municipal Corporation School, No 24 ,Jalgaon, Northern new Building, North South Building, Room no.1 from South",13
75 - Old Nasirabad road,"Smt Kusumtai Madhukar Chaudhari, Bal Vihar, East West Building, Room no.1 from East",13
76 - Old Nasirabad road,"Smt Kusumtai Madhukar Chaudhari, Bal Vihar, East West Building, Room no.3 from East",13
77 - Old Nasirabad road,"Smt Kusumtai Madhukar Chaudhari, Bal vihar, East West Building, Room no.4 from East",13
78 - Old Nasirabad road,"J.S.Khadke Primary Vidya Mandir, East West Building, Room no.3 from West",13
79 - Old Nasirabad road,"J.S.Khadke Primary Vidya Mandir, East West Building, Room no.2 from West",13
80 - Old Nasirabad road,"J.S.Khadke Primary Vidya Mandir, East West Building, Room no.1 from West",13
81 - Old Nasirabad road,"Kashibai Ukhaji Kolhe Vidyalay, Western North South Building, Room no.1 from South",13
82 - Old Nasirabad road,"Kashibai Ukhaji Kolhe Vidyalay, Western North South Building, Room no.2 from South",13
83 - Old Nasirabad road,"Kashibai Ukhaji Kolhe Vidyalay, Western North South Building, Room no.3 from South",13
84 - Old Nasirabad road,"Kashibai Ukhaji Kolhe Vidyalay, Western North South Building, Room no.4 from South",13
85 - Old Nasirabad road,"Kashibai Ukhaji Kolhe Vidyalay, East West Main building Room no.1 from East",13
86 - Old Nasirabad road,"Kashibai Ukhaji Kolhe Vidyalay, East West Main building, Room no.2 from East",13
87 - Old Nasirabad road,"Kashibai Ukhaji Kolhe Vidyalay, East WestMain building, Room no.3 from East",13
88 - Old Nasirabad road,"Kashibai Ukhaji Kolhe Vidyalay, East West Main building, Room no.4 from East",13
89 - Old Nasirabad road,"Kashibai Ukhaji Kolhe Vidyalay, Room behind main buiding. 1 st Room fom North",13
90 - Old Nasirabad road,"Kashibai Ukhaji Kolhe Vidyalay, Room behind main buiding, 2 nd Room from North",13
91 - Panjharapol Taki,"Jalgaon Peoples Bank Ramdas Patil Smriti Seva Trust's Jalgaon Public School Panjharapol Taki Chawk, North South Building, Room no.1 from North",13
92 - Panjharapol Taki,"Jalgaon Peoples Bank Ramdas Patil Smriti Seva Trust's Jalgaon Public School Panjharapol Taki Chawk, North South Building, Room No 2 from North",13
93 - Panjharapol Taki,"JalgaonPeoples Bank Ramdas Patil Smriti Seva Trust's Jalgaon Public School Panjharapol Taki Chawk, North South Building, Room no.3 from North",13
94 - Panjharapol Taki,"JalgaonPeoples Bank Ramdas Patil Smriti Seva Trust's Jalgaon Public School Panjharapol Taki Chawk,North South Building, Room no.2 from South",13
95 - Panjharapol Taki,"JalgaonPeoples Bank Ramdas Patil Smriti Seva Trust's Jalgaon Public Schoool Panjharapol Taki Chawk, North South Building, Room no.1 from South",13
