PS No & Name,Address,Constituency Number
1 - NANDED,"Zilha Parishad Primary Boys School , Two Rooms East West building. From West side Room No.1",14
2 - NANDED,Zilha Parishad Primary Boys School having Six Rooms East West building. From East side Room No.1,14
3 - NANDED,Zilha Parishad Primary Boys School having Six Rooms East West building. From East side Room No.3,14
4 - NANDED,Zilha Parishad Primary Boys School having Six Rooms East West building. From West side Room No.2,14
5 - NARANE,"Zilha Parishad Primary School , North South building.From South side R.No.1",14
6 - JAMOD,"Z.P.Primary Boys School new building having frontage north side, west side room no 1.",14
7 - PALSOD,"Z.P Primary Boys school , new Room",14
8 - BHOKAR,"Z.P Primary Boys school , East side Room No. 1",14
9 - BHOKAR,"Z.P Primary Boys school , West side Room No. 3",14
10 - BHOKAR,"Z.P Primary Boys school , West side Room No. 2",14
11 - BHADLI KH,"Z.P Primary Boys school , East side Room No. 1",14
12 - AMODE BK,"Z.P Primary Boys school , new building Room No. 1.",14
13 - GADHODE,"Z.P Primary Boys school , new building having North side Room No. 1.",14
14 - GADHODE,"Z.P Primary Boys school , new building South side Room No. 2",14
15 - DEOGAON,"Z.P Primary Boys school , new building , adjusant to Deogao Fupni road , Room No. 1 having frontage of South side",14
16 - NANDGAON,"Z.P Primary Boys school , building having one Room",14
17 - FUPANI,"Z.P Primary Boys school , North side Room No. 1",14
18 - KATHORA,"Z.P Primary Boys school , East West building East side Room No. 2",14
19 - KINOD,"Z.P Primary Boys school , East West building East side Room No. 2",14
20 - SAW KHEDA kh,"Z.P Primary Boys school , East West building East side Room No. 1",14
21 - KARANJ,"Z.P Primary Boys school , Karanj",14
22 - DHANORE KD,"Z.P Primary Boys school , East side Room No. 2",14
23 - FESERDI,"Z.P Primary Boys school , East West building having 1 Room",14
24 - PILKHEDE,"Z.P Primary Boys school , East side Room No. 1",14
25 - GHARDI,"Z.P Primary Boys school , North side building having one Room East West building having 1 Room",14
26 - AMODE KD,"Z.P Primary Boys school ,North South Building North Side Room No. 1",14
27 - RIDHUR,"Z.P Primary Boys school , West side Room No. 1",14
28 - DIKSAI,"Z.P Primary Boys school , Diksai North side Room No. 2",14
29 - VIDGAON,"Z.P Primary Boys school , East side Room No. 2",14
30 - VIDGAON,"Z.P Primary Boys school , West side Room No. 1",14
31 - AWAR,"Z.P Primary Boys school , building having one Room",14
32 - TURKHEDA,"Z.P Primary Boys school , East side Room No. 2",14
33 - DHAMANGAO,"Z.P Primary Boys school , dhamangaon",14
34 - NANDRE KD,"Z.P Primary Boys school , new building having one Room",14
35 - SUJEDE,"Z.P Primary Boys school , North South new building North side Room No. 1",14
