PS No & Name,Address,Constituency Number
"1 - Borivali (West), Gorai Village, Mumbai 400 092.","St. Aloysius High School Ground Floor, Room No.1",152
"2 - Borivali (West), Gorai Village, Mumbai 400 092.","St. Aloysius High School Ground Floor, Room No. 2",152
"3 - Borivali (West), Gorai Village, Mumbai 400 092.",St. Aloysius High School Hall Partition No. 1,152
"4 - Borivali (West), Gorai Village, Mumbai 400 092.",St. Aloysius High School Hall Partition No. 2,152
"5 - Borivali (West), Gorai Village, Mumbai 400 092.",St. Aloysius High School Hall Partition No. 3,152
"6 - Borivali (West), New Link Road, Back side of Yogi Nagar, Mumbai 400 092.","Our Lady Of Velankani High School, Gr. Floor, R.No.1.",152
"7 - Borivali (West), New Link Road, Back side of Yogi Nagar, Mumbai 400 092.","Our Lady Of Velankani High School, Gr.Floor, R.No.2.",152
"8 - Borivali (West), New Link Road, Back side of Yogi Nagar, Mumbai 400 092.","Our Lady Of Velankani High School, Gr. Floor, R.No. 3.",152
"9 - Borivali (West), New Link Road, Back side of Yogi Nagar, Mumbai 400 092.","Our Lady Of Velankani High School, Gr.Floor, R.No.4.",152
"10 - Borivali (West), New Link Road, Back side of Yogi Nagar, Mumbai 400 092.","Our Lady Of Velankani High School, Gr.Floor, R.No.5.",152
"11 - Borivali (West), Yogi Nagar Road, Mumbai 400 092.","Ajmera Global School Ground Floor, Hall Partition No. 1",152
"12 - Borivali (West), Yogi Nagar Road, Mumbai 400 092.","Ajmera Global School Ground Floor, Hall Partition No. 2",152
"13 - Borivali (West), Yogi Nagar Road, Mumbai 400 092.","Ajmera Global School Ground Floor, Hall Partition No. 3",152
"14 - Borivali (West), Yogi Nagar Road, Mumbai 400 092.","Ajmera Global School Ground Floor, Hall Partition No. 4",152
"15 - Borivali (West), Yogi Nagar Road, Mumbai 400 092.","Ajmera Global School Ground Floor, Hall Partition No. 5",152
"16 - Borivali (West), Yogi Nagar Road, Mumbai 400 092.","Ajmera Global School Ground Floor, Hall Partition No. 6",152
"17 - Borivali (West), Yogi Nagar Road, Mumbai 400 092.","Ajmera Global School Ground Floor, Hall Partition No. 7",152
"18 - Borivali (West), Yogi Nagar Road, Mumbai 400 092.","Ajmera Global School Ground Floor, Hall Partition No. 8",152
"19 - Borivali (West), Yogi Nagar Road, Mumbai 400 092.","Ajmera Global School, Hall Ground Floor Partition No. 9",152
"20 - Borivali (West), Yogi Nagar Road, Mumbai 400 092.","Ajmera Global School, Hall Ground Floor Partition No. 10",152
"21 - Borivali (West), Lokmany Tilak Road, Mumbai 400 092.","Suvidya High School, Vazira Naka, Gr.Floor, Room No. 2",152
"22 - Borivali (West), Lokmany Tilak Road, Mumbai 400 092.","Suvidya High School, Vazira Naka, Gr.Floor, Room No. 3",152
"23 - Borivali (West), Lokmany Tilak Road, Mumbai 400 092.","Suvidya High School, Vazira Naka, Gr.Floor, Room No. 4",152
"24 - Borivali (West), Lokmany Tilak Road, Mumbai 400 092.","Suvidya High School, Vazira Naka,Pandol No. 1",152
"25 - Borivali (West), Lokmany Tilak Road, Mumbai 400 092.","Suvidya High School, Vazira Naka,Pandol No. 2",152
"26 - Borivali (West), Lokmany Tilak Road, Mumbai 400 092.","Suvidya High School, Vazira Naka,Pandol No. 3",152
"27 - Borivali (West), Lokmany Tilak Road, Mumbai 400 092.","Don Bosco English High School, Primary Section Gr.Floor, Room No.1",152
"28 - Borivali (West), Lokmany Tilak Road, Mumbai 400 092.","Don Bosco English High School, Primary Section Gr.Floor, Room No.2",152
"29 - Borivali (West), Lokmany Tilak Road, Mumbai 400 092.","Don Bosco English High School, Primary Section Gr.Floor, Room No.3",152
"30 - Borivali (West), Lokmany Tilak Road, Mumbai 400 092.","Don Bosco English High School, Primary Section Gr.Floor, Room No.4",152
"31 - Borivali (West), Lokmany Tilak Road, M. H. B Colony, Mumbai 400 092.","Don Bosco English High School, Primary Section Gr.Floor, Room No.5",152
"32 - Borivali (West), Lokmany Tilak Road, M. H. B Colony, Mumbai 400 092.",Sailee High School Premises Cricket (Turf) Ground Partition No. 1,152
"33 - Borivali (West), Lokmany Tilak Road, M. H. B Colony, Mumbai 400 092.",Sailee High School Premises Cricket (Turf) Ground Partition No. 2,152
"34 - Borivali (West), Lokmany Tilak Road, M. H. B Colony, Mumbai 400 092.",Sailee High School Premises Cricket (Turf) Ground Partition No. 3,152
"35 - Borivali (West), Lokmany Tilak Road, M. H. B Colony, Mumbai 400 092.",Saily High School Ground Floor Hall Partition No.1,152
"36 - Borivali (West), Lokmany Tilak Road, M. H. B Colony, Mumbai 400 092.",Saily High School Ground Floor Hall Partition No.2,152
"37 - Borivali (West), Lokmany Tilak Road, Mumbai 400 092.",Saily High School Ground Floor Hall Partition No.3,152
"38 - Borivali (West), Lokmany Tilak Road, Mumbai 400 092.","Gokhale Senior College, Ground Floor, Room No.1",152
"39 - Borivali (West), Lokmany Tilak Road, Mumbai 400 092.","Gokhale Senior College, Ground Floor, Room No.2",152
