PS No & Name,Address,Constituency Number
"1 - Dahisar (West), Wamanrao Bhoir Marg, Mumbai 68.","Kandarpada Muni School, Gr.Floor, R.No.1.",153
"2 - Dahisar (West), Wamanrao Bhoir Marg, Mumbai 68.","Kandarpada Muni School, Mandap A",153
"3 - Dahisar (West), Wamanrao Bhoir Marg, Mumbai 68.","Kandar Pada Muni School, Gr. Floor, R.No.2.",153
"4 - Dahisar (West), Wamanrao Bhoir Marg, Mumbai 68.","Kandarpada Muni School, Gr.Floor, R.No.3.",153
"5 - Dahisar (West), Wamanrao Bhoir Marg, Mumbai 68.","Kandarpada Muni School, Ground Floor, Mandap E",153
"6 - Dahisar (West), Wamanrao Bhoir Marg, Mumbai 68.","Kandarpada Muni School, Mandap B",153
"7 - Dahisar (West), Wamanrao Bhoir Marg, Mumbai 68.","Kandarpada Muni School, Ground Floor, Mandap F",153
"8 - Dahisar (West), Wamanrao Bhoir Marg, Mumbai 68.","Kandarpada Muni School, Mandap C",153
"9 - Dahisar (West), Wamanrao Bhoir Marg, Mumbai 68.","Kandarpada Muni School, Ground Floor, Mandap G",153
"10 - Dahisar (West), Wamanrao Bhoir Marg, Mumbai 68.","Kandarpada Muni School, Mandap D",153
"11 - Dahisar (East), Majethiya Park, Chatrapati Shivaji Road,Anand Nagar Mumbai 68.","St.Mery High School, Majethiya Park, Gr.Floor, R.No.1",153
"12 - Dahisar (East), Majethiya Park, Chatrapati Shivaji Road, Anand Nagar Mumbai 68.","St.Mery High School, Majethiya Park, Gr.Floor, R.No.2.",153
"13 - Dahisar (East), Majethiya Park, Chatrapati Shivaji Road, Anand Nagar Mumbai 68.","St.Mery High School, Majethiya Park, Gr.Floor, R.No.3.",153
"14 - Dahisar (East), Majethiya Park, Chatrapati Shivaji Road, Anand Nagar Mumbai 68.","St.Mery High School, Majethiya Park, Ground Floor, Mandap A",153
"15 - Dahisar (East), Majethiya Park, Chatrapati Shivaji Road, Anand Nagar Mumbai 68.","St.Mery High School, Majethiya Park, Ground Floor, Mandap B",153
"16 - Dahisar (East), Majethiya Park, Chatrapati Shivaji Road, Anand Nagar Mumbai 68.","St.Mery High School, Majethiya Park, Ground Floor, Mandap C",153
"17 - Dahisar (East), Majethiya Park, Chatrapati Shivaji Road, Anand Nagar Mumbai 68.","St.Mery High School, Majethiya Park, Compound Mandap",153
"18 - Dahisar (East), Majethiya Park, Chatrapati Shivaji Road, Anand Nagar Mumbai 68.","St.Mery High School, Majethiya Park, Compound Mandap",153
"19 - Dahisar (East), Majethiya Park, Chatrapati Shivaji Road, Anand Nagar Mumbai 68.","St.Mery High School, Majethiya Park, Compound Mandap",153
"20 - Dahisar (East), Majethiya Park, Chatrapati Shivaji Road, Anand Nagar Mumbai 68.","St.Mery High School, Majethiya Park, Compound Mandap",153
"21 - Dahisar (East), Majethiya Park, Chatrapati Shivaji Road, Anand Nagar Mumbai 68.","St.Mery High School, Majethiya Park, Compound Mandap",153
"22 - Dahisar (East), Chatrapati Shivaji Road, Anand Nagar, Mumbai 68.","Matruchaya High School, Gr.Floor, R.No. 1",153
"23 - Dahisar (East), Chatrapati Shivaji Road, Anand Nagar, Mumbai 68.","Matruchaya High School, Gr.Floor, R.No. 2.",153
"24 - Dahisar (East), Chatrapati Shivaji Road, Anand Nagar, Mumbai 68.","Matruchaya High School, Gr.Floor, R.No. 6",153
