PS No & Name,Address,Constituency Number
"1 - DAHISAR (EAST) KETKI PADA, ALIYAVAR JANG MARG, MUMUMBAI -68","Tambe Education Society, S. R. Ambedkar Vidyalaya, Room No. 1",154
"2 - DAHISAR (EAST) KETKI PADA, ALIYAVAR JANG MARG, MUMUMBAI -68","MTNL Office, DAHISAR CHEKNAKA GR. FLR., HALL PARTITION - 1",154
"3 - DAHISAR (EAST) KETKI PADA, ALIYAVAR JANG MARG, MUMUMBAI -68","MTNL Office, DAHISAR CHEKNAKA GR. FLR., HALL PARTITION - 1",154
"4 - DAHISAR (EAST) KETKI PADA, ALIYAVAR JANG MARG, MUMUMBAI -68","TAMBE EDUCATION SOCIETY, S. R. AMBEDKAR VIDYALAY, ROOM NO 2",154
"5 - DAHISAR (EAST) KETKI PADA, ALIYAVAR JANG MARG, MUMUMBAI -68","KETKI PADA,BMC SCHOOL NEW BLDG. GR. FLOOR, ROOM NO. 1",154
"6 - DAHISAR (EAST) KETKI PADA, ALIYAVAR JANG MARG, MUMUMBAI -68","KETKI PADA,BMC SCHOOL NEW Buildings GR FLOOR, R. NO 2",154
"7 - DAHISAR (EAST) KETKI PADA, ALIYAVAR JANG MARG, MUMUMBAI -68","MTNL Office, GR. FLR., ROOM NO. 1",154
"8 - DAHISAR (EAST) KETKI PADA, ALIYAVAR JANG MARG, MUMUMBAI -68","MTNL Office, GR. FLR., ROOM NO. 2",154
"9 - DAHISAR (EAST) KETKI PADA, ALIYAVAR JANG MARG, MUMUMBAI -68",AMARJYOTI SCHOOL SUHASINI PAVASKAR MARG KETKI PADA PRIMARY SCHOOL R N 1,154
"10 - DAHISAR (EAST) KETKI PADA, ALIYAVAR JANG MARG, MUMUMBAI -68",AMARJYOTI SCHOOL SUHASINI PAVASKAR MARG KETKI PADA PRIMARY SCHOOL KG SEC. 1,154
"11 - DAHISAR (EAST) KETKI PADA, ALIYAVAR JANG MARG, MUMUMBAI -68",AMARJYOTI SCHOOL SUHASINI PAVASKAR MARG KETKI PADA GR FLR L R N 2,154
"12 - DAHISAR (EAST) KETKI PADA, ALIYAVAR JANG MARG, MUMUMBAI -68",AMARJYOTI SCHOOL SUHASINI PAWASKAR MARG KETKI PADA PRIMARY SCHOOL KG SEC. 2,154
"13 - DAHISAR (EAST) KETKI PADA, ALIYAVAR JANG MARG, MUMUMBAI -68",AMARJYOTI SCHOOL SUHASINI PAVASKAR MARG KETKI PADA GR FLR SECONDARY SCHOOL R N 1,154
"14 - DAHISAR (EAST) KETKI PADA, ALIYAVAR JANG MARG, MUMUMBAI 68","MUMBAI MAHANAGAR PALIKA SCHOOL, SUHASINI PAVASKAR MARG, KETKIPADA, GR FLR., ROOM NO. 1",154
"15 - DAHISAR (EAST) KETKI PADA, ALIYAVAR JANG MARG, MUMUMBAI -68","MUMBAI MAHANAGAR PALIKA SCHOOL, SUHASINI PAVASKAR MARG, KETKIPADA, GR FLR., ROOM NO. 2",154
"16 - DAHISAR (EAST) SUHASINI PAVASKAR ROAD,DHARKHADI, MUMUMBAI -68","HINDI BHASHA SANGH (REGD) AWADH VIDYALAY, GR. FLR. ROOM NO. 1",154
"17 - DAHISAR (EAST) SUHASINI PAVASKAR ROAD,DHARKHADI, MUMUMBAI -68","HINDI BHASHA SANGH (REGD) AWADH VIDYALAY, GR. FLR. ROOM NO. 2",154
"18 - DAHISAR (EAST) SUHASINI PAVASKAR ROAD,DHARKHADI, MUMUMBAI -68","HINDI BHASHA SANGH (REGD) AWADH VIDYALAY, GR. FLR. ROOM NO. 3",154
"19 - DAHISAR (EAST) SUHASINI PAVASKAR ROAD,DHARKHADI, MUMUMBAI -68","HINDI BHASHA SANGH (REGD) AWADH VIDYALAY, GR. FLR. ROOM NO. 4",154
"20 - SHIVAVALLABH ROAD, RAWALPADA DAHISAR (EAST) MUMUMBAI -68","B M C BHAJI MANDAI, OPP. MANDAKINI , RAWALPADA, DAHISAR, ROOM NUMBER 1",154
