PS No & Name,Address,Constituency Number
"1 - Mulund (W), Khindipada, Mulund - Goreagaon Link Marg, Mumbai-82.","Omega English High School, Ground Floor Room No. 1, Khindi Pada, Mulund Goregaon Link Road, Mulund (W), Mumbai 82.",157
"2 - Mulund (W), Khindipada, Mulund - Goreagaon Link Marg, Mumbai-82.","Omega English High School, Gr. Floor Room No. 2, Khindi Pada, Mulund Goregaon Link Road, Mulund (W), Mumbai 82.",157
"3 - Mulund (W), Khindipada, Mulund - Goreagaon Link Marg, Mumbai-82.","Khindi Pada Mun. Pri. Marathi School, Gr. Floor Room No. 1, Mulund Goregaon Link Road, Mulund (W), Mumbai 82.",157
"4 - Mulund (W), Khindipada, Mulund - Goreagaon Link Marg, Mumbai-82.","Khindi Pada Mun. Pri. Marathi School, Gr. Floor Room No. 3, Mulund Goregaon Link Road, Mulund (W), Mumbai 82.",157
"5 - Mulund (W), Khindipada, Mulund - Goreagaon Link Marg, Mumbai-82.","Khindi Pada Mun. Pri. Marathi School, Gr. Floor Room No. 2, Mulund Goregaon Link Road, Mulund (W), Mumbai 82.",157
"6 - Mulund (W), Khindipada, Mulund - Goreagaon Link Marg, Mumbai-82.","Omega English High School, Gr. Floor Room no. 3, Mulund Goregaon Link Road, Mulund (W), Mumbai 82.",157
"7 - Mulund (W), Khindipada, Mulund - Goreagaon Link Marg, Mumbai-82.","Omega English High School, Gr. Floor Room no. 4, Mulund Goregaon Link Road, Mulund (W), Mumbai 82.",157
"8 - Darga Road, Tulshet Pada, Bhandup (W), Mumbai-78..","Rajaram Sheth Vidyalya , Gr. floor, R. No. 1 New Rajaram wadi Khindi Pada Darga road ,Bhandup(W), Mumbai-78..",157
"9 - Darga Road, Tulshet Pada, Bhandup (W), Mumbai-78..","Ideal English Highschool, Gr. Flr., Room No.2 , Darga Road, Tulshet Pada, Bhandup (W) Mumbai-78.",157
"10 - Darga Road, Tulshet Pada, Bhandup (W), Mumbai-78..","Mohamadi Urdu Highschool, Gr. Flr., R.no.2, Darga Road, Tulshet Pada, Bhandup (W), Mumbai-78..",157
"11 - Darga Road, Tulshet Pada, Bhandup (W), Mumbai-78..","Mohamadi Urdu Highschool, Gr. Flr., R.no.10, Darga Road, Tulshet Pada, Bhandup (W), Mumbai-78..",157
"12 - Darga Road, Tulshet Pada, Bhandup (W), Mumbai-78..","B.M.C 'S' Ward, Samp Plot No.217/18(Part) Open Ground Mandap No.1, K.K.Shetty Marg, Bhandup (W) Mumbai-78",157
"13 - Darga Road, Tulshet Pada, Bhandup (W), Mumbai-78..","B.M.C 'S' Ward, Samp Plot No.217/18(Part) Open Ground Mandap No.2, K.K.Shetty Marg, Bhandup (W) Mumbai-78",157
"14 - Darga Road, Tulshet Pada, Bhandup (W), Mumbai-78..","B.M.C 'S' Ward, Samp Plot No.217/18(Part) Open Ground Mandap No.3, K.K.Shetty Marg, Bhandup (W) Mumbai-78",157
"15 - Darga Road, Tulshet Pada, Bhandup (W), Mumbai-78..","Mohamadi Urdu Highschool, Gr. Flr., R.no.9, Darga Road, Tulshet Pada, Bhandup (W), Mumbai-78..",157
"16 - Darga Road, Tulshet Pada, Bhandup (W), Mumbai-78..","Ideal English Highschool, Gr. Flr., Room No.4 , Darga Road, Tulshet Pada, Bhandup (W) Mumbai-78.",157
"17 - Subhash Nagar Road, Bhandup West, Mumbai-78.","Subhash Nagar Mum.U.Pr.Hindi School, Gr. Flr., R.no.3, Subhash Nagar Road, Bhandup West, Mumbai-78.",157
"18 - Subhash Nagar Road, Bhandup West, Mumbai-78.","Subhash Nagar Mum.U.Pr.Hindi School, Gr. Flr., R.no.4, Subhash Nagar Road, Bhandup West, Mumbai-78.",157
"19 - Subhash Nagar Road, Bhandup West, Mumbai-78.","Subhash Nagar Mum.U.Pr.Hindi School, Gr. Flr., R.no.6, Subhash Nagar Road, Bhandup West, Mumbai-78.",157
"20 - Subhash Nagar Road, Bhandup West, Mumbai-78.","Subhash Nagar Mum.U.Pr.Hindi School, Gr. Flr., R.no.5, Subhash Nagar Road, Bhandup West, Mumbai-78.",157
"21 - Darga Road, Tulshet Pada, Bhandup (W) Mumbai-78.","Ideal English Highschool, Gr. Flr., Room No.1, Darga Road, Tulshet Pada, Bhandup (W) Mumbai-78.",157
"22 - Jay Shankar Nagar, Beyond Pipe line,Bhandup(W), Mumbai-78.","Gayatri Vidya Mandir,Bldg no.1, Ambyachi Bharani, Gr. Flr.R.no.1, Jay Shankar Nagar, Beyond Pipe line,Bhandup(W), Mumbai-78..",157
"23 - Jay Shankar Nagar, Beyond Pipe line,Bhandup(W), Mumbai-78.","Gayatri Vidya Mandir,Bldg no.1, Ambyachi Bharani, Gr. Flr.R.no.5, Jay Shankar Nagar, Beyond Pipe line,Bhandup(W), Mumbai-78..",157
"24 - Jay Shankar Nagar, Beyond Pipe line,Bhandup(W), Mumbai-78.","Gayatri Vidya Mandir,Bldg no.1, Ambyachi Bharani, Gr. Flr.R.no.2, Jay Shankar Nagar, Beyond Pipe line,Bhandup(W), Mumbai-78..",157
"25 - Jay Shankar Nagar, Beyond Pipe line,Bhandup(W), Mumbai-78.","Gayatri Vidya Mandir,Bldg no.1, Ambyachi Bharani, Gr. Flr.R.no.8, Jay Shankar Nagar, Beyond Pipe line,Bhandup(W), Mumbai-78..",157
"26 - Jay Shankar Nagar, Beyond Pipe line,Bhandup(W), Mumbai-78.","Gayatri Vidya Mandir,Bldg no.1, Ambyachi Bharani, Gr. Flr.R.no.3, Jay Shankar Nagar, Beyond Pipe line,Bhandup(W), Mumbai-78..",157
"27 - Jay Shankar Nagar, Beyond Pipe line,Bhandup(W), Mumbai-78.","Gayatri Vidya Mandir,Bldg no.1, Ambyachi Bharani, Gr. Flr.R.no.7, Jay Shankar Nagar, Beyond Pipe line,Bhandup(W), Mumbai-78..",157
