PS No & Name,Address,Constituency Number
"1 - Yashodham High School, Ground Floor, - Hall-(Partition-A)","Yashodham High School, Ground Floor, - Hall-(Partition-A)",158
"2 - Yashodham High School, Ground Floor, - Hall-(Partition-B)","Yashodham High School, Ground Floor, - Hall-(Partition-B)",158
"3 - Yashodham High School, Ground Floor, - Hall-(Partition-C)","Yashodham High School, Ground Floor, - Hall-(Partition-C)",158
"4 - Yashodham High School, Ground Floor, - Hall-(Partition-D)","Yashodham High School, Ground Floor, - Hall-(Partition-D)",158
"5 - Yashodham High School, Ground Floor, - Hall-(Partition-E)","Yashodham High School, Ground Floor, - Hall-(Partition-E)",158
"6 - Yashodham High School, Ground Floor, - Hall-(Partition-F)","Yashodham High School, Ground Floor, - Hall-(Partition-F)",158
"7 - Yashodham High School, Ground Floor, - Hall-(Partition-G)","Yashodham High School, Ground Floor, - Hall-(Partition-G)",158
"8 - Playmate Pre School, Yashodham High School, Ground Floor, Room No.1","Playmate Pre School, Yashodham High School, Ground Floor, Room No.1",158
"9 - Gokuldham High School, Ground Floor, - Hall-(Partition-A)","Gokuldham High School, Ground Floor, - Hall-(Partition-A)",158
"10 - Gokuldham High School, Ground Floor, - Hall-(Partition-B)","Gokuldham High School, Ground Floor, - Hall-(Partition-B)",158
"11 - Gokuldham High School, Ground Floor, - Hall-(Partition-C)","Gokuldham High School, Ground Floor, - Hall-(Partition-C)",158
"12 - Gokuldham High School, Ground Floor, - Hall-(Partition-D)","Gokuldham High School, Ground Floor, - Hall-(Partition-D)",158
"13 - Gokuldham High School, Ground Floor, - Hall-(Partition-E)","Gokuldham High School, Ground Floor, - Hall-(Partition-E)",158
"14 - Gokuldham High School, Ground Floor, - Hall-(Partition-F)","Gokuldham High School, Ground Floor, - Hall-(Partition-F)",158
"15 - Gokuldham High School, Ground Floor, - Hall-(Partition-G)","Gokuldham High School, Ground Floor, - Hall-(Partition-G)",158
"16 - Playmate Pre School, Yashodham High School, Ground Floor, Room No.2","Playmate Pre School, Yashodham High School, Ground Floor, Room No.2",158
"17 - Playmate Pre School, Yashodham High School, Ground Floor, Room No.3","Playmate Pre School, Yashodham High School, Ground Floor, Room No.3",158
"18 - Playmate Pre School, Yashodham High School, Ground Floor, Room No.4","Playmate Pre School, Yashodham High School, Ground Floor, Room No.4",158
"19 - Near Ganesh Mandir Dudhsagar Hsg., Soc., (Pandal-A)","Near Ganesh Mandir Dudhsagar Hsg., Soc., (Pandal-A)",158
"20 - Near Ganesh Mandir Dudhsagar Hsg., Soc., (Pandal-B)","Near Ganesh Mandir Dudhsagar Hsg., Soc., (Pandal-B)",158
"21 - St. Xavier High School, Ground Floor, - Hall-(Partition- A)","St. Xavier High School, Ground Floor, - Hall-(Partition- A)",158
"22 - St. Xavier High School, Ground Floor, - Hall-(Partition- B)","St. Xavier High School, Ground Floor, - Hall-(Partition- B)",158
"23 - St. Xavier High School, Ground Floor, - Hall-(Partition- C)","St. Xavier High School, Ground Floor, - Hall-(Partition- C)",158
"24 - St. Xavier High School, Ground Floor, - Hall-(Partition-D)","St. Xavier High School, Ground Floor, - Hall-(Partition-D)",158
"25 - St. Xavier High School, Ground Floor, - Hall-(Partition- E)","St. Xavier High School, Ground Floor, - Hall-(Partition- E)",158
"26 - Near Adivasi Vasahat, Unit No.32 – (Pandal-A)","Near Adivasi Vasahat, Unit No.32 – (Pandal-A)",158
"27 - Near Adivasi Vasahat, Unit No.32 – (Pandal-B)","Near Adivasi Vasahat, Unit No.32 – (Pandal-B)",158
"28 - Near Adivasi Vasahat, Unit No.32 – (Pandal-C)","Near Adivasi Vasahat, Unit No.32 – (Pandal-C)",158
"29 - Near Adivasi Vasahat, Unit No.32 – (Pandal-D)","Near Adivasi Vasahat, Unit No.32 – (Pandal-D)",158
