PS No & Name,Address,Constituency Number
"1 - Dyan-ganga Education Trust Sanchalit Shala/Kanishtha Mahavidyalay, A Wing, Gr Floor Room No. 1","Dyan-ganga Education Trust Sanchalit Shala/Kanishtha Mahavidyalay, A Wing, Gr Floor Room No. 1",159
"2 - Dyan-ganga Education Trust Sanchalit Shala/Kanishtha Mahavidyalay, A Wing, Gr Floor Room No. 2","Dyan-ganga Education Trust Sanchalit Shala/Kanishtha Mahavidyalay, A Wing, Gr Floor Room No. 2",159
"3 - Dyan-ganga Education Trust Sanchalit Shala/Kanishtha Mahavidyalay, A Wing, Gr Floor Room No. 3","Dyan-ganga Education Trust Sanchalit Shala/Kanishtha Mahavidyalay, A Wing, Gr Floor Room No. 3",159
"4 - Dyan-ganga Education Trust Sanchalit Shala/Kanishtha Mahavidyalay, A Wing, Gr Floor Room No. 4","Dyan-ganga Education Trust Sanchalit Shala/Kanishtha Mahavidyalay, A Wing, Gr Floor Room No. 4",159
"5 - Dyan-ganga Education Trust Sanchalit Shala/Kanishtha Mahavidyalay, A Wing, Gr Floor Room No. 5","Dyan-ganga Education Trust Sanchalit Shala/Kanishtha Mahavidyalay, A Wing, Gr Floor Room No. 5",159
"6 - Dyan-ganga Education Trust Sanchalit Shala/Kanishtha Mahavidyalay, A Wing, Gr Floor Room No. 6","Dyan-ganga Education Trust Sanchalit Shala/Kanishtha Mahavidyalay, A Wing, Gr Floor Room No. 6",159
"7 - Dyan-ganga Education Trust Sanchalit Shala/Kanishtha Mahavidyalay, A Wing, Gr Floor Room No. 7","Dyan-ganga Education Trust Sanchalit Shala/Kanishtha Mahavidyalay, A Wing, Gr Floor Room No. 7",159
"8 - Dyan-ganga Education Trust Sanchalit Shala/Kanishtha Mahavidyalay, A Wing, Gr Floor Room No. 8","Dyan-ganga Education Trust Sanchalit Shala/Kanishtha Mahavidyalay, A Wing, Gr Floor Room No. 8",159
"9 - Dyan-ganga Education Trust Sanchalit Shala/Kanishtha Mahavidyalay, A Wing, Gr Floor Room No. 9","Dyan-ganga Education Trust Sanchalit Shala/Kanishtha Mahavidyalay, A Wing, Gr Floor Room No. 9",159
"10 - Pal Dharmendra Hindi High School, Gr. Flr. Room No. 1","Pal Dharmendra Hindi High School, Gr. Flr. Room No. 1",159
"11 - Pal Dharmendra Hindi High School, Gr. Flr. Room No. 2","Pal Dharmendra Hindi High School, Gr. Flr. Room No. 2",159
"12 - Pal Dharmendra Hindi High School, Gr. Flr. Room No. 3","Pal Dharmendra Hindi High School, Gr. Flr. Room No. 3",159
"13 - Pal Dharmendra Hindi High School, Gr. Flr. Room No. 4","Pal Dharmendra Hindi High School, Gr. Flr. Room No. 4",159
"14 - Anudatt Vidyalaya English Medium, YCMOU Office, near Play Area","Anudatt Vidyalaya English Medium, YCMOU Office, near Play Area",159
"15 - Anudatt Vidyalaya English Medium, PlayGroup Room","Anudatt Vidyalaya English Medium, PlayGroup Room",159
"16 - Anudatt Vidyalaya English Medium, School Ground Mandap-1","Anudatt Vidyalaya English Medium, School Ground Mandap-1",159
"17 - Anudatta Vidyalaya, Marathi Medium, Gr. Flr. Room No. C-2","Anudatta Vidyalaya, Marathi Medium, Gr. Flr. Room No. C-2",159
"18 - Anudatt Vidyalayaa, Marathi Medium, Gr. Flr., Room No. C-4","Anudatt Vidyalayaa, Marathi Medium, Gr. Flr., Room No. C-4",159
"19 - Anudatta Vidyalaya, Marathi Medium,Gr. Flr. Room No. C-7","Anudatta Vidyalaya, Marathi Medium,Gr. Flr. Room No. C-7",159
"20 - Anudatt Vidyalayaa, Marathi Medium, Gr. Flr., Room No. C-9","Anudatt Vidyalayaa, Marathi Medium, Gr. Flr., Room No. C-9",159
"21 - Anudatta Vidyalaya, Marathi Medium,Gr. Flr. Room No. C-11","Anudatta Vidyalaya, Marathi Medium,Gr. Flr. Room No. C-11",159
"22 - Anudatta Vidyalaya, Marathi Medium,Gr. Flr. Room No. C12","Anudatta Vidyalaya, Marathi Medium,Gr. Flr. Room No. C12",159
"23 - Anudatta Vidyalaya, Marathi Medium,Gr Floor Hall Partition A","Anudatta Vidyalaya, Marathi Medium,Gr Floor Hall Partition A",159
"24 - Anudatta Vidyalaya, Marathi Medium,Gr Floor Hall Partition B","Anudatta Vidyalaya, Marathi Medium,Gr Floor Hall Partition B",159
"25 - Anudatta Vidyalaya, HIndi Medium,Gr. Flr. Room No.C-17 STAFF ROOM","Anudatta Vidyalaya, HIndi Medium,Gr. Flr. Room No.C-17 STAFF ROOM",159
"26 - Anudatt Vidyalayaa, Hindi Medium, Gr. Flr. Room No.C-19 ladies room","Anudatt Vidyalayaa, Hindi Medium, Gr. Flr. Room No.C-19 ladies room",159
"27 - Anudatta Vidyalaya, Hindi Medium,Gr. Flr. Room No.B-11","Anudatta Vidyalaya, Hindi Medium,Gr. Flr. Room No.B-11",159
"28 - Anudatta Vidyalaya, Hindi Medium,Gr. Flr. Room No.12","Anudatta Vidyalaya, Hindi Medium,Gr. Flr. Room No.12",159
"29 - Anudatta Vidyalaya, Hindi Medium,Gr. Flr. Room No.13","Anudatta Vidyalaya, Hindi Medium,Gr. Flr. Room No.13",159
"30 - Anudatta Vidyalaya, English Medium,Gr. Flr. Room No.14","Anudatta Vidyalaya, English Medium,Gr. Flr. Room No.14",159
"31 - Anudatta Vidyalaya, English Medium,Gr. Flr. Room No.15","Anudatta Vidyalaya, English Medium,Gr. Flr. Room No.15",159
"32 - Anudatta Vidyalaya, English Medium, Gr. Flr. Room No. 16","Anudatta Vidyalaya, English Medium, Gr. Flr. Room No. 16",159
"33 - Anudatta Vidyalaya, English Medium, Gr. Flr. Room No. 17","Anudatta Vidyalaya, English Medium, Gr. Flr. Room No. 17",159
"34 - Anudatta Vidyalaya, English Medium, Gr. Flr. Room No. 18","Anudatta Vidyalaya, English Medium, Gr. Flr. Room No. 18",159
35 - Anudatta Vidyalaya English medium Gr. Flr. Room No. 19,Anudatta Vidyalaya English medium Gr. Flr. Room No. 19,159
"36 - Nutan Vidya Mandir, Highschool (Marathi & Hindi Madhyam), Gr.Flr. Room No.1","Nutan Vidya Mandir, Highschool (Marathi & Hindi Madhyam), Gr.Flr. Room No.1",159
