PS No & Name,Address,Constituency Number
1 - Nim,"Z.P. Primary School, East-West New Building, East Side, Room No.2 Nim",15
2 - Nim,"Z.P. Primary School, East-West New Building, East Side,Room No.3 Nim",15
3 - Padalase,"Z.P.Primary School, East-West New building , West Side Room No.2, Padalase",15
4 - Bohare,"Z.P. .Primary School, East-West Building Room No.2, Bohare",15
5 - Bohare,"Z.P. Primary School, North-South building South Side Room No.2 , Bohare",15
6 - Kalali,"Z.P.Primary School, East-West Building East Side Room No.2, Kalali",15
7 - Satri,"Z.P.Primary School, East-West Building East Side Room No.2. Satri",15
8 - Hingone Sim Pra.J.,"Z.P.PrimaryVidya Mandir, North-South building North Side Room No.1 , Hingone Sim Pr.J.",15
9 - Hingone Khurd Pra. J.,"Z.P. Marathi School, East-West Building East Side Room No.1.Dodhawad",15
10 - Dodhawad,"Z.P.Marathi School, West Side, Room No.2, Dodhwad",15
11 - Jalod,"Z.P.Primary School, East-West New Building East Side Room No.1, Jalod",15
12 - Jalod,"Z.P.Primary School, East-West New Building West Side Room No.2, Jalod",15
13 - Gangapuri,"Z.P. Primary School, North-South Building North Side Room No.1, (Hexagonal) Gangapuri",15
14 - Mathgawhan,"Samaj Mandir, Mathgawhan",15
15 - Mathgawhan,Grampanchayt Office Mathgawhan,15
16 - Rundhati,"Z.P. Primary School, East-West Building West Side Room No.1(Hexagonal), Rundhati",15
17 - Mungse,"Z.P. Primary School, East-West Building East Side Room No.2, Mungse",15
18 - Khaparkheda Pr.Ja.,"Z.P. Primary School, East-West Building East Side Room No.1, Khaparkheda Pr.J.",15
19 - Savkheda,"Z.P.Kendra Shala, East-West Building, West Side Room No.1, Savkheda",15
20 - Savkheda,"Z.P.Kendra Shala, East-West Building, West Side Room No.2, Savkheda",15
21 - Dhavde,"Z.P. Primary School, Hexagonal Room No.1, Dhavde",15
22 - Nimbhora,"Z.P. Higher Primary School, North-South New Building North Side Room No.1, Nimbhora",15
23 - Nimbhora,"Z.P. Higher Primary School, North-South New Building South Side Room No.1, Nimbhora",15
24 - Pingalwade,"Z.P. Primary School, South - North New Building, South Side Room No.1, Pingalwade",15
25 - Pra.Dangari,"Z.P.Primary School,East-west Building, East Side Room No.1, Pr.Dangari",15
26 - Pra.Dangari,"Z.P. Primary School, North-South Building East Side Room No.2, Pr. Dangari",15
27 - Kalamsare,"Sharda Secondary School, South North Letters Building, South Side Room no. 01",15
28 - Kalamsare,"Sharda Secondary School, Southern Slap Building, East Room no. 03",15
29 - Kalamsare,"Sharda Secondary School, Southern Slap Building, East Room no. 03",15
30 - Vasare,"Z.P. Primary School, East-West Old Building West Side Room No.1, Vasare",15
31 - Tandali,"Z.P. School, East-West Building East Side Room No.2(Hexagonal), Tandali",15
32 - Shahapur,"Z.P. Kendra Shala, East-West Building East Side Room No.2, Shahapur",15
