PS No & Name,Address,Constituency Number
"1 - Thakur Complex, Kandivali (E), Mumbai-400 101.","St. Lawrence High school , Open Space Pendol ""A""",160
"2 - Thakur Complex, Kandivali (E), Mumbai-400 101.","St. Lawrence High school , Open Space Pendol ""B""",160
"3 - Thakur Complex, Kandivali (E), Mumbai-400 101.","St. Lawrence High school , Open Space Pendol ""C""",160
"4 - Thakur Complex, Kandivali (E), Mumbai-400 101.","St. Lawrence High school , Open Space Pendol ""D""",160
"5 - Thakur Complex, Kandivali (E), Mumbai-400 101.","St. Lawrence High school , Open Space Pendol ""E""",160
"6 - Thakur Complex, Kandivali (E), Mumbai-400 101.","St. Lawrence High school , Open Space Pendol ""F""",160
"7 - Thakur Complex, Kandivali (E), Mumbai-400 101.","St. Lawrence High school , Open Space Pendol ""G""",160
"8 - Thakur Complex, Kandivali (E), Mumbai-400 101.","St. Lawrence High school , Open Space Pendol ""H""",160
"9 - Thakur Complex, Kandivali (E), Mumbai-400 101.","Children Academy High school Gr. Flr., R.No. 4",160
"10 - Thakur Complex, Kandivali (E), Mumbai-400 101.","Children Academy High school Open Space Pendol ""A""",160
"11 - Thakur Complex, Kandivali (E), Mumbai-400 101.","Children Academy High school Open Space Pendol ""B""",160
"12 - Thakur Complex, Kandivali (E), Mumbai-400 101.","Children Academy High school Open Space Pendol ""C""",160
"13 - Thakur Complex, Kandivali (E), Mumbai-400 101.","Children Academy High school Open Space Pendol ""D""",160
"14 - Thakur Complex, Kandivali (E), Mumbai-400 101.","Children Academy High school Open Space Pendol ""E""",160
"15 - Thakur Complex, Kandivali (E), Mumbai-400 101.","Children Academy High school Open Space Pendol ""F""",160
"16 - Thakur Complex, Kandivali (E), Mumbai-400 101.","Children Academy High school Open Space Pendol ""G""",160
"17 - Thakur Complex, Kandivali (E), Mumbai-400 101.","Children Academy High school Open Space Pendol ""H""",160
"18 - Thakur Complex, Kandivali (E), Mumbai-400 101.",Children Academy High School Gr.Flr.Hall A,160
"19 - Thakur Complex, Kandivali (E), Mumbai-400 101.",Children Academy High School Gr.Flr.Hall B,160
"20 - Thakur Complex, Kandivali (E), Mumbai-400 101.",Children Academy High School Gr.Flr.Hall C.,160
"21 - Thakur Complex, Kandivali (E), Mumbai-400 101.","pendol - Open Place A. in Thakur Vidyamandir""",160
"22 - Thakur Complex, Kandivali (E), Mumbai-400 101.","Thakur Vidya Mandir Open Space Pendol "" B """,160
"23 - Thakur Complex, Kandivali (E), Mumbai-400 101.","Thakur Vidya Mandir Open Space Pendol "" C """,160
"24 - Thakur Complex, Kandivali (E), Mumbai-400 101.","Thakur Vidya Mandir Open Space Pendol "" D """,160
"25 - Thakur Complex, Kandivali (E), Mumbai-400 101.","Thakur Vidya Mandir Open Space Pendol "" E """,160
