PS No & Name,Address,Constituency Number
1 - Municipal Marathi School Charkop Village Ground Floor Room No.1,Municipal Marathi School Charkop Village Ground Floor Room No.1,161
2 - Municipal Marathi School Charkop Village Ground Floor Room No.2,Municipal Marathi School Charkop Village Ground Floor Room No.2,161
3 - Municipal Marathi School Charkop Village Ground Floor Hall No.1,Municipal Marathi School Charkop Village Ground Floor Hall No.1,161
4 - Municipal Marathi School Charkop Village Ground Floor Hall No.2,Municipal Marathi School Charkop Village Ground Floor Hall No.2,161
5 - B.M.C Primary Marathi School Sector 2 Charkop Ground Floor Room .2,B.M.C Primary Marathi School Sector 2 Charkop Ground Floor Room .2,161
6 - B.M.C Primary Marathi School Sector 2 Charkop Ground Floor Room .3,B.M.C Primary Marathi School Sector 2 Charkop Ground Floor Room .3,161
7 - B.M.C Primary Marathi School Sector 2 Charkop Ground Floor Room .4,B.M.C Primary Marathi School Sector 2 Charkop Ground Floor Room .4,161
8 - B.M.C Primary Marathi School Sector 2 Charkop Ground Floor Room .5,B.M.C Primary Marathi School Sector 2 Charkop Ground Floor Room .5,161
9 - B.M.C Primary Marathi School Sector 2 Charkop Ground Floor Room .6,B.M.C Primary Marathi School Sector 2 Charkop Ground Floor Room .6,161
10 - B.M.C Primary Marathi School Sector 2 Charkop Ground Floor Room .7,B.M.C Primary Marathi School Sector 2 Charkop Ground Floor Room .7,161
11 - B.M.C Primary Marathi School Sector 2 Charkop Ground Floor Room .8,B.M.C Primary Marathi School Sector 2 Charkop Ground Floor Room .8,161
12 - B.M.C Primary Marathi School Sector 2 Charkop Ground Floor Room .9,B.M.C Primary Marathi School Sector 2 Charkop Ground Floor Room .9,161
13 - B.M.C Primary Marathi School Sector 2 Charkop Ground Floor Room .10,B.M.C Primary Marathi School Sector 2 Charkop Ground Floor Room .10,161
14 - B.M.C Primary Marathi School Sector Charkop Ground Floor Room .11,B.M.C Primary Marathi School Sector 2 Charkop Ground Floor Room .11,161
15 - B.M.C Primary Marathi School SectorCharkop Ground Floor Room .12,B.M.C Primary Marathi School Sector 2 Charkop Ground Floor Room .12,161
16 - B.M.C Primary Marathi School Sector 2 Charkop Ground Floor Room .13,B.M.C Primary Marathi School Sector 2 Charkop Ground Floor Room .13,161
17 - B.M.C Primary Marathi School Sector 2 Charkop Ground Floor Room .14,B.M.C Primary Marathi School Sector 2 Charkop Ground Floor Room .14,161
18 - B.M.C Primary Marathi School Sector 2 Charkop Ground Floor Room .15,B.M.C Primary Marathi School Sector 2 Charkop Ground Floor Room .15,161
19 - B.M.C Primary r Primary Marathi School Opposite Vacant Space Sector 2 Charkop Vacant Space Mandap No1,B.M.C Primary r Primary Marathi School Opposite Vacant Space Sector 2 Charkop Vacant Space Mandap No1,161
20 - Near B.M.C Hospital Upper PrimaryMuncipal School Sector 1 Ground Floor Room no.1,Near B.M.C Hospital Upper PrimaryMuncipal School Sector 1 Ground Floor Room no.1,161
21 - Near B.M.C Hospital Upper Muncipal School Sector 1 Ground Floor Room no.2,Near B.M.C Hospital Upper Muncipal School Sector 1 Ground Floor Room no.2,161
22 - Near B.M.C Hospital Upper Muncipal School Sector 1 Ground Floor Room no.3,Near B.M.C Hospital Upper Muncipal School Sector 1 Ground Floor Room no.3,161
23 - Near B.M.C Hospital Upper Muncipal School Sector 1 Ground Floor Room no.4,Near B.M.C Hospital Upper Muncipal School Sector 1 Ground Floor Room no.4,161
24 - Near B.M.C Hospital Upper Muncipal School Sector 1 Ground Floor Room no.5,Near B.M.C Hospital Upper Muncipal School Sector 1 Ground Floor Room no.5,161
25 - Near B.M.C Hospital Upper Muncipal School Sector 1 Ground Floor Room no.6,Near B.M.C Hospital Upper Muncipal School Sector 1 Ground Floor Room no.6,161
26 - Near B.M.C Hospital Upper Muncipal School Sector 1 Ground Floor Room no.7,Near B.M.C Hospital Upper Muncipal School Sector 1 Ground Floor Room no.7,161
27 - Near B.M.C Hospital Upper Muncipal School Sector 1 Ground Floor Room no.8,Near B.M.C Hospital Upper Muncipal School Sector 1 Ground Floor Room no.8,161
28 - Near B.M.C Hospital Upper Muncipal School Sector 1 Ground Floor Room no.9,Near B.M.C Hospital Upper Muncipal School Sector 1 Ground Floor Room no.9,161
29 - Near B.M.C Hospital Upper Muncipal School Sector 1 Ground Floor Mandap No.1,Near B.M.C Hospital Upper Muncipal School Sector 1 Ground Floor Mandap No.1,161
30 - Near B.M.C Hospital Upper Muncipal School Sector 1 Ground Floor Mandap No.2,Near B.M.C Hospital Upper Muncipal School Sector 1 Ground Floor Mandap No.2,161
31 - Near B.M.C Hospital Upper Muncipal School Sector 1 Ground Floor Mandap No.3,Near B.M.C Hospital Upper Muncipal School Sector 1 Ground Floor Mandap No.3,161
32 - Near B.M.C Hospital Upper Muncipal School Sector 1 Ground Floor Mandap No.4,Near B.M.C Hospital Upper Muncipal School Sector 1 Ground Floor Mandap No.4,161
33 - Prof. Dr. ND Patil of New English School Sahyadri Nagar Charkop Mandap No.1,Prof. Dr. ND Patil of New English School Sahyadri Nagar Charkop Mandap No.1,161
34 - Prof. Dr. ND Patil of New English School Sahyadri Nagar Charkop Mandap No.2,Prof. Dr. ND Patil of New English School Sahyadri Nagar Charkop Mandap No.2,161
35 - Prof. Dr. ND Patil of New English School Sahyadri Nagar Charkop Mandap No.3,Prof. Dr. ND Patil of New English School Sahyadri Nagar Charkop Mandap No.3,161
36 - Prof. Dr. ND Patil of New English School Sahyadri Nagar Charkop Mandap No.4,Prof. Dr. ND Patil of New English School Sahyadri Nagar Charkop Mandap No.4,161
37 - Prof. Dr. ND Patil of New English School Sahyadri Nagar Charkop Mandap No.5,Prof. Dr. ND Patil of New English School Sahyadri Nagar Charkop Mandap No.5,161
38 - Prof. Dr. ND Patil of New English School Sahyadri Nagar Charkop Mandap No.6,Prof. Dr. ND Patil of New English School Sahyadri Nagar Charkop Mandap No.6,161
39 - Prof. Dr. ND Patil of New English School Sahyadri Nagar Charkop Mandap No.7,Prof. Dr. ND Patil of New English School Sahyadri Nagar Charkop Mandap No.7,161
40 - Prof. Dr. ND Patil of New English School Sahyadri Nagar Charkop Mandap No.8,Prof. Dr. ND Patil of New English School Sahyadri Nagar Charkop Mandap No.8,161
41 - Kapole Vidyanidhi Mahaveer Nagar Ground Floor Room No.1,Kapole Vidyanidhi Mahaveer Nagar Ground Floor Room No.1,161
42 - Kapole Vidyanidhi Mahaveer Nagar Ground Floor Room No.2,Kapole Vidyanidhi Mahaveer Nagar Ground Floor Room No.2,161
43 - Kapole Vidyanidhi Mahaveer Nagar Ground Floor Room No.3,Kapole Vidyanidhi Mahaveer Nagar Ground Floor Room No.3,161
44 - Kapole Vidyanidhi Mahaveer Nagar Ground Floor Room No.4,Kapole Vidyanidhi Mahaveer Nagar Ground Floor Room No.4,161
45 - Kapole Vidyanidhi Mahaveer Nagar Ground Floor Room No.5,Kapole Vidyanidhi Mahaveer Nagar Ground Floor Room No.5,161
46 - Kapole Vidyanidhi Mahaveer Nagar Ground Floor Mandap (Steel Partition) No.1,Kapole Vidyanidhi Mahaveer Nagar Ground Floor Mandap (Steel Partition) No.1,161
47 - Kapole Vidyanidhi Mahaveer Nagar Ground Floor Mandap (Steel Partition) No.2,Kapole Vidyanidhi Mahaveer Nagar Ground Floor Mandap (Steel Partition) No.2,161
48 - Kapole Vidyanidhi Mahaveer Nagar Ground Floor Mandap (Steel Partition) No.3,Kapole Vidyanidhi Mahaveer Nagar Ground Floor Mandap (Steel Partition) No.3,161
49 - Kapole Vidyanidhi Mahaveer Nagar Ground Floor Mandap No.4,Kapole Vidyanidhi Mahaveer Nagar Ground Floor Mandap No.4,161
50 - Kapole Vidyanidhi Mahaveer Nagar Ground Floor Mandap No.5,Kapole Vidyanidhi Mahaveer Nagar Ground Floor Mandap No.5,161
51 - Kapole Vidyanidhi Mahaveer Nagar Ground Floor Mandap No.6,Kapole Vidyanidhi Mahaveer Nagar Ground Floor Mandap No.6,161
52 - Kapole Vidyanidhi Mahaveer Nagar Ground Floor Mandap No.7,Kapole Vidyanidhi Mahaveer Nagar Ground Floor Mandap No.7,161
53 - Kapole Vidyanidhi Mahaveer Nagar Ground Floor Mandap No.8,Kapole Vidyanidhi Mahaveer Nagar Ground Floor Mandap No.8,161
54 - Kapole Vidyanidhi Mahaveer Nagar Ground Floor Mandap No.9,Kapole Vidyanidhi Mahaveer Nagar Ground Floor Mandap No.9,161
55 - Kapole Vidyanidhi Mahaveer Nagar Ground Floor Mandap No.10,Kapole Vidyanidhi Mahaveer Nagar Ground Floor Mandap No.10,161
56 - Parmanand Jethanand Pancholia High School Near BMC Area Development Board Building No.5 C Mahaveer Nagar Mandap (Steel Partition) No.1,Parmanand Jethanand Pancholia High School Near BMC Area Development Board Building No.5 C Mahaveer Nagar Mandap (Steel Partition) No.1,161
57 - Parmanand Jethanand Pancholia High School Near BMC Area Development Board Building No.5 C Mahaveer Nagar Mandap (Steel Partition) No.2,Parmanand Jethanand Pancholia High School Near BMC Area Development Board Building No.5 C Mahaveer Nagar Mandap (Steel Partition) No.2,161
