PS No & Name,Address,Constituency Number
"1 - Malvani Church ,Malad West,Mumbai-400095",St.Anthony’s High School ROOM NO.1,162
"2 - Malvani Church ,Malad West,Mumbai-400095",St.Anthony’s High School ROOM NO.2,162
"3 - Malvani Church ,Malad West,Mumbai-400095",St.Anthony’s High School ROOM NO.3,162
"4 - Malvani Church ,Malad West,Mumbai-400095",St.Anthony’s High School ROOM NO.4,162
"5 - Malvani Church ,Malad West,Mumbai-400095",St.Anthony’s High School ROOM NO.5,162
"6 - Malvani Church ,Malad West,Mumbai-400095",St.Anthony’s High School ROOM NO.6,162
"7 - Malvani Church ,Malad West,Mumbai-400095",St.Anthony’s High School ROOM NO.7,162
"8 - Malvani Church ,Malad West,Mumbai-400095",St.Anthony’s High School ROOM NO.8,162
"9 - Malvani Church ,Malad West,Mumbai-400095",St.Anthony’s High School ROOM NO.9,162
"10 - Malvani Church ,Malad West,Mumbai-400095",St.Anthony’s High School ROOM NO.10,162
"11 - Malvani Malad West,Mumbai-400095",Malvani Township B.M.C Secondary School No.1 ROOM NO.1,162
"12 - Malvani Malad West,Mumbai-400095",Malvani Township B.M.C Secondary School No.1 ROOM NO.2,162
"13 - Malvani Malad West,Mumbai-400095",Malvani Township B.M.C Secondary School No.1 ROOM NO.3,162
"14 - Malvani Malad West,Mumbai-400095",Malvani Township B.M.C Secondary School No.1 ROOM NO.4,162
"15 - Kharodi,Marve Road,Malad West, Mumbai-400095",Daulat High School ROOM NO.1,162
"16 - Kharodi,Marve Road,Malad West, Mumbai-400095",Daulat High School ROOM NO.2,162
"17 - Kharodi,Marve Road,Malad West, Mumbai-400095",Daulat High School ROOM NO.3,162
"18 - Kharodi,Marve Road,Malad West, Mumbai-400095",Daulat High School ROOM NO.4,162
"19 - Kharodi,Marve Road,Malad West, Mumbai-400095",Daulat High School ROOM NO.5,162
"20 - Kharodi,Marve Road, Malad West,Mumbai-400095",Navjyoti Vidya Mandir High School ROOM NO.1,162
"21 - Kharodi,Marve Road, Malad West,Mumbai-400095",Navjyoti Vidya Mandir High School ROOM NO.2,162
"22 - Kharodi,Marve Road, Malad West,Mumbai-400095",Navjyoti Vidya Mandir High School ROOM NO.3,162
"23 - Gate No.6,Malvani, Malad West,Mumbai-400095",Ramjan Ali Shaikh English High School &Junior college ROOM NO.1,162
"24 - Gate No.6,Malvani, Malad West,Mumbai-400095",Ramjan Ali Shaikh English High School &Junior college ROOM NO.2,162
"25 - Gate No.6,Malvani, Malad West,Mumbai-400095",Ramjan Ali Shaikh English High School &Junior college ROOM NO.3,162
"26 - Gate No.6,Malvani, Malad West,Mumbai-400095",Ramjan Ali Shaikh English High School &Junior college ROOM NO.2,162
"27 - Gate No.6,Malvani Malad West,Mumbai-400095",Mount Mary High School ROOM NO.1,162
"28 - Gate No.6,Malvani Malad West,Mumbai-400095",Mount Mary High School ROOM NO.2,162
"29 - Gate No.6,Malvani Malad West,Mumbai-400095",Mount Mary High School ROOM NO.3,162
"30 - Gate No.6,Malvani Malad West,Mumbai-400095",Mount Mary High School ROOM NO.4,162
"31 - Gate No.6,Malvani Malad West,Mumbai-400095",Mount Mary High School HALL PARTITION NO.5,162
"32 - Gate No.6,Malvani Malad West,Mumbai-400095",Mount Mary High School HALL PARTITION NO.6,162
"33 - Gate No.6,Malvani Malad West,Mumbai-400095",Mount Mary High School HALL PARTITION NO.7,162
"34 - Gate No.6,Malvani Malad West,Mumbai-400095",Mount Mary High School HALL PARTITION NO.8,162
"35 - Sane Guruji Vasahat,Block No.6,Malvani, Malad West,Mumbai-400095",Maharastra Kamgar Kalyan Mandal-Kamgar Kalyan Kendra HALL PARTITION NO.1,162
36 - Maharastra Kamgar Kalyan Mandal-Kamgar Kalyan Kendra HALL PARTITION NO.2,"Plot No. 3 Old Collector Compound Block No.5, Shahid Abdul Hameed Road, Malavani, Malad (W) ,",162
"37 - Gate No.6,Malvani, Malad West,Mumbai-400095",Ramjan Ali Shaikh English High School &Junior college ROOM NO.1,162
"38 - Gate No.6,Malvani, Malad West,Mumbai-400095",Ramjan Ali Shaikh English High School &Junior college ROOM NO.2,162
"39 - Gate No.6,Malvani, Malad West,Mumbai-400095",Holy Angel High School ROOM NO.1,162
"40 - Gate No.6,Malvani, Malad West,Mumbai-400095",Holy Angel High School ROOM NO.2,162
"41 - Gate No.6,Malvani, Malad West,Mumbai-400095",Holy Angel High School ROOM NO.3,162
"42 - Gate No.6,Malvani, Malad West,Mumbai-400095",Holy Angel High School ROOM NO.4,162
"43 - Gate No.6,Malvani, Malad West,Mumbai-400095",National English School ROOM NO.1,162
"44 - Gate No.6,Malvani, Malad West,Mumbai-400095",National English School ROOM NO.2,162
"45 - Gate No.6,Malvani, Malad West,Mumbai-400095",National English School ROOM NO.3,162
"46 - Gate No.6,Malvani, Malad West,Mumbai-400095",National English School ROOM NO.4,162
"47 - Tank Lane,Near Surana hospital,Orlem, Malad West,Mumbai-400064",Prakash (Bala) Sawant Udyan MANDAP NO.1,162
"48 - Tank Lane,Near Surana hospital,Orlem, Malad West,Mumbai-400064",Prakash (Bala) Sawant Udyan MANDAP NO.2,162
"49 - Tank Lane,Near Surana hospital,Orlem, Malad West,Mumbai-400064",Prakash (Bala) Sawant Udyan MANDAP NO.3,162
"50 - Tank Lane,Near Surana hospital,Orlem, Malad West,Mumbai-400064",Prakash (Bala) Sawant Udyan MANDAP NO.4,162
"51 - Shanker Lane,Kandivali West,Mumbai-400067",Savitridevi Hariram Agarwal International School HALL PARTITION NO.1,162
"52 - Shanker Lane,Kandivali West,Mumbai-400067",Savitridevi Hariram Agarwal International School HALL PARTITION NO.2,162
"53 - Shanker Lane,Kandivali West,Mumbai-400067",Savitridevi Hariram Agarwal International School HALL PARTITION ROOM NO.3,162
"54 - Shanker Lane,Kandivali West,Mumbai-400067",Savitridevi Hariram Agarwal International School HALL PARTITION NO.4,162
"55 - Shanker Lane,Kandivali West,Mumbai-400067",Savitridevi Hariram Agarwal International School HALL PARTITION NO.5,162
"56 - Shanker Lane,Kandivali West,Mumbai-400067",Savitridevi Hariram Agarwal International School HALL PARTITION NO.6,162
"57 - Shanker Lane,Kandivali West,Mumbai-400067",Savitridevi Hariram Agarwal International School HALL PARTITION NO.7,162
"58 - Shanker Lane,Kandivali West,Mumbai-400067",Savitridevi Hariram Agarwal International School HALL PARTITION NO.8,162
"59 - Shanker Lane,Kandivali West,Mumbai-400067",Savitridevi Hariram Agarwal International School HALL PARTITION NO.9,162
"60 - Shanker Lane,Kandivali West,Mumbai-400067",Savitridevi Hariram Agarwal International School HALL PARTITION NO.10,162
"61 - Shanker Lane,Kandivali West,Mumbai-400067",Savitridevi Hariram Agarwal International School HALL PARTITION NO.11,162
"62 - Shanker Lane,Kandivali West,Mumbai-400067",Savitridevi Hariram Agarwal International School HALL PARTITION NO.12,162
"63 - BHADRAN Nagar Malad West,Mumbai-400064",Nagindas Khanwala College of Commerce Arts &Science Mandap no. 1,162
"64 - BHADRAN Nagar Malad West,Mumbai-400064",Nagindas Khanwala College of Commerce Arts &Science Mandap no. 2,162
"65 - BHADRAN Nagar Malad West,Mumbai-400064",Nagindas Khanwala College of Commerce Arts &Science Mandap no.3,162
"66 - BHADRAN Nagar Malad West,Mumbai-400064",Nagindas Khanwala College of Commerce Arts &Science Mandap no.4,162
"67 - BHADRAN Nagar Malad West,Mumbai-400064",Nagindas Khanwala College of Commerce Arts &Science Mandap no.5,162
"68 - BHADRAN Nagar Malad West,Mumbai-400064",Nagindas Khanwala College of Commerce Arts &Science Mandap no.6,162
"69 - BHADRAN Nagar Malad West,Mumbai-400064",Sheth Nahalchand High School ROOM NO.1,162
"70 - BHADRAN Nagar Malad West,Mumbai-400064",Sheth Nahalchand High School ROOM NO.2,162
"71 - BHADRAN Nagar Malad West,Mumbai-400064",Sheth Nahalchand High School ROOM NO.3,162
"72 - BHADRAN Nagar Malad West,Mumbai-400064",Sheth Nahalchand High School Mandap NO.4,162
"73 - BHADRAN Nagar Malad West,Mumbai-400064",Sheth Nahalchand High School Mandap NO.5,162
"74 - (Kelvani Mandal) Malad West,Mumbai-400064",Aspee Nutan Vidyamandir High School ROOM NO.1,162
"75 - (Kelvani Mandal) Malad West,Mumbai-400064",Aspee Nutan Vidyamandir High School ROOM NO.2,162
"76 - (Kelvani Mandal) Malad West,Mumbai-400064",Aspee Nutan Vidyamandir High School ROOM NO.3,162
"77 - (Kelvani Mandal) Malad West,Mumbai-400064",Aspee Nutan Vidyamandir High School ROOM NO.4,162
"78 - (Kelvani Mandal) Malad West,Mumbai-400064",Aspee Nutan Vidyamandir High School ROOM NO.5,162
"79 - (Kelvani Mandal) Malad West,Mumbai-400064",Aspee Nutan Vidyamandir High School ROOM NO.6,162
"80 - (Kelvani Mandal) Malad West,Mumbai-400064",Aspee Nutan Vidyamandir High School ROOM NO.7,162
"81 - (Kelvani Mandal) Malad West,Mumbai-400064",Aspee Nutan Vidyamandir High School ROOM NO.8,162
"82 - (Kelvani Mandal) Malad West,Mumbai-400064",Aspee Nutan Vidyamandir High School ROOM NO.9,162
"83 - Orlem, Malad West,Mumbai.400064",St. Joseph School STEEL PARTITION NO.1,162
"84 - Orlem, Malad West,Mumbai.400064",St. Joseph School STEEL PARTITION NO.2,162
"85 - Orlem, Malad West,Mumbai.400064",St. Joseph School STEEL PARTITION NO.3,162
"86 - Orlem, Malad West,Mumbai.400064",St. Joseph School STEEL PARTITION NO.4,162
"87 - Orlem, Malad West,Mumbai.400064",St. Joseph School STEEL PARTITION NO.5,162
"88 - Orlem, Malad West,Mumbai.400064",St. Joseph School STEEL PARTITION NO.6,162
"89 - Orlem, Malad West,Mumbai.400064",St. Joseph School STEEL PARTITION NO.7,162
"90 - Adarsh Lane, Malad West,Mumbai.400064",Carmel of St.Joseph ROOM NO 1,162
91 - Carmel of St.Joseph ROOM NO 2,"Great Eastern Hights, Marve Road, Malad (W) ,",162
"92 - Adarsh Lane, Malad West,Mumbai.400064",Carmel of St.Joseph ROOM NO 3,162
"93 - Adarsh Lane, Malad West,Mumbai.400064",Carmel of St.Joseph ROOM NO 4,162
"94 - Orlem, Malad West,Mumbai.400064",St.Anne’s High School ROOM NO 1,162
"95 - Orlem, Malad West,Mumbai.400064",St.Anne’s High School ROOM NO 2,162
"96 - Orlem, Malad West,Mumbai.400064",St.Anne’s High School ROOM NO 3,162
"97 - Orlem, Malad West,Mumbai.400064",St.Anne’s High School ROOM NO 4,162
"98 - Orlem, Malad West,Mumbai.400064",St.Anne’s High School ROOM NO 5,162
"99 - Orlem, Malad West,Mumbai.400064",St.Anne’s High School ROOM NO 6,162
"100 - Orlem, Malad West,Mumbai.400064",St.Anne’s High School ROOM NO 7,162
"101 - Orlem, Malad West,Mumbai.400064",St.Anne’s High School ROOM NO 8,162
"102 - EVERSHINE NAGAR Malad West,Mumbai.400064","Ryan International School Ground Floor,Room No.1,",162
"103 - EVERSHINE NAGAR Malad West,Mumbai.400064","Ryan International School Ground Floor,Room No.2,",162
"104 - EVERSHINE NAGAR Malad West,Mumbai.400064","Ryan International School Ground Floor,Room No.3",162
"105 - EVERSHINE NAGAR Malad West,Mumbai.400064",Ryan International School Ground Floor HALL PARTITION NO.4,162
"106 - EVERSHINE NAGAR Malad West,Mumbai.400064",Ryan International School Ground Floor HALL PARTITION NO.5,162
"107 - EVERSHINE NAGAR Malad West,Mumbai.400064",Ryan International School Ground Floor HALL PARTITION NO.6,162
"108 - EVERSHINE NAGAR Malad West,Mumbai.400064",Ryan International School Ground Floor HALL PARTITION NO.7,162
"109 - EVERSHINE NAGAR Malad West,Mumbai.400064",Ryan International School Ground Floor HALL PARTITION NO.8,162
"110 - EVERSHINE NAGAR Malad West,Mumbai.400064",Ryan International School Mandap No.10,162
"111 - EVERSHINE NAGAR Malad West,Mumbai.400064",Ryan International School Mandap No.11,162
"112 - EVERSHINE NAGAR Malad West,Mumbai.400064",Ryan International School Mandap No.112,162
"113 - EVERSHINE NAGAR Malad West,Mumbai.400064",Ryan International School Mandap No.13,162
"114 - EVERSHINE NAGAR Malad West,Mumbai.400064",Ryan International School Ground Floor HALL PARTITION no 9,162
115 - Ryan International School Mandap No.14,"Parijat Building, Vishal Nagar, Mith Chowki, Malad (W) ,",162
"116 - B.J.Patel Road Malad West,Mumbai.400064",Shri. M.D. Shah Mahila College of Arts & commerce Room no 1,162
"117 - B.J.Patel Road Malad West,Mumbai.400064",Shri. M.D. Shah Mahila College of Arts & commerce Room no 2,162
"118 - B.J.Patel Road Malad West,Mumbai.400064",Shri. M.D. Shah Mahila College of Arts & commerce Room no 3,162
"119 - B.J.Patel Road Malad West,Mumbai.400064",Shri. M.D. Shah Mahila College of Arts & commerce Room no 4,162
"120 - B.J.Patel Road Malad West,Mumbai.400064",Shri. M.D. Shah Mahila College of Arts & commerce Room no 5,162
"121 - B.J.Patel Road Malad West,Mumbai.400064",Shri. M.D. Shah Mahila College of Arts & commerce Room no 6,162
"122 - B.J.Patel Road Malad West,Mumbai.400064",Shri. M.D. Shah Mahila College of Arts & commerce Room no 7,162
"123 - B.J.Patel Road Malad West,Mumbai.400064",Shri. M.D. Shah Mahila College of Arts & commerce HALL PARTITION NO.8,162
"124 - B.J.Patel Road Malad West,Mumbai.400064",Shri. M.D. Shah Mahila College of Arts & commerce HALL PARTITION NO.9,162
"125 - B.J.Patel Road Malad West,Mumbai.400064",Shri. M.D. Shah Mahila College of Arts & commerce HALL PARTITION NO.10,162
126 - Shri. M.D. Shah Mahila College of Arts & commerce HALL PARTITION NO.11,"Ramakrupa, Ramchandra Lane (vistarit ) Part 2, Malad (W) ,",162
"127 - B.J.Patel Road Malad West,Mumbai.400064",Shri. M.D. Shah Mahila College of Arts & commerce HALL PARTITION NO.12,162
"128 - B.J.Patel Road Malad West,Mumbai.400064",Shri. M.D. Shah Mahila College of Arts & commerce MANDAP NO.13,162
"129 - Somwari Bazar, Malad West,Mumbai.400064",Father Agnelo High School ROOM NO.1,162
"130 - Somwari Bazar, Malad West,Mumbai.400064",Father Agnelo High School ROOM NO.2,162
"131 - Somwari Bazar, Malad West,Mumbai.400064",Father Agnelo High School ROOM NO.3,162
"132 - Mamledar Wadi Liberty Garden Malad West,Mumbai.400064","Utkarsh Mandir,Primary& secondary Bal Mandir ROOM NO 1",162
"133 - Mamledar Wadi Liberty GardenMalad West,Mumbai.400064","Utkarsh Mandir,Primary& secondary Bal Mandir ROOM NO 2",162
"134 - Mamledar Wadi Liberty GardenMalad West,Mumbai.400064","Utkarsh Mandir,Primary& secondary Bal Mandir HALL PARTITION NO 3",162
"135 - Mamledar Wadi Liberty GardenMalad West,Mumbai.400064","Utkarsh Mandir,Primary& secondary Bal Mandir HALL PARTITION NO 4",162
"136 - Mamledar Wadi Liberty GardenMalad West,Mumbai.400064",S.T.S.Mission English High School ROOM NO 6,162
"137 - Mamledar Wadi Liberty GardenMalad West,Mumbai.400064","Utkarsh Mandir,Primary& secondary Bal Mandir HALL PARTITION NO 5",162
"138 - Mamledar Wadi Liberty GardenMalad West,Mumbai.400064","Utkarsh Mandir,Primary& secondary Bal Mandir HALL PARTITION NO 6",162
"139 - Mamledar Wadi Liberty GardenMalad West,Mumbai.400064","Utkarsh Mandir,Primary& secondary Bal Mandir ROOM NO 7",162
"140 - Mamledar Wadi Liberty GardenMalad West,Mumbai.400064","Utkarsh Mandir,Primary& secondary Bal Mandir ROOM NO 8",162
"141 - Mamledar Wadi Liberty GardenMalad West,Mumbai.400064",S.T.S.Mission English High School ROOM NO 1,162
"142 - Mamledar Wadi Liberty GardenMalad West,Mumbai.400064",S.T.S.Mission English High School ROOM NO 2,162
"143 - Mamledar Wadi Liberty GardenMalad West,Mumbai.400064",S.T.S.Mission English High School ROOM NO 3,162
"144 - Mamledar Wadi Liberty GardenMalad West,Mumbai.400064",S.T.S.Mission English High School ROOM NO 4,162
"145 - Mamledar Wadi Liberty GardenMalad West,Mumbai.400064",S.T.S.Mission English High School ROOM NO 5,162
146 - Nemani Plot” S.V Road. Malad West 400064,Malad Muncipal Secondary School ROOM NO.1,162
147 - Nemani Plot” S.V Road. Malad West 400064,Malad Muncipal Secondary School ROOM NO.2,162
148 - Nemani Plot” S.V Road. Malad West 400064,Malad Muncipal Secondary School ROOM NO.3,162
149 - Nemani Plot” S.V Road. Malad West 400064,Malad Muncipal Secondary School ROOM NO.4,162
150 - Nemani Plot” S.V Road. Malad West 400064,Malad Muncipal Secondary School ROOM NO.5,162
