PS No & Name,Address,Constituency Number
"1 - Infant Jesus English School, Open Hall,(Ground Floor),Partition - 1","Infant Jesus English School, Open Hall,(Ground Floor),Partition - 1",163
"2 - Infant Jesus English School, Open Hall,(Ground Floor), Partition - 2","Infant Jesus English School, Open Hall,(Ground Floor), Partition - 2",163
"3 - Infant Jesus English School, Open Hall,(Ground Floor), Partition - 3","Infant Jesus English School, Open Hall,(Ground Floor), Partition - 3",163
"4 - Infant Jesus English School, Open Hall,(Ground Floor), Partition - 4","Infant Jesus English School, Open Hall,(Ground Floor), Partition - 4",163
"5 - Infant Jesus English School, Open Hall,(Ground Floor), Partition - 5","Infant Jesus English School, Open Hall,(Ground Floor), Partition - 5",163
"6 - Infant Jesus English School, Open Hall,(Ground Floor), Partition - 6","Infant Jesus English School, Open Hall,(Ground Floor), Partition - 6",163
"7 - Infant Jesus English School, Open Hall,(Ground Floor), Partition - 7","Infant Jesus English School, Open Hall,(Ground Floor), Partition - 7",163
"8 - Infant Jesus English School, Play Ground, Open Mandap - Partition - A","Infant Jesus English School, Play Ground, Open Mandap - Partition - A",163
"9 - Infant Jesus English School, Play Ground, Open Mandap - Partition - B","Infant Jesus English School, Play Ground, Open Mandap - Partition - B",163
"10 - Infant Jesus English School, Play Ground, Open Mandap - Partition - C","Infant Jesus English School, Play Ground, Open Mandap - Partition - C",163
"11 - Dr. S. Radhakrishnan English School, Ground Floor, Room No. - G-1","Dr. S. Radhakrishnan English School, Ground Floor, Room No. - G-1",163
"12 - Dr. S. Radhakrishnan English School, Ground Floor, Room No. - G-2","Dr. S. Radhakrishnan English School, Ground Floor, Room No. - G-2",163
"13 - Dr. S. Radhakrishnan English School, Ground Floor, Room No. - G-3","Dr. S. Radhakrishnan English School, Ground Floor, Room No. - G-3",163
"14 - Dalmiya Vidyalaya, Sundar Nagar, Ground Floor Hall (East Side), Partition - 1","Dalmiya Vidyalaya, Sundar Nagar, Ground Floor Hall (East Side), Partition - 1",163
"15 - Dalmiya Vidyalaya, Sundar Nagar, Ground Floor Hall (East Side), Partition - 2","Dalmiya Vidyalaya, Sundar Nagar, Ground Floor Hall (East Side), Partition - 2",163
"16 - Dalmiya Vidyalaya, Sundar Nagar, Ground Floor Hall (East Side), Partition - 3","Dalmiya Vidyalaya, Sundar Nagar, Ground Floor Hall (East Side), Partition - 3",163
"17 - Dalmiya Vidyalaya, Sundar Nagar, Ground Floor Hall (East Side), Partition - 4","Dalmiya Vidyalaya, Sundar Nagar, Ground Floor Hall (East Side), Partition - 4",163
"18 - Dalmiya Vidyalaya, Sundar Nagar, Gymkhana Hall, Partition - 1","Dalmiya Vidyalaya, Sundar Nagar, Gymkhana Hall, Partition - 1",163
"19 - Dalmiya Vidyalaya, Sundar Nagar, Gymkhana Hall, Partition - 2","Dalmiya Vidyalaya, Sundar Nagar, Gymkhana Hall, Partition - 2",163
"20 - Dalmiya Vidyalaya, Sundar Nagar, Play Ground, Open Mandap - A","Dalmiya Vidyalaya, Sundar Nagar, Play Ground, Open Mandap - A",163
"21 - Dalmiya Vidyalaya, Sundar Nagar, Play Ground, Open Mandap - B","Dalmiya Vidyalaya, Sundar Nagar, Play Ground, Open Mandap - B",163
"22 - Dalmiya Vidyalaya, Sundar Nagar, West Side Building, Room No. - G-1","Dalmiya Vidyalaya, Sundar Nagar, West Side Building, Room No. - G-1",163
"23 - Dalmiya Vidyalaya, Sundar Nagar, West Side Building, Room No. - G-2","Dalmiya Vidyalaya, Sundar Nagar, West Side Building, Room No. - G-2",163
"24 - Dalmiya Vidyalaya, Sundar Nagar, West Side Building, Room No. - G-3","Dalmiya Vidyalaya, Sundar Nagar, West Side Building, Room No. - G-3",163
"25 - Dalmiya Vidyalaya, Sundar Nagar, West Side Building, Room No. - G-4","Dalmiya Vidyalaya, Sundar Nagar, West Side Building, Room No. - G-4",163
"26 - Dalmiya Vidyalaya, Sundar Nagar, West Side Building, Room No. - G-5","Dalmiya Vidyalaya, Sundar Nagar, West Side Building, Room No. - G-5",163
"27 - Dalmiya Vidyalaya, Sundar Nagar, West Side Building, Room No. - G-6","Dalmiya Vidyalaya, Sundar Nagar, West Side Building, Room No. - G-6",163
"28 - RSET's Kudilal Govindram Seksaria Sarvodaya School, Play Ground, Mandap - A","RSETs Kudilal Govindram Seksaria Sarvodaya School, Play Ground, Mandap - A",163
