PS No & Name,Address,Constituency Number
"1 - City International School,Ground Floor, Room No. -1","Anand Nagar, Oshiwara,",164
"2 - City International School,Ground Floor, Room No. -2","Anand Nagar, Oshiwara,",164
"3 - City International School,Ground Floor, Room No. -3","Anand Nagar, Oshiwara,",164
"4 - City International School,Ground Floor, Room No. -4","Anand Nagar, Oshiwara,",164
"5 - City International School,Ground Floor Mandap No. 1","Anand Nagar, Oshiwara,",164
"6 - City International School, Ground Floor Mandap No. 2","Anand Nagar, Oshiwara,",164
"7 - City International School,Ground Floor Mandap No. 3","Anand Nagar, Oshiwara,",164
"8 - Mhada ground, Mandap No. 1","Anand Nagar, Oshiwara,",164
"9 - Mhada ground, Mandap No. 2","Anand Nagar, Oshiwara,",164
"10 - Mhada ground, Mandap No. 3","Anand Nagar, Oshiwara,",164
"11 - Mhada ground, Mandap No. 4","Anand Nagar, Oshiwara,",164
"12 - Mhada ground, Mandap No. 5","Anand Nagar, Oshiwara,",164
"13 - Mhada ground, Mandap No. 6","Anand Nagar, Oshiwara,",164
"14 - Mhada ground, Mandap No. 7","Anand Nagar, Oshiwara,",164
"15 - Mhada ground, Mandap No. 8","Anand Nagar, Oshiwara,",164
"16 - Mhada ground, Mandap No. 9","Anand Nagar, Oshiwara,",164
"17 - Mhada ground,Mandap No. 10","Anand Nagar, Oshiwara,",164
"18 - Mhada ground, Mandap No. 11","Anand Nagar, Oshiwara,",164
"19 - Mhada ground, Mandap No. 12","Anand Nagar, Oshiwara,",164
"20 - Dnyansagar Vidyalaya,Ground Floor, Room no. 1","Behrambaug, Oshiwara,",164
"21 - Dnyansagar Vidyalaya, Ground Floor, Room no. 2","Behrambaug Oshiwara,",164
"22 - Dnyansagar Vidyalaya, Ground Floor, Room no. 3","Behrambaug, Oshiwara,",164
"23 - Oshiwara Park, Khula Maidan, Mandap No.1","Behrambaug, Oshiwara",164
"24 - Oshiwara Park, Khula Maidan, Mandap No.2","Behrambaug, Oshiwara,",164
"25 - Millat Nagar Gymkhana Office, Ground Floor, Room no. 1","Millat Nagar CHS.Gymkhana Office Federation Ltd., Oshiwara,",164
"26 - Millat Nagar, Gymkhana Office, Ground Floor, Room no. 2","Millat Nagar CHS. Federation Ltd., Gymkhana Office, Oshiwara,",164
"27 - Millat Nagar, Gymkhana,Ground Floor, Hall Partition No. 1","Millat Nagar, CHS. Federation Ltd., Gymkhana, Oshiwara,",164
