PS No & Name,Address,Constituency Number
"1 - Sahakar Path (S) Jogeshwari (W), Mumbai 400102",Mandap-1- Ravji Garden Open space Near Shagufa Apartment,165
"2 - Sahakar Path (S) Jogeshwari (W), Mumbai 400102",Mandap-2- Ravji Garden Open space Near Shagufa Apartment,165
"3 - S.V.Rd. (W), Jogeshwari (W), Mumbai 400102",Mancherji Nauroji Banaji Industrial Home for the Blind Old Building Central Hall GR. Floor,165
"4 - S.V.Rd. (W), Jogeshwari (W), Mumbai 400102",Partition- 1 Mancherji Nauroji Banaji Industrial Home for the Blind (Hostel Bldg.) Manu Subhedar Hall.,165
"5 - S.V.Rd. (W), Jogeshwari (W), Mumbai 400102",Partition-2 Mancherji Nauroji Banaji Industrial Home for the Blind (Hostel Bldg.) Manu Subhedar Hall.,165
"6 - S.V.Rd. (W), Jogeshwari (W), Mumbai 102",Mandap –1 Mancherji Nauroji Banaji Industrial Home for the Blind Open space of Garden,165
"7 - Swami Vivekanand Rd (W), Jogeshwari (W), Mumbai 102",Faruq Boys High School GR. Floor R.No.1,165
"8 - Swami Vivekanand Rd (w), Jogeshwari (W), Mumbai 102",Faruq Boys High School GR. Floor R.No.2,165
"9 - Swami Vivekanand Rd (w), Jogeshwari (W), Mumbai 102",Faruq Boys High School GR. Floor R.No.3,165
"10 - Swami Vivekanand Rd (w), Jogeshwari (W), Mumbai 102","Ground floor, Main Building Room towards East, Farukh Girls High school,",165
"11 - Swami Vivekanand Rd (w), Jogeshwari (W), Mumbai 102","Ground floor, Patra Shed Room towards East, Farukh Girls High school",165
"12 - Jai Bhavani Mata Marg (W) Gaonthan, Andheri (W), Amboli. Mumbai 58","Mhatar Pada Municipal Marathi School, GR. Floor, R.No.2",165
"13 - Jai Bhavani Mata Marg (W) Gaonthan, Andheri (W), Amboli. Mumbai 58","Mhatar Pada Municipa. Marathi School, GR. Floor, R.No.3",165
"14 - Jai Bhavani Mata Marg (W) Gaonthan, Andheri (W), Amboli. Mumbai 58","Mhatar Pada Municipal Marathi School, GR. Floor, R.No.4",165
