PS No & Name,Address,Constituency Number
"1 - Saki-Vihar Road, Powai, Mumbai 87",Passpoli Municipal Marathi School Nitie Ground Floor Room No. 1,166
"2 - Saki-Vihar Road, Powai, Mumbai 87",Passpoli Municipal Marathi School Nitie Ground Floor Room No. 2,166
"3 - Saki-Vihar Road, Powai,Near State Bank Of India,Vihar Lake Branch Mumbai 87","Indian Institude of Management (NITIE) Mumbai , Safety and Transport Office , Room No -1",166
"4 - Saki-Vihar Road, Powai,Near State Bank Of India,Vihar Lake Branch Mumbai 87","Indian Institude of Management (NITIE) Mumbai , Safety and Transport Office , Room No -2",166
"5 - Filter pada, Arey Powai, Road, Mumbai 87",Milind Vidyalay Room No. 1,166
"6 - Filter pada, Arey Powai, Road, Mumbai 87","Milind Vidayalay, Room No. 2.",166
"7 - Filter pada, Arey Powai, Road, Mumbai 87","Milind Vidyalay , Room No. 3",166
"8 - Filter pada, Arey Powai, Road, Mumbai 87","Milind Vidyalay, Room No. 4",166
"9 - Filter pada, Arey Powai, Road, Mumbai 87","Milind Vidyalay , Room No. 5",166
"10 - Filter pada, Arey Powai, Road, Mumbai 87","Milind Vidyalay , Room No. 6",166
"11 - Filter pada, Arey Powai, Road, Mumbai 87","Milind Vidyalay , Room No. 7",166
"12 - Aadi Shankaracharya marg, Passpoli, Mumbai 72","Municipal School, Passpoli, Near Ambedkar Udyan, Ground Floor Room No. 1",166
"13 - Filter pada, Arey Powai Road, .Mumbai 87","Milind Vidyalay, Room No. 8",166
"14 - Filter pada, Arey Powai Road, .Mumbai 87","Milind Vidyalay, Room No. 9",166
"15 - Aadi Shankaracharya marg, Passpoli, Mumbai 72","Municipal School, Passpoli, Near Ambedkar Udyan, Ground Floor Room No. 2",166
"16 - Aadi Shankaracharya marg, Passpoli, Mumbai 72","Municipal School, Passpoli, Near Ambedkar Udyan, Ground Floor Room No. 3",166
"17 - Aadi Shankaracharya marg, Passpoli, Mumbai 72","Municipal School, Passpoli, Near Ambedkar Udyan, Ground Floor Room No. 4",166
"18 - Aadi Shankaracharya marg, Passpoli, Mumbai 72","Municipal School, Passpoli, Near Ambedkar Udyan, Ground Floor Room No. 5",166
"19 - Aadi Shankaracharya marg, Passpoli, Mumbai 72","Municipal School, Passpoli, Near Ambedkar Udyan, Ground Floor Room No. 6",166
"20 - M.I.D.C. Central Road, Andheri (East) Mumbai 93","Samruddhi Venture Park ,Parking Stilt A",166
"21 - Mahakali Caves Road, Andheri (East) Mumbai- 93","Shree Satya Sai Vidyamandir , Ground Floor Room NO. 1",166
"22 - Mahakali Caves Road, Andheri (East) Mumbai-93","Shree Satya Sai Vidyamandir, Ground Floor Room NO. 2",166
"23 - Mahakali Caves Road, Andheri (East) Mumbai-93","Shree Satya Sai Vidyamandir, Ground Floor Room NO. 3",166
"24 - Mahakali Caves Road, Andheri (East) Mumbai-93",St. Arnold High School Ground Floor Room No. 1,166
"25 - Mahakali Caves Road, Andheri (East), Mumbai -93","Shree Satya Sai Vidyamandir , Ground Floor Room No 4",166
"26 - Mahakali Caves Road, Andheri (East) Mumbai-93","Shree Satya Sai Vidyamandir , Hall -A",166
"27 - Mahakali Caves Road, Andheri (East) Mumbai-93",St. Arnold High School Ground Floor Room No. 2,166
"28 - Mahakali Caves Road, Andheri (East) Mumbai-93",St. Arnold High School Ground Floor Room No. 3,166
"29 - Mahakali Caves Road, Andheri (East) Mumbai-93","Shree Satya Sai Vidyamandir , Hall -B",166
"30 - Mahakali Caves Road, Andheri (East) Mumbai-93",St. Arnold High School Ground Floor Room No. 4,166
"31 - Mahakali Caves Road, Andheri (East) Mumbai-93",St. Arnold High School Ground Floor Room No. 5,166
"32 - Mahakali Caves Road, Andheri (East) Mumbai-93",St. Arnold High School Ground Floor Hall A,166
"33 - Mahakali Caves Road, Andheri (East) Mumbai-93",St. Arnold High School Ground Floor Hall B,166
"34 - Mahakali Caves Road, MIDC Road no. 11 Andheri (East) Mumbai-93","R.C. Maruti High School , Ground Floor Room No. 1",166
"35 - Mahakali Caves Road, MIDC Road no. 11 Andheri (East) Mumbai-93","R.C. Maruti High School, Ground Floor Room No. 2",166
"36 - Mahakali Caves Road, MIDC Road no. 11 Andheri (East) Mumbai-93","R.C. Maruti High School , Ground Floor Room No. 3",166
"37 - Mahakali Caves Road, MIDC Road no. 11 Andheri (East) Mumbai-93","R.C. Maruti High School , Ground Floor Room No. 4",166
"38 - Mahakali Caves Road, MIDC Road no. 11 Andheri (East) Mumbai-93","R.C. Maruti High School , Ground Floor Room No. 5",166
"39 - Mahakali Caves Road, MIDC Road no. 11 Andheri (East) Mumbai-93","R.C. Maruti High School, Ground Floor Room No. 6",166
"40 - Mahakali Caves Road, MIDC Road no. 11 Andheri (East) Mumbai-93","R.C. Maruti High School , Ground Floor Room No. 7",166
"41 - M.I.D.C. Central Road, Andheri (East) Mumbai-93","Samruddhi Venture Park, Parking Stilt B",166
"42 - M.I.D.C. Central Road, Andheri (East) Mumbai-93","Samruddhi Venture Park , Parking Stilt C",166
"43 - M.I.D.C. Central Road, Andheri (East) Mumbai-93","Samruddhi Venture Park, Parking Stilt D",166
"44 - M.I.D.C. Central Road, Andheri (East) Mumbai-93","Samruddhi Venture Park, Parking Stilt E",166
"45 - Mahakali Caves Road, MIDC Road no. 19, Andheri (East) Mumbai-93",Employees State Insurance Corporation Regional office Building Stilt A,166
"46 - M.I.D.C. Central Road, Andheri (East) Mumbai-93","Samruddhi Venture Park , Parking Stilt F",166
"47 - M.I.D.C. Central Road, Andheri (East) Mumbai-93","Samruddhi Venture Park, Parking Stilt G",166
"48 - M.I.D.C. Central Road, Andheri (East) Mumbai-93","Samruddhi Venture Park , Parking Stilt H",166
"49 - Mahakali Caves Road, MIDC Road no. 19, Andheri (East) Mumbai-93",Employees State Insurance Corporation Regional office Building Stilt B,166
"50 - Mahakali Caves Road, MIDC Road no. 19, Andheri (East) Mumbai-93",Employees State Insurance Corporation Regional office Building Stilt C,166
51 - Marol Maroshi Road(East) Andheri (East) Mumbai-59,"Marol Education Academy High School & Junior College, Ground Floor,Stilt No. 1",166
52 - Marol Maroshi Road(East) Andheri (East) Mumbai-59,"Marol Education Academy High School & Junior College, Ground Floor,Stilt No. 2",166
53 - Marol Maroshi Road(East) Andheri (East) Mumbai-59,"Marol Education Academy High School and Junior College, Ground Floor, Back Shed of School",166
54 - Marol Maroshi Road(East) Andheri (East) Mumbai-59,"Marol Education Academy High School & Junior College, Ground Floor Stilt No. 3",166
55 - Marol Maroshi Road(East) Andheri (East) Mumbai-59,Municipal Police Camp School Marol Room No. 1,166
56 - Marol Maroshi Road(East) Andheri (East) Mumbai-59,Municipal Police Camp School Marol Room No. 2,166
57 - Marol Maroshi Road(East) Andheri (East) Mumbai-59,Municipal Police Camp School Marol Room No. 3,166
58 - Marol Maroshi Road(East) Andheri (East) Mumbai-59,"Marol Education Academy High School & Junior College, Ground Floor, Stilt No. 4",166
59 - Marol Maroshi Road(East) Andheri (East) Mumbai-59,"Marol Education Academy High School & Junior College, Ground Floor, Stilt No. 5",166
60 - Marol Maroshi Road(East) Andheri (East) Mumbai-59,"Marol Education Academy High School & Junior College Ground Floor, Stilt No. 6",166
61 - Marol Gaowthan Andheri (East) Mumbai-59.,St. Lawrence High School Ground Floor Room No. 1,166
62 - Marol Gaowthan Andheri (East) Mumbai-59.,St. Lawrence High School Ground Floor Room No. 2,166
"63 - Marol Military Road,Marol, Andheri (East) Mumbai-59.","Prime Academy (ICSE) School, Ground Floor, Stilt -D",166
"64 - Marol Military Road,Marol, Andheri (East) Mumbai-59.","Prime Academy (ICSE) School, Ground Floor, Stilt -E",166
"65 - Marol Military Road,Marol, Andheri (East) Mumbai-59.","Prime Academy (ICSE) School, Near Entrance Gate Shade Part - 1",166
"66 - Marol Military Road,Andheri (East) Mumbai-59.","Prime Academy (ICSE) School, Near Entrance Gate Shade Part - 2",166
"67 - Marol Military Road,Andheri (East) Mumbai-59.","Prime Academy (ICSE) School, Ground Floor, Room 1,Part 2",166
"68 - Marol Military Road,Andheri (East) Mumbai-59.","Prime Academy (ICSE) School, Ground Floor, Room 1, Part 1",166
"69 - Marol Military Road,Andheri (East) Mumbai-59.","Prime Academy (ICSE) School, Ground Floor,Stilt - A",166
"70 - Marol Military Road,Andheri (East) Mumbai-59.","Prime Academy (ICSE) School, Ground Floor,Stilt - B",166
"71 - Marol Military Road,Andheri (East) Mumbai-59.","Prime Academy (ICSE) School, Ground Floor,Stilt - C",166
72 - Marol Maroshi Road(East) Andheri (East) Mumbai-59,"Marol Education Academy High School & Junior College , Ground Floor, Room No.1",166
73 - Marol Gaowthan Andheri (East) Mumbai-59.,St. Lawrence High School Ground Floor Room No. 3,166
74 - Marol Gaowthan Andheri (East) Mumbai-59.,St. Lawrence High School Ground Floor Room No. 4,166
