PS No & Name,Address,Constituency Number
"1 - Ram Ganesh Gadkari Marg, Irla Road, Vile Parle (W)","Smt. Chandaben M. Patel Homeopathic Medical College, Pendol A",167
"2 - Ram Ganesh Gadkari Marg, Irla Road, Vile Parle (W)","Smt. Chandaben M. Patel Homeopathic Medical College, Pendol B",167
"3 - Ram Ganesh Gadkari Marg, Irla Road, Vile Parle (W)","Smt. Chandaben M. Patel Homeopathic Medical College,Pendol C",167
"4 - Ram Ganesh Gadkari Marg, Irla Road, Vile Parle (W)","Smt. Chandaben M. Patel Homeopathic Medical College, Pendol D",167
"5 - Ram Ganesh Gadkari Marg, Irla Road, Vile Parle (W)","Smt. Chandaben M. Patel Homeopathic Medical College,Ground Floor, Library Partition 1",167
"6 - Ram Ganesh Gadkari Marg, Irla Road, Vile Parle (W)","Smt. Chandaben M. Patel Homeopathic Medical College, Pendol E",167
"7 - Ram Ganesh Gadkari Marg, Irla Road, Vile Parle (W)","Smt. Chandaben M. Patel Homeopathic Medical College, Ground Floor, Library Partition 2",167
"8 - Sambhaji Nagar, Swami Nityanand Marg, Andheri (E)","Sambhaji Nagar Municipal Marathi School, Ground Floor, Room No.1",167
"9 - Sambhaji Nagar, Swami Nityanand Marg, Andheri (E)","Sambhaji Nagar Municipal Marathi School, Ground Floor, Room No.2",167
"10 - Sambhaji Nagar, Swami Nityanand Marg, Andheri (E)","Sambhaji Nagar Municipal Marathi School, Ground Floor, Room No.3",167
"11 - Sambhaji Nagar, Swami Nityanand Marg, Andheri (E)","Sambhaji Nagar Municipal Marathi School, Ground Floor, Room No.4",167
"12 - Sambhaji Nagar, Swami Nityanand Marg, Andheri (E)","Sambhaji Nagar Municipal Marathi School, Ground Floor, Room No.6",167
"13 - Sambhaji Nagar, Swami Nityanand Marg, Andheri (E)","Sambhaji Nagar Municipal Marathi School, Ground Floor, Room No. 5",167
"14 - Sambhaji Nagar, Swami Nityanand Marg, Andheri (E)","Sambhaji Nagar Municipal Marathi School, Ground Floor, Room No. 7",167
"15 - Sir Mathuradas Vasanji Marg South, Near Sangam Cinema, Andheri (E)","Divine Child High School, Ground Floor, Montesary I A",167
"16 - Sir Mathuradas Vasanji Marg South, Near Sangam Cinema, Andheri (E)","Divine Child High School, Ground Floor, Montesary I B",167
"17 - Sir Mathuradas Vasanji Marg South, Near Sangam Cinema, Andheri (E)","Divine Child High School, Ground Floor, Montesary II A",167
"18 - Sir Mathuradas Vasanji Marg South, Near Sangam Cinema, Andheri (E)","Divine Child High School, Ground Floor, Montesary II B",167
"19 - Sir Mathuradas Vasanji Marg South, Near Sangam Cinema, Andheri (E)","Divine Child High School, Ground Floor, Montesary III A",167
"20 - Sir Mathuradas Vasanji Marg South, Near Sangam Cinema, Andheri (E)","Divine Child High School, Ground Floor, Montesary III B",167
"21 - Sir Mathuradas Vasanji Marg-South, Opp. Mukund Hospital, Andheri (E)","Ramleela Ground, Ashok Nagar, Pendal-A",167
"22 - Sir Mathuradas Vasanji Marg-South, Opp. Mukund Hospital, Andheri (E)","Ramleela Ground, Ashok Nagar, Pendal-B",167
"23 - Sir Mathuradas Vasanji Marg-South, Opp. Mukund Hospital, Andheri (E)","Ramleela Ground, Ashok Nagar, Pendal-C",167
"24 - Sir Mathuradas Vasanji Marg-South, Opp. Mukund Hospital, Andheri (E)","Ramleela Ground, Ashok Nagar, Pendal-D",167
"25 - Sir Mathuradas Vasanji Marg-South, Opp. Mukund Hospital, Andheri (E)","Ramleela Ground, Ashok Nagar, Pendal-E",167
"26 - Sir Mathuradas Vasanji Marg-South, Opp. Mukund Hospital, Andheri (E)","Ramleela Ground, Ashok Nagar, Pendal-F",167
"27 - Sir Mathuradas Vasanji Marg-South, Opp. Mukund Hospital, Andheri (E)","Ramleela Ground, Ashok Nagar, Pendal-G",167
"28 - Sir Mathuradas Vasanji Marg-South, Opp. Mukund Hospital, Andheri (E)","Ramleela Ground, Ashok Nagar, Pendal-H",167
