PS No & Name,Address,Constituency Number
"1 - Baji Pasalkar Road (W), Mumbai - 400072","I.E.S. K.G. & Primary School, Marol Baman Daya Pada Military Road, GR. FLOOR, Room No.1",168
"2 - Baji Pasalkar Road (W), Mumbai - 400072","I.E.S. K.G. & Primary School, Marol Baman Daya Pada Military Road, GR. FLOOR, Room No.11",168
"3 - Baji Pasalkar Road (W), Mumbai - 400072","I.E.S. K.G. & Primary School, Marol Baman Daya Pada Military Road, GR. FLOOR, Room No.2",168
"4 - Baji Pasalkar Road (W), Mumbai - 400072","I.E.S. K.G. & Primary School, Marol Baman Daya Pada Military Road, GR. FLOOR, Room No.3",168
"5 - Baji Pasalkar Road (W), Mumbai - 400072","I.E.S. K.G. & Primary School, Marol Baman Daya Pada Military Road, GR. FLOOR, Room No.4",168
"6 - Baji Pasalkar Road (W), Mumbai - 400072","I.E.S. K.G. & Primary School, Marol Baman Daya Pada Military Road, GR. FLOOR, Room No.5",168
"7 - Baji Pasalkar Road (W), Mumbai - 400072","I.E.S. K.G. & Primary School, Marol Baman Daya Pada Military Road, GR. FLOOR, Room No.6",168
"8 - Baji Pasalkar Road (W), Mumbai - 400072","I.E.S. K.G. & Primary School, Marol Baman Daya Pada Military Road, GR. FLOOR, Room No.7",168
"9 - Baji Pasalkar Road (W), Mumbai - 400072","I.E.S. K.G. & Primary School, Marol Baman Daya Pada Military Road, GR. FLOOR, Room No.8",168
"10 - Baji Pasalkar Road (W), Mumbai - 400072","I.E.S. K.G. & Primary School, Marol Baman Daya Pada Military Road, GR. FLOOR, Room No.9",168
"11 - Baji Pasalkar Road (W), Mumbai - 400072","I.E.S. K.G. & Primary School, Marol Baman Daya Pada Military Road, GR. FLOOR, Room No.10",168
"12 - Baji Pasalkar Road (W), Mumbai - 400072","BMC School, New Building, Marol, Baman Daya Pada, Military Road, Ground Floor, Room No. 1",168
"13 - Baji Pasalkar Road (W), Mumbai - 400072","BMC School, New Building, Marol, Baman Daya Pada, Military Road, Ground Floor, Room No. 2",168
"14 - Baji Pasalkar Road (W), Mumbai - 400072","BMC School, New Building, Marol, Baman Daya Pada, Military Road, Ground Floor, Part 1",168
"15 - Baji Pasalkar Road (W), Mumbai - 400072","BMC School, New Building, Marol, Baman Daya Pada, Military Road, Ground Floor, Part 2",168
"16 - Baji Pasalkar Road (W), Mumbai - 400072","BMC School, New Building, Marol, Baman Daya Pada, Military Road, Ground Floor, Part 3",168
"17 - Baji Pasalkar Road (W), Mumbai - 400072","Kala Vidya Mandir High School & Jr. Collage, Baman Daya Pada GR. FLOOR, Room No. 1",168
"18 - Baji Pasalkar Road (W), Mumbai - 400072","Kala Vidya Mandir High School & Jr. Collage, Baman Daya Pada GR. FLOOR, Room No. 2",168
"19 - Baji Pasalkar Road (W), Mumbai - 400072","Kala Vidya Mandir High School & Jr. Collage, Baman Daya Pada GR. FLOOR, Room No. 3",168
"20 - Baji Pasalkar Road (W), Mumbai - 400072","Kala Vidya Mandir High School & Jr. Collage, Baman Daya Pada GR. FLOOR, Room No. 4",168
"21 - Baji Pasalkar Road (W), Mumbai - 400072","Kala Vidya Mandir High School & Jr. Collage, Baman Daya Pada GR. FLOOR, Room No. 5",168
"22 - Baji Pasalkar Road (W), Mumbai - 400072","Kala Vidya Mandir High School & Jr. Collage, Baman Daya Pada GR. FLOOR, Room No. 6",168
"23 - Baji Pasalkar Road (W), Mumbai - 400072","Kala Vidya Mandir High School & Jr. Collage, Baman Daya Pada GR. FLOOR, Room No. 7",168
"24 - Baji Pasalkar Road (W), Mumbai - 400072","Kala Vidya Mandir High School & Jr. Collage, Baman Daya Pada GR. FLOOR, Room No. 8",168
