PS No & Name,Address,Constituency Number
"1 - Vikroli Park site colony. L B S Marg, Vikroli, Mumbai 400079","Mumbai public school Dr. Babasaheb Ambedkar Nagar,M C G M, Primary Mun.Marathi/semi english School No1, Vikroli Park Site Gr. Flr., Room No.5,",169
"2 - Vikroli Park site colony. L B S Marg, Vikroli, Mumbai 400079","mumbai public school Dr. Babasaheb Ambedkar Nagar,M C G M, Primary Mun.Marathi/semi english School No1, Vikroli Park Site Gr. Flr., Room No.2,",169
"3 - Vikroli Park site colony. L B S Marg, Vikroli, Mumbai 400079","Mumbai public school Dr. Babasaheb Ambedkar Nagar,M C G M, Primary Mun.Marathi/semi english School No1,Vikroli Park Site Gr. Flr., Room No.6,",169
"4 - Vikroli Park site colony. L B S Marg, Vikroli, Mumbai 400079","Mumbai public school Dr. Babasaheb Ambedkar Nagar,M C G M, Primary Mun.Marathi/semi english School No1, Vikroli Park Site Gr. Flr., Room No.12,",169
"5 - Vikroli Park site colony. L B S Marg, Vikroli, Mumbai 400079","Mumbai public school Dr. Babasaheb Ambedkar Nagar,M C G M, Primary Mun.Marathi/semi english School No1, Vikroli Park Site Gr. Flr., Room No.7,",169
"6 - Vikroli Park site colony. L B S Marg, Vikroli, Mumbai 400079","Mumbai public school Dr. Babasaheb Ambedkar Nagar,M C G M, Primary Mun.Marathi/semi english School No1, Vikroli Park Site Gr. Flr., Room No.9,",169
"7 - Vikroli Park site colony. L B S Marg, Vikroli, Mumbai 400079","Mumbai public school Dr. Babasaheb Ambedkar Nagar,M C G M, Primary Mun.Marathi/semi english School No1, Vikroli Park Site Gr. Flr., Room No.8,",169
"8 - Vikroli Park site colony. L B S Marg, Vikroli, Mumbai 400079","Mumbai public school Dr. Babasaheb Ambedkar Nagar,M C G M, Primary Mun.Marathi/semi english School No 2, Vikroli Park Site Gr. Flr., Room No.17,",169
"9 - Vikroli Park site colony. L B S Marg, Vikroli, Mumbai 400079","Mumbai public school Dr. Babasaheb Ambedkar Nagar,M C G M, Primary Mun.Marathi/semi english School No 1, Vikroli Park Site Gr. Flr., Room No.३",169
"10 - Vikroli Park site colony. L B S Marg, Vikroli, Mumbai 400079","Vidyadeep Vidyalay & Ju. College Vikhroli Parksite Gr. Flr., Room No. 1",169
