PS No & Name,Address,Constituency Number
1 - Palaskhede Budruk,"Z.P.Primary School, East west New Buildings, Room. No. 3 from East side",16
2 - Palaskhede Khurd,"Z.P.Primary School, East west New Buildings, West side Room No. 1",16
3 - Toli Kd,Z.P.PriSchool East west buld Eastern R. No. 1 Toli Kh.,16
4 - JavkhedeBk,Z.P.PriSchool East west buld Eastern R. No. 1 Javkhede Bk .,16
5 - JavkhedeKd,Z.P.P. School Eastern R. No. 1 Javkhede Kh.,16
6 - PimpalkotheBk,Z. P. School East Door hexagonal privet room Pimpalkothe Kh,16
7 - PimpalkotheKh,West door Anganwadi No. 02 Pimpalkothe BK,16
8 - PimpalkotheBk,"Z.P. Urdu Boys-Girls Sch.North south buld.Northern Room No.1,Pimpalkothe Bk.",16
9 - Pimpri Bk,"Z.P.Prim. School North South Sqare buld Containing 1 Room, Pimpri Bk.",16
10 - Pimpri Pracha,North Door New Anganwadi Bulding Pimpri Pra Cha,16
11 - Savde.P.C,"Z.P.P.S South North .Hexagonal Buld Northen R.No. 1,Savde P.C.",16
12 - Savde.P.C,"Z.Praim.School EastWest Door Toword South Square Buildings R.No. 1,Savde P.C.",16
13 - Takarkhede,"Z.P.P.S South North Buildings .Northern Room No.1, Takarkhede",16
14 - Vaijnath,"Grampanchayat Vaijnath Anganwadi No. 1, East West Buld Containing 1 room",16
15 - Kadholi,Z.P.P. School East - West New Bulding Eastern Room No. 01,16
16 - Kadholi,Z.P.P. School East - West New Bulding Eastern Room No. 03,16
17 - Khedi kd,"Z.P.P. School. East west Buildings Eastern room no.1,Khedi kd",16
18 - Pimaplkhote P.C,Z.P. Pri Marathi School north South buld Northern R. No. 2 Pimpalkothe P.C.,16
19 - Pimaplkhote P.C,Z.P. Pri Urdu School north South buld Northern R. No. 1 Pimpalkothe P.C.,16
20 - Ringangaon,"Z.P.Central School , South -North (westside) Hexagonal Buld Northen R.No. 1,Ringangaon",16
21 - Ringangaon,Z. P. Pri Central School East West buld Eastern R. No. 3 Ringangaon.,16
22 - Ringangaon,Z. P. Pri Central School North South Hexagonal buld Northern R. No. 3 Ringangaon.,16
23 - Chortakki,"Z.P. P. School one Room build., Chortakki",16
24 - Vikharan,Z.P.Higher Pri.School Vikharan New North South buld Southern Room No. 1,16
25 - Vikharan,Z.P. P.School Hexagonal North South build .Northern R. No 1 Vikharan,16
26 - Vikharan,"Z.P. Pri.School, Double floor buld R.No. 9, Vikharan North South Buildings Southern R.No.1",16
27 - Vikharan,"Z.P.p.School Hexagonal buld Northern Room No. 3 , Vikaran",16
28 - Nandgaon Bk,"Z.P.P. S. South North Buld Northern Room no.1,Nandgaon Bk",16
29 - Sangvi,"Z.P.Primary School, East West Buildings Western Room No.1",16
30 - Vitner,"Z.P.Primary School, East West Old Buildings western Room No. 1",16
31 - Vitner,"Z.P.Primary School, North South, New Buildings, Northern Room No. 2",16
32 - Bhalgaon Bk.,"Z.P.P.S East West Build .Western Room No.1,Bhalgaon Bk.",16
33 - Patarkhede,"Z.P.Pri.School Patarkhede East west Buld Eastran R. No5 , Patarkhede",16
34 - Erandol,"RTKV Erandol, East West buld, Nababai jakhotia Hall R No. 36, Erandol",16
35 - Erandol,R.H.Jaju P.School north south build.from south room no.3 (Thakare Hall ),16
36 - Erandol,"RTKV Erandol, East West buld, Totale Hall R.No.35 Erandol",16
37 - Erandol,"RTKV Erandol, East West buld, Door to Western sided (Behind R.No.31) Erandol",16
38 - Erandol,"RTKV Erandol, East West buld, Yemunabai Mahajan Hall R No. 34 Erandol",16
39 - Erandol,"RTKV Erandol, East West buld,Ganpati Kabare Hall R No. 29 Erandol (Sports Room)",16
40 - Erandol,"RTKV Erandol, East West buld, Tapabai Birlla Hall R No. 33, Erandol",16
41 - Erandol,Padmalya Higher Pramory School west fassing north south buld. Sounthern room no. 01,16
42 - Erandol,"RTKVErandol, North South buld Krubhko hall Northen R.No.1 Erandol.",16
43 - Erandol,Padmalya Higher Pramory School east fassing north south buld. Sounthern room no. 01,16
44 - Erandol,Padmalya Higher Pramory School east fassing north south buld. Sounthern room no. 02,16
45 - Erandol,Yashvantrao Chavan shi. Pra.man.Bal Shivaji Pra. Vi. M. ErandolEast west Buildings Western R.No. 1(33)D.D.S.P.Art Commers College Campus Erandol,16
46 - Erandol,Yashvantrao Chavan shi. Pra.man.Bal Shivaji Pra. Vi. M. ErandolEast west Buildings Eastern R.No. 3 (35)D.D.S.P.Art Commers College Campus Erandol,16
47 - Erandol,Yashvantrao Chavan shi. Pra.man.Bal Shivaji Pra. Vi. M. ErandolEast West Buildings Eastern R.No. 2 (34) central partD.D.S.P.Art Commers College Campus Erandol,16
48 - Erandol,"Yashvantrao Chavan shi. Pra.man.Bal Shivaji Pra. Vi. M. ErandolEast West Buildings, Eastesrn R. 4(36) (Western Corner)D.D.S.P.Art Commers College Campus Erandol",16
49 - Erandol,Z.P. High Pri.School No.2 East West New Buld. Eastern R.No 1 Erandol,16
50 - Erandol,Z.P. High Pri.School No.2 East West Buld. Eastern R.No 2 Erandol (Gandhipura),16
51 - Erandol,Z.P. High Pri.School No.2 East West Buld. Eastern R.No 4 Erandol ( Gandhipura),16
52 - Erandol,Z.P. High Pri.School No.2 East West New Buld. Eastern R.No3 Erandol,16
53 - Erandol,Z.P. Central Pri.Urdu Boys School No. 1 North South buld Nothern R.No 1 Erandol,16
54 - Erandol,Z.P. Central Pri.Urdu Boys School No. 1 North South buld Nothern R.No 2 Erandol,16
55 - Erandol,Z.P. Pri.Urdu Girls School North South buld Nothern R.No 2 Erandol,16
56 - Erandol,Z.P. Pri.Urdu Girls School North South buld Nothern R.No 3 Erandol,16
57 - Erandol,Z.P.P.Central School Boys No1 Erandol East West buld Eastran Room No.5 Erandol.,16
58 - Erandol,Z.P.P.Central School Boys No1 Erandol East West buld Eastran Room No.4 Erandol.,16
59 - Erandol,"Z.P. High Pri. Central School Boys No. 1 Erandol, East West buld, Eastern R. No. 6 Erandol",16
60 - Erandol,"Z.P. High Pri. Central School Boys No. 1 Erandol, East West buld,From East R. No. 2 Erandol",16
61 - Erandol,"Z.P. High Pri. Marathi girls school Erandol Sarva Shiksha Abhiyan buld, East West buld , Eastern R. No. 1 Near the Steps., Erandol.",16
62 - Erandol,"Z.P. High Pri. Marathi girls school Erandol, East West buld Eastern R. No. 2 Erandol",16
63 - Erandol,"Z.P. High Pri. Girls S.Erandol North South buld Samuh Sadhan Kendra, Erandol",16
64 - Umarde,Z.P.P. School East west buld Eastern R. No. 2 Umarde,16
65 - KhadkeBk,"Z.P.P.School, East West Buld .Eastern room no. 2, Khadke Bk.",16
66 - KhadkeBk,"Z.P.P.School, Southern side Square Buld Khadke Bk.",16
67 - Kharchi Bu,"Z.P.High P.School, East - West Building Southern Room No. 2",16
68 - Kharchi Kh,"Z.P.P.S.East west hexagonal Buld ,Eestern room no.1,Kharchi Bk",16
69 - Ravanje Bk,"Z.P.Pr.School west side Hexagonal Buildings, Ravanje Bk.",16
70 - RavanjeBk,"Z.P.P.School, East - West Hexagon Buld. Northen Mouth Eastern room no. 3, Ravanje Bk",16
71 - RavanjeKh,"Z.P.P.School, Hexagonal buld containing one room infront of School gate. Ravanje Bk.",16
72 - Dapori,"Z.P.P.School, East West Hexagonal buld, Eastesrn room no.1 Dapori.",16
73 - Verkhedi,"Z.P.P.School East West buld, Eastern R. no. 1,Varkhedi",16
74 - Palasdal,"Z.P. P.Vidya mandir, East West Buld Western room no.1,Palasdal",16
75 - Savkhede Marath,"Z.P.Primary School, Marathkhede North south Buildings, North Room No.1",16
76 - Savkhede Hol,Z P Primary School North South Building Northern Side Room No 2,16
77 - Kanhere,Z P Primary School west side separate hexagonal room,16
78 - Kanhere,Z.P.Primary School North South Old Buildings North RoomNo 2 (Anganwadi),16
79 - Sarve Budruk,Z.P.Kendriya Pri School.East West Buildings East R No.2,16
80 - Bhabhlenag,"Z.P.Higher Prim. School Babhalenag, East West Building Sepret hexagonal Room. 03 Babhalenag.",16
81 - Mhasve,Z P Primary School North South Building Southern side room no 1,16
82 - Mhasve,Z P Primary School separate north facing hexagonal room,16
83 - Parola,"Z.P.Jeevan Shikshan Boys School No.1 South North Buildings R No.1 from South side, Near National Highway No. 6",16
84 - Parola,"Z.P.Jeevan Shikshan Boys School No.1 South North Buildings R No.3 from South side, Near National Highway No. 6, in front of west north south Buildings from south Room no 1",16
85 - Parola,N.E. S. High School East West Buildings West Side Room No.2 Near National Highway No.6,16
86 - Parola,N.E.S. High School East West Buildings West Side Room No.3 Near National Highway No.6,16
87 - Parola,N.E.S. High School East West Buildings West Side Room No.5 Near National Highway No.6,16
88 - Parola,N.E.S. High School East West Buildings West Side Room No.6 Near National Highway No.6,16
89 - Parola,Z.P.Primary School beside Nagar Palika East West Buildings East .RoomNo.1,16
90 - Parola,Z.P.Girls School Near Nagar Palika South North Buildings South Side Room No.2,16
91 - Parola,Rani Lakshmibai College North South Buildings North Side Room No.1,16
92 - Parola,Rani Lakshmibai College North South Buildings North Side Room No.2,16
93 - Parola,Z.P.Girl School Near Nager Palika South North Buildings South Side Room No.4,16
94 - Parola,Bhatevadi Mangal Karyalaya East West one room buliding from east Room No.1 (Dining hall),16
95 - Parola,Bhatevadi Mangal Karyalaya East West one room buliding from West Room No.1,16
96 - Parola,Balaji Vidya Prabodhini Mandal Sanchalit Prathmik Vidyalay North South oid Buildings North Side Room No.1,16
97 - Parola,Balaji Vidya Prabodhini Mandal Sanchalit Prathmik Vidyalay North South old Buildings North Side Room No.3,16
98 - Parola,Balaji Vidya Prabodhini Mandal Sanchalit Prathmik Vidyalay North south old Buildings North Side Room No.5,16
99 - Parola,Z P Prathmik School Kasar Ganpati Temple Near East West Buildings East Side Room No.3,16
100 - Parola,Z P Prathmik School Kasar Ganpati Temple Near East West Buildings East Side Room No.2,16
