PS No & Name,Address,Constituency Number
"1 - Godrej Colony, Vikhroli (E), Mumbai-79","Pendol No 1 in open ground infront of Bldg. No. S2, Pirozshah Nagar, Vikhroli (E)",170
"2 - Godrej Colony, Vikhroli (E), Mumbai-79","Pendol No 2 in open ground infront of Bldg. No. S2, Pirozshah Nagar, Vikhroli (E)",170
"3 - Godrej Colony, Vikhroli (E), Mumbai-79","Bldg. No. S1, Pirozshah Nagar, Godrej Colony Creek side, Vikroli [E.], Gr.fl., Senior Citizen Education Room [North side]",170
"4 - Godrej Colony, Vikhroli (E), Mumbai-79","Bldg. No. S2, Pirozshah Nagar, Veranda Infront of Godrej Boy's & Employees co.op. consumer Soc.Ltd. Vikhroli (E) Creek Side Bldg. (South Side) S-1 Gr Fl Partition - 1",170
"5 - Godrej Colony, Vikhroli (E), Mumbai-79","Udayachal Prim. School, Gr.Fl. R.No.3",170
"6 - Kannamwar Nagar, Vikhroli (E), Mumbai -79","Bldg. No. S2, Pirozshah Nagar, Veranda Infront of Godrej Boy's & Employees co.op. consumer Soc.Ltd. Vikhroli (E) Creek Side Bldg. (North Side) Gr Fl, Partition - II",170
"7 - Godrej Colony, Vikhroli (E), Mumbai-79","Udayachal Prim. School, Gr.Fl. R.No.1",170
"8 - Godrej Colony, Vikhroli (E), Mumbai-79","Udayachal Prim. School, Gr.Fl. R.No.2",170
"9 - Godrej Colony, Vikhroli (E), Mumbai-79","Udayachal High. School, Gr.Fl. R.No.1",170
"10 - Godrej Colony, Vikhroli (E), Mumbai-79","Udayachal High. School, Gr.Fl. R.No.2",170
"11 - Godrej Colony, Vikhroli (E), Mumbai-79","Udayachal High. School, Gr.Fl. R.No.3",170
"12 - Godrej Colony, Vikhroli (E), Mumbai-79","Udayachal High. School, Gr.Fl. R.No.4",170
"13 - Vikhroli Station Road, Vikhroli [West], Mumbai - 79","Sent Joseph School, Hall.",170
"14 - L.B.S.Road East, Ghatkopar (West) Mumbai-86","Presidential Tower Bldg. B Parking, Opp. Anacin Company - Pendol No 1",170
"15 - L.B.S.Road East, Ghatkopar (West) Mumbai-86","Presidential Tower Bldg. B Parking, Opp. Anacin Company - Pendol No 2",170
"16 - L.B.S.Road East, Ghatkopar (West) Mumbai-86","Presidential Tower Bldg. B Parking, Opp. Anacin Company - Pendol No 3",170
