PS No & Name,Address,Constituency Number
"1 - Govandi, Shivaji Nagar No. 1, Mumbai-43",Jafri English School Gajanan Colony Ground Floor Room No.1,171
"2 - Govandi, Shivaji Nagar No. 1, Mumbai-43",Jafri English School Gajanan Colony Ground Floor Room No 2,171
"3 - Govandi, Shivaji Nagar No. 1, Mumbai-43",Jafri English School Gajanan Colony Ground Floor Room No 3,171
"4 - Govandi, Shivaji Nagar No. 1, Mumbai-43",Jafri English School Gajanan Colony Ground Floor Room No.4,171
"5 - Govandi, Shivaji Nagar No. 1, Mumbai-43",Jafri English School Gajanan Colony Ground Floor Room No.5,171
"6 - Govandi, Shivaji Nagar No. 1, Mumbai-43","Jafri English School, Gajanan Colony, Ground Floor Room No.6",171
"7 - Govandi, Shivaji Nagar No. 1, Mumbai-43",Rafi Nagar Urdu School No.1 Ground Floor Room No.1,171
"8 - Govandi, Shivaji Nagar No. 1, Mumbai-43",Rafi Nagar Urdu School No 1 Ground Floor Room No. 2,171
"9 - Govandi, Shivaji Nagar No. 1, Mumbai-43",Rafi Nagar Urdu School No 1 Ground Floor Room No. 3,171
"10 - Govandi, Shivaji Nagar No. 1, Mumbai-43",Rafi Nagar Urdu School No 1 Ground Floor Room No. 7,171
"11 - Govandi, Shivaji Nagar No. 1, Mumbai-43",Rafi Nagar Urdu School No 1 Ground Floor Room No. 4,171
"12 - Govandi, Shivaji Nagar No. 1, Mumbai-43",Rafi Nagar Urdu School No 1 Ground Floor Room No 5,171
"13 - Govandi, Shivaji Nagar No. 1, Mumbai-43",Rafi Nagar Urdu School No 1 Ground Floor Room No. 6,171
"14 - Govandi, Shivaji Nagar No. 1, Mumbai-43",Rafi Nagar Urdu School No 1 Ground Floor Room No. 9,171
"15 - Govandi, Shivaji Nagar No. 1, Mumbai-43",Rafi Nagar Urdu School No 1 Ground Floor Room No. 8,171
"16 - Govandi, Shivaji Nagar No. 1, Mumbai-43",Rafi Nagar Urdu School No. 2 Ground Floor Room No. 1,171
"17 - Govandi, Shivaji Nagar No. 1, Mumbai-43",Rafi Nagar Hindi Mun. School No.1 Ground Floor Room No. 1,171
"18 - Govandi, Shivaji Nagar No. 1, Mumbai-43",Rafi Nagar Hindi Mun. School No.1 Ground Floor Room No. 2,171
"19 - Govandi, Shivaji Nagar No. 1, Mum 43",Rafi Nagar Hindi Mun. School No.1 Ground Floor Room No. 3,171
"20 - Govandi, Shivaji Nagar No. 1, Mumbai-43",Rafi Nagar Hindi Mun. School No.1 Ground Floor Room No. 5,171
"21 - Govandi, Shivaji Nagar No. 1, Mumbai-43",Rafi Nagar Hindi Mun. School No.1 Ground Floor Room No. 6,171
"22 - Govandi, Shivaji Nagar No. 1, Mumbai-43",Nurul Islam Urdu High School Jun.College Ground Floor Room No. 1,171
"23 - Govandi, Shivaji Nagar No. 1, Mumbai-43",Nurul Islam Urdu High School Jun.College Ground Floor Room No. 2,171
"24 - Govandi, Shivaji Nagar No. 1, Mumbai-43",Nurul Islam Urdu High School Jun.College Ground Floor Room No. 3,171
"25 - Govandi, Shivaji Nagar No. 2, Mumbai-43",Shivajinagar Municipal Urdu School No. 3 Ground Floor Room No. 1 (Chikhalwadi),171
"26 - Govandi, Shivaji Nagar No. 2, Mumbai-43",Shivajinagar Municipal Urdu School No. 3 Ground Floor Room No. 2 (Chikhalwadi),171
"27 - Govandi, Shivaji Nagar No. 2, Mumbai-43",Shivajinagar Municipal Urdu School No. 3 Ground Floor Room No. 4 (Chikhalwadi),171
"28 - Govandi, Shivaji Nagar No. 2, Mumbai-43",Shivajinagar Municipal Urdu School No. 3 Ground Floor Room No. 6 (Chikhalwadi),171
"29 - Govandi, Shivaji Nagar No. 2, Mumbai-43",Shivajinagar Municipal Urdu School No. 3 Ground Floor Room No. 7 (Chikhalwadi),171
"30 - Govandi, Shivaji Nagar No. 2, Mumbai-43",Shivajinagar Municipal Urdu School No. 3 Ground Floor Room No. 8 (Chikhalwadi),171
"31 - Govandi, Shivaji Nagar No. 2, Mumbai-43",Shivajinagar Municipal Urdu School No. 3 Ground Floor Room No. 9 (Chikhalwadi),171
"32 - Govandi, Shivaji Nagar No. 2, Mumbai-43",Shivajinagar Municipal Urdu School No. 3 Ground Floor Room No. 8 (Chikhalwadi),171
"33 - Govandi, Shivaji Nagar No. 2, Mumbai-43",Shivajinagar Municipal Urdu School No. 3 Ground Floor Room No. 11 (Chikhalwadi),171
"34 - Govandi, Shivaji Nagar No. 2, Mumbai-43",Shivajinagar Municipal Urdu School No. 3 Ground Floor Room No. 12 (Chikhalwadi),171
"35 - Govandi, Shivaji Nagar No. 2, Mumbai-43",Shivajinagar Municipal Urdu School No. 3 Ground Floor Room No. 13 (open space) (Chikhalwadi),171
"36 - Govandi, Shivaji Nagar No. 2, Mumbai-43","Shivajinagar Municipal Marathi School No-3, Ground Floor Inside Lobby Partition Room No.12 (Chikhalwadi)",171
"37 - Govandi, Shivaji Nagar No. 2, Mumbai-43","Shivajinagar Municipal Marathi School No-3, Ground Floor Inside Lobby Partition Room No.13 (Chikhalwadi)",171
"38 - Govandi, Shivaji Nagar No. 2, Mumbai-43","Shivajinagar Municipal Marathi School No-3, Ground Floor Inside Lobby Partition Room No.14 (Chikhalwadi)",171
"39 - Govandi, Shivaji Nagar No. 2, Mumbai-43","Shivajinagar Municipal Marathi School No-3, Ground Floor Inside Lobby Partition Room No.15 (Chikhalwadi)",171
"40 - Govandi, Shivaji Nagar No. 2, Mumbai-43",Sanjaynagar Upper Primary Urdu School Ground Floor Parking Partition Room No-1,171
"41 - Govandi, Shivaji Nagar No. 2, Mumbai-43",Sanjaynagar Upper Primary Urdu School Ground Floor Parking Partition Room No-2,171
"42 - Govandi, Shivaji Nagar No. 2, Mumbai-43",Sanjaynagar Upper Primary Urdu School Ground Floor Room No. 1 (Classroom),171
"43 - Govandi, Shivaji Nagar No. 2, Mumbai-43",Sanjaynagar Upper Primary Urdu School Ground Floor Lobby Partition Room No-1,171
"44 - Govandi, Shivaji Nagar No. 2, Mumbai-43",Sanjaynagar Upper Primary Urdu School Ground Floor Lobby Partition Room No-2,171
"45 - Govandi, Shivaji Nagar No. 2, Mumbai-43","Sanjaynagar Upper Primary Urdu School, Hall Partition Room No-1",171
"46 - Govandi, Shivaji Nagar No. 2, Mumbai-43","Sanjaynagar Upper Primary Urdu School, Hall Partition Room No-2",171
"47 - Govandi, Shivaji Nagar No. 2, Mumbai-43","Sanjaynagar Upper Primary Urdu School, Hall Partition Room No-3",171
"48 - Govandi, Shivaji Nagar No. 2, Mumbai-43","Sanjaynagar Upper Primary Urdu School, Hall Partition Room No-4",171
"49 - Govandi, Shivaji Nagar No. 2, Mumbai-43","Sanjaynagar Upper Primary Urdu School, Hall Partition Room No-5",171
"50 - Govandi, Shivaji Nagar No. 2, Mumbai-43","Sanjaynagar Upper Primary Urdu School, Hall Partition Room No-6",171
"51 - Govandi, Shivaji Nagar No. 2, Mumbai-43","Sanjaynagar Upper Primary Urdu School, Outside Tent (Partition) Room No-1",171
"52 - Govandi, Shivaji Nagar No. 2, Mumbai-43","Sanjaynagar Upper Primary Urdu School, Outside Tent (Partition) Room No-2",171
"53 - Govandi, Shivaji Nagar No. 2, Mumbai-43","Sanjaynagar Upper Primary Urdu School, Outside Tent (Partition) Room No-3",171
"54 - Govandi, Shivaji Nagar No. 2, Mumbai-43","Shivajinagar Municipal Marathi School No-3, Ground Floor Inside Lobby Partition Room No.16 (Chikhalwadi)",171
"55 - Govandi, Shivaji Nagar No. 2, Mumbai-43","Shivajinagar Municipal Marathi School No-3, Ground Floor Inside Lobby Partition Room No.17 (Chikhalwadi)",171
"56 - Govandi, Shivaji Nagar No. 2, Mumbai-43","Shivajinagar Municipal Marathi School No-3, Ground Floor Inside Lobby Partition Room No.18 (Chikhalwadi)",171
"57 - Govandi, Shivaji Nagar No. 2, Mumbai-43","Shivajinagar Municipal Marathi School No-3, Ground Floor Inside Lobby Partition Room No.19 (Chikhalwadi)",171
"58 - Govandi, Shivaji Nagar No. 2, Mumbai-43","Shivajinagar Municipal Marathi School No-3, Ground Floor (Steelt Parking Partition) Room No. 20 (Chikhalwadi)",171
"59 - Govandi, Shivaji Nagar No. 2, Mumbai-43","Shivajinagar Municipal Marathi School No-3, Ground Floor (Steelt Parking Partition) Room No. 21 (Chikhalwadi)",171
"60 - Govandi, Shivaji Nagar No. 2, Mumbai-43","Shivajinagar Municipal Marathi School No-3, Ground Floor (Steelt Parking Partition) Room No. 22 (Chikhalwadi)",171
"61 - Govandi, Shivaji Nagar No. 2, Mumbai-43","Shivajinagar Municipal Marathi School No-3, Ground Floor (Steelt Parking Partition) Room No. 23 (Chikhalwadi)",171
"62 - Govandi, Shivaji Nagar No. 2, Mumbai-43","Shivajinagar Municipal Marathi School No-3, Ground Floor (Steelt Parking Partition) Room No. 24 (Chikhalwadi)",171
"63 - Govandi, Shivaji Nagar No. 2, Mumbai-43","Shivajinagar Municipal Marathi School No-3, Ground Floor (Steelt Parking Partition) Room No. 25 (Chikhalwadi)",171
"64 - Govandi, Shivaji Nagar No. 2, Mumbai-43","Shivajinagar Municipal Marathi School No-3, Ground Floor (Steelt Parking Partition) Room No. 26 (Chikhalwadi)",171
"65 - Govandi, Shivaji Nagar No. 2, Mumbai-43","Shivajinagar Municipal Marathi School No-3, Ground Floor (Steelt Parking Partition) Room No. 27 (Chikhalwadi)",171
"66 - Govandi, Shivaji Nagar No. 2, Mumbai-43","Shivajinagar Municipal Marathi School No-3, Ground Floor (Left side Tent) Room No. 28 (Chikhalwadi)",171
"67 - Govandi, Shivaji Nagar No. 2, Mumbai-43","Shivajinagar Municipal Marathi School No-3, Ground Floor (Left side Tent) Room No. 29 (Chikhalwadi)",171
"68 - Govandi, Shivaji Nagar No. 2, Mumbai-43","Shivajinagar Municipal Marathi School No-3, Ground Floor (Left side Tent) Room No. 30 (Chikhalwadi)",171
"69 - Govandi, Shivaji Nagar No. 2, Mumbai-43","Shivajinagar Municipal Marathi School No-3, Ground Floor (Left side Tent) Room No. 31 (Chikhalwadi)",171
"70 - Govandi, Shivaji Nagar No. 2, Mumbai-43","Shivajinagar Municipal Marathi School No-3, Ground Floor (Left side Tent) Room No. 32 (Chikhalwadi)",171
"71 - Govandi, Shivaji Nagar No. 2, Mumbai-43","Shivajinagar Municipal Marathi School No-3, Ground Floor (Right side Tent) Room No. 33 (Chikhalwadi)",171
"72 - Govandi, Shivaji Nagar No. 2, Mumbai-43","Shivajinagar Municipal Marathi School No-3, Ground Floor (Right side Tent) Room No. 34 (Chikhalwadi)",171
"73 - Govandi, Shivaji Nagar No. 2, Mumbai-43","Shivajinagar Municipal Marathi School No-3, Ground Floor (Right side Tent) Room No. 35 (Chikhalwadi)",171
"74 - Govandi, Shivaji Nagar No. 2, Mumbai-43","Shivajinagar Municipal Marathi School No-3, Ground Floor (Right side Tent) Room No. 36 (Chikhalwadi)",171
"75 - Govandi, Shivaji Nagar No. 2, Mumbai-43","Shivajinagar Municipal Marathi School No-3, Ground Floor (Right side Tent) Room No. 37 (Chikhalwadi)",171
"76 - Govandi, Shivaji Nagar No. 1, Mumbai-43",Shri Geeta Vidyalaya Ground Floor Room No.3,171
"77 - Govandi, Shivaji Nagar No. 1, Mumbai-43",Shri Geeta Vidyalaya Ground Floor Room No.4,171
"78 - Govandi, Shivaji Nagar No. 1, Mumbai-43",Shri Geeta Vidyalaya Ground Floor Room No.5,171
"79 - Govandi, Shivaji Nagar No. 1, Mumbai-43",Shri Geeta Vidyalaya Ground Floor Room No.6,171
"80 - Govandi, Shivaji Nagar No. 1, Mumbai-43",Shri Geeta Vidyalaya Ground Floor Room No.8,171
"81 - Govandi, Shivaji Nagar No. 1, Mumbai-43",Shri Geeta Vidyalaya Ground Floor Room No.9,171
"82 - Govandi, Shivaji Nagar No. 1, Mumbai-43",Shri Geeta Vidyalaya Ground Floor Room No.10,171
"83 - Govandi, Shivaji Nagar No. 1, Mumbai-43",Shri Geeta Vidyalaya Ground Floor Room No.11,171
"84 - Govandi, Shivaji Nagar No. 1, Lotus Colony, Mumbai-43",Shivajinagar Upper Primary Urdu School No.5 Ground Floor Room No.4,171
"85 - Govandi, Shivaji Nagar No. 1, Lotus Colony, Mumbai-43",Shivajinagar Upper Primary Urdu School No. 5 Ground Floor Room No.1,171
"86 - Govandi, Shivaji Nagar No. 1, Lotus Colony, Mumbai-43",Shivajinagar Upper Primary Urdu School No. 5 Ground Floor Room No.2,171
"87 - Govandi, Shivaji Nagar No. 1, Lotus Colony, Mumbai-43",Shivajinagar Upper Primary Urdu School No. 5 Ground Floor Room No.3,171
"88 - Govandi, Shivaji Nagar No. 1, Lotus Colony, Mumbai-43","BMC Comunity Hall Partition no-1, Near Shivaji Nagar Upper Prim. Mun. Urdu School No.5",171
"89 - Govandi, Shivaji Nagar No. 1, Lotus Colony, Mumbai-43","BMC Comunity Hall Partition no-2, Near Shivaji Nagar Upper Prim. Mun. Urdu School No.5",171
"90 - Govandi Shivaji Nagar No. 1, Mumbai-43","BMC Comunity Hall Partition no-3, Near Shivaji Nagar Upper Prim. Mun. Urdu School No.5",171
"91 - Govandi Shivaji Nagar No. 1, Mumbai-43","Mumbai Public School, Shivaji Nagar School Complex No.1, Ground Floor Room No-5",171
"92 - Govandi Shivaji Nagar No. 1, Mumbai-43","Mumbai Public School, Shivaji Nagar School Complex No.1, Ground Floor Room No-6",171
"93 - Govandi Shivaji Nagar No. 1, Mumbai-43","Mumbai Public School, Shivaji Nagar School Complex No.1, Ground Floor Room No-7",171
"94 - Govandi Shivaji Nagar No. 1, Mumbai-43","Mumbai Public School, Shivaji Nagar School Complex No.1, Ground Floor Room No-13",171
"95 - Govandi Shivaji Nagar No. 1, Mumbai-43","Mumbai Public School, Shivaji Nagar School Complex No.1, Ground Floor Room No-9",171
"96 - Govandi Shivaji Nagar No. 1, Mumbai-43","Mumbai Public School, Shivaji Nagar School Complex No.1, Ground Floor Room No-10",171
"97 - Govandi Shivaji Nagar No. 1, Mumbai-43","Mumbai Public School, Shivaji Nagar School Complex No.1, Ground Floor Room No-12",171
"98 - Govandi Shivaji Nagar No. 1, Mumbai-43","Mumbai Public School, Shivaji Nagar School Complex No.1, Ground Floor, Room No.1",171
"99 - Govandi Shivaji Nagar No. 1, Mumbai-43","Mumbai Public School, Shivaji Nagar School Complex No.1, Ground Floor, Room No.2",171
"100 - Govandi Shivaji Nagar No. 1, Mumbai-43","Mumbai Public School, Shivaji Nagar School Complex No.1, Ground Floor, Room No.3",171
"101 - Govandi Shivaji Nagar No. 1, Mumbai-43","Mumbai Public School, Shivaji Nagar School Complex No.1, Ground Floor, Room No.4",171
"102 - Govandi Shivaji Nagar No. 1, Mumbai-43","Mumbai Public School, Shivaji Nagar School Complex No.1, Ground Floor Room No-8",171
"103 - Govandi Shivaji Nagar No. 1, Mumbai-43","Mumbai Public School, Near Shivaji Nagar School Complex No.1, Community Hall (Houston Testing And Skill Upgrading Academy) Right Side",171
"104 - Govandi Shivaji Nagar No. 1, Mumbai-43","Mumbai Public School, Near Shivaji Nagar School Complex No.1, Community Hall (Houston Testing And Skill Upgrading Academy) Left Side",171
"105 - Govandi Shivaji Nagar No. 1, Mumbai-43","Mumbai Public School, Near Shivaji Nagar School Complex No. 1, Community Hall (Library And Study Centre) Partition Room No-1",171
"106 - Govandi Shivaji Nagar No. 1, Mumbai-43","Mumbai Public School, Near Shivaji Nagar School Complex No. 1, Community Hall (Library And Study Centre) Partition Room No-2",171
"107 - Govandi Shivaji Nagar No. 1, Mumbai-43","Mumbai Public School, Near Shivaji Nagar School Complex No. 1, Community Hall (Library And Study Centre) Partition Room No-3",171
"108 - Govandi Shivaji Nagar No. 1, Mumbai-43","Mumbai Public School, Shivaji Nagar School Complex No.1, Ground Floor Room No-11",171
"109 - Govandi Shivaji Nagar No. 1, Mumbai-43",Bmc Colony Officer Office Room No. 1,171
"110 - Govandi Shivaji Nagar No. 1, Mumbai-43","Mumbai Public School, Near Shivaji Nagar School Complex No. 1, Community Hall (Library And Study Centre) Partition Room No-4",171
"111 - Govandi Shivaji Nagar No. 1, Mumi-43",Bmc Colony Officer Office Ground Floor Room No. 2,171
"112 - Govandi Shivaji Nagar No. 1, Mumi-43",Bmc Shivajinagar Parirakshan Chowki Ground Floor Room No. 3,171
"113 - Govandi Shivaji Nagar No. 1, Mumi-43","171 Mankhurd Shivajinagar Old C.P.S., Bldg No. 14A Nutwar Parekh Compound Ground Floor Room No. 1",171
"114 - Govandi Shivaji Nagar No. 1, Mumi-43","171- Mankhurd Shivajianagr Old C.P.S , Bldg No. 14a, Natwar Parekh Compound Tent no. 4 in open space",171
"115 - Govandi Shivaji Nagar No. 1, Mumi-43","171- Mankhurd Shivajianagr Old C.P.S , Bldg No. 14a, Natwar Parekh Compound Tent no. 1 in open space",171
"116 - Govandi Shivaji Nagar No. 1, Mumi-43","171- Mankhurd Shivajianagr Old C.P.S , Bldg No. 14a, Natwar Parekh Compound Tent no. 2 in open space",171
"117 - Govandi Shivaji Nagar No. 1, Mumi-43","171- Mankhurd Shivajianagr Old C.P.S , Bldg No. 14a, Natwar Parekh Compound Tent no. 3 in open space",171
"118 - Govandi Shivaji Nagar No. 1, Mumi-43",Bmc Force Training Center Room No. 4,171
"119 - Govandi Shivaji Nagar No. 1, Mumbai-43",Dnyansampada High School Ground Floor Room No. 1,171
"120 - Govandi Shivaji Nagar No. 1, Mumbai-43",Dnyansampada High School Ground Floor Room No. 2,171
"121 - Govandi Shivaji Nagar No. 1, Mumbai-43",Dnyansampada High School Ground Floor Room No. 3,171
"122 - Govandi Shivaji Nagar No. 1, Mumbai-43",Dnyansampada High School Ground Floor Room No. 4,171
"123 - Govandi Shivaji Nagar No. 1, Mumbai-43",Dnyansampada High School Ground Floor Room No. 5,171
"124 - Govandi Shivaji Nagar No. 1, Mumbai-43",Dnyansampada High School Ground Floor Room No. 6,171
"125 - Govandi Shivaji Nagar No. 1, Mumbai-43",Dnyansampada High School Ground Floor Room No. 7,171
"126 - Govandi Shivaji Nagar No. 1, Mumbai-43","Dr. Babasaheb Ambedkar Playground, Shivajinagar, Tent Partition Room No. 1",171
"127 - Govandi Shivaji Nagar No. 1, Mumbai-43","Dr. Babasaheb Ambedkar Playground, Shivajinagar, Tent Partition Room No. 2",171
"128 - Govandi Shivaji Nagar No. 1, Mumbai-43","Dr. Babasaheb Ambedkar Playground, Shivajinagar, Tent Partition Room No. 3",171
"129 - Govandi Shivaji Nagar No. 1, Mumbai-43","Dr. Babasaheb Ambedkar Playground, Shivajinagar, Tent Partition Room No. 4",171
"130 - Govandi Shivaji Nagar No. 1, Mumbai-43","Dr. Babasaheb Ambedkar Playground, Shivajinagar, Tent Partition Room No. 5",171
"131 - Govandi Shivaji Nagar No. 1, Mumbai-43","Dr. Babasaheb Ambedkar Playground, Shivajinagar, Tent Partition Room No. 6",171
