PS No & Name,Address,Constituency Number
1 - Deonar Pashuvadh Gruha Mumbai-43,"Prashasakiya Karyalaya, Deonar Abattoir, Parking Partition - 1, Ground Floor, Deonar, Govandi, Mumbai-400043",172
2 - Deonar Pashuvadh Gruha Mumbai-43,"Prashasakiya Karyalaya, Deonar Abattoir, Parking Partition - 2, Ground Floor, Deonar, Govandi, Mumbai-400043",172
3 - Deonar Pashuvadh Gruha Mumbai-43,"Prashasakiya Karyalaya, Deonar Abattoir, Parking Partition - 3, Ground Floor, Deonar, Govandi, Mumbai-400043",172
4 - Deonar Pashuvadh Gruha Mumbai-43,"Prashasakiya Karyalaya, Deonar Abattoir, Ground Floor Hall Deonar, Govandi, Mumbai - 400043",172
5 - Deonar Pashuvadh Gruha Mumbai-43,"Prashasakiya Karyalaya, Deonar Abattoir , Ground Floor, labrotory-1 Deonar Govandi Mumbai-400043",172
6 - Deonar Pashuvadh Gruha Mumbai-43,"Prashasakiya Karyalaya, Deonar Abattoir, Ground Floor, labrotory-2, Deonar Govandi Mumbai-400043",172
"7 - Deonar, Municipal Colony,Mumbai - 400043","Mumbai Public School( Deonar Municipal colony School )Deonar Colony Complex No.1 Ground Floor, Room No.1 Tata Nagar Govandi Mumbai - 400043",172
"8 - Deonar, Municipal Colony, Mumbai - 400043","Tata Institute of Social Science, Libreray, Opp. Deonar Mun. School 1, Ground Floor, Room No 1 Deonar tata nagar Govandi Mumbai-400043",172
"9 - Deonar, Municipal Colony,Mumbai - 400043","Tata Institute of Social Science, Libreray, Opp. Deonar Mun. School 1, Ground Floor, Room No 2 Deonar tata nagar, Govandi, Mumbai-400043",172
"10 - Deonar, Municipal Colony, Mumbai - 400043","Tata Institute of Social Science, Libreray, Opp. Deonar Mun. School 1, Ground Floor, Room No 3 Deonar tata nagar,Govandi ,Mumbai-400043",172
"11 - Deonar, Municipal Colony,Mumbai - 400043","Kumud Vidyamandir English School (E), Gr.Fl, Room No.1 Sambhaji nagar, Deonar ,Govandi Mumbai 400043",172
"12 - Deonar, Municipal Colony, Mumbai - 400043","Kumud Vidyamandir English School (E), Gr.Fl, Room No. 2, Sambhaji nagar, Deonar ,Govandi Mumbai 400043",172
"13 - Deonar, Municipal Colony, Mumbai - 400043","Kumud Vidyamandir English School (E), Gr.Fl, Room No. 3, Sambhaji nagar, Deonar ,Govandi Mumbai 400043",172
"14 - Deonar, Municipal Colony, Mumbai - 400043","Mumbai Public School (Deonar Municipal colony School) Deonar Colony Complex No.1 Ground Floor, Room No.2 Tata Nagar Govandi Mumbai - 400043",172
"15 - Deonar, Municipal Colony, Mumbai - 400043","Mumbai Public School (Deonar Municipal colony School) Deonar Colony Complex No.1 Ground Floor, Room No.3 Tata Nagar Govandi Mumbai - 400043",172
"16 - Deonar, Municipal Colony, Mumbai - 400043","Mumbai Public School (Deonar Municipal colony School) Deonar Colony Complex No.1 Ground Floor, Room No.4 Tata Nagar Govandi Mumbai - 400043",172
"17 - Deonar, Municipal Colony, Mumbai - 400043","Mumbai Public School (Deonar Municipal colony School)Deonar Colony Complex No.1 Ground Floor, Room No.5 Tata Nagar, Govandi Mumbai - 400043",172
"18 - Deonar, Municipal Colony, Mumbai - 400043","Mumbai Public School (Deonar Municipal colony School) Deonar Colony Complex No.1 Ground Floor, Room No.6 Tata Nagar ,Govandi, Mumbai - 400043",172
"19 - Deonar, Municipal Colony,Mumbai - 400043","Mumbai Public School (Deonar Municipal colony School) Deonar Colony Complex No.1 Ground Floor, Room No.7 Tata Nagar ,Govandi, Mumbai - 400043",172
"20 - Deonar, Municipal Colony, Mumbai - 400043","Mumbai Public School (Deonar Municipal colony School) Deonar Colony Complex No.1 Ground Floor, Room No.8 Tata Nagar Govandi Mumbai - 400043",172
"21 - Deonar, Municipal Colony, Mumbai - 400043","Awami Girls English School, Deonar Municipal colony Room No. 1, Ground Floor, Govandi, Mumbai - 400043.",172
"22 - Deonar, Municipal Colony, Mumbai - 400043","Awami Girls English School, Deonar Municipal colony Room No. 2, Ground Floor,Govandi, Mumbai - 400043.",172
"23 - Deonar, Municipal Colony, Mumbai - 400043","Awami Girls English School, Deonar Municipal colony Room No. 3, Ground Floor,Govandi, Mumbai - 400043.",172
24 - Turbhe Mandala Mumbai - 400088,"Shivshai Punarvasan Prakalp Ltd. Bldg.No.A-1 Ground Floor, Balwadi Maharashtra Nagar Mankhurd ,Mumbai -400088",172
25 - Turbhe Mandala Mumbai - 400088,"Shivshai Punarvasan Prakalp Ltd. Bldg.No.A-1 Ground Floor, Office Maharashtra Nagar ,Mankhurd ,Mumbai -400088",172
26 - Turbhe Mandala Mumbai-400088,"Shivshai Punarvasan Prakalp Ltd., Building.No.A-2 Ground Floor Balwadi Maharashtra Nagar ,Mankhurd ,Mumbai -400088",172
27 - Turbhe Mandala Mumbai-400088,"Shivshai Punarvasan Prakalp Ltd., Building No. A-2, Office Ground Floor, Maharashtra Nagar Mankhurd ,Mumbai -400088",172
28 - Turbhe Mandala Mumbai-400088,"Shivshai Punarvasan Prakalp Ltd., Building No. A-12, Ground Floor, Balwadi Maharashtra Nagar ,Mankhurd ,Mumbai -400088",172
29 - Turbhe Mandala Mumbai-400088,"Shivshai Punarvasan Prakalp Ltd., Building No. A-11, Ground Floor, Office Maharashtra Nagar Mankhurd ,Mumbai -400088",172
30 - Turbhe Mandala Mumbai-400088,"Shivshai Punarvasan Prakalp Ltd., Building No. A-11, Ground Floor, Balwadi Maharashtra Nagar,Mankhurd ,Mumbai -400088",172
31 - Turbhe Mandala Mumbai-400088,"Shivshai Punarvasan Prakalp Ltd., Building No. A-12, Ground Floor, Office Maharashtra Nagar ,Mankhurd Mumbai 400088",172
32 - Turbhe Mandala Mumbai-400088,"Shivshai Punarvasan Prakalp Ltd., Building No. A-13 Ground Floor , Office/Welfare Center Maharashtra Nagar Mankhurd ,Mumbai -400088",172
33 - Turbhe Mandala Mumbai-400088,"Shivshai Punarvasan Prakalp Ltd., Building No.A-14, Ground Floor, Balwadi Maharashtra Naga Mankhurd ,Mumbai -400088",172
34 - Turbhe Mandala Mumbai-400088,"Shivshai Punarvasan Prakalp Ltd., Building No.A-14, Ground Floor, Office/Welfare Center Maharashtra Nagar, Mankhurd Mumbai -400088",172
35 - Turbhe Mandala Mumbai-400088,"Shivshai Punarvasan Prakalp Ltd., Building No.A-24, Ground Floor, Balwadi Maharashtra Nagar, Mankhurd ,Mumbai -400088",172
36 - Turbhe Mandala Mumbai-400088,"Shivshai Punarvasan Prakalp Ltd., Building No.A-28, Ground Floor,Welfare office Maharashtra Nagar, Mankhurd ,Mumbai -400088",172
37 - Turbhe Mandala Mumbai-400088,"Mumbai Public School, English Medium School, Ground Floor Room No.1, Maharashtra Nagar Mankhurd Mumbai - 400088.",172
38 - Turbhe Mandala mumbai 400088,Mumbai Public English Medium School Ground Floor Room no 2 Maharashtra Nagar Mankhurd Mumbai 400088,172
39 - Turbhe Mandala Mumbai-400088,"Mumbai Public School, English Medium School, Ground Floor Room No.3, Maharashtra Nagar Mankhurd Mumbai - 400088.",172
40 - Turbhe Mandala Mumbai-400088,"Shivshai Punarvasan Prakalp Ltd., Building No.A-26, Ground Floor, Office Maharashtra Nagar Mankhurd ,Mumbai -400088",172
41 - Turbhe Mandala Mumbai-400088,"Shivshai Punarvasan Prakalp Ltd., Building No.A-28, Ground Floor, Balwadi Maharashtra Nagar Mankhurd ,Mumbai -400088",172
42 - Turbhe Mandala Mumbai-400088,"Shivshai Punarvasan Prakalp Ltd., Building No.A-27, Ground Floor, Welfare Centre, Maharashtra Nagar Mankhurd ,Mumbai -400088",172
43 - Turbhe Mandala Mumbai-400088,"Shivshai Punarvasan Prakalp Ltd., Building No.A-27, Balwadi, Ground Floor, Maharashtra Nagar , Mankhurd Mumbai -400088",172
44 - Turbhe Mandala Mumbai-400088,"Shivshai Punarvasan Prakalp Ltd., Building No.A-23, ""Swapnapurti"" Ground floor, Welfare centre Maharashtra Nagar Mankhurd ,Mumbai -400088",172
45 - Turbhe Mandala Mumbai-400088,"Shivshai Punarvasan Prakalp Ltd., Building No.A-23, ""Swapnapurti"", Ground Floor, Balwadi Maharashtra Nagar Mankhurd ,Mumbai -400088",172
"46 - Agarwadi Mankhurd, Mumbai-400088","Industrial Training Institute, The Children Aid Society, Ground floor, Room No. 01,Mankhurd ,Mumbai -400088",172
"47 - Agarwadi Mankhurd, Mumbai-400088","Industrial Training Institute, The Children Aid Society, Room No.02 Mankhurd ,Mumbai -400088",172
48 - Deonar pada Mumbai-400088,"Mumbai Public School Deonarpada Govandi (E) Ground Floor,Room.No.1 Mumbai-400088",172
49 - Deonar pada Mumbai-400088,Mumbai Public School Deonarpada -Govandi (E) Ground Floor Room.No.2 Mumbai-400088,172
50 - Deonar pada Mumbai-400088,Mumbai Public School Deonarpada -Govandi (E) Ground Floor Room No.3 Mumbai-400088,172
"51 - Bhakt Kavi shivage devshi Marg Borla, Govandi, Mumbai-400088","Smt.Radhibhai Shobharaj Tahliyani Primary School, Ground floor, Room No.1, Govandi, Mumbai - 400088.",172
