PS No & Name,Address,Constituency Number
"1 - Chedda Nagar, Chembur, Mumbai-89","Modern English School, Gound Floor, Room No. 01 (Office Room ) ,New Bldg, Chedda Nagar, Chembur, Mumbai-89",173
"2 - Chedda Nagar, Chembur, Mumbai-89","Modern English School, Gound Floor, Room No. 02 (Beside Office Room ) ,New Bldg, Chedda Nagar, Chembur, Mumbai-89",173
"3 - Chedda Nagar, Chembur, Mumbai-89","Modern English School, Ground Floor Hall B, New Bldg, Chedda Nagar, Chembur, Mumbai-89",173
"4 - Chedda Nagar, Chembur, Mumbai-89","Modern English School, Room No.01, Gorund Floor, Primary School Bldg, Chedda Nagar, Chembur, Mumbai-89",173
"5 - Chedda Nagar, Chembur, Mumbai-89","Modern English School, Room No.02, Gorund Floor, Primary School Bldg, Chedda Nagar, Chembur, Mumbai-89",173
"6 - Chedda Nagar, Chembur, Mumbai-89","Modern English School, Room No.03, Gorund Floor, Primary School Bldg, Chedda Nagar, Chembur, Mumbai-89",173
"7 - Chedda Nagar, Chembur, Mumbai-89","Modern English School, Ground Floor Hall, New Bldg, Chedda Nagar, Chembur, Mumbai-89",173
"8 - P.L.Lokhande Marg, (South), Pestam Sagar,Chembur, Mumbai-89","Mumbai Public School Primary School No 4, Patrashed, Room No 01, Station road Chembur (sarva shiksha abhiyan) P.L.Lokhande Marg, Chembur, Mumbai-89",173
"9 - P.L.Lokhande Marg, (South), Pestam Sagar,Chembur, Mumbai-89","Mumbai Public School Primary School,Hall A, P.L.Lokhande Marg Station road Chembur, Mumbai-89",173
"10 - P.L.Lokhande Marg, (South), Pestam Sagar,Chembur, Mumbai-89","Mumbai Public School Primary School,Hall B, P.L.Lokhande Marg, Station road Chembur , Mumbai-89",173
"11 - P.L.Lokhande Marg, (South), Pestam Sagar,Chembur, Mumbai-89","Mumbai Public School Primary School, Ground , Pandol 01, P.L.Lokhande Marg, Station road Chembur, Mumbai-89",173
"12 - P.L.Lokhande Marg, (South), Pestam Sagar,Chembur, Mumbai-89","Mumbai Public School Primary School, Ground , Pandol 02, P.L.Lokhande Marg ,Station road Chembur, Mumbai-89",173
"13 - P.L.Lokhande Marg, (South), Pestam Sagar,Chembur, Mumbai-89","Mumbai Public School Primary School, Ground Floor , Hall C , P.L.Lokhande Marg, Station road Chembur, Mumbai-89",173
"14 - P.L.Lokhande Marg, (South), Pestam Sagar,Chembur, Mumbai-89","Mumbai Public School Primary School, Ground , Pandol 04, P.L.Lokhande Marg, Station road Chembur, Mumbai-89",173
"15 - P.L.Lokhande Marg, (South), Pestam Sagar,Chembur, Mumbai-89","Mumbai Public School Primary School No. 01, Room No. 02, Ground Floor P.L.Lokhande Marg, Station road Chembur, Mumbai-89",173
"16 - P.L.Lokhande Marg, (South), Pestam Sagar,Chembur, Mumbai-89","Mumbai Public School Primary School, Ground , Pandol 03, P.L.Lokhande Marg, Station road Chembur, Mumbai-89",173
"17 - P.L.Lokhande Marg, (South), Pestam Sagar,Chembur, Mumbai-89","Mumbai Public School Primary School, Room No. 3 (Ground Storied Patra A.C. Shed), P.L.Lokhande Marg, Station road Chembur, Mumbai-89",173
"18 - P.L.Lokhande Marg, (South), Pestam Sagar,Chembur, Mumbai-89","Mumbai Public School Primary School, Room No. 4 (Ground Storied Patra A.C. Shed), P.L.Lokhande Marg, Station road Chembur, Mumbai-89",173
