PS No & Name,Address,Constituency Number
"1 - Tilak Nagar Chembur, Mumbai - 400089",Lokmanya Tilak Eng.School Room.No.1 Ground floor,174
"2 - Tilak Nagar Chembur, Mumbai - 400089",Lokmanya Tilak Eng.School Room.No.2 Ground floor,174
"3 - Tilak Nagar Chembur, Mumbai - 400089",Lokmanya Tilak Eng.School Room.No.3 Ground floor,174
"4 - Tilak Nagar Chembur, Mumbai - 400089",Lokmanya Tilak Eng.School Room.No.6 Ground floor,174
"5 - Tilak Nagar Chembur, Mumbai - 400089",Tilaknagar Municipal School Tamil Section Room.No.4 Ground floor,174
"6 - Tilak Nagar Chembur, Mumbai - 400089",Tilaknagar Municipal School Tamil Section Room.No.5 Ground floor,174
"7 - Tilak Nagar Chembur, Mumbai - 400089",Tilaknagar Municipal School Tamil Section Room.No.6 Ground floor,174
"8 - Tilak Nagar Chembur, Mumbai - 400089",Tilaknagar Municipal School Tamil Section Room.No.6 A Ground floor,174
"9 - Tilak Nagar Chembur, Mumbai- 400089",Tilak Nagar Muncipal School Tamil Section Room. No. 11 Ground floor,174
"10 - Tilak Nagar Chembur, Mumbai- 400089",Tilak Nagar Muncipal School Tamil Section Room. No. 12 Ground floor,174
"11 - Tilak Nagar Chembur, Mumbai - 400089",Tilaknagar Municipal School Tamil Section Room.No.13 Ground floor,174
"12 - Tilak Nagar Chembur, Mumbai - 400089",Tilaknagar Municipal School Tamil Section Room.No.14 Ground floor,174
"13 - Tilak Nagar Chembur, Mumbai - 400089",Tilaknagar Municipal School Kannad Section Room.No.9 Ground floor,174
"14 - Tilak Nagar Chembur, Mumbai - 400089",Tilaknagar Municipal School Kannad Section Room.No.10 Ground floor,174
"15 - Tilak Nagar Chembur, Mumbai - 400089",Tilaknagar Municipal School Gujrati Section Room.No.1 Ground floor,174
"16 - Tilak Nagar Chembur, Mumbai - 400089",Tilaknagar Municipal School Gujrati Section Room.No.3 Ground floor,174
"17 - Tilak Nagar Chembur, Mumbai - 400089",Tilaknagar Municipal School Gujrati Section Room.No.4 Ground floor,174
"18 - Tilak Nagar Chembur, Mumbai - 400089","Universal High School, JK Kamlakar Marg, Room No. 1 Ground Floor",174
"19 - Tilak Nagar Chembur, Mumbai - 400089","Universal High School, JK Kamlakar Marg, Room No. 2 Ground Floor",174
"20 - Tilak Nagar Chembur, Mumbai - 400089","Universal High School, JK Kamlakar Marg, Room No. 3 Ground Floor",174
"21 - Tilak Nagar Chembur, Mumbai - 400089","Universal High School, JK Kamlakar Marg, Room No. 4 Ground Floor",174
"22 - Tilak Nagar Chembur, Mumbai - 400089","Universal High School, JK Kamlakar Marg, Room No. 5 Ground Floor",174
"23 - Tilak Nagar Chembur, Mumbai - 400089","Universal High School, JK Kamlakar Marg, Room No. 6 Ground Floor",174
24 - Ghatkopar Mahul Road (East) Mumbai 400089,"Holy Family High School, Room.No.1, Ground floor",174
25 - Ghatkopar Mahul Road (East) Mumbai 400089,"Holy Family High School,Room.No.2, Ground floor",174
26 - Ghatkopar Mahul Road (East) Mumbai 400089,"Holy Family High School, Partition No.3, Ground floor",174
27 - Ghatkopar Mahul Road (East) Mumbai 400089,"Holy Family High School Partition No.4, Ground floor",174
28 - Ghatkopar Mahul Road (East) Mumbai 400089,"Holy Family High School Partition No.5, Ground floor",174
29 - Ghatkopar Mahul Road (East) Mumbai 400089,"Holy Family High School Partition No.6, Ground floor",174
30 - Ghatkopar Mahul Road (East) Mumbai 400089,"Holy Family High School Partition No.7, Ground floor",174
"31 - Tilak Nagar Chembur, Mumbai - 400089","Universal High School, JK Kamlakar Marg, Room No. 7 Ground Floor",174
"32 - Tilak Nagar Chembur, Mumbai - 400089","Universal High School, JK Kamlakar Marg, Room No. 8 Ground Floor",174
"33 - Tilak Nagar Chembur, Mumbai - 400089","Universal High School, JK Kamlakar Marg, Room No. 9 Ground Floor",174
"34 - Tilak Nagar Chembur, Mumbai - 400089","Universal High School, JK Kamlakar Marg, Room No. 10 Ground Floor",174
"35 - Tilak Nagar Chembur, Mumbai - 400089","Universal High School, JK Kamlakar Marg, Open Place Pandol - 1",174
"36 - Tilak Nagar Chembur, Mumbai - 400089","Universal High School, JK Kamlakar Marg, Open Place Pandol - 2",174
"37 - Tilak Nagar Chembur, Mumbai - 400089",Bruhanmumbai Mahanagarpalika kridagan Tilaknagar Open Place Pandol - 1,174
"38 - Tilak Nagar Chembur, Mumbai - 400089",Bruhanmumbai Mahanagarpalika kridagan Tilaknagar Open Place Pandol - 2,174
"39 - Tilak Nagar Chembur, Mumbai - 400089",Bruhanmumbai Mahanagarpalika kridagan Tilaknagar Open Place Pandol - 3,174
"40 - Tilak Nagar Chembur, Mumbai - 400089",Bruhanmumbai Mahanagarpalika kridagan Tilaknagar Open Place Pandol - 4,174
"41 - Tilak Nagar Chembur, Mumbai - 400089",Bruhanmumbai Mahanagarpalika kridagan Tilaknagar Open Place Pandol - 5,174
"42 - Tilak Nagar Chembur, Mumbai - 400089",Bruhanmumbai Mahanagarpalika kridagan Tilaknagar Open Place Pandol - 6,174
43 - Kurla (E) Central Railway Yard Staff Quarters. Mumbai - 400024,Central Railway Social Centre Railway high School Room No. 1 Ground floor,174
44 - Kurla (E) Central Railway Yard Staff Quarters. Mumbai - 400024,Central Railway Social Centre Railway high School Room No. 2 Ground floor,174
45 - Kurla (E) Central Railway Yard Staff Quarters. Mumbai - 400024,Central Railway Social Centre Railway high School Room No. 3 Ground floor,174
46 - Kurla (E) Central Railway Yard Staff Quarters. Mumbai - 400024,Central Railway Social Centre Railway high School Room No. 4 Ground floor,174
47 - Kurla (E) Central Railway Yard Staff Quarters. Mumbai - 400024,"Central Railway Samaj Kalyan Kendra, Railway Colony Hall - A Ground floor",174
48 - Kurla (E) Central Railway Yard Staff Quarters. Mumbai - 400024,"Central Railway Samaj Kalyan Kendra, Railway Colony Hall - B Ground floor",174
49 - Kurla (E) Central Railway Yard Staff Quarters. Mumbai - 400024,"Central Railway Samaj Kalyan Kendra, Railway Colony Hall - C Ground floor",174
50 - Kurla (E) Nehru Nagar (North) Mumbai - 400024,Shantaram Krishnaji Pant Walawalkar High School (New English High School) Room.No.A2 Ground floor,174
51 - Kurla (E) Nehru Nagar (North) Mumbai - 400024,Shantaram Krishnaji Pant Walawalkar High School (New English High School) Room.No.A3 Ground floor,174
52 - Kurla (E) Nehru Nagar (North) Mumbai - 400024,Shantaram Krishnaji Pant Walawalkar High School (New English High School) Room.No.A4 Ground floor,174
53 - Kurla (E) Nehru Nagar (North) Mumbai - 400024,Shantaram Krishnaji Pant Walawalkar High School (New English High School) Room.No.A5 Ground floor,174
54 - Kurla (E) Nehru Nagar (North) Mumbai - 400024,Shantaram Krishnaji Pant Walawalkar High School (New English High School) Room.No.1 Ground floor,174
55 - Kurla (E) Nehru Nagar (North) Mumbai - 400024,Shantaram Krishnaji Pant Walawalkar High School (New English High School) Room.No.2 Ground floor,174
56 - Kurla (E) Nehru Nagar (North) Mumbai - 400024,Shantaram Krishnaji Pant Walawalkar High School (New English High School) Room.No.3 Ground floor,174
57 - Kurla (E) Nehru Nagar (North) Mumbai - 400024,Shantaram Krishnaji Pant Walawalkar High School (New English High School) Room.No. 4 Ground floor,174
58 - Kurla (E) Nehru Nagar (North) Mumbai - 400024,Shantaram Krishnaji Pant Walawalkar High School (New English High School) Room No.5 Ground floor,174
59 - Kurla (E) Nehru Nagar (North) Mumbai - 400024,"Shantaram Krishnaji Pant Walawalkar High School (New English High School) Patrashed C2, Ground floor",174
60 - Kurla (E) Nehru Nagar (North) Mumbai - 400024,"Shantaram Krishnaji Pant Walawalkar High School(New English High School) Patrashed C3, Ground floor",174
61 - Kurla (E) Nehru Nagar (North) Mumbai - 400024,"Shantaram Krishnaji Pant Walawalkar High School (New English High School) Patrashed No.C3 A, Ground floor",174
62 - Kurla (E) Nehru Nagar (North) Mumbai - 400024,"Sheth Nanajibhai Khimjibhai Thanewala School, Room No. 1 Ground Floor (Shikshanratna Pradip Dattatray Samant Vidyalay)",174
63 - Kurla (E) Nehru Nagar (North) Mumbai - 400024,"Sheth Nanajibhai Khimjibhai Thanewala School, Room No. 2 Ground Floor (Shikshanratna Pradip Dattatray Samant vidyalay)",174
64 - Kurla (E) Nehru Nagar (North) Mumbai - 400024,"Sheth Nanajibhai Khimjibhai Thanewala School, Room No. 3 Ground Floor (Shikshanratna Pradip Dattatray Samant vidyalay)",174
65 - Kurla (E) Nehru Nagar (North) Mumbai - 400024,"Sheth Nanajibhai Khimjibhai Thanewala School, Room No. 4 Ground Floor (Shikshanratna Pradip Dattatray Samant vidyalay)",174
66 - Kurla (E) Nehru Nagar (North) Mumbai - 400024,"Sheth Nanajibhai Khimjibhai Thanewala School, Room No. 5 Ground Floor (Shikshanratna Pradip Dattatray Samant vidyalay)",174
67 - Kurla (E) Nehru Nagar (North) Mumbai - 400024,"Sheth Nanajibhai Khimjibhai Thanewala School, Hall Partition - 1 (Shikshanratna Pradip Dattatray Samant vidyalay)",174
68 - Kurla (E) Nehru Nagar (North) Mumbai - 400024,"Sheth Nanajibhai Khimjibhai Thanewala School, Hall Partition - 2 (Shikshanratna Pradip Dattatray Samant vidyalay)",174
69 - Kurla (E) Nehru Nagar (North) Mumbai - 400024,"Sheth Nanajibhai Khimjibhai Thanewala School, Hall Partition - 3 (Shikshanratna Pradip Dattatray Samant vidyalay)",174
70 - Kurla (E) Nehru Nagar (North) Mumbai - 400024,Mumbai Public School Kamgar Nagar School Complex L Vibhag Room No.1 Ground floor,174
71 - Kurla (E) Nehru Nagar (North) Mumbai - 400024,"Mumbai Public School Kamgar Nagar School Complex L Vibhag Partition No.2, Ground floor",174
72 - Kurla (E) Nehru Nagar (North) Mumbai - 400024,Mumbai Public School Kamgar Nagar School Complex L Vibhag Partition No.3 Ground floor,174
73 - Kurla (E) Nehru Nagar (North) Mumbai - 400024,"Mumbai Public School Kamgar Nagar School Complex L Vibhag Partition No.4, Ground floor",174
74 - Kurla (E) Nehru Nagar (North) Mumbai - 400024,"Mumbai Public School Kamgar Nagar School Complex L Vibhag Partition No.5, Ground floor",174
"75 - Thakkar Bappa Colony, Chembur, Mumbai - 71","Swami Vivekanand High School Room No.1, Ground floor",174
"76 - Thakkar Bappa Colony, Chembur, Mumbai - 71","Swami Vivekanand High School Room No.2, Ground floor",174
"77 - Thakkar Bappa Colony, Chembur, Mumbai - 71","Swami Vivekanand High School, Room No.3, Ground floor",174
"78 - Thakkar Bappa Colony, Chembur, Mumbai - 71","Swami Vivekanand High School, Partition No.1, Ground floor",174
"79 - Thakkar Bappa Colony, Chembur, Mumbai - 71","Swami Vivekanand High School, Partition No.2, Ground floor",174
"80 - Sahakar Nagar, Chembur Mumbai -71","Mumbai Public School Sahkar Nagar School Complex, Room.No.1 Ground Floor",174
"81 - Sahakar Nagar, Chembur Mumbai -71","Mumbai Public School Sahkar Nagar School Complex, Room.No.2 Ground Floor",174
"82 - Sahakar Nagar, Chembur Mumbai -71",Mumbai Public School Sahkar Nagar School Complex Room.No.3 Ground Floor,174
"83 - Sahakar Nagar, Chembur Mumbai -71",Mumbai Public School Sahkar Nagar School Complex Room.No.4 Ground Floor,174
"84 - Sahakar Nagar, Chembur Mumbai -71","Mumbai Public School Sahkar Nagar School Complex, Room.No.5 Ground Floor",174
"85 - Sahakar Nagar, Chembur Mumbai -71",Mumbai Public School Sahkar Nagar School Complex Room.No.6 Ground Floor,174
"86 - Sahakar Nagar, Chembur Mumbai -71",Mumbai Public School Sahkar Nagar School Complex Room.No.7 Ground Floor,174
"87 - Sahakar Nagar, Chembur Mumbai -71",Mumbai Public School Sahkar Nagar School ComplexRoom.No.8 Ground Floor,174
"88 - Sahakar Nagar, Chembur Mumbai -71",Mumbai Public School Sahkar Nagar School Complex Room.No. 12 Ground Floor,174
"89 - Sahakar Nagar, Chembur Mumbai -71",Mumbai Public School Sahkar Nagar School Complex Room.No.19 Ground Floor,174
"90 - Sahakar Nagar, Chembur Mumbai -71",Mumbai Public School Sahkar Nagar School Complex Room.No.20 Ground Floor,174
"91 - Sahakar Nagar, Chembur Mumbai -71","Mumbai Public School Sahkar Nagar School Complex Partition Room No.8-A, Ground Floor",174
"92 - Sahakar Nagar, Chembur Mumbai -71",Shatabdi Sohala Municipal Primary School Near Leftside BMC Open Ground Pandol - 1,174
"93 - Sahakar Nagar, Chembur Mumbai -71",Shatabdi Sohala Municipal Primary School Near Leftside BMC Open Ground Pandol - 2,174
"94 - Sahakar Nagar, Chembur Mumbai -71",Shatabdi Sohala Municipal Primary School Near Leftside BMC Open Ground Pandol - 3,174
"95 - Sahakar Nagar, Chembur Mumbai -71",Shatabdi Sohala Municipal Primary School Near Leftside BMC Open Ground Pandol - 4,174
"96 - Sahakar Nagar, Chembur Mumbai -71",Shatabdi Sohala Municipal Primary School Near Leftside BMC Open Ground Pandol - 9,174
"97 - Sahakar Nagar, Chembur Mumbai -71",Shatabdi Sohala Municipal Primary School Near Leftside BMC Open Ground Pandol - 5,174
"98 - Sahakar Nagar, Chembur Mumbai -71",Adarsh Vidyalaya Near Rightside BMC Open Ground Pandol - 6,174
"99 - Sahakar Nagar, Chembur Mumbai -71",Adarsh Vidyalaya Near Rightside BMC Open Ground Pandol - 7,174
"100 - Sahakar Nagar, Chembur Mumbai -71",Adarsh Vidyalaya Near Rightside BMC Open Ground Pandol - 8,174
"101 - Sahakar Nagar, Chembur Mumbai -71","Adarsh Vidyalaya Room.No.3, Ground floor",174
"102 - Sahakar Nagar, Chembur Mumbai -71","Adarsh Vidyalaya Room.No.4, Ground floor",174
"103 - Sahakar Nagar, Chembur Mumbai -71","Adarsh Vidyalaya Room.No.5, Ground floor",174
"104 - Sahakar Nagar, Chembur Mumbai -71","Adarsh Vidyalaya Room.No.6, Ground floor",174
"105 - Sahakar Nagar, Chembur Mumbai -71","Adarsh Vidyalaya Room.No.7, Ground floor",174
