PS No & Name,Address,Constituency Number
"1 - Pandit Jawaharlal Nehru Road, Vakola ,Santacruz E, Mumbai 400 055","St. Anthony High School, Vakola, Ground Floor, Room No.1",175
"2 - Pandit Jawaharlal Nehru Road, Vakola ,Santacruz E, Mumbai 400 055","St. Anthony High School, Vakola, Ground Floor, Room No.2",175
"3 - Pandit Jawaharlal Nehru Road, Vakola ,Santacruz E, Mumbai 400 055","St. Anthony High School, Vakola, Ground Floor, Room No.3",175
"4 - Pandit Jawaharlal Nehru Road, Vakola, Santacruz E, Mumbai 400 055","St. Anthony High School, Vakola, Ground Floor, Room No.4",175
"5 - Pandit Jawaharlal Nehru Road, Vakola,Santacruz E, Mumbai 400 055","St. Anthony High School, Vakola, Ground Floor, Room No.5",175
"6 - Pandit Jawaharlal Nehru Road, Vakola, Santacruz E, Mumbai 400 055","St. Anthony High School, Vakola, Ground Floor, Room No.6",175
"7 - Pandit Jawaharlal Nehru Road, Vakola, Santacruz E, Mumbai 400 055","St. Anthony High School, Vakola, Ground Floor, Room No.7",175
"8 - Pandit Jawaharlal Nehru Road, Vakola, Santacruz E, Mumbai-400055","St. Anthony High School Compound, Vakola, Open Ground Pandal No.1",175
"9 - Pandit Jawaharlal Nehru Road, Vakola, Santacruz E, Mumbai-400055","St. Anthony High School Compound, Vakola, Open Ground Pandal No.2",175
"10 - Aaram Society Lane, Vakola, Santacruz E, Mumbai 400 055","Hind Seva Parishad's Public High School & Jr. College, Vakola, Open Space Ground Floor Patra Shed -1",175
"11 - Aaram Society Lane, Vakola, Santacruz E, Mumbai 400 055","Hind Seva Parishad's Public High School & Jr. College, Vakola, Stilt Left Handside Open Space Part-1",175
"12 - Aaram Society Lane, Vakola, Santacruz E, Mumbai 400 055","Hind Seva Parishad's Public High School & Jr. College, Vakola, Stilt Left Handside Open Space Part-2",175
"13 - Pandit Jawaharlal Nehru Road, Vakola ,Santacruz (E) , Mumbai-400055","St. Anthony High School Compound, Open ground Pendal No.3",175
"14 - Pandit Jawaharlal Nehru Road, Vakola ,Santacruz (E) , Mumbai-400055","St. Anthony High School Compound, Open ground Pendal No.4",175
"15 - Aaram Society Lane, Vakola, Santacruz E, Mumbai 400 055","Hind Seva Parishad's Public High School & Jr. College, Vakola, Stilt Open Space Part-3",175
"16 - Aaram Society Lane, Vakola, Santacruz E, Mumbai 400 055","Hind Seva Parishad's Public High School & Jr. College, Vakola, Stilt Open Space Part-4",175
"17 - Aaram Society Lane, Vakola, Santacruz E, Mumbai 400 055","Hind Seva Parishad's Public High School & Jr. College, Vakola, Ground Floor Room No.1",175
"18 - Aaram Society Lane, Vakola, Santacruz E, Mumbai 400 055","Hind Seva Parishad's Public High School & Jr. College, Vakola, Ground Floor Room No.2",175
"19 - Vidyanagari Marg Kalina, Santacruz E, Mumbai 400 098","Kalina Municipal School Sunder Nagar, Ground Floor Room No.1",175
