PS No & Name,Address,Constituency Number
"1 - Davarinagar, Santacruz(E)","Dr. Hedgewar Gym and Samaj Mandir, Samarth Gym, Chaitanya Nagar Wakola Santacruz East, Mumbai-55",176
"2 - Davarinagar, Santacruz(E)","Sant Nirankari Aadhyatmik Satsang Bhavan Davari Nagar Santacruz East , Mumbai -55",176
"3 - Davarinagar, Santacruz(E)","Sant Nirankari Aadhyatmik Satsang Bhavan Davri Nagar No.4, Santacruz East, Mumbai -55",176
"4 - Davarinagar, Santacruz(E)","Sant Nirankari Aadhyatmik satsang Bhavan Davri Nagar, Pandal in front of GateNo.-4 Santacruz East, Mumbai - 55",176
"5 - Davarinagar, Santacruz(E)","Pandal No.1 Ground of Davri Nagar Rahivasi Committee, Davri nagar-2, Aliyawar Jung Marg, Santacruz East Mumbai-55",176
"6 - Davarinagar, Santacruz(E)","Saidham Co. Op. Hsg. Soc. Davri nagar gateNo.-1, Samajvadi Seva Sangh, Santacruz East Mumbai-55",176
"7 - Davarinagar, Santacruz(E)","Office of Davri Nagar Rahivasi Committee, Sai Sadan chawl Gate, Davri Nagar gate No-2, Aliyavar Jung Marg, Santacruz East, Mumbai-55",176
"8 - Davarinagar, Santacruz(E)","Ground of Davri Nagar Rahivasi Committee, Davri nagar Pandal No-2 Aliyavar jung marg Santacruz East Mumbai-55",176
"9 - Davarinagar, Santacruz(E)","Ground of Davri Nagar Rahivasi Committee, Davri nagar Pandal No-3, Santacruz East Mumbai-55",176
"10 - T.P.S.3, 11th Rd., Santacruz(E)","Seth Chimanlal Nathuram High School, Ground Floor, Room No. 1, Santacruz East, Mumbai - 55.",176
"11 - T.P.S.3, 11th Rd., Santacruz(E)","Pandal No.1 at Open Space infront of Santacruz Gymkhana, Santacruz East, Mumbai - 55",176
"12 - T.P.S.3, 11th Rd., Santacruz(E)","Pandal No.2 at Open Space infront of Santacruz Gymkhana, Santacruz East, Mumbai - 55",176
"13 - T.P.S.3, 11th Rd., Santacruz(E)","Pandal No.3 at Open Space infront of Santacruz Gymkhana, Santacruz East, Mumbai - 55",176
"14 - T.P.S.3, 11th Rd., Santacruz(E)","Pandal No.4 at Open Space infront of Santacruz Gymkhana, Santacruz East, Mumbai - 55",176
"15 - T.P.S.3, 11th Rd., Santacruz(E)","Seth Chimanlal Nathuram High School, Ground Floor, RoomNo.-2, Santacruz East, Mumbai - 55",176
