PS No & Name,Address,Constituency Number
"1 - Relief Road, Santacruz (West), Mumbai 400054.","L. S. Raheja College of Arts & Commerce, Gr. Floor Auditorium, Partition No. 1",177
"2 - Relief Road, Santacruz (West), Mumbai 400054.","L. S. Raheja College of Arts & Commerce, Gr. Floor Auditorium, Partition No. 2",177
"3 - Relief Road, Santacruz (West), Mumbai 400054.","L.S. Raheja College of Arts & Commerce, Gr.Flr. College Canteen",177
"4 - Relief Road, Santacruz (West), Mumbai 400054.","L.S. Raheja College of Arts & Commerce, Gr.Floor, Room No. 1",177
"5 - Relief Road, Santacruz (West), Mumbai 400054.","L.S. Raheja College of Arts & Commerce, Gr.Floor, Room No. 2",177
"6 - Relief Road, Santacruz (West), Mumbai 400054.","Sadhana High School (Malti Jayant Dalal High School), S. B. Kindergarten, (Nursery) Room No 6",177
"7 - Dhan Pathohar Nagar, North Avenue Road, Santacruz (W), Mumbai 400054.",Guru Harkishan High School Gr. Flr. R.No.1,177
"8 - Dhan Pathohar Nagar, North Avenue Road, Santacruz (W), Mumbai 400054.",Guru Harkishan High School Gr. Flr. R.No.2,177
"9 - Dhan Pathohar Nagar, North Avenue Road, Santacruz (W), Mumbai 400054.",Guru Harkishan High School Gr. Flr. R.No.3,177
"10 - Dhan Pathohar Nagar, North Avenue Road, Santacruz (W), Mumbai 400054.",Guru Harkishan High School Gr. Flr. R.No. 4,177
"11 - Dhan Pathohar Nagar, North Avenue Road, Santacruz (W), Mumbai 400054.",Guru Harkishan High School Gr. Flr. R.No. 5,177
"12 - Relief Road,Santacruz (West), Mumbai 400054.",Sadhana High School (Malti Jayant Dalal High School) Primary Section Gr. Flr. R.No. 1,177
"13 - Relief Road, Santacruz (West), Mumbai 400054.",Sadhana High School (Malti Jayant Dalal High School) Primary Section Gr. Flr. R.No. 2,177
"14 - Relief Road, Santacruz (West), Mumbai 400054.",Sadhana High School (Malti Jayant Dalal High School) Primary Section Gr. Flr. R.No. 3,177
"15 - Relief Road,),Santacruz (West), Mumbai 400054.",Sadhana High School (Malti Jayant Dalal High School) Primary Section Gr. Flr. R.No. 4,177
"16 - Relief Road, Santacruz (West), Mumbai 400054.",Sadhana High School (Malti Jayant Dalal High School) Primary Section Gr. Flr. R.No. 5,177
"17 - Relief Road, Santacruz (West), Mumbai 400054.",Sadhana High School (Malti Jayant Dalal High School) Primary Section Gr. Flr. R.No. 6,177
"18 - Relief Road, Santacruz (West), Mumbai 400054.",Sadhana High School (Malti Jayant Dalal High School) Primary Section Gr. Flr. R.No. 7,177
"19 - Relief Road, Santacruz (West), Mumbai 400054.","Sadhana High School (Malti Jayant Dalal High School), S. B. Kindergarten, (Nursery)Room No 1",177
"20 - Relief Road, Santacruz (West), Mumbai 400054.","Sadhana High School (Malti Jayant Dalal High School), S. B. Kindergarten, (Nursery) Room No 2",177
"21 - Relief Road, Santacruz (West), Mumbai 400054.","Sadhana High School (Malti Jayant Dalal High School), S. B. Kindergarten, (Nursery) Room No 3",177
"22 - Relief Road, Santacruz (West), Mumbai 400054.","Sadhana High School (Malti Jayant Dalal High School), S. B. Kindergarten, (Nursery) Room No 4",177
"23 - Relief Road, Santacruz (West), Mumbai 400054.","Sadhana High School (Malti Jayant Dalal High School), S. B. Kindergarten, (Nursery) Room No 5",177
"24 - Chunabhatti,Santacruz (W), Mumbai 400054.",Sane Guruji Vidya Mandir Gr. Flr. R.No. 1,177
