PS No & Name,Address,Constituency Number
"1 - Dharavi road North, Mumbai 17","Chhatrapati Shivaji Vidyalaya Secondary Section, P.M.G.P.Colony bldg no-31, Ground Floor Room No.1 Dharavi road North, Mumbai 17",178
"2 - Dharavi road North, Mumbai 17","Chhatrapati Shivaji Vidyalaya Secondary Section P.M.G.P.Colony bldg no 31 Ground Floor Room No. 2, Dharavi road North, Mumbai 17",178
"3 - Dharavi road North, Mumbai 17","Chhatrapati Shivaji Vidyalaya Secondary Section P.M.G.P.Colony bldg 31 Ground Floor Room No- 3 Dharavi road North, Mumbai 17",178
"4 - Dharavi road North, Mumbai 17","Chhatrapati Shivaji Vidyalaya Secondary Section P.M.G.P.Colony bldg no 31 Ground Floor Room No. 4 Dharavi road North, Mumbai 17",178
"5 - Dharavi road North, Mumbai 17","Chhatrapati Shivaji Vidyalaya Secondary Section P.M.G.P.Colony bldg no 31 Ground Floor Room No. 5 Dharavi road North, Mumbai 17",178
"6 - Dharavi road North, Mumbai 17","Chhatrapati Shivaji Vidyalaya Secondary Section P.M.G.P.Colony bldg no 31 , Ground Floor Room No. 6 Dharavi road North, Mumbai 17",178
"7 - Dharavi road North, Mumbai 17","Chhatrapati Shivaji Vidyalaya Secondary Section P.M.G.P.Colony bldg no 31 , Ground Floor Room No. 7 Dharavi road North, Mumbai 17",178
"8 - Dharavi road North, Mumbai 17","Chhatrapati Shivaji Vidyalaya Secondary Section P.M.G.P.Colony bldg no 31 Ground Floor, Room No. 8 Dharavi road North, Mumbai 17",178
"9 - Dharavi road North, Mumbai 17","Mandap -1 , Manohar Joshi College Maidan Dharavi Road North mumbai 17",178
"10 - Dharavi road North, Mumbai 17","Mandap -2, Manohar Joshi College MaidanDharavi Road North mumbai 17",178
"11 - Dharavi road North, Mumbai 17","Mandap -3, Manohar Joshi College Maidan Dharavi Road North mumbai 17",178
"12 - Dharavi road North, Mumbai 17","Mandap -4, Manohar Joshi College Maidan Dharavi Road North mumbai 17",178
"13 - Dharavi road North, Mumbai 17","Mandap -5, Manohar Joshi College Maidan Dharavi Road North mumbai 17",178
"14 - Dharavi road North, Mumbai 17","Mandap -6, Manohar Joshi College Maidan Dharavi Road North mumbai 17",178
"15 - Dharavi road North, Mumbai 17","Aashadip Prastistan sanchalit nursy Hall,Near Ashok Milk Compound Hall, Opp. Sahil hotel, 90 feet road dharavi mumbai-400017",178
"16 - Dharavi road North, Mumbai 17","Mumbai Public School, dharavi, Kala Killa School sankul ( Municipal Prathmik School ) Partition -1, Ground Floor,, Dharavi Road Mumbai 400017",178
"17 - Dharavi road North, Mumbai 17","Mumbai Public School, dharavi, Kala Killa School sankul ( Municipal Prathmik School ) Partition -2, Ground Floor,, Dharavi Road Mumbai 400017",178
"18 - Dharavi road North, Mumbai 17","Mumbai Public School, dharavi, Kala Killa School sankul ( Municipal Prathmik School ) Partition -3 , Ground Floor,, Dharavi Road Mumbai 400017",178
"19 - Dharavi road North, Mumbai 17","Mumbai Public School, dharavi, Kala Killa School sankul ( Municipal Prathmik School ) Partition -4, Ground Floor,, Dharavi Road Mumbai 400017",178
"20 - Dharavi road North, Mumbai 17","Mumbai Public School, dharavi, Kala Killa School sankul ( Municipal Prathmik School ) ground floor Room No -5, Dharavi Road North Mumbai-400017",178
"21 - Dharavi road North, Mumbai 17","Mumbai Public School, dharavi, Kala Killa School sankul ( Municipal Prathmik School ) ground floor Room No -6, Dharavi Road North Mumbai-400017",178
