PS No & Name,Address,Constituency Number
"1 - N.S.Mankikar Road, Sion (E)","Central Labour Institute, Hostel Ground Parking Area Partition-A, N.S.Mankikar Road, Sion (E) Mumbai 22",179
"2 - N.S.Mankikar Road, Sion (E)","Central Labour Institute, Hostel Ground Parking Area Partition-B, N.S.Mankikar Road, Sion (E) Mumbai 23",179
"3 - N.S.Mankikar Road, Sion (E)","Central Labour Institute, Hostel Ground Parking Area Partition-C, N.S.Mankikar Road, Sion (E) Mumbai 24",179
"4 - Pratiksha Nagar, Sion Koliwada (E)","Bal Sanskar Primary School, Ground Floor, Room No.1, T-18, Pratiksha Nagar, Sion Koliwada, Sion (E), Mumbai-22",179
"5 - Tatya Tope Road, Sion Causeway, Sion(E), Mumbai-22","Pandol- A, Empty Space Jogalekarwadi Muncipal Primary School.",179
6 - T. V. Chidambaram Marg Sion East Mumbai No. 22,"Pendol- A, Empty Space S.I.E.S. College Of Commerce and Economics.",179
"7 - Tatya Tope Road, Sion Causeway, Sion(E), Mumbai-22","Pandol- B, Empty Space Jogalekarwadi Muncipal Primary School.",179
8 - T. V. Chidambaram Marg Sion East Mumbai No. 22,"Pendol- B, Empty Space S.I.E.S. College Of Commerce and Economics.",179
9 - T. V. Chidambaram Marg Sion East Mumbai No. 22,"Pendol- C, Empty Space S.I.E.S. College Of Commerce and Economics.",179
"10 - Pratiksha Nagar, Sion Koliwada","Eklavya edu. Sadhana sanchalit Karmaveer Bhaurao Patil Pre-Primary, Secondary School, Room No.1, Ground Floor, Pratiksha Nagar, Sion Koliwada,Mumbai-22",179
"11 - Pratiksha Nagar, Sion Koliwada","Eklavya edu. Sadhana sanchalit Karmaveer Bhaurao Patil Pre-Primary, Secondary School, Room No.1-A, Ground Floor, Pratiksha Nagar, Sion Koliwada, Mumbai-22",179
"12 - Pratiksha Nagar, Sion Koliwada","Eklavya edu. Sadhana sanchalit Karmaveer Bhaurao Patil Pre-Primary, Secondary School, Room No.2, Ground Floor, Pratiksha Nagar, Sion Koliwada ,Mumbai-22",179
"13 - Pratiksha Nagar, Sion Koliwada","Eklavya edu. Sadhana sanchalit Karmaveer Bhaurao Patil Pre-Primary, Secondary School, Room No.3-A, Ground Floor, Pratiksha Nagar, Sion Koliwada, Mumbai-22",179
